key,column,a_value,b_value
2008|NE-02,D_votes,138809,138892
2008|NE-02,R_votes,135439,135567
2016|ME-02,D_votes,143739,143952
2016|ME-02,R_votes,180818,180665
2020|ME-02,D_votes,168696,167182
2020|ME-02,R_votes,196692,196771
2020|NE-02,D_votes,176468,171517
2020|NE-02,R_votes,154377,149880
2024|AK,D_votes,140026,139812
2024|AK,R_votes,184458,184204
2024|AL,D_votes,772412,769391
2024|AL,R_votes,1462616,1457704
2024|CA,D_votes,9276179,9183800
2024|CA,R_votes,6081697,5988823
2024|CO,D_votes,1728159,1727603
2024|CO,R_votes,1377441,1377078
2024|CT,D_votes,992053,994494
2024|CT,R_votes,736918,739472
2024|DC,D_votes,294185,289244
2024|DC,R_votes,21076,20874
2024|HI,D_votes,313044,312384
2024|HI,R_votes,193661,193169
2024|IA,D_votes,707278,706556
2024|IA,R_votes,927019,927734
2024|ID,D_votes,274972,274956
2024|ID,R_votes,605246,605144
2024|IL,D_votes,3062863,3056201
2024|IL,R_votes,2449079,2444517
2024|IN,D_votes,1163603,1163657
2024|IN,R_votes,1720347,1727624
2024|KS,D_votes,544853,531989
2024|KS,R_votes,758802,741464
2024|KY,D_votes,704043,701407
2024|KY,R_votes,1337494,1338161
2024|MA,D_votes,2126518,2072571
2024|MA,R_votes,1251303,1234961
2024|MD,D_votes,1902577,1860918
2024|MD,R_votes,1035550,1026549
2024|ME-02,D_votes,176789,174225
2024|ME-02,R_votes,212763,209650
2024|MO,D_votes,1200599,1190823
2024|MO,R_votes,1751986,1739047
2024|MS,D_votes,466668,465357
2024|MS,R_votes,747744,746305
2024|MT,D_votes,231906,231856
2024|MT,R_votes,352079,352001
2024|NC,D_votes,2715375,2715380
2024|NC,R_votes,2898423,2898428
2024|NE-02,D_votes,163541,163298
2024|NE-02,R_votes,148905,148621
2024|NH,D_votes,418488,418496
2024|NH,R_votes,395523,395531
2024|NJ,D_votes,2220713,2218078
2024|NJ,R_votes,1968215,1966571
2024|NM,D_votes,478802,478727
2024|NM,R_votes,423391,423327
2024|NY,D_votes,4619195,4404111
2024|NY,R_votes,3578899,3478782
2024|OH,D_votes,2533699,2476003
2024|OH,R_votes,3180116,3116579
2024|OR,D_votes,1240600,1226991
2024|OR,R_votes,919480,909576
2024|PA,D_votes,3423042,3421247
2024|PA,R_votes,3543308,3542701
2024|TN,D_votes,1056265,1055039
2024|TN,R_votes,1966865,1964499
2024|TX,D_votes,4835250,4806474
2024|TX,R_votes,6393597,6375376
2024|UT,D_votes,562566,562560
2024|UT,R_votes,883818,883799
2024|VA,D_votes,2335395,2335367
2024|VA,R_votes,2075085,2075061
2024|VT,D_votes,235791,242235
2024|WA,D_votes,2245849,2241465
2024|WA,R_votes,1530923,1526471
