key,column,a_value,b_value
1976|AK,pres_margin,-0.222514444786,-0.23783657547161652
1976|AK,pres_margin_delta,0.012543684369,0
1976|AK,pres_margin_str,R+22.3,R+23.8
1976|AK,pres_margin_delta_str,D+1.3,0
1976|AK,national_margin,0.021958632612,0.022746909847506894
1976|AK,national_margin_delta,0.257316410845,0
1976|AK,national_margin_str,D+2.2,D+2.3
1976|AK,national_margin_delta_str,D+25.7,0
1976|AK,relative_margin,-0.244473077398,-0.2605834853191234
1976|AK,relative_margin_delta,-0.244772726476,0
1976|AK,relative_margin_str,R+24.4,R+26.1
1976|AK,relative_margin_delta_str,R+24.5,0
1976|AL,D_votes,658466,659170
1976|AL,R_votes,501998,504070
1976|AL,pres_margin,0.134832273987,0.13333447955709915
1976|AL,pres_margin_delta,0.615850360100,0
1976|AL,pres_margin_str,D+13.5,D+13.3
1976|AL,pres_margin_delta_str,D+61.6,0
1976|AL,national_margin,0.021958632612,0.022746909847506894
1976|AL,national_margin_delta,0.257316410845,0
1976|AL,national_margin_str,D+2.2,D+2.3
1976|AL,national_margin_delta_str,D+25.7,0
1976|AL,relative_margin,0.112873641375,0.11058756970959226
1976|AL,relative_margin_delta,0.358533949255,0
1976|AL,relative_margin_str,D+11.3,D+11.1
1976|AL,relative_margin_delta_str,D+35.9,0
1976|AR,D_votes,499614,498604
1976|AR,R_votes,268753,267903
1976|AR,pres_margin,0.300054848219,0.3009770295639831
1976|AR,pres_margin_delta,0.682978915542,0
1976|AR,pres_margin_str,D+30.0,D+30.1
1976|AR,pres_margin_delta_str,D+68.3,0
1976|AR,national_margin,0.021958632612,0.022746909847506894
1976|AR,national_margin_delta,0.257316410845,0
1976|AR,national_margin_str,D+2.2,D+2.3
1976|AR,national_margin_delta_str,D+25.7,0
1976|AR,relative_margin,0.278096215607,0.2782301197164762
1976|AR,relative_margin_delta,0.425662504697,0
1976|AR,relative_margin_delta_str,D+42.6,0
1976|AZ,D_votes,294901,295602
1976|AZ,R_votes,418079,418642
1976|AZ,pres_margin,-0.172765014446,-0.17226606033792374
1976|AZ,pres_margin_delta,0.166922888812,0
1976|AZ,pres_margin_str,R+17.3,R+17.2
1976|AZ,pres_margin_delta_str,D+16.7,0
1976|AZ,national_margin,0.021958632612,0.022746909847506894
1976|AZ,national_margin_delta,0.257316410845,0
1976|AZ,national_margin_str,D+2.2,D+2.3
1976|AZ,national_margin_delta_str,D+25.7,0
1976|AZ,relative_margin,-0.194723647058,-0.19501297018543062
1976|AZ,relative_margin_delta,-0.090393522033,0
1976|AZ,relative_margin_delta_str,R+9.0,0
1976|CA,D_votes,3721672,3742284
1976|CA,R_votes,3861286,3882244
1976|CA,pres_margin,-0.018411548633,-0.018356546136364112
1976|CA,pres_margin_delta,0.121070200688,0
1976|CA,pres_margin_delta_str,D+12.1,0
1976|CA,national_margin,0.021958632612,0.022746909847506894
1976|CA,national_margin_delta,0.257316410845,0
1976|CA,national_margin_str,D+2.2,D+2.3
1976|CA,national_margin_delta_str,D+25.7,0
1976|CA,relative_margin,-0.040370181245,-0.04110345598387101
1976|CA,relative_margin_delta,-0.136246210157,0
1976|CA,relative_margin_str,R+4.0,R+4.1
1976|CA,relative_margin_delta_str,R+13.6,0
1976|CO,D_votes,454419,460801
1976|CO,R_votes,574577,584278
1976|CO,pres_margin,-0.116772076859,-0.11815087663229287
1976|CO,pres_margin_delta,0.171608053382,0
1976|CO,pres_margin_str,R+11.7,R+11.8
1976|CO,pres_margin_delta_str,D+17.2,0
1976|CO,national_margin,0.021958632612,0.022746909847506894
1976|CO,national_margin_delta,0.257316410845,0
1976|CO,national_margin_str,D+2.2,D+2.3
1976|CO,national_margin_delta_str,D+25.7,0
1976|CO,relative_margin,-0.138730709471,-0.14089778647979978
1976|CO,relative_margin_delta,-0.085708357463,0
1976|CO,relative_margin_str,R+13.9,R+14.1
1976|CO,relative_margin_delta_str,R+8.6,0
1976|CT,pres_margin,-0.051477435433,-0.05220033412426965
1976|CT,pres_margin_delta,0.132925686196,0
1976|CT,pres_margin_str,R+5.1,R+5.2
1976|CT,pres_margin_delta_str,D+13.3,0
1976|CT,national_margin,0.021958632612,0.022746909847506894
1976|CT,national_margin_delta,0.257316410845,0
1976|CT,national_margin_str,D+2.2,D+2.3
1976|CT,national_margin_delta_str,D+25.7,0
1976|CT,relative_margin,-0.073436068045,-0.07494724397177654
1976|CT,relative_margin_delta,-0.124390724648,0
1976|CT,relative_margin_str,R+7.3,R+7.5
1976|CT,relative_margin_delta_str,R+12.4,0
1976|DC,pres_margin,0.651217200734,0.6635544477370527
1976|DC,pres_margin_delta,0.085800271454,0
1976|DC,pres_margin_str,D+65.1,D+66.4
1976|DC,pres_margin_delta_str,D+8.6,0
1976|DC,national_margin,0.021958632612,0.022746909847506894
1976|DC,national_margin_delta,0.257316410845,0
1976|DC,national_margin_str,D+2.2,D+2.3
1976|DC,national_margin_delta_str,D+25.7,0
1976|DC,relative_margin,0.629258568123,0.6408075378895458
1976|DC,relative_margin_delta,-0.171516139391,0
1976|DC,relative_margin_str,D+62.9,D+64.1
1976|DC,relative_margin_delta_str,R+17.2,0
1976|DE,D_votes,122596,122461
1976|DE,R_votes,109831,109780
1976|DE,pres_margin,0.054201750252,0.05460276178624791
1976|DE,pres_margin_delta,0.258323763193,0
1976|DE,pres_margin_str,D+5.4,D+5.5
1976|DE,pres_margin_delta_str,D+25.8,0
1976|DE,national_margin,0.021958632612,0.022746909847506894
1976|DE,national_margin_delta,0.257316410845,0
1976|DE,national_margin_str,D+2.2,D+2.3
1976|DE,national_margin_delta_str,D+25.7,0
1976|DE,relative_margin,0.032243117640,0.03185585193874101
1976|DE,relative_margin_delta,0.001007352349,0
1976|DE,relative_margin_delta_str,D+0.1,0
1976|FL,D_votes,1598398,1636000
1976|FL,R_votes,1422405,1469531
1976|FL,pres_margin,0.058260336738,0.05360403744158406
1976|FL,pres_margin_delta,0.501134106329,0
1976|FL,pres_margin_str,D+5.8,D+5.4
1976|FL,pres_margin_delta_str,D+50.1,0
1976|FL,national_margin,0.021958632612,0.022746909847506894
1976|FL,national_margin_delta,0.257316410845,0
1976|FL,national_margin_str,D+2.2,D+2.3
1976|FL,national_margin_delta_str,D+25.7,0
1976|FL,relative_margin,0.036301704126,0.030857127594077167
1976|FL,relative_margin_delta,0.243817695485,0
1976|FL,relative_margin_str,D+3.6,D+3.1
1976|FL,relative_margin_delta_str,D+24.4,0
1976|GA,pres_margin_delta,0.844277735106,0
1976|GA,pres_margin_delta_str,D+84.4,0
1976|GA,national_margin,0.021958632612,0.022746909847506894
1976|GA,national_margin_delta,0.257316410845,0
1976|GA,national_margin_str,D+2.2,D+2.3
1976|GA,national_margin_delta_str,D+25.7,0
1976|GA,relative_margin,0.316807264575,0.3160189873388415
1976|GA,relative_margin_delta,0.586961324261,0
1976|GA,relative_margin_str,D+31.7,D+31.6
1976|GA,relative_margin_delta_str,D+58.7,0
1976|HI,D_votes,147355,147375
1976|HI,pres_margin,0.025584810585,0.025652624765987654
1976|HI,pres_margin_delta,0.275168566329,0
1976|HI,pres_margin_delta_str,D+27.5,0
1976|HI,national_margin,0.021958632612,0.022746909847506894
1976|HI,national_margin_delta,0.257316410845,0
1976|HI,national_margin_str,D+2.2,D+2.3
1976|HI,national_margin_delta_str,D+25.7,0
1976|HI,relative_margin,0.003626177973,0.0029057149184807604
1976|HI,relative_margin_delta,0.017852155484,0
1976|HI,relative_margin_str,D+0.4,D+0.3
1976|HI,relative_margin_delta_str,D+1.8,0
1976|IA,R_votes,632858,632864
1976|IA,pres_margin,-0.010318577191,-0.010323317063047026
1976|IA,pres_margin_delta,0.164331064821,0
1976|IA,pres_margin_delta_str,D+16.4,0
1976|IA,national_margin,0.021958632612,0.022746909847506894
1976|IA,national_margin_delta,0.257316410845,0
1976|IA,national_margin_str,D+2.2,D+2.3
1976|IA,national_margin_delta_str,D+25.7,0
1976|IA,relative_margin,-0.032277209802,-0.03307022691055392
1976|IA,relative_margin_delta,-0.092985346024,0
1976|IA,relative_margin_str,R+3.2,R+3.3
1976|IA,relative_margin_delta_str,R+9.3,0
1976|ID,pres_margin_delta,0.188444287977,0
1976|ID,pres_margin_delta_str,D+18.8,0
1976|ID,national_margin,0.021958632612,0.022746909847506894
1976|ID,national_margin_delta,0.257316410845,0
1976|ID,national_margin_str,D+2.2,D+2.3
1976|ID,national_margin_delta_str,D+25.7,0
1976|ID,relative_margin,-0.256618445131,-0.2574067223664062
1976|ID,relative_margin_delta,-0.068872122868,0
1976|ID,relative_margin_delta_str,R+6.9,0
1976|IL,D_votes,2253772,2271295
1976|IL,R_votes,2345920,2364269
1976|IL,pres_margin,-0.020033515288,-0.020056674872787863
1976|IL,pres_margin_delta,0.159294124247,0
1976|IL,pres_margin_delta_str,D+15.9,0
1976|IL,national_margin,0.021958632612,0.022746909847506894
1976|IL,national_margin_delta,0.257316410845,0
1976|IL,national_margin_str,D+2.2,D+2.3
1976|IL,national_margin_delta_str,D+25.7,0
1976|IL,relative_margin,-0.041992147899,-0.04280358472029476
1976|IL,relative_margin_delta,-0.098022286597,0
1976|IL,relative_margin_str,R+4.2,R+4.3
1976|IL,relative_margin_delta_str,R+9.8,0
1976|IN,D_votes,1008576,1014714
1976|IN,R_votes,1169019,1183958
1976|IN,pres_margin,-0.073678989895,-0.07697555615389653
1976|IN,pres_margin_delta,0.256099498075,0
1976|IN,pres_margin_str,R+7.4,R+7.7
1976|IN,pres_margin_delta_str,D+25.6,0
1976|IN,national_margin,0.021958632612,0.022746909847506894
1976|IN,national_margin_delta,0.257316410845,0
1976|IN,national_margin_str,D+2.2,D+2.3
1976|IN,national_margin_delta_str,D+25.7,0
1976|IN,relative_margin,-0.095637622507,-0.09972246600140343
1976|IN,relative_margin_delta,-0.001216912770,0
1976|IN,relative_margin_str,R+9.6,R+10.0
1976|IN,relative_margin_delta_str,R+0.1,0
1976|KS,D_votes,427755,430421
1976|KS,R_votes,499482,502752
1976|KS,pres_margin,-0.077355627526,-0.07751081525076273
1976|KS,pres_margin_delta,0.314179196431,0
1976|KS,pres_margin_str,R+7.7,R+7.8
1976|KS,pres_margin_delta_str,D+31.4,0
1976|KS,national_margin,0.021958632612,0.022746909847506894
1976|KS,national_margin_delta,0.257316410845,0
1976|KS,national_margin_str,D+2.2,D+2.3
1976|KS,national_margin_delta_str,D+25.7,0
1976|KS,relative_margin,-0.099314260137,-0.10025772509826962
1976|KS,relative_margin_delta,0.056862785586,0
1976|KS,relative_margin_str,R+9.9,R+10.0
1976|KS,relative_margin_delta_str,D+5.7,0
1976|KY,D_votes,615323,615717
1976|KY,R_votes,530550,531852
1976|KY,pres_margin,0.073981147998,0.07308057293286939
1976|KY,pres_margin_delta,0.365729152561,0
1976|KY,pres_margin_str,D+7.4,D+7.3
1976|KY,pres_margin_delta_str,D+36.6,0
1976|KY,national_margin,0.021958632612,0.022746909847506894
1976|KY,national_margin_delta,0.257316410845,0
1976|KY,national_margin_str,D+2.2,D+2.3
1976|KY,national_margin_delta_str,D+25.7,0
1976|KY,relative_margin,0.052022515386,0.050333663085362496
1976|KY,relative_margin_delta,0.108412741717,0
1976|KY,relative_margin_str,D+5.2,D+5.0
1976|KY,relative_margin_delta_str,D+10.8,0
1976|LA,D_votes,661328,661365
1976|LA,R_votes,587020,587446
1976|LA,pres_margin,0.059525068330,0.05919150295761328
1976|LA,pres_margin_delta,0.454412475602,0
1976|LA,pres_margin_str,D+6.0,D+5.9
1976|LA,pres_margin_delta_str,D+45.4,0
1976|LA,national_margin,0.021958632612,0.022746909847506894
1976|LA,national_margin_delta,0.257316410845,0
1976|LA,national_margin_str,D+2.2,D+2.3
1976|LA,national_margin_delta_str,D+25.7,0
1976|LA,relative_margin,0.037566435719,0.03644459311010639
1976|LA,relative_margin_delta,0.197096064758,0
1976|LA,relative_margin_str,D+3.8,D+3.6
1976|LA,relative_margin_delta_str,D+19.7,0
1976|MA,D_votes,1429525,1429475
1976|MA,pres_margin,0.156717454894,0.16229244342211874
1976|MA,pres_margin_delta,0.066508100074,0
1976|MA,pres_margin_str,D+15.7,D+16.2
1976|MA,pres_margin_delta_str,D+6.7,0
1976|MA,national_margin,0.021958632612,0.022746909847506894
1976|MA,national_margin_delta,0.257316410845,0
1976|MA,national_margin_str,D+2.2,D+2.3
1976|MA,national_margin_delta_str,D+25.7,0
1976|MA,relative_margin,0.134758822283,0.13954553357461186
1976|MA,relative_margin_delta,-0.190808310770,0
1976|MA,relative_margin_str,D+13.5,D+14.0
1976|MA,relative_margin_delta_str,R+19.1,0
1976|MD,D_votes,759608,759612
1976|MD,pres_margin,0.060705775242,0.06070839846872768
1976|MD,pres_margin_delta,0.303030239733,0
1976|MD,pres_margin_delta_str,D+30.3,0
1976|MD,national_margin,0.021958632612,0.022746909847506894
1976|MD,national_margin_delta,0.257316410845,0
1976|MD,national_margin_str,D+2.2,D+2.3
1976|MD,national_margin_delta_str,D+25.7,0
1976|MD,relative_margin,0.038747142630,0.037961488621220785
1976|MD,relative_margin_delta,0.045713828889,0
1976|MD,relative_margin_str,D+3.9,D+3.8
1976|MD,relative_margin_delta_str,D+4.6,0
1976|ME-01,pres_margin,-0.013580893854,-0.01365
1976|ME-01,pres_margin_delta,0.214792557506,0
1976|ME-01,pres_margin_delta_str,D+21.5,0
1976|ME-01,national_margin,0.021958632612,0.022746909847506894
1976|ME-01,national_margin_delta,0.257316410845,0
1976|ME-01,national_margin_str,D+2.2,D+2.3
1976|ME-01,national_margin_delta_str,D+25.7,0
1976|ME-01,relative_margin,-0.035539526466,-0.036397220879879
1976|ME-01,relative_margin_delta,-0.042523853339,0
1976|ME-01,relative_margin_delta_str,R+4.3,0
1976|ME-02,pres_margin,-0.002815673309,-0.002844
1976|ME-02,pres_margin_delta,0.228702834859,0
1976|ME-02,pres_margin_delta_str,D+22.9,0
1976|ME-02,national_margin,0.021958632612,0.022746909847506894
1976|ME-02,national_margin_delta,0.257316410845,0
1976|ME-02,national_margin_str,D+2.2,D+2.3
1976|ME-02,national_margin_delta_str,D+25.7,0
1976|ME-02,relative_margin,-0.024774305921,-0.02559118139286385
1976|ME-02,relative_margin_delta,-0.028613575986,0
1976|ME-02,relative_margin_str,R+2.5,R+2.6
1976|ME-02,relative_margin_delta_str,R+2.9,0
1976|ME-AL,electoral_votes,4,2
1976|ME-AL,pres_margin,-0.008559735985,-0.008624
1976|ME-AL,pres_margin_delta,0.221296897159,0
1976|ME-AL,pres_margin_delta_str,D+22.1,0
1976|ME-AL,national_margin,0.021958632612,0.022746909847506894
1976|ME-AL,national_margin_delta,0.257316410845,0
1976|ME-AL,national_margin_str,D+2.2,D+2.3
1976|ME-AL,national_margin_delta_str,D+25.7,0
1976|ME-AL,relative_margin,-0.030518368597,-0.03137048778941458
1976|ME-AL,relative_margin_delta,-0.036019513686,0
1976|ME-AL,relative_margin_delta_str,R+3.6,0
1976|MI,D_votes,1662669,1696714
1976|MI,R_votes,1866485,1893742
1976|MI,pres_margin,-0.057752084494,-0.05487548099739977
1976|MI,pres_margin_delta,0.088006279357,0
1976|MI,pres_margin_str,R+5.8,R+5.5
1976|MI,pres_margin_delta_str,D+8.8,0
1976|MI,national_margin,0.021958632612,0.022746909847506894
1976|MI,national_margin_delta,0.257316410845,0
