year,metric,mode,abbr,ev,from_party,to_party,votes_to_flip,pct_of_state_votes
1864,votes,classic,IN,13,R,D,10095,3.597
1864,votes,classic,RI,4,R,D,2747,12.246
1864,votes,classic,MI,8,R,D,5319,3.602
1864,votes,classic,MD,7,R,D,3708,5.087
1864,votes,classic,PA,26,R,D,10038,1.753
1864,votes,classic,NH,5,R,D,1782,2.559
1864,votes,classic,OR,3,R,D,716,3.903
1864,votes,classic,CT,6,R,D,1203,1.383
1864,votes,classic,NY,33,R,D,3375,0.462
1864,votes,no_majority,IN,13,R,D,10095,3.597
1864,votes,no_majority,RI,4,R,D,2747,12.246
1864,votes,no_majority,MI,8,R,D,5319,3.602
1864,votes,no_majority,MD,7,R,D,3708,5.087
1864,votes,no_majority,PA,26,R,D,10038,1.753
1864,votes,no_majority,NH,5,R,D,1782,2.559
1864,votes,no_majority,OR,3,R,D,716,3.903
1864,votes,no_majority,CT,6,R,D,1203,1.383
1864,votes,no_majority,NY,33,R,D,3375,0.462
1864,margin,classic,OH,21,R,D,30028,6.372
1864,margin,classic,IN,13,R,D,10095,3.597
1864,margin,classic,IL,16,R,D,15395,4.421
1864,margin,classic,PA,26,R,D,10038,1.753
1864,margin,classic,NY,33,R,D,3375,0.462
1864,margin,no_majority,OH,21,R,D,30028,6.372
1864,margin,no_majority,IN,13,R,D,10095,3.597
1864,margin,no_majority,IL,16,R,D,15395,4.421
1864,margin,no_majority,PA,26,R,D,10038,1.753
1864,margin,no_majority,NY,33,R,D,3375,0.462
1868,votes,classic,NE-AL,3,R,D,2127,13.91
1868,votes,classic,PA,26,R,D,14450,2.204
1868,votes,classic,IN,13,R,D,4787,1.393
1868,votes,classic,AR,5,R,D,1518,3.685
1868,votes,classic,CT,6,R,D,1473,1.493
1868,votes,classic,AL,8,R,D,1874,1.253
1868,votes,classic,NV,3,R,D,632,5.403
1868,votes,classic,CA,5,R,D,258,0.237
1868,votes,no_majority,NE-AL,3,R,D,2127,13.91
