year,metric,winner_party,winner_ev,runner_party,runner_ev,need,classic_min_votes,classic_ev,classic_states,classic_ev_d_after,classic_ev_r_after,classic_ev_t_after,no_majority_min_votes,no_majority_ev,no_majority_states,no_majority_ev_d_after,no_majority_ev_r_after,no_majority_ev_t_after,tie_min_votes,tie_ev,tie_states,tie_ev_d_after,tie_ev_r_after,tie_ev_t_after,total_ev
1864,votes,R,230,D,21,126,38983,105,9,126,125,0,38983,105,9,126,125,0,-1,0,0,,,,251
1864,margin,R,230,D,21,126,16605,109,5,130,121,0,16605,109,5,130,121,0,-1,0,0,,,,251
1868,votes,R,214,D,80,148,27119,69,8,146,148,0,27119,69,8,146,148,0,27583,67,7,147,147,0,294
1868,margin,R,214,D,80,148,8854,68,4,148,146,0,8854,68,4,148,146,0,9991,67,6,147,147,0,294
1872,votes,R,300,D,66,184,68859,118,14,184,182,0,68712,117,13,183,183,0,68712,117,13,183,183,0,366
1872,margin,R,300,D,66,184,22470,120,7,186,180,0,22418,117,7,183,183,0,22418,117,7,183,183,0,366
1876,votes,R,185,D,184,185,445,7,1,191,178,0,445,7,1,191,178,0,-1,0,0,,,,369
1876,margin,R,185,D,184,185,244,7,1,191,178,0,244,7,1,191,178,0,-1,0,0,,,,369
1880,votes,R,213,D,156,185,7014,29,4,185,184,0,7014,29,4,185,184,0,-1,0,0,,,,369
1880,margin,R,213,D,156,185,953,35,1,191,178,0,953,35,1,191,178,0,-1,0,0,,,,369
1884,votes,D,219,R,182,201,575,36,1,183,218,0,575,36,1,183,218,0,-1,0,0,,,,401
1884,margin,D,219,R,182,201,49,36,1,183,218,0,49,36,1,183,218,0,-1,0,0,,,,401
1888,votes,R,233,D,168,201,7187,36,1,204,197,0,7187,36,1,204,197,0,-1,0,0,,,,401
1888,margin,R,233,D,168,201,545,36,1,204,197,0,545,36,1,204,197,0,-1,0,0,,,,401
1892,votes,D,271,R,150,223,22283,74,9,210,224,10,11773,51,6,220,201,23,22679,72,7,202,222,20,444
1892,margin,D,271,R,150,223,3464,75,5,199,225,20,2347,51,2,220,201,23,3212,72,4,199,222,23,444
1896,votes,R,273,D,174,224,18602,50,6,224,223,0,18602,50,6,224,223,0,-1,0,0,,,,447
1896,margin,R,273,D,174,224,3849,51,3,225,222,0,3849,51,3,225,222,0,-1,0,0,,,,447
1900,votes,R,292,D,155,224,73232,70,7,217,230,0,73232,70,7,217,230,0,-1,0,0,,,,447
1900,margin,R,292,D,155,224,9950,74,3,229,218,0,9950,74,3,229,218,0,-1,0,0,,,,447
1904,votes,R,343,D,133,239,195887,106,12,233,243,0,188653,105,12,232,244,0,188653,105,12,232,244,0,476
