year,incumbent_party,challenger_party,incumbent_nominee,challenger_nominee,d_candidate,r_candidate,Mandate,Contest,Incumbent,No 3rd party,ST economy,LT economy,Policy change,No unrest,No scandal,No Military failure,Military Success,Incumbent rizz,No challenger rizz,false_keys,npv_raw,npv_raw_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_incumbent_relative,npv_incumbent_relative_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,pv_winner,ec_winner,incumbent_won_pv,incumbent_won_ec,d_votes,r_votes,total_votes
1864,R,D,Abraham Lincoln (R),George McClellan (D),George B. McClellan,Abraham Lincoln,True,True,True,True,True,False,True,False,True,True,True,False,True,3.0,-0.100813747044,10.08% R+,,,,,,,,,0.100813747044,10.08% Incumbent+,,,,,,,,,R,R,True,True,1806227,2211317,4018202
1868,R,D,Ulysses S. Grant (R),Horatio Seymour (D),Horatio Seymour,Ulysses S. Grant,True,True,False,True,True,True,True,False,True,True,True,True,True,2.0,-0.053265739789,5.33% R+,0.047548007255,4.75% D+,0.047548007255,4.75% D+,0.047548007255,4.75% D+,0.047548007255,4.75% D+,0.053265739789,5.33% Incumbent+,-0.047548007255,4.75% Challenger+,-0.047548007255,4.75% Challenger+,-0.047548007255,4.75% Challenger+,-0.047548007255,4.75% Challenger+,R,R,True,True,2708980,3013790,5722440
1872,R,D,Ulysses S. Grant (R),Horace Greeley (Democrat/Liberal),Horace Greeley,Ulysses S. Grant,False,True,True,True,True,True,False,False,True,True,True,True,True,3.0,-0.118005408852,11.80% R+,-0.06473966906300001,6.47% R+,-0.06473966906300001,6.47% R+,-0.06473966906300001,6.47% R+,-0.06473966906300001,6.47% R+,0.118005408852,11.80% Incumbent+,0.064739669063,6.47% Incumbent+,0.064739669063,6.47% Incumbent+,0.064739669063,6.47% Incumbent+,0.064739669063,6.47% Incumbent+,R,R,True,True,2833710,3597439,6471983
1876,R,D,Rutherford B. Hayes (R),Samuel J. Tilden (D),Samuel J. Tilden,Rutherford B. Hayes,False,False,False,True,False,False,False,True,False,True,False,False,True,9.0,0.030012618399,3.00% D+,0.148018027251,14.80% D+,0.148018027251,14.80% D+,0.148018027251,14.80% D+,0.148018027251,14.80% D+,-0.030012618399,3.00% Challenger+,-0.148018027251,14.80% Challenger+,-0.148018027251,14.80% Challenger+,-0.148018027251,14.80% Challenger+,-0.148018027251,14.80% Challenger+,D,R,False,True,4286808,4034142,8418659
1880,R,D,James A. Garfield (R),Winfield Scott Hancock (D),Winfield Scott Hancock,James A. Garfield,True,False,False,True,True,True,True,True,True,True,False,False,True,4.0,-0.001025763175,0.10% R+,-0.031038381574,3.10% R+,-0.031038381574,3.10% R+,-0.031038381574,3.10% R+,-0.031038381574,3.10% R+,0.001025763175,0.10% Incumbent+,0.031038381574,3.10% Incumbent+,0.031038381574,3.10% Incumbent+,0.031038381574,3.10% Incumbent+,0.031038381574,3.10% Incumbent+,R,R,True,True,4444976,4454433,9219477
1884,R,D,James G. Blaine (R),Grover Cleveland (D),Grover Cleveland,James G. Blaine,False,False,False,True,False,False,False,True,True,True,False,True,True,7.0,0.005723476153,0.57% D+,0.006749239327999999,0.67% D+,0.006749239327999999,0.67% D+,0.006749239327999999,0.67% D+,0.006749239327999999,0.67% D+,-0.005723476153,0.57% Challenger+,-0.006749239328,0.67% Challenger+,-0.006749239328,0.67% Challenger+,-0.006749239328,0.67% Challenger+,-0.006749239328,0.67% Challenger+,D,D,False,False,4914482,4856903,10060145
1888,D,R,Grover Cleveland (D),Benjamin Harrison (R),Grover Cleveland,Benjamin Harrison,False,True,True,True,True,True,False,False,True,True,False,False,True,5.0,0.008300226379,0.83% D+,0.002576750226000001,0.26% D+,0.002576750226000001,0.26% D+,0.002576750226000001,0.26% D+,0.002576750226000001,0.26% D+,0.008300226379,0.83% Incumbent+,0.002576750227,0.26% Incumbent+,0.002576750227,0.26% Incumbent+,0.002576750227,0.26% Incumbent+,0.002576750227,0.26% Incumbent+,D,R,True,False,5538163,5443633,11388846
1892,R,D,Benjamin Harrison (R),Grover Cleveland (D),Grover Cleveland,Benjamin Harrison,False,False,True,False,True,True,True,False,True,True,False,False,True,6.0,0.030087685419,3.01% D+,0.02178745904,2.18% D+,0.02178745904,2.18% D+,0.02178745904,2.18% D+,0.02178745904,2.18% D+,-0.030087685419,3.01% Challenger+,-0.0,EVEN,-0.0,EVEN,-0.0,EVEN,-0.0,EVEN,D,D,False,False,5553898,5190799,12068027
1896,D,R,William Jennings Bryan (D),William McKinley (R),William Jennings Bryan,William McKinley,False,False,False,True,False,False,False,False,True,True,False,True,True,8.0,-0.043141191192,4.31% R+,-0.073228876611,7.32% R+,-0.073228876611,7.32% R+,-0.073228876611,7.32% R+,-0.073228876611,7.32% R+,-0.043141191192,4.31% Challenger+,-0.073228876611,7.32% Challenger+,-0.073228876611,7.32% Challenger+,-0.073228876611,7.32% Challenger+,-0.073228876611,7.32% Challenger+,R,R,False,False,6510807,7112138,13938674
1900,R,D,William McKinley (R),William Jennings Bryan (D),William Jennings Bryan,William McKinley,False,True,True,True,True,True,True,True,True,True,True,False,False,3.0,-0.061292113002,6.13% R+,-0.018150921809999998,1.82% R+,-0.018150921809999998,1.82% R+,-0.018150921809999998,1.82% R+,-0.018150921809999998,1.82% R+,0.061292113002,6.13% Incumbent+,0.018150921809,1.82% Incumbent+,0.018150921809,1.82% Incumbent+,0.018150921809,1.82% Incumbent+,0.018150921809,1.82% Incumbent+,R,R,True,True,6370932,7228864,13997429
