year,abbr,D_votes,R_votes,electoral_votes,T_votes,D_share,R_share,D_candidate,R_candidate,top_third_party_share,top_third_party,third_party_votes,total_votes,third_party_results,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,national_margin,national_margin_delta,median_margin_delta,relative_margin,relative_margin_delta,third_party_share,third_party_national_share,ev_orthogonalized_margin,ev_orthogonalized_margin_delta,third_party_relative_share,two_party_margin,two_party_margin_delta,two_party_national_margin,two_party_national_margin_delta,two_party_relative_margin,two_party_relative_margin_delta,color,pres_margin_str,pres_margin_delta_str,median_delta_dist,median_delta_dist_str,national_margin_str,national_margin_delta_str,relative_margin_str,relative_margin_delta_str,ev_orthogonalized_margin_str,ev_orthogonalized_margin_delta_str,top_third_party_share_str,third_party_share_str,third_party_national_share_str,third_party_relative_share_str,two_party_margin_str,two_party_margin_delta_str,two_party_national_margin_str,two_party_national_margin_delta_str,two_party_relative_margin_str,two_party_relative_margin_delta_str,special_case_notes,source_url
1864,CA,43838,62140,5,0,0.4136206668805314,0.5863038514520785,George B. McClellan,Abraham Lincoln,0.0,None,8,105986,"{""Other"": 8}",0,0,0,-0.172683184572,0,-0.100813747044,0,0.0,-0.071869437527,0,7.548166739003265e-05,0.00016375483362956865,-0.009183733199175287,0.0,-8.8273166239536e-05,-0.1726962199701825,0.0,-0.10083025848627918,0.0,-0.07186596148390333,0.0,red,R+17.3,0,0.0,EVEN,R+10.1,0,R+7.2,0,R+0.9,EVEN,0.00%,0.01%,0.02%,-0.01%,R+17.3,0.0,R+10.1,0.0,R+7.2,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,CT,42288,44693,6,0,0.4861751416976121,0.5138248583023879,George B. McClellan,Abraham Lincoln,0.0,None,0,86981,{},0,0,0,-0.027649716605,0,-0.100813747044,0,0.0,0.073164030439,0,0.0,0.00016375483362956865,0.1358497347678247,0.0,-0.00016375483362956865,-0.027649716604775755,0.0,-0.10083025848627918,0.0,0.07318054188150341,0.0,red,R+2.8,0,0.0,EVEN,R+10.1,0,D+7.3,0,D+13.6,EVEN,0.00%,0.00%,0.02%,-0.02%,R+2.8,0.0,R+10.1,0.0,D+7.3,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,DE,8767,8155,3,0,0.5180829689162038,0.48191703108379624,George B. McClellan,Abraham Lincoln,0.0,None,0,16922,{},0,0,0,0.036165937832,0,-0.100813747044,0,0.0,0.136979684876,0,0.0,0.00016375483362956865,0.1996653892048247,0.0,-0.00016375483362956865,0.03616593783240752,0.0,-0.10083025848627918,0.0,0.1369961963186867,0.0,deepskyblue,D+3.6,0,0.0,EVEN,R+10.1,0,D+13.7,0,D+20.0,EVEN,0.00%,0.00%,0.02%,-0.02%,D+3.6,0.0,R+10.1,0.0,D+13.7,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,IA,49525,88500,8,0,0.3588118094548089,0.641188190545191,George B. McClellan,Abraham Lincoln,0.0,None,0,138025,{},0,0,0,-0.282376381090,0,-0.100813747044,0,0.0,-0.181562634046,0,0.0,0.00016375483362956865,-0.11887692971717531,0.0,-0.00016375483362956865,-0.28237638109038216,0.0,-0.10083025848627918,0.0,-0.18154612260410297,0.0,red,R+28.2,0,0.0,EVEN,R+10.1,0,R+18.2,0,R+11.9,EVEN,0.00%,0.00%,0.02%,-0.02%,R+28.2,0.0,R+10.1,0.0,R+18.2,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,IL,158724,189512,16,0,0.4557943463628114,0.5442056536371885,George B. McClellan,Abraham Lincoln,0.0,None,0,348236,{},0,0,0,-0.088411307274,0,-0.100813747044,0,0.0,0.012402439770,0,0.0,0.00016375483362956865,0.07508814409882471,0.0,-0.00016375483362956865,-0.08841130727437714,0.0,-0.10083025848627918,0.0,0.012418951211902035,0.0,red,R+8.8,0,0.0,EVEN,R+10.1,0,D+1.2,0,D+7.5,EVEN,0.00%,0.00%,0.02%,-0.02%,R+8.8,0.0,R+10.1,0.0,D+1.2,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,IN,130233,150422,13,0,0.46403235288877803,0.5359676471112219,George B. McClellan,Abraham Lincoln,0.0,None,0,280655,{},0,0,0,-0.071935294222,0,-0.100813747044,0,0.0,0.028878452822,0,0.0,0.00016375483362956865,0.09156415715082471,0.0,-0.00016375483362956865,-0.07193529422244392,0.0,-0.10083025848627918,0.0,0.028894964263835254,0.0,red,R+7.2,0,0.0,EVEN,R+10.1,0,D+2.9,0,D+9.2,EVEN,0.00%,0.00%,0.02%,-0.02%,R+7.2,0.0,R+10.1,0.0,D+2.9,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,KS,3836,17089,3,0,0.17775718257645967,0.7918906394810009,George B. McClellan,Abraham Lincoln,0.0,None,655,21580,"{""Other"": 655}",0,0,0,-0.614133456905,0,-0.100813747044,0,0.0,-0.513319709860,0,0.030352177942539388,0.00016375483362956865,-0.45063400553217525,0.0,0.030188423108909818,-0.6333572281959379,0.0,-0.10083025848627918,0.0,-0.5325269697096587,0.0,red,R+61.4,0,0.0,EVEN,R+10.1,0,R+51.3,0,R+45.1,EVEN,0.00%,3.04%,0.02%,3.02%,R+63.3,0.0,R+10.1,0.0,R+53.3,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,KY,64301,27787,11,0,0.6982560159847103,0.30174398401528973,George B. McClellan,Abraham Lincoln,0.0,None,0,92088,{},0,0,0,0.396512031969,0,-0.100813747044,0,0.0,0.497325779013,0,0.0,0.00016375483362956865,0.5600114833418247,0.0,-0.00016375483362956865,0.39651203196942053,0.0,-0.10083025848627918,0.0,0.4973422904556997,0.0,deepskyblue,D+39.7,0,0.0,EVEN,R+10.1,0,D+49.7,0,D+56.0,EVEN,0.00%,0.00%,0.02%,-0.02%,D+39.7,0.0,R+10.1,0.0,D+49.7,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,LA,0,1,7,0,0.0,1.0,George B. McClellan,Abraham Lincoln,0.0,None,0,1,{},0,0,0,-1.000000000000,0,-0.100813747044,0,0.0,-0.899186252956,0,0.0,0.00016375483362956865,-0.8365005486271753,0.0,-0.00016375483362956865,-1.0,0.0,-0.10083025848627918,0.0,-0.8991697415137209,0.0,red,R+100.0,0,0.0,EVEN,R+10.1,0,R+89.9,0,R+83.7,EVEN,0.00%,0.00%,0.02%,-0.02%,R+100.0,0.0,R+10.1,0.0,R+89.9,0.0,"In 1864, Louisiana's 7 electoral votes were awarded to Lincoln (R) as there was no popular election for president in the state; the state legislature appointed electors who voted for Lincoln.",https://en.wikipedia.org/wiki/1864_United_States_presidential_election
1864,MA,48745,126742,12,0,0.27776511482135735,0.7222177901874751,George B. McClellan,Abraham Lincoln,0.0,None,3,175490,"{""Other"": 3}",0,0,0,-0.444452675366,0,-0.100813747044,0,0.0,-0.343638928322,0,1.7094991167587898e-05,0.00016375483362956865,-0.28095322399317535,0.0,-0.00014665984246198076,-0.44446027341056604,0.0,-0.10083025848627918,0.0,-0.34363001492428685,0.0,red,R+44.4,0,0.0,EVEN,R+10.1,0,R+34.4,0,R+28.1,EVEN,0.00%,0.00%,0.02%,-0.01%,R+44.4,0.0,R+10.1,0.0,R+34.4,0.0,,https://en.wikipedia.org/wiki/1864_United_States_presidential_election
