year,state,abbr,class,race_type,round,caption,D_votes,R_votes,T_votes,D_share,R_share,D_candidate,R_candidate,winner,winner_party,runner_up,top_third_party_share,top_third_party,third_party_votes,total_votes,third_party_results,D_delta,R_delta,total_delta,sen_margin,sen_margin_delta,national_margin,national_margin_delta,relative_margin,relative_margin_delta,third_party_share,third_party_national_share,third_party_relative_share,two_party_margin,two_party_margin_delta,two_party_national_margin,two_party_national_margin_delta,two_party_relative_margin,two_party_relative_margin_delta,color,sen_margin_str,sen_margin_delta_str,national_margin_str,national_margin_delta_str,relative_margin_str,relative_margin_delta_str,top_third_party_share_str,third_party_share_str,third_party_national_share_str,third_party_relative_share_str,two_party_margin_str,two_party_margin_delta_str,two_party_national_margin_str,two_party_national_margin_delta_str,two_party_relative_margin_str,two_party_relative_margin_delta_str,top_third_party_votes,special_case_notes,source_url,results_json
2004,United States,NATIONAL,,national,Aggregate,National aggregate,43952819,39920860,27607651,0.3942617028340082,0.3580945796035982,Democratic total,Republican total,Democratic Party,D,Republican Party,0.0,Various,27607651,111481330,{},0,0,0,0.036167123230,0,0.036167123230,0,0.000000000000,0,0.24764371756239364,0.24764371756239364,0.0,0.0480718033126936,0.0,0.0480718033126936,0.0,0.0,0.0,transparent,D+3.6,0,D+3.6,0,EVEN,0,0.00%,24.76%,24.76%,0.00%,D+4.8,0,D+4.8,0,EVEN,0,0,,,{}
2004,Alaska,AK,III,regular,General,2004 United States Senate election in Alaska,140424,149773,27467,0.44205197944998487,0.4714824468620933,Tony Knowles,Lisa Murkowski,Lisa Murkowski,R,Tony Knowles,0.02943046741210839,Majority,27467,317664,"{""Majority"": {""party"": ""Majority"", ""votes"": 9349, ""pct"": 3.03}, ""Marc J. Millican"": {""party"": ""Independent"", ""votes"": 8885, ""pct"": 2.88}, ""Jerry Sanders"": {""party"": ""Independence"", ""votes"": 3785, ""pct"": 1.23}, ""Jim Sykes"": {""party"": ""Green"", ""votes"": 3053, ""pct"": 0.99}, ""Scott A. Kohlhaas"": {""party"": ""Libertarian"", ""votes"": 1240, ""pct"": 0.4}, ""Ted Gianoutsas"": {""party"": ""Independent"", ""votes"": 732, ""pct"": 0.24}, ""423"": {""party"": ""Write-ins"", ""votes"": 423, ""pct"": 0.14}}",0,0,0,-0.029430467412,0,0.036167123230,0,-0.065597590643,0,0.08646557368792183,0.24764371756239364,-0.16117814387447182,-0.03221604634093392,0.0,0.0480718033126936,0.0,-0.08028784965362752,0.0,red,R+2.9,0,D+3.6,0,R+6.6,0,2.94%,8.65%,24.76%,-16.12%,R+3.2,0,D+4.8,0,R+8.0,0,9349,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Alaska,"{""Lisa Murkowski"": {""party"": ""Republican"", ""votes"": 149773, ""pct"": 48.58}, ""Tony Knowles"": {""party"": ""Democratic"", ""votes"": 140424, ""pct"": 45.55}, ""Majority"": {""party"": ""Majority"", ""votes"": 9349, ""pct"": 3.03}, ""Marc J. Millican"": {""party"": ""Independent"", ""votes"": 8885, ""pct"": 2.88}, ""Jerry Sanders"": {""party"": ""Independence"", ""votes"": 3785, ""pct"": 1.23}, ""Jim Sykes"": {""party"": ""Green"", ""votes"": 3053, ""pct"": 0.99}, ""Scott A. Kohlhaas"": {""party"": ""Libertarian"", ""votes"": 1240, ""pct"": 0.4}, ""Ted Gianoutsas"": {""party"": ""Independent"", ""votes"": 732, ""pct"": 0.24}, ""423"": {""party"": ""Write-ins"", ""votes"": 423, ""pct"": 0.14}}"
2004,Alabama,AL,III,regular,General,2004 United States Senate election in Alabama,595018,1242200,1848,0.3235435813614084,0.6754515607378963,Wayne Sowell,Richard Shelby,Richard Shelby,R,Wayne Sowell,0.0010048579006952441,Write-in,1848,1839066,"{""Write-in"": {""party"": ""Write-in"", ""votes"": 1848, ""pct"": 0.1}}",0,0,0,-0.351907979376,0,0.036167123230,0,-0.388075102607,0,0.0010048579006952441,0.24764371756239364,-0.2466388596616984,-0.35226195258265486,0.0,0.0480718033126936,0.0,-0.4003337558953485,0.0,red,R+35.2,0,D+3.6,0,R+38.8,0,0.10%,0.10%,24.76%,-24.66%,R+35.2,0,D+4.8,0,R+40.0,0,1848,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Alabama,"{""Richard Shelby"": {""party"": ""Republican"", ""votes"": 1242200, ""pct"": 67.55}, ""Wayne Sowell"": {""party"": ""Democratic"", ""votes"": 595018, ""pct"": 32.35}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1848, ""pct"": 0.1}}"
2004,Arkansas,AR,III,regular,General,Arkansas Senate election 2004,580973,458036,340,0.5589777832085276,0.4406950889450993,Blanche Lincoln,Jim Holt,Blanche Lincoln,D,Jim Holt,0.0003271278463730662,Write-in,340,1039349,"{""Write-in"": {""party"": ""Write-in"", ""votes"": 340, ""pct"": 0.03}}",0,0,0,0.118282694263,0,0.036167123230,0,0.082115571033,0,0.0003271278463730662,0.24764371756239364,-0.24731658971602058,0.11832140048834995,0.0,0.0480718033126936,0.0,0.07024959717565635,0.0,deepskyblue,D+11.8,0,D+3.6,0,D+8.2,0,0.03%,0.03%,24.76%,-24.73%,D+11.8,0,D+4.8,0,D+7.0,0,340,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Arkansas,"{""Blanche Lincoln"": {""party"": ""Democratic"", ""votes"": 580973, ""pct"": 55.9}, ""Jim Holt"": {""party"": ""Republican"", ""votes"": 458036, ""pct"": 44.07}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 340, ""pct"": 0.03}}"
2004,Arizona,AZ,III,regular,General,General election results,404507,1505372,1152663,0.1320821069555944,0.4915432996510742,Stuart Starky,John McCain,John McCain,R,Majority,0.35946119269547977,Majority,1152663,3062542,"{""Majority"": {""party"": ""Majority"", ""votes"": 1100865, ""pct"": 56.12}, ""Ernest Hancock"": {""party"": ""Libertarian"", ""votes"": 51798, ""pct"": 2.64}}",0,0,0,-0.359461192695,0,0.036167123230,0,-0.395628315926,0,0.3763745933933314,0.24764371756239364,0.12873087583093776,-0.5764056256967064,0.0,0.0480718033126936,0.0,-0.6244774290094,0.0,red,R+35.9,0,D+3.6,0,R+39.6,0,35.95%,37.64%,24.76%,12.87%,R+57.6,0,D+4.8,0,R+62.4,0,1100865,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Arizona,"{""John McCain"": {""party"": ""Republican"", ""votes"": 1505372, ""pct"": 76.74}, ""Majority"": {""party"": ""Majority"", ""votes"": 1100865, ""pct"": 56.12}, ""Stuart Starky"": {""party"": ""Democratic"", ""votes"": 404507, ""pct"": 20.62}, ""Ernest Hancock"": {""party"": ""Libertarian"", ""votes"": 51798, ""pct"": 2.64}}"
2004,California,CA,III,regular,General,"2004 United States Senate election, California",6955728,4555922,1078053,0.5524934146579947,0.3618768449104796,Barbara Boxer,Bill Jones,Barbara Boxer,D,Bill Jones,0.042605294183667396,Invalid or blank votes,1078053,12589703,"{""Invalid or blank votes"": {""party"": ""Invalid or blank votes"", ""votes"": 536388, ""pct"": 4.26}, ""Marsha Feinland"": {""party"": ""Peace and Freedom"", ""votes"": 243846, ""pct"": 2.02}, ""James P. \""Jim\"" Gray"": {""party"": ""Libertarian"", ""votes"": 216522, ""pct"": 1.8}, ""Don J. Grundmann"": {""party"": ""American Independent"", ""votes"": 81244, ""pct"": 0.67}, ""Dennis Richter"": {""party"": ""No party"", ""votes"": 43, ""pct"": 0.0}, ""Howard Johnson"": {""party"": ""No party"", ""votes"": 8, ""pct"": 0.0}, ""John Emery Jones"": {""party"": ""No party"", ""votes"": 2, ""pct"": 0.0}}",0,0,0,0.190616569748,0,0.036167123230,0,0.154449446517,0,0.08562974043152567,0.24764371756239364,-0.16201397713086796,0.20846759587027056,0.0,0.0480718033126936,0.0,0.16039579255757697,0.0,deepskyblue,D+19.1,0,D+3.6,0,D+15.4,0,4.26%,8.56%,24.76%,-16.20%,D+20.8,0,D+4.8,0,D+16.0,0,536388,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_California,"{""Barbara Boxer"": {""party"": ""Democratic"", ""votes"": 6955728, ""pct"": 57.71}, ""Bill Jones"": {""party"": ""Republican"", ""votes"": 4555922, ""pct"": 37.8}, ""Invalid or blank votes"": {""party"": ""Invalid or blank votes"", ""votes"": 536388, ""pct"": 4.26}, ""Marsha Feinland"": {""party"": ""Peace and Freedom"", ""votes"": 243846, ""pct"": 2.02}, ""James P. \""Jim\"" Gray"": {""party"": ""Libertarian"", ""votes"": 216522, ""pct"": 1.8}, ""Don J. Grundmann"": {""party"": ""American Independent"", ""votes"": 81244, ""pct"": 0.67}, ""Dennis Richter"": {""party"": ""No party"", ""votes"": 43, ""pct"": 0.0}, ""Howard Johnson"": {""party"": ""No party"", ""votes"": 8, ""pct"": 0.0}, ""John Emery Jones"": {""party"": ""No party"", ""votes"": 2, ""pct"": 0.0}}"
2004,Colorado,CO,III,regular,General,General election results,1081188,980668,146136,0.4896702524284508,0.44414472516204767,Ken Salazar,Pete Coors,Ken Salazar,D,Pete Coors,0.04552552726640314,Majority,146136,2207992,"{""Majority"": {""party"": ""Majority"", ""votes"": 100520, ""pct"": 4.77}, ""Douglas Campbell"": {""party"": ""Constitution"", ""votes"": 18783, ""pct"": 0.89}, ""Richard Randall"": {""party"": ""Libertarian"", ""votes"": 10160, ""pct"": 0.48}, ""John R. Harris"": {""party"": ""Independent"", ""votes"": 8442, ""pct"": 0.4}, ""Victor Good"": {""party"": ""Reform"", ""votes"": 6481, ""pct"": 0.31}, ""Finn Gotaas"": {""party"": ""Independent"", ""votes"": 1750, ""pct"": 0.08}}",0,0,0,0.045525527266,0,0.036167123230,0,0.009358404036,0,0.06618502240950148,0.24764371756239364,-0.18145869515289215,0.04875219219964925,0.0,0.0480718033126936,0.0,0.0006803888869556449,0.0,deepskyblue,D+4.6,0,D+3.6,0,D+0.9,0,4.55%,6.62%,24.76%,-18.15%,D+4.9,0,D+4.8,0,D+0.1,0,100520,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Colorado,"{""Ken Salazar"": {""party"": ""Democratic"", ""votes"": 1081188, ""pct"": 51.3}, ""Pete Coors"": {""party"": ""Republican"", ""votes"": 980668, ""pct"": 46.53}, ""Majority"": {""party"": ""Majority"", ""votes"": 100520, ""pct"": 4.77}, ""Douglas Campbell"": {""party"": ""Constitution"", ""votes"": 18783, ""pct"": 0.89}, ""Richard Randall"": {""party"": ""Libertarian"", ""votes"": 10160, ""pct"": 0.48}, ""John R. Harris"": {""party"": ""Independent"", ""votes"": 8442, ""pct"": 0.4}, ""Victor Good"": {""party"": ""Reform"", ""votes"": 6481, ""pct"": 0.31}, ""Finn Gotaas"": {""party"": ""Independent"", ""votes"": 1750, ""pct"": 0.08}}"
2004,Connecticut,CT,III,regular,General,General election results,945347,457749,21630,0.6635289873280897,0.3212891461235353,Chris Dodd,Jack Orchulli,Chris Dodd,D,Jack Orchulli,0.008732907239707845,Timothy Knibbs,21630,1424726,"{""Timothy Knibbs"": {""party"": ""Concerned Citizens"", ""votes"": 12442, ""pct"": 0.87}, ""Leonard Rasch"": {""party"": ""Libertarian"", ""votes"": 9188, ""pct"": 0.64}}",0,0,0,0.342239841205,0,0.036167123230,0,0.306072717974,0,0.015181866548374915,0.24764371756239364,-0.23246185101401873,0.3475157793907188,0.0,0.0480718033126936,0.0,0.2994439760780252,0.0,deepskyblue,D+34.2,0,D+3.6,0,D+30.6,0,0.87%,1.52%,24.76%,-23.25%,D+34.8,0,D+4.8,0,D+29.9,0,12442,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Connecticut,"{""Chris Dodd"": {""party"": ""Democratic"", ""votes"": 945347, ""pct"": 66.35}, ""Jack Orchulli"": {""party"": ""Republican"", ""votes"": 457749, ""pct"": 32.13}, ""Timothy Knibbs"": {""party"": ""Concerned Citizens"", ""votes"": 12442, ""pct"": 0.87}, ""Leonard Rasch"": {""party"": ""Libertarian"", ""votes"": 9188, ""pct"": 0.64}}"
2004,Florida,FL,III,regular,General,"United States Senate election in Florida, 2004",3590201,3672864,15129260,0.16033176545981714,0.1640233428194705,Elizabeth Castor,Melquíades Rafael Martínez Ruiz,"166,829",T,Melquíades Rafael Martínez Ruiz,0.33180538421088474,"166,829",15129260,22392325,"{""166,829"": {""party"": """", ""votes"": 7429894, ""pct"": NaN}, ""13,202"": {""party"": """", ""votes"": 747551, ""pct"": NaN}, ""13,780"": {""party"": """", ""votes"": 687774, ""pct"": NaN}, ""9,566"": {""party"": """", ""votes"": 528050, ""pct"": NaN}, ""12,379"": {""party"": """", ""votes"": 464470, ""pct"": NaN}, ""10,261"": {""party"": """", ""votes"": 447890, ""pct"": NaN}, ""7,081"": {""party"": """", ""votes"": 382751, ""pct"": NaN}, ""6,160"": {""party"": """", ""votes"": 374909, ""pct"": NaN}, ""7,682"": {""party"": """", ""votes"": 261553, ""pct"": NaN}, ""4,531"": {""party"": """", ""votes"": 233389, ""pct"": NaN}, ""6,174"": {""party"": """", ""votes"": 225138, ""pct"": NaN}, ""6,051"": {""party"": """", ""votes"": 208056, ""pct"": NaN}, ""3,455"": {""party"": """", ""votes"": 190531, ""pct"": NaN}, ""6,044"": {""party"": """", ""votes"": 186205, ""pct"": NaN}, ""3,914"": {""party"": """", ""votes"": 183391, ""pct"": NaN}, ""Dennis F. Bradley"": {""party"": ""Veterans"", ""votes"": 166642, ""pct"": 2.24}, ""3,699"": {""party"": """", ""votes"": 141323, ""pct"": NaN}, ""2,632"": {""party"": """", ""votes"": 139693, ""pct"": NaN}, ""3,799"": {""party"": """", ""votes"": 138143, ""pct"": NaN}, ""1,691"": {""party"": """", ""votes"": 133324, ""pct"": NaN}, ""1,934"": {""party"": """", ""votes"": 124214, ""pct"": NaN}, ""3,319"": {""party"": """", ""votes"": 121379, ""pct"": NaN}, ""1,802"": {""party"": """", ""votes"": 108685, ""pct"": NaN}, ""2,905"": {""party"": """", ""votes"": 98001, ""pct"": NaN}, ""2,413"": {""party"": """", ""votes"": 87204, ""pct"": NaN}, ""1,420"": {""party"": """", ""votes"": 84990, ""pct"": NaN}, ""Majority"": {""party"": ""Majority"", ""votes"": 82663, ""pct"": 1.11}, ""2,296"": {""party"": """", ""votes"": 80968, ""pct"": NaN}, ""1,503"": {""party"": """", ""votes"": 80465, ""pct"": NaN}, ""3,143"": {""party"": """", ""votes"": 79334, ""pct"": NaN}, ""1,729"": {""party"": """", ""votes"": 77645, ""pct"": NaN}, ""1,564"": {""party"": """", ""votes"": 73393, ""pct"": NaN}, ""1,579"": {""party"": """", ""votes"": 70523, ""pct"": NaN}, ""2,742"": {""party"": """", ""votes"": 68439, ""pct"": NaN}, ""1,524"": {""party"": """", ""votes"": 65838, ""pct"": NaN}, ""1,543"": {""party"": """", ""votes"": 59392, ""pct"": NaN}, ""1,278"": {""party"": """", ""votes"": 40800, ""pct"": NaN}, ""1,267"": {""party"": """", ""votes"": 38303, ""pct"": NaN}, ""904"": {""party"": """", ""votes"": 38010, ""pct"": NaN}, ""595"": {""party"": """", ""votes"": 32007, ""pct"": NaN}, ""656"": {""party"": """", ""votes"": 31429, ""pct"": NaN}, ""876"": {""party"": """", ""votes"": 30518, ""pct"": NaN}, ""726"": {""party"": """", ""votes"": 24520, ""pct"": NaN}, ""585"": {""party"": """", ""votes"": 23393, ""pct"": NaN}, ""316"": {""party"": """", ""votes"": 20792, ""pct"": NaN}, ""395"": {""party"": """", ""votes"": 19449, ""pct"": NaN}, ""219"": {""party"": """", ""votes"": 17773, ""pct"": NaN}, ""497"": {""party"": """", ""votes"": 16361, ""pct"": NaN}, ""397"": {""party"": """", ""votes"": 15561, ""pct"": NaN}, ""496"": {""party"": """", ""votes"": 11919, ""pct"": NaN}, ""331"": {""party"": """", ""votes"": 11619, ""pct"": NaN}, ""270"": {""party"": """", ""votes"": 10742, ""pct"": NaN}, ""242"": {""party"": """", ""votes"": 10108, ""pct"": NaN}, ""186"": {""party"": """", ""votes"": 9854, ""pct"": NaN}, ""295"": {""party"": """", ""votes"": 9320, ""pct"": NaN}, ""241"": {""party"": """", ""votes"": 8454, ""pct"": NaN}, ""342"": {""party"": """", ""votes"": 8064, ""pct"": NaN}, ""145"": {""party"": """", ""votes"": 7371, ""pct"": NaN}, ""307"": {""party"": """", ""votes"": 7137, ""pct"": NaN}, ""180"": {""party"": """", ""votes"": 7124, ""pct"": NaN}, ""258"": {""party"": """", ""votes"": 6896, ""pct"": NaN}, ""250"": {""party"": """", ""votes"": 6307, ""pct"": NaN}, ""175"": {""party"": """", ""votes"": 5834, ""pct"": NaN}, ""150"": {""party"": """", ""votes"": 5742, ""pct"": NaN}, ""127"": {""party"": """", ""votes"": 4930, ""pct"": NaN}, ""93"": {""party"": """", ""votes"": 4599, ""pct"": NaN}, ""149"": {""party"": """", ""votes"": 4117, ""pct"": NaN}, ""82"": {""party"": """", ""votes"": 3240, ""pct"": NaN}, ""63"": {""party"": """", ""votes"": 2970, ""pct"": NaN}, ""187"": {""party"": ""Write-ins"", ""votes"": 187, ""pct"": 0.0}}",0,0,0,-0.003691577360,0,0.036167123230,0,-0.039858700590,0,0.6756448917207123,0.24764371756239364,0.4280011741583186,-0.011381283246122677,0.0,0.0480718033126936,0.0,-0.05945308655881628,0.0,yellow,R+0.4,0,D+3.6,0,R+4.0,0,33.18%,67.56%,24.76%,42.80%,R+1.1,0,D+4.8,0,R+5.9,0,7429894,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Florida,"{""166,829"": {""party"": """", ""votes"": 7429894, ""pct"": NaN}, ""Melquíades Rafael Martínez Ruiz"": {""party"": ""Republican"", ""votes"": 3672864, ""pct"": 49.43}, ""Elizabeth Castor"": {""party"": ""Democratic"", ""votes"": 3590201, ""pct"": 48.32}, ""13,202"": {""party"": """", ""votes"": 747551, ""pct"": NaN}, ""13,780"": {""party"": """", ""votes"": 687774, ""pct"": NaN}, ""9,566"": {""party"": """", ""votes"": 528050, ""pct"": NaN}, ""12,379"": {""party"": """", ""votes"": 464470, ""pct"": NaN}, ""10,261"": {""party"": """", ""votes"": 447890, ""pct"": NaN}, ""7,081"": {""party"": """", ""votes"": 382751, ""pct"": NaN}, ""6,160"": {""party"": """", ""votes"": 374909, ""pct"": NaN}, ""7,682"": {""party"": """", ""votes"": 261553, ""pct"": NaN}, ""4,531"": {""party"": """", ""votes"": 233389, ""pct"": NaN}, ""6,174"": {""party"": """", ""votes"": 225138, ""pct"": NaN}, ""6,051"": {""party"": """", ""votes"": 208056, ""pct"": NaN}, ""3,455"": {""party"": """", ""votes"": 190531, ""pct"": NaN}, ""6,044"": {""party"": """", ""votes"": 186205, ""pct"": NaN}, ""3,914"": {""party"": """", ""votes"": 183391, ""pct"": NaN}, ""Dennis F. Bradley"": {""party"": ""Veterans"", ""votes"": 166642, ""pct"": 2.24}, ""3,699"": {""party"": """", ""votes"": 141323, ""pct"": NaN}, ""2,632"": {""party"": """", ""votes"": 139693, ""pct"": NaN}, ""3,799"": {""party"": """", ""votes"": 138143, ""pct"": NaN}, ""1,691"": {""party"": """", ""votes"": 133324, ""pct"": NaN}, ""1,934"": {""party"": """", ""votes"": 124214, ""pct"": NaN}, ""3,319"": {""party"": """", ""votes"": 121379, ""pct"": NaN}, ""1,802"": {""party"": """", ""votes"": 108685, ""pct"": NaN}, ""2,905"": {""party"": """", ""votes"": 98001, ""pct"": NaN}, ""2,413"": {""party"": """", ""votes"": 87204, ""pct"": NaN}, ""1,420"": {""party"": """", ""votes"": 84990, ""pct"": NaN}, ""Majority"": {""party"": ""Majority"", ""votes"": 82663, ""pct"": 1.11}, ""2,296"": {""party"": """", ""votes"": 80968, ""pct"": NaN}, ""1,503"": {""party"": """", ""votes"": 80465, ""pct"": NaN}, ""3,143"": {""party"": """", ""votes"": 79334, ""pct"": NaN}, ""1,729"": {""party"": """", ""votes"": 77645, ""pct"": NaN}, ""1,564"": {""party"": """", ""votes"": 73393, ""pct"": NaN}, ""1,579"": {""party"": """", ""votes"": 70523, ""pct"": NaN}, ""2,742"": {""party"": """", ""votes"": 68439, ""pct"": NaN}, ""1,524"": {""party"": """", ""votes"": 65838, ""pct"": NaN}, ""1,543"": {""party"": """", ""votes"": 59392, ""pct"": NaN}, ""1,278"": {""party"": """", ""votes"": 40800, ""pct"": NaN}, ""1,267"": {""party"": """", ""votes"": 38303, ""pct"": NaN}, ""904"": {""party"": """", ""votes"": 38010, ""pct"": NaN}, ""595"": {""party"": """", ""votes"": 32007, ""pct"": NaN}, ""656"": {""party"": """", ""votes"": 31429, ""pct"": NaN}, ""876"": {""party"": """", ""votes"": 30518, ""pct"": NaN}, ""726"": {""party"": """", ""votes"": 24520, ""pct"": NaN}, ""585"": {""party"": """", ""votes"": 23393, ""pct"": NaN}, ""316"": {""party"": """", ""votes"": 20792, ""pct"": NaN}, ""395"": {""party"": """", ""votes"": 19449, ""pct"": NaN}, ""219"": {""party"": """", ""votes"": 17773, ""pct"": NaN}, ""497"": {""party"": """", ""votes"": 16361, ""pct"": NaN}, ""397"": {""party"": """", ""votes"": 15561, ""pct"": NaN}, ""496"": {""party"": """", ""votes"": 11919, ""pct"": NaN}, ""331"": {""party"": """", ""votes"": 11619, ""pct"": NaN}, ""270"": {""party"": """", ""votes"": 10742, ""pct"": NaN}, ""242"": {""party"": """", ""votes"": 10108, ""pct"": NaN}, ""186"": {""party"": """", ""votes"": 9854, ""pct"": NaN}, ""295"": {""party"": """", ""votes"": 9320, ""pct"": NaN}, ""241"": {""party"": """", ""votes"": 8454, ""pct"": NaN}, ""342"": {""party"": """", ""votes"": 8064, ""pct"": NaN}, ""145"": {""party"": """", ""votes"": 7371, ""pct"": NaN}, ""307"": {""party"": """", ""votes"": 7137, ""pct"": NaN}, ""180"": {""party"": """", ""votes"": 7124, ""pct"": NaN}, ""258"": {""party"": """", ""votes"": 6896, ""pct"": NaN}, ""250"": {""party"": """", ""votes"": 6307, ""pct"": NaN}, ""175"": {""party"": """", ""votes"": 5834, ""pct"": NaN}, ""150"": {""party"": """", ""votes"": 5742, ""pct"": NaN}, ""127"": {""party"": """", ""votes"": 4930, ""pct"": NaN}, ""93"": {""party"": """", ""votes"": 4599, ""pct"": NaN}, ""149"": {""party"": """", ""votes"": 4117, ""pct"": NaN}, ""82"": {""party"": """", ""votes"": 3240, ""pct"": NaN}, ""63"": {""party"": """", ""votes"": 2970, ""pct"": NaN}, ""187"": {""party"": ""Write-ins"", ""votes"": 187, ""pct"": 0.0}}"
2004,Georgia,GA,III,regular,General,"2004 United States Senate election, Georgia",1287695,1864205,645561,0.3390936733780808,0.4909082673923445,Denise Majette,Johnny Isakson,Johnny Isakson,R,Denise Majette,0.15181459401426375,Majority,645561,3797461,"{""Majority"": {""party"": ""Majority"", ""votes"": 576510, ""pct"": 17.9}, ""Allen Buckley"": {""party"": ""Libertarian"", ""votes"": 69051, ""pct"": 2.14}}",0,0,0,-0.151814594014,0,0.036167123230,0,-0.187981717245,0,0.1699980592295747,0.24764371756239364,-0.07764565833281895,-0.18290872172340494,0.0,0.0480718033126936,0.0,-0.23098052503609856,0.0,red,R+15.2,0,D+3.6,0,R+18.8,0,15.18%,17.00%,24.76%,-7.76%,R+18.3,0,D+4.8,0,R+23.1,0,576510,,https://en.wikipedia.org/wiki/2004_United_States_Senate_election_in_Georgia,"{""Johnny Isakson"": {""party"": ""Republican"", ""votes"": 1864205, ""pct"": 57.88}, ""Denise Majette"": {""party"": ""Democratic"", ""votes"": 1287695, ""pct"": 39.98}, ""Majority"": {""party"": ""Majority"", ""votes"": 576510, ""pct"": 17.9}, ""Allen Buckley"": {""party"": ""Libertarian"", ""votes"": 69051, ""pct"": 2.14}}"
