year,tipping_point_state,tipping_point_effective_pv,tipping_point_effective_pv_str,tipping_point_pres_margin,tipping_point_pres_margin_str,tipping_point_winner,tie_tipping_point_state,tie_tipping_point_effective_pv,tie_tipping_point_effective_pv_str,tie_tipping_point_pres_margin,tie_tipping_point_pres_margin_str,tie_tipping_point_winner
1864,IL,-0.012302439770,R+1.23,-0.088411307274,R+8.84,D,,,,,,
1868,AR,0.020492915224,D+2.05,-0.073658655013,R+7.37,D,NC,0.015044378229,D+1.50,-0.068210118018,R+6.82,D
1872,NH,-0.034179664242,R+3.42,-0.083345427104,R+8.33,D,OH,-0.046577157497,R+4.66,-0.070888643764,R+7.09,D
1876,SC,0.034978971590,D+3.50,-0.004866353191,R+0.49,D,,,,,,
1880,NY,0.018369593481,D+1.84,-0.019052579612,R+1.91,D,,,,,,
1884,NY,0.004602287148,D+0.46,0.000984433274,D+0.10,R,,,,,,
1888,NY,0.019574109982,D+1.96,-0.010890715500,R+1.09,D,,,,,,
1892,IL,-0.002708551964,R+0.27,0.030896918321,D+3.09,R,,,,,,
1896,OH,0.005284249670,D+0.53,-0.047810548213,R+4.78,D,,,,,,
1900,IL,0.025020452141,D+2.50,-0.083862754297,R+8.39,D,,,,,,
1904,NJ,0.008517303070,D+0.85,-0.186333508266,R+18.63,D,,,,,,
1908,WV,0.020953367061,D+2.10,-0.102481548207,R+10.25,D,,,,,,
1912,NY,-0.109508319062,R+10.95,0.167145685837,D+16.71,R,,,,,,
1916,CA,0.027026923228,D+2.70,0.003774498476,D+0.38,R,,,,,,
1920,ID,0.051161549180,D+5.12,-0.312599539904,R+31.26,D,,,,,,
1924,NY,0.061641825073,D+6.16,-0.266322991943,R+26.63,D,,,,,,
1928,IL,-0.026406045102,R+2.64,-0.146524734279,R+14.65,D,,,,,,
1932,IA,-0.003825941183,R+0.38,0.177089131049,D+17.71,R,,,,,,
1936,OH,0.027022851482,D+2.70,0.205565711088,D+20.56,R,,,,,,
1940,PA,0.030176029725,D+3.02,0.068940112006,D+6.89,R,,,,,,
1944,NY,0.024514015541,D+2.45,0.050118968653,D+5.01,R,,,,,,
1948,IL,0.036226705559,D+3.62,0.008436649577,D+0.84,R,CA,0.040032614904,D+4.00,0.004442330273,D+0.44,R
1952,MI,0.006925173320,D+0.69,-0.114654797841,R+11.47,D,,,,,,
1956,LA,-0.005438241791,R+0.54,-0.137755366419,R+13.78,D,,,,,,
1960,NJ,-0.006497622691,R+0.65,0.007966143440,D+0.80,R,MO,-0.003620010378,R+0.36,0.005159163823,D+0.52,R
1964,WA,-0.021829409887,R+2.18,0.245928667457,D+24.59,R,,,,,,
1968,IL,0.025128339189,D+2.51,-0.029213708364,R+2.92,D,OH,0.019004957694,D+1.90,-0.022837095152,R+2.28,D
1972,ME-01,-0.002893942641,R+0.29,-0.228477061556,R+22.85,D,OH,-0.010676008601,R+1.07,-0.215624890867,R+21.56,D
1976,WI,0.003312463309,D+0.33,0.016772662725,D+1.68,R,,,,,,
1980,IL,-0.010472910628,R+1.05,-0.079296447097,R+7.93,D,,,,,,
1984,MI,0.008862106412,D+0.89,-0.189899512265,R+18.99,D,,,,,,
1988,MI,0.002395370494,D+0.24,-0.078956154305,R+7.90,D,,,,,,
1992,WI,-0.000397622549,R+0.04,0.043542487616,D+4.35,R,,,,,,
1996,PA,-0.018115978603,R+1.81,0.092019339041,D+9.20,R,,,,,,
2000,FL,0.005352232599,D+0.54,-0.000090053680,R+0.01,D,,,,,,
2004,OH,-0.003355993963,R+0.34,-0.021073727573,R+2.11,D,,,,,,
2008,IA,-0.024347544373,R+2.43,0.095347607186,D+9.53,R,CO,-0.018388141746,R+1.84,0.089530461027,D+8.95,R
2012,PA,-0.016141823894,R+1.61,0.053850846503,D+5.39,R,,,,,,
2016,WI,0.029249807946,D+2.92,-0.007643431951,R+0.76,D,,,,,,
2020,PA,0.032675273986,D+3.27,0.011612408635,D+1.16,R,WI,0.038078113842,D+3.81,0.006270995418,D+0.63,R
2024,PA,0.002644753949,D+0.26,-0.017037904258,R+1.70,D,,,,,,
