year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
2008,AL,1,185579,116904,2135,304618,2135
2008,AL,2,182618,107669,1751,292038,1751
2008,AL,3,161154,124973,2468,288595,2468
2008,AL,4,205362,60207,3881,269450,3881
2008,AL,5,190225,117838,4221,312284,4221
2008,AL,6,268791,78150,3329,350270,3329
2008,AL,7,72801,207732,1151,281684,1151
2008,AK,AL,193841,123594,8762,326197,8762
2008,AZ,1,157160,127790,3848,288798,3848
2008,AZ,2,183414,114190,4279,301883,4279
2008,AZ,3,152829,116636,3422,272887,3422
2008,AZ,4,56694,92234,1651,150579,1651
2008,AZ,5,150067,137177,3362,290606,3362
2008,AZ,6,259863,164592,4068,428523,4068
2008,AZ,7,88313,120924,2491,211728,2491
2008,AZ,8,181771,161164,4141,347076,4141
2008,AR,1,145340,95102,7185,247627,7185
2008,AR,2,161540,131891,5855,299286,5855
2008,AR,3,185055,96485,6894,288434,6894
2008,AR,4,146082,98832,6356,251270,6356
2008,CA,1,96530,199835,7670,304035,7670
2008,CA,2,161636,125291,6618,293545,6618
2008,CA,3,164025,165617,6313,335955,6313
2008,CA,4,206385,167604,7493,381482,7493
2008,CA,5,67625,165776,4709,238110,4709
2008,CA,6,73345,253087,6613,333045,6613
2008,CA,7,66272,179037,4285,249594,4285
2008,CA,8,38665,266210,6449,311324,6449
2008,CA,9,29186,260662,5919,295767,5919
2008,CA,10,104628,204138,5604,314370,5604
2008,CA,11,139863,169183,5143,314189,5143
2008,CA,12,69029,214850,4898,288777,4898
2008,CA,13,56299,175838,4270,236407,4270
2008,CA,14,72707,213671,5883,292261,5883
2008,CA,15,75753,174571,4937,255261,4937
2008,CA,16,63975,154324,3585,221884,3585
2008,CA,17,61163,171180,4743,237086,4743
2008,CA,18,68629,104299,3075,176003,3075
2008,CA,19,141013,124533,4805,270351,4805
2008,CA,20,50146,77158,2180,129484,2180
2008,CA,21,125347,93578,3433,222358,3433
2008,CA,22,172792,110910,5400,289102,5400
2008,CA,23,85261,172348,5123,262732,5123
2008,CA,24,151678,160738,5650,318066,5650
2008,CA,25,131201,134222,5986,271409,5986
2008,CA,26,137329,149249,5885,292463,5885
2008,CA,27,75286,157100,5219,237605,5219
2008,CA,28,42815,147958,3492,194265,3492
2008,CA,29,71860,159947,4840,236647,4840
2008,CA,30,95869,242022,5710,343601,5710
2008,CA,31,25441,113941,3280,142662,3280
2008,CA,32,52356,119726,3557,175639,3557
2008,CA,33,27672,205470,3539,236681,3539
2008,CA,34,33056,106695,3023,142774,3023
2008,CA,35,27789,165761,2923,196473,2923
2008,CA,36,92105,176924,5754,274783,5754
2008,CA,37,36940,157219,3388,197547,3388
2008,CA,38,48599,130092,3846,182537,3846
2008,CA,39,63680,128579,4117,196376,4117
2008,CA,40,125066,114025,4763,243854,4763
2008,CA,41,147982,119255,5890,273127,5890
2008,CA,42,152256,128474,4996,285726,4996
2008,CA,43,49594,112020,3216,164830,3216
2008,CA,44,131003,133535,4973,269511,4973
2008,CA,45,129664,142305,4251,276220,4251
2008,CA,46,150937,145393,6239,302569,6239
2008,CA,47,48461,77144,2415,128020,2415
2008,CA,48,160584,163063,5959,329606,5959
2008,CA,49,137739,117283,4805,259827,4805
2008,CA,50,158845,172962,5616,337423,5616
2008,CA,51,76438,135960,3002,215400,3002
2008,CA,52,161332,135848,4827,302007,4827
2008,CA,53,77930,177863,5101,260894,5101
2008,CO,1,72573,222009,4637,299219,4637
2008,CO,2,125048,235165,6136,366349,6136
2008,CO,3,170852,162254,5648,338754,5648
2008,CO,4,171981,169113,6244,347338,6244
2008,CO,5,189498,129095,4992,323585,4992
2008,CO,6,229791,202122,5925,437838,5925
2008,CO,7,113848,168819,5615,288282,5615
2008,CT,1,108572,218794,4404,331770,4404
2008,CT,2,139945,204220,5056,349221,5056
2008,CT,3,117114,201741,3953,322808,3953
2008,CT,4,126819,190996,2130,319945,2130
2008,CT,5,136978,182021,4054,323053,4054
2008,DE,AL,152374,255459,4783,412616,4783
2008,DC,AL,17367,245800,2686,265853,2686
2008,FL,1,234185,112793,4349,351327,4349
2008,FL,2,199591,163954,4207,367752,4207
2008,FL,3,60062,169406,1636,231104,1636
2008,FL,4,233446,143324,3765,380535,3765
2008,FL,5,257083,199755,5770,462608,5770
2008,FL,6,228651,174701,4662,408014,4662
2008,FL,7,213831,183619,4516,401966,4516
2008,FL,8,168842,189402,2742,360986,2742
2008,FL,9,190367,169933,4597,364897,4597
2008,FL,10,151025,164255,4897,320177,4897
2008,FL,11,89793,178935,2691,271419,2691
2008,FL,12,168399,163745,3112,335256,3112
2008,FL,13,199216,178967,4525,382708,4525
2008,FL,14,226967,169067,3827,399861,3827
2008,FL,15,200229,186597,4638,391464,4638
2008,FL,16,192431,175017,4038,371486,4038
2008,FL,17,29764,209859,900,240523,900
2008,FL,18,123191,128763,1797,253751,1797
2008,FL,19,115740,223233,2253,341226,2253
2008,FL,20,106391,186974,2242,295607,2242
2008,FL,21,127412,122036,1232,250680,1232
