year,abbr,state,electoral_votes
1788,AK,Alaska,
1792,AK,Alaska,
1796,AK,Alaska,
1800,AK,Alaska,
1804,AK,Alaska,
1808,AK,Alaska,
1812,AK,Alaska,
1816,AK,Alaska,
1820,AK,Alaska,
1824,AK,Alaska,
1828,AK,Alaska,
1832,AK,Alaska,
1836,AK,Alaska,
1840,AK,Alaska,
1844,AK,Alaska,
1848,AK,Alaska,
1852,AK,Alaska,
1856,AK,Alaska,
1860,AK,Alaska,
1864,AK,Alaska,
1868,AK,Alaska,
1872,AK,Alaska,
1876,AK,Alaska,
1880,AK,Alaska,
1884,AK,Alaska,
1888,AK,Alaska,
1892,AK,Alaska,
1896,AK,Alaska,
1900,AK,Alaska,
1904,AK,Alaska,
1908,AK,Alaska,
1912,AK,Alaska,
1916,AK,Alaska,
1920,AK,Alaska,
1924,AK,Alaska,
1928,AK,Alaska,
1932,AK,Alaska,
1936,AK,Alaska,
1940,AK,Alaska,
1944,AK,Alaska,
1948,AK,Alaska,
1952,AK,Alaska,
1956,AK,Alaska,
1960,AK,Alaska,3
1964,AK,Alaska,3
1968,AK,Alaska,3
1972,AK,Alaska,3
1976,AK,Alaska,3
1980,AK,Alaska,3
1984,AK,Alaska,3
1988,AK,Alaska,3
1992,AK,Alaska,3
1996,AK,Alaska,3
2000,AK,Alaska,3
2004,AK,Alaska,3
2008,AK,Alaska,3
2012,AK,Alaska,3
2016,AK,Alaska,3
2020,AK,Alaska,3
2024,AK,Alaska,3
1788,AL,Alabama,
1792,AL,Alabama,
1796,AL,Alabama,
1800,AL,Alabama,
1804,AL,Alabama,
1808,AL,Alabama,
1812,AL,Alabama,
1816,AL,Alabama,
1820,AL,Alabama,3
1824,AL,Alabama,5
1828,AL,Alabama,5
1832,AL,Alabama,7
1836,AL,Alabama,7
1840,AL,Alabama,7
1844,AL,Alabama,9
1848,AL,Alabama,9
1852,AL,Alabama,9
1856,AL,Alabama,9
1860,AL,Alabama,9
1864,AL,Alabama,0
1868,AL,Alabama,8
1872,AL,Alabama,10
1876,AL,Alabama,10
1880,AL,Alabama,10
1884,AL,Alabama,10
1888,AL,Alabama,10
1892,AL,Alabama,11
1896,AL,Alabama,11
1900,AL,Alabama,11
1904,AL,Alabama,11
1908,AL,Alabama,11
1912,AL,Alabama,12
1916,AL,Alabama,12
1920,AL,Alabama,12
1924,AL,Alabama,12
1928,AL,Alabama,12
1932,AL,Alabama,11
1936,AL,Alabama,11
1940,AL,Alabama,11
1944,AL,Alabama,11
1948,AL,Alabama,11
1952,AL,Alabama,11
1956,AL,Alabama,11
