year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
2024,AL,AL,1462616,772412,30062,2265090,30062
2024,AK,AL,184458,140026,13693,338177,13693
2024,AZ,AL,1770242,1582860,37059,3390161,37059
2024,AR,AL,759241,396905,26530,1182676,26530
2024,CA,AL,6081697,9276179,507599,15865475,507599
2024,CO,AL,1377441,1728159,87145,3192745,87145
2024,CT,AL,736918,992053,30039,1759010,30039
2024,DE,AL,214351,289758,8803,512912,8803
2024,DC,AL,21076,294185,10608,325869,10608
2024,FL,AL,6110125,4683038,100589,10893752,100589
2024,GA,AL,2663117,2548017,39771,5250905,39771
2024,HI,AL,193661,313044,9996,516701,9996
2024,ID,AL,605246,274972,24839,905057,24839
2024,IL,AL,2449079,3062863,121368,5633310,121368
2024,IN,AL,1720347,1163603,52727,2936677,52727
2024,IA,AL,927019,707278,29209,1663506,29209
2024,KS,AL,758802,544853,23936,1327591,23936
2024,KY,AL,1337494,704043,32993,2074530,32993
2024,LA,AL,1208505,766870,31600,2006975,31600
2024,ME,AL,377977,435652,17746,831375,17746
2024,ME-01,AL,165214,258863,9632,433709,9632
2024,ME-02,AL,212763,176789,8114,397666,8114
2024,MD,AL,1035550,1902577,100207,3038334,100207
2024,MA,AL,1251303,2126518,95847,3473668,95847
2024,MI,AL,2816636,2736533,111017,5664186,111017
2024,MN,AL,1519032,1656979,77909,3253920,77909
2024,MS,AL,747744,466668,13596,1228008,13596
2024,MO,AL,1751986,1200599,42742,2995327,42742
2024,MT,AL,352079,231906,19005,602990,19005
2024,NE,AL,564816,369995,17371,952182,17371
2024,NE-01,AL,177666,136153,6375,320194,6375
2024,NE-02,AL,148905,163541,6200,318646,6200
2024,NE-03,AL,238245,70301,4796,313342,4796
2024,NV,AL,751205,705197,28438,1484840,28438
2024,NH,AL,395523,418488,12178,826189,12178
2024,NJ,AL,1968215,2220713,83797,4272725,83797
2024,NM,AL,423391,478802,21210,923403,21210
2024,NY,AL,3578899,4619195,64401,8262495,64401
2024,NC,AL,2898423,2715375,85343,5699141,85343
2024,ND,AL,246505,112327,9323,368155,9323
2024,OH,AL,3180116,2533699,53973,5767788,53973
2024,OK,AL,1036213,499599,30361,1566173,30361
2024,OR,AL,919480,1240600,84413,2244493,84413
2024,PA,AL,3543308,3423042,92382,7058732,92382
2024,RI,AL,214406,285156,13824,513386,13824
2024,SC,AL,1483747,1028452,35941,2548140,35941
2024,SD,AL,272081,146859,9982,428922,9982
2024,TN,AL,1966865,1056265,40812,3063942,40812
2024,TX,AL,6393597,4835250,159827,11388674,159827
2024,UT,AL,883818,562566,42110,1488494,42110
2024,VT,AL,119395,235791,14236,369422,14236
2024,VA,AL,2075085,2335395,95461,4505941,95461
2024,WA,AL,1530923,2245849,147471,3924243,147471
2024,WV,AL,533556,214309,14717,762582,14717
2024,WI,AL,1697626,1668229,57063,3422918,57063
2024,WY,AL,192633,69527,6888,269048,6888
