year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
1968,AL,1,11985,26206,84364.0,122555.0,84364.0
1968,AL,2,12198,22001,83064.0,117263.0,83064.0
1968,AL,3,8821,21267,84474.0,114562.0,84474.0
1968,AL,4,14174,21381,93179.0,128734.0,93179.0
1968,AL,5,13344,36229,80260.0,129833.0,80260.0
1968,AL,6,32467,39495,66373.0,138335.0,66373.0
1968,AL,7,29719,12910,104358.0,146987.0,104358.0
1968,AL,8,23576,16900,94659.0,135135.0,94659.0
1968,AK,AL,37600,35411,10024.0,83035.0,10024.0
1968,AZ,1,123796,61413,16592.0,201801.0,16592.0
1968,AZ,2,72539,61119,13666.0,147324.0,13666.0
1968,AZ,3,68471,47487,16094.0,132052.0,16094.0
1968,AR,1,30778,37835,52510.0,121123.0,52510.0
1968,AR,2,52012,51786,58345.0,162143.0,58345.0
1968,AR,3,76320,50450,59443.0,186213.0,59443.0
1968,AR,4,31649,48157,70684.0,150490.0,70684.0
1968,CA,1,86230,80311,14989.0,181530.0,14989.0
1968,CA,2,102158,91548,20860.0,214566.0,20860.0
1968,CA,3,80516,100361,12494.0,193371.0,12494.0
1968,CA,4,70176,75698,15841.0,161715.0,15841.0
1968,CA,5,36298,91233,8508.0,136039.0,8508.0
1968,CA,6,91258,108269,10673.0,210200.0,10673.0
1968,CA,7,54799,95700,6933.0,157432.0,6933.0
1968,CA,8,66032,85485,13954.0,165471.0,13954.0
1968,CA,9,68593,101698,13836.0,184127.0,13836.0
1968,CA,10,121967,109522,11639.0,243128.0,11639.0
1968,CA,11,97590,102699,14590.0,214879.0,14590.0
1968,CA,12,86251,73224,12321.0,171796.0,12321.0
1968,CA,13,123437,93614,14223.0,231274.0,14223.0
1968,CA,14,97486,101668,18330.0,217484.0,18330.0
1968,CA,15,78983,75579,13428.0,167990.0,13428.0
1968,CA,16,68544,76817,12830.0,158191.0,12830.0
1968,CA,17,63742,72905,14093.0,150740.0,14093.0
1968,CA,18,77615,66932,14959.0,159506.0,14959.0
1968,CA,19,75306,69873,10828.0,156007.0,10828.0
1968,CA,20,119172,63447,8570.0,191189.0,8570.0
1968,CA,21,6819,95865,1103.0,103787.0,1103.0
1968,CA,22,83993,84190,10214.0,178397.0,10214.0
1968,CA,23,70781,61086,15979.0,147846.0,15979.0
1968,CA,24,134207,64417,11812.0,210436.0,11812.0
1968,CA,25,118331,77335,15271.0,210937.0,15271.0
1968,CA,26,66470,132992,5040.0,204502.0,5040.0
1968,CA,27,123347,84116,15807.0,223270.0,15807.0
1968,CA,28,133767,91279,9581.0,234627.0,9581.0
1968,CA,29,59812,74517,7925.0,142254.0,7925.0
1968,CA,30,41396,68612,4292.0,114300.0,4292.0
1968,CA,31,60291,98940,8638.0,167869.0,8638.0
1968,CA,32,103848,71875,11634.0,187357.0,11634.0
1968,CA,33,97790,72897,18299.0,188986.0,18299.0
1968,CA,34,113470,76022,18076.0,207568.0,18076.0
1968,CA,35,198569,79687,17311.0,295567.0,17311.0
1968,CA,36,125185,70529,13837.0,209551.0,13837.0
1968,CA,37,70168,67401,12714.0,150283.0,12714.0
1968,CA,38,105379,87208,19940.0,212527.0,19940.0
1968,CO,1,92003,106081,11408.0,209492.0,11408.0
1968,CO,2,137972,93431,19201.0,250604.0,19201.0
1968,CO,3,81612,74305,15799.0,171716.0,15799.0
1968,CO,4,97788,61357,14405.0,173550.0,14405.0
1968,CT,1,79232,118164,9991.0,207387.0,9991.0
1968,CT,2,89943,102339,10883.0,203165.0,10883.0
1968,CT,3,88904,94258,15017.0,198179.0,15017.0
1968,CT,4,118374,100018,13607.0,231999.0,13607.0
1968,CT,5,89015,100841,16054.0,205910.0,16054.0
1968,CT,6,91253,105941,11098.0,208292.0,11098.0
1968,DE,AL,96714,89194,28459.0,214367.0,28459.0
1968,DC,AL,31012,139566,0.0,170578.0,0.0
1968,FL,1,31770,30241,97811.0,159822.0,97811.0
1968,FL,2,36203,42627,75520.0,154350.0,75520.0
1968,FL,3,39774,48866,52543.0,141183.0,52543.0
1968,FL,4,77766,54226,63866.0,195858.0,63866.0
1968,FL,5,94169,43972,52285.0,190426.0,52285.0
1968,FL,6,51933,46964,50928.0,149825.0,50928.0
1968,FL,7,94603,45749,57278.0,197630.0,57278.0
1968,FL,8,118978,74501,40780.0,234259.0,40780.0
1968,FL,9,114009,56279,44770.0,215058.0,44770.0
1968,FL,10,93160,74637,35299.0,203096.0,35299.0
1968,FL,11,42473,86918,19507.0,148898.0,19507.0
1968,FL,12,68567,59213,25428.0,153208.0,25428.0
1968,GA,1,34175,37733,58658.0,130566.0,58658.0
1968,GA,2,18413,21651,60162.0,100226.0,60162.0
1968,GA,3,23524,22248,45687.0,91459.0,45687.0
1968,GA,4,62507,44835,34825.0,142167.0,34825.0
1968,GA,5,54878,61820,28157.0,144855.0,28157.0
1968,GA,6,42407,34442,70857.0,147706.0,70857.0
1968,GA,7,49497,29053,76001.0,154551.0,76001.0
1968,GA,8,21232,20941,61168.0,103341.0,61168.0
1968,GA,9,35527,23078,55122.0,113727.0,55122.0
1968,GA,10,37503,38436,44731.0,120670.0,44731.0
1968,HI,1,46842,69715,1460.0,118017.0,1460.0
1968,HI,2,42770,70345,1648.0,114763.0,1648.0
1968,ID,1,87942,53664,19122.0,160728.0,19122.0
1968,ID,2,77427,35609,17419.0,130455.0,17419.0
1968,IL,1,10081,138835,1010.0,149926.0,1010.0
1968,IL,2,52311,103924,18896.0,175131.0,18896.0
1968,IL,3,69344,111357,16665.0,197366.0,16665.0
1968,IL,4,128964,73987,27581.0,230532.0,27581.0
1968,IL,5,70469,84599,28385.0,183453.0,28385.0
1968,IL,6,57423,92206,16549.0,166178.0,16549.0
1968,IL,7,18615,86195,6185.0,110995.0,6185.0
1968,IL,8,69019,90088,16484.0,175591.0,16484.0
1968,IL,9,69724,114570,8288.0,192582.0,8288.0
1968,IL,10,136834,79314,17615.0,233763.0,17615.0
1968,IL,11,113712,104352,1875.0,219939.0,1875.0
1968,IL,12,104153,57889,12470.0,174512.0,12470.0
1968,IL,13,156088,98305,9476.0,263869.0,9476.0
1968,IL,14,147354,71013,21316.0,239683.0,21316.0
1968,IL,15,108524,62158,12033.0,182715.0,12033.0
1968,IL,16,98077,61455,11041.0,170573.0,11041.0
1968,IL,17,112950,63879,19630.0,196459.0,19630.0
1968,IL,18,93503,71534,14044.0,179081.0,14044.0
1968,IL,19,94848,78285,13305.0,186438.0,13305.0
1968,IL,20,102316,74107,16208.0,192631.0,16208.0
1968,IL,21,105992,84105,21291.0,211388.0,21291.0
1968,IL,22,96274,72430,17446.0,186150.0,17446.0
1968,IL,23,99718,81947,19772.0,201437.0,19772.0
1968,IL,24,58551,83280,26512.0,168343.0,26512.0
1968,IN,1,57122,89136,25608.0,171866.0,25608.0
1968,IN,2,107535,64165,26833.0,198533.0,26833.0
1968,IN,3,93521,72363,18773.0,184657.0,18773.0
1968,IN,4,107471,72815,16276.0,196562.0,16276.0
1968,IN,5,104769,64062,19568.0,188399.0,19568.0
1968,IN,6,134885,66488,26499.0,227872.0,26499.0
1968,IN,7,100876,75121,24048.0,200045.0,24048.0
1968,IN,8,101042,84111,21191.0,206344.0,21191.0
1968,IN,9,95289,75907,25442.0,196638.0,25442.0
1968,IN,10,95630,71321,22321.0,189272.0,22321.0
1968,IN,11,69745,71170,16549.0,157464.0,16549.0
1968,IA,1,88955,76949,10476.0,176380.0,10476.0
1968,IA,2,96983,84210,9700.0,190893.0,9700.0
1968,IA,3,93640,63080,7648.0,164368.0,7648.0
1968,IA,4,82660,66913,9605.0,159178.0,9605.0
1968,IA,5,79750,75978,11884.0,167612.0,11884.0
1968,IA,6,96279,59311,6926.0,162516.0,6926.0
1968,IA,7,80839,50258,10283.0,141380.0,10283.0
1968,KS,1,102106,55355,14932.0,172393.0,14932.0
1968,KS,2,92559,54814,18004.0,165377.0,18004.0
1968,KS,3,96711,71328,21403.0,189442.0,21403.0
1968,KS,4,87658,60339,14278.0,162275.0,14278.0
1968,KS,5,96034,59057,19504.0,174595.0,19504.0
1968,KY,1,50419,61094,44779.0,156292.0,44779.0
1968,KY,2,61542,48772,28956.0,139270.0,28956.0
1968,KY,3,54960,64272,20488.0,139720.0,20488.0
1968,KY,4,82454,60317,33537.0,176308.0,33537.0
1968,KY,5,85254,36703,19485.0,141442.0,19485.0
1968,KY,6,66424,58723,30461.0,155608.0,30461.0
1968,KY,7,61358,67660,15392.0,144410.0,15392.0
1968,LA,1,32800,45114,57264.0,135178.0,57264.0
1968,LA,2,31152,46656,44479.0,122287.0,44479.0
1968,LA,3,50740,39857,69996.0,160593.0,69996.0
1968,LA,4,31525,32540,63402.0,127467.0,63402.0
1968,LA,5,25343,29968,71049.0,126360.0,71049.0
1968,LA,6,32642,36625,83087.0,152354.0,83087.0
1968,LA,7,24382,39378,68243.0,132003.0,68243.0
1968,LA,8,28693,41471,72780.0,142944.0,72780.0
1968,ME,1,88406,112843,3390.0,204639.0,3390.0
1968,ME,2,80848,104469,2980.0,188297.0,2980.0
1968,MD,1,64792,43139,30667.0,138598.0,30667.0
1968,MD,2,81707,52384,24248.0,158339.0,24248.0
1968,MD,3,31373,56078,21423.0,108874.0,21423.0
1968,MD,4,53272,59866,14517.0,127655.0,14517.0
1968,MD,5,77914,75771,36040.0,189725.0,36040.0
1968,MD,6,77686,52978,23667.0,154331.0,23667.0
1968,MD,7,35116,97023,10399.0,142538.0,10399.0
1968,MD,8,90507,96344,16989.0,203840.0,16989.0
1968,MA,1,71702,110313,8546.0,190561.0,8546.0
1968,MA,2,56157,114520,9000.0,179677.0,9000.0
1968,MA,3,67648,124927,5951.0,198526.0,5951.0
1968,MA,4,70871,127882,5725.0,204478.0,5725.0
1968,MA,5,70760,134795,6869.0,212424.0,6869.0
1968,MA,6,79134,128141,6734.0,214009.0,6734.0
1968,MA,7,60258,134490,6619.0,201367.0,6619.0
1968,MA,8,32246,119205,5547.0,156998.0,5547.0
1968,MA,9,18984,93954,7555.0,120493.0,7555.0
1968,MA,10,80088,122626,6863.0,209577.0,6863.0
1968,MA,11,63338,139835,10066.0,213239.0,10066.0
1968,MA,12,95259,118184,8504.0,221947.0,8504.0
1968,MI,1,16655,134437,5743.0,156835.0,5743.0
1968,MI,2,85262,74021,18158.0,177441.0,18158.0
1968,MI,3,95522,66035,18244.0,179801.0,18244.0
1968,MI,4,90599,55196,20442.0,166237.0,20442.0
1968,MI,5,94435,67946,12845.0,175226.0,12845.0
1968,MI,6,88645,66322,15113.0,170080.0,15113.0
1968,MI,7,72814,80373,26620.0,179807.0,26620.0
1968,MI,8,87375,60015,16719.0,164109.0,16719.0
1968,MI,9,100798,61539,14763.0,177100.0,14763.0
1968,MI,10,93778,63392,13043.0,170213.0,13043.0
1968,MI,11,78025,79327,9241.0,166593.0,9241.0
1968,MI,12,63837,115903,29634.0,209374.0,29634.0
1968,MI,13,11302,88625,5313.0,105240.0,5313.0
1968,MI,14,59930,96737,20717.0,177384.0,20717.0
1968,MI,15,47202,93045,27022.0,167269.0,27022.0
1968,MI,16,43432,95603,20268.0,159303.0,20268.0
1968,MI,17,55093,106860,17695.0,179648.0,17695.0
1968,MI,18,100114,102817,17150.0,220081.0,17150.0
1968,MI,19,85847,84889,23238.0,193974.0,23238.0
1968,MN,1,98996,102299,8056.0,209351.0,8056.0
1968,MN,2,88725,74900,7416.0,171041.0,7416.0
1968,MN,3,116344,136013,10277.0,262634.0,10277.0
1968,MN,4,74989,139017,10070.0,224076.0,10070.0
1968,MN,5,70016,114721,8455.0,193192.0,8455.0
1968,MN,6,82894,95102,9398.0,187394.0,9398.0
1968,MN,7,76302,77796,8190.0,162288.0,8190.0
1968,MN,8,50377,117890,7069.0,175336.0,7069.0
1968,MS,1,15273,29392,68020.0,112685.0,68020.0
1968,MS,2,17832,29660,82062.0,129554.0,82062.0
1968,MS,3,22236,41696,77047.0,140979.0,77047.0
1968,MS,4,11377,28724,87546.0,127647.0,87546.0
1968,MS,5,21798,21172,100674.0,143644.0,100674.0
1968,MO,1,24389,92774,18640.0,135803.0,18640.0
1968,MO,2,102107,95631,21057.0,218795.0,21057.0
1968,MO,3,51497,74642,6504.0,132643.0,6504.0
1968,MO,4,91360,77044,25985.0,194389.0,25985.0
1968,MO,5,47300,72425,12997.0,132722.0,12997.0
1968,MO,6,96584,82725,20158.0,199467.0,20158.0
1968,MO,7,115434,64721,20346.0,200501.0,20346.0
1968,MO,8,101211,76909,23612.0,201732.0,23612.0
1968,MO,9,100784,87016,26194.0,213994.0,26194.0
1968,MO,10,70098,59797,29122.0,159017.0,29122.0
1968,MT,1,67386,60338,11406.0,139130.0,11406.0
1968,MT,2,71449,53779,8609.0,133837.0,8609.0
1968,NE,1,110909,61274,11633.0,183816.0,11633.0
1968,NE,2,84690,59078,19044.0,162812.0,19044.0
1968,NE,3,125564,50432,14227.0,190223.0,14227.0
1968,NV,AL,73188,60598,20432.0,154218.0,20432.0
1968,NH,1,77568,63097,6197.0,146862.0,6197.0
1968,NH,2,77335,67492,4976.0,149803.0,4976.0
1968,NJ,1,75496,88661,28110.0,192267.0,28110.0
1968,NJ,2,77572,78078,20029.0,175679.0,20029.0
1968,NJ,3,101891,83308,16248.0,201447.0,16248.0
1968,NJ,4,93198,93120,23887.0,210205.0,23887.0
1968,NJ,5,127971,79978,16990.0,224939.0,16990.0
