year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes
1940,AL,250726,42184,100,1309,"{""Norman Thomas"": 100, ""Other"": 1209}",294219
1940,AZ,95267,54030,0,742,"{""Other"": 742}",150039
1940,AR,158622,42121,0,0,{},200743
1940,CA,1877618,1351419,16506,39754,"{""Norman Thomas"": 16506, ""Other"": 23248}",3268791
1940,CO,265554,279576,1899,3874,"{""Norman Thomas"": 1899, ""Other"": 1975}",549004
1940,CT,417621,361819,0,2062,"{""Other"": 2062}",781502
1940,DE,74599,61440,115,335,"{""Norman Thomas"": 115, ""Other"": 220}",136374
1940,FL,359334,126158,0,0,{},485492
1940,GA,265194,46360,0,997,"{""Other"": 997}",312551
1940,ID,127842,106553,497,773,"{""Norman Thomas"": 497, ""Other"": 276}",235168
1940,IL,2149934,2047240,10914,20761,"{""Norman Thomas"": 10914, ""Other"": 9847}",4217935
1940,IN,874063,899466,2075,9218,"{""Norman Thomas"": 2075, ""Other"": 7143}",1782747
1940,IA,578800,632370,0,4260,"{""Other"": 4260}",1215430
1940,KS,364725,489169,2347,6403,"{""Norman Thomas"": 2347, ""Other"": 4056}",860297
1940,KY,557222,410384,1014,2457,"{""Norman Thomas"": 1014, ""Other"": 1443}",970063
1940,LA,319751,52446,0,108,"{""Other"": 108}",372305
1940,ME-AL,156478,163951,0,411,"{""Other"": 411}",320840
1940,MD,384546,269534,4093,6037,"{""Norman Thomas"": 4093, ""Other"": 1944}",660117
1940,MA,1076522,939700,4091,10771,"{""Norman Thomas"": 4091, ""Other"": 6680}",2026993
1940,MI,1032991,1039917,7593,13021,"{""Norman Thomas"": 7593, ""Other"": 5428}",2085929
1940,MN,644196,596274,5454,10718,"{""Norman Thomas"": 5454, ""Other"": 5264}",1251188
1940,MS,168267,7364,193,193,"{""Norman Thomas"": 193}",175824
1940,MO,958476,871009,2226,4244,"{""Norman Thomas"": 2226, ""Other"": 2018}",1833729
1940,MT,145698,99579,1443,2596,"{""Norman Thomas"": 1443, ""Other"": 1153}",247873
1940,NE-AL,263677,352201,0,0,{},615878
1940,NV,31945,21229,0,0,{},53174
1940,NH,125292,110127,0,0,{},235419
1940,NJ,1016404,944876,2823,12934,"{""Norman Thomas"": 2823, ""Other"": 10111}",1974214
1940,NM,103699,79315,144,244,"{""Norman Thomas"": 144, ""Other"": 100}",183258
1940,NY,3251918,3027478,18950,22200,"{""Norman Thomas"": 18950, ""Other"": 3250}",6301596
1940,NC,609015,213633,0,0,{},822648
1940,ND,124036,154590,1279,2149,"{""Norman Thomas"": 1279, ""Other"": 870}",280775
1940,OH,1733139,1586773,0,0,{},3319912
1940,OK,474313,348872,0,3027,"{""Other"": 3027}",826212
1940,OR,258415,219555,398,3270,"{""Norman Thomas"": 398, ""Other"": 2872}",481240
1940,PA,2171035,1889848,10967,17831,"{""Norman Thomas"": 10967, ""Other"": 6864}",4078714
1940,RI,182182,138653,0,313,"{""Other"": 313}",321148
1940,SC,95470,4360,0,2,"{""Other"": 2}",99832
1940,SD,131362,177065,0,0,{},308427
1940,TN,351601,169153,463,2069,"{""Norman Thomas"": 463, ""Other"": 1606}",522823
1940,TX,909974,212692,728,1865,"{""Norman Thomas"": 728, ""Other"": 1137}",1124531
1940,UT,154277,93151,200,391,"{""Norman Thomas"": 200, ""Other"": 191}",247819
1940,VT,64269,78371,0,422,"{""Other"": 422}",143062
1940,VA,235961,109363,282,1283,"{""Norman Thomas"": 282, ""Other"": 1001}",346607
1940,WA,462145,322123,4586,9565,"{""Norman Thomas"": 4586, ""Other"": 4979}",793833
1940,WV,495662,372414,0,0,{},868076
1940,WI,704821,679206,15071,21495,"{""Norman Thomas"": 15071, ""Other"": 6424}",1405522
1940,WY,59287,52633,148,320,"{""Norman Thomas"": 148, ""Other"": 172}",112240
1940,NATIONAL,27313945,22347744,116599,240424,"{""Norman Thomas"": 116599, ""Other"": 123825}",49902113
