year,abbr,D_votes,R_votes,T_votes,third_party_votes,third_party_results,total_votes,source_url
1964,AL,210732,479085,210732,0,"{""Unpledged Electors"": 210732}",689817,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,AK,44329,22930,0,0,{},67259,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,AZ,237753,242535,0,482,"{""Other"": 482}",480770,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,AR,314197,243264,0,2965,"{""Other"": 2965}",560426,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,CA,4171877,2879108,0,6601,"{""Other"": 6601}",7057586,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,CO,476024,296767,0,4195,"{""Other"": 4195}",776986,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,CT,826269,390996,0,1313,"{""Other"": 1313}",1218578,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,DE,122704,78078,0,538,"{""Other"": 538}",201320,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,DC,169796,28801,0,0,{},198597,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,FL,948540,905941,0,0,{},1854481,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,GA,522557,616584,0,195,"{""Other"": 195}",1139336,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,HI,163249,44022,0,0,{},207271,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,ID,148920,143557,0,0,{},292477,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,IL,2796833,1905946,0,62,"{""Other"": 62}",4702841,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,IN,1170848,911118,0,9640,"{""Other"": 9640}",2091606,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,IA,733030,449148,0,2361,"{""Other"": 2361}",1184539,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,KS,464028,386579,0,7294,"{""Other"": 7294}",857901,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,KY,669659,372977,0,3469,"{""Other"": 3469}",1046105,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,LA,387068,509225,0,0,{},896293,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,ME-AL,262264,118701,0,256,"{""Other"": 256}",381221,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,MD,730912,385495,0,50,"{""Other"": 50}",1116457,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,MA,1786422,549727,0,8649,"{""Other"": 8649}",2344798,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,MI,2136615,1060152,0,6335,"{""Other"": 6335}",3203102,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,MN,991117,559624,0,3721,"{""Other"": 3721}",1554462,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,MS,52618,356528,0,0,{},409146,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,MO,1164344,653535,0,0,{},1817879,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,MT,164246,113032,0,1350,"{""Other"": 1350}",278628,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,NE-AL,307307,276847,0,0,{},584154,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,NV,79339,56094,0,0,{},135433,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
1964,NH,184064,104029,0,0,{},288093,https://en.wikipedia.org/wiki/1964_United_States_presidential_election
