year,abbr,D_votes,R_votes,T_votes,total_votes
2024,AL,772412,1462616,30062,2265090
2024,AK,140026,184458,13693,338177
2024,AZ,1582860,1770242,37059,3390161
2024,AR,396905,759241,26530,1182676
2024,CA,9276179,6081697,507599,15865475
2024,CO,1728159,1377441,87145,3192745
2024,CT,992053,736918,30039,1759010
2024,DE,289758,214351,8803,512912
2024,DC,294185,21076,10608,325869
2024,FL,4683038,6110125,100589,10893752
2024,GA,2548017,2663117,39771,5250905
2024,HI,313044,193661,9996,516701
2024,ID,274972,605246,24839,905057
2024,IL,3062863,2449079,121368,5633310
2024,IN,1163603,1720347,52727,2936677
2024,IA,707278,927019,29209,1663506
2024,KS,544853,758802,23936,1327591
2024,KY,704043,1337494,32993,2074530
2024,LA,766870,1208505,31600,2006975
2024,ME-AL,435652,377977,17746,831375
2024,ME-01,258863,165214,9632,433709
2024,ME-02,176789,212763,8114,397666
2024,MD,1902577,1035550,100207,3038334
2024,MA,2126518,1251303,95847,3473668
2024,MI,2736533,2816636,111017,5664186
2024,MN,1656979,1519032,77909,3253920
2024,MS,466668,747744,13596,1228008
2024,MO,1200599,1751986,42742,2995327
2024,MT,231906,352079,19005,602990
2024,NE-AL,369995,564816,17371,952182
2024,NE-01,136153,177666,6375,320194
2024,NE-02,163541,148905,6200,318646
2024,NE-03,70301,238245,4796,313342
2024,NV,705197,751205,28438,1484840
2024,NH,418488,395523,12178,826189
2024,NJ,2220713,1968215,83797,4272725
2024,NM,478802,423391,21210,923403
2024,NY,4619195,3578899,64401,8262495
2024,NC,2715375,2898423,85343,5699141
2024,ND,112327,246505,9323,368155
2024,OH,2533699,3180116,53973,5767788
2024,OK,499599,1036213,30361,1566173
2024,OR,1240600,919480,84413,2244493
2024,PA,3423042,3543308,92382,7058732
2024,RI,285156,214406,13824,513386
2024,SC,1028452,1483747,35941,2548140
2024,SD,146859,272081,9982,428922
2024,TN,1056265,1966865,40812,3063942
2024,TX,4835250,6393597,159827,11388674
2024,UT,562566,883818,42110,1488494
2024,VT,235791,119395,14236,369422
2024,VA,2335395,2075085,95461,4505941
2024,WA,2245849,1530923,147471,3924243
2024,WV,214309,533556,14717,762582
2024,WI,1668229,1697626,57063,3422918
2024,WY,69527,192633,6888,269048
2024,NATIONAL,75017613,77302580,2918109,155238302
