year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2002,Alabama,AL,II,regular,General,"2002 United States Senate election, Alabama","{""Turnout"": {""party"": ""Turnout"", ""votes"": 1353023, ""pct"": NaN}, ""Jeff Sessions (incumbent)"": {""party"": ""Republican"", ""votes"": 792561, ""pct"": 58.58}, ""Susan Parker"": {""party"": ""Democratic"", ""votes"": 538878, ""pct"": 39.83}, ""Majority"": {""party"": ""Majority"", ""votes"": 253683, ""pct"": 18.75}, ""Jeff Allen"": {""party"": ""Libertarian"", ""votes"": 20234, ""pct"": 1.5}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1350, ""pct"": 0.1}}",Turnout,Jeff Sessions (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Alabama
2002,Alaska,AK,II,regular,General,2002 United States Senate election in Alaska,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 229548, ""pct"": NaN}, ""Ted Stevens (Incumbent)"": {""party"": ""Republican"", ""votes"": 179438, ""pct"": 78.17}, ""Majority"": {""party"": ""Majority"", ""votes"": 155305, ""pct"": 67.66}, ""Frank Vondersaar"": {""party"": ""Democratic"", ""votes"": 24133, ""pct"": 10.51}, ""Jim Sykes"": {""party"": ""Green"", ""votes"": 16608, ""pct"": 7.24}, ""Jim Dore"": {""party"": ""Independence"", ""votes"": 6724, ""pct"": 2.93}, ""Leonard Karpinski"": {""party"": ""Libertarian"", ""votes"": 2354, ""pct"": 1.03}, ""291"": {""party"": ""Write-ins"", ""votes"": 291, ""pct"": 0.13}}",Turnout,Ted Stevens (Incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Alaska
2002,Arkansas,AR,II,regular,General,2002 United States Senate election in Arkansas,"{""Mark Pryor"": {""party"": ""Democratic"", ""votes"": 435347, ""pct"": 53.86}, ""Tim Hutchinson (incumbent)"": {""party"": ""Republican"", ""votes"": 372909, ""pct"": 46.14}}",Mark Pryor,Tim Hutchinson (incumbent),blue,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Arkansas
2002,Colorado,CO,II,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 1416082, ""pct"": 100.0}, ""Wayne Allard (incumbent)"": {""party"": ""Republican"", ""votes"": 717899, ""pct"": 50.7}, ""Tom Strickland"": {""party"": ""Democratic"", ""votes"": 648130, ""pct"": 45.77}, ""Majority"": {""party"": ""Majority"", ""votes"": 69763, ""pct"": 4.93}, ""Douglas Campbell"": {""party"": ""Constitution"", ""votes"": 21547, ""pct"": 1.52}, ""Rick Stanley"": {""party"": ""Libertarian"", ""votes"": 20776, ""pct"": 1.47}, ""John Heckman"": {""party"": ""Independent"", ""votes"": 7140, ""pct"": 0.5}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 596, ""pct"": 0.04}}",Turnout,Wayne Allard (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Colorado
2002,Delaware,DE,II,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 232314, ""pct"": NaN}, ""Joe Biden (incumbent)"": {""party"": ""Democratic"", ""votes"": 135253, ""pct"": 58.22}, ""Raymond J. Clatworthy"": {""party"": ""Republican"", ""votes"": 94793, ""pct"": 40.8}, ""Majority"": {""party"": ""Majority"", ""votes"": 40460, ""pct"": 17.42}, ""Maurice Barros"": {""party"": ""Independent Party"", ""votes"": 996, ""pct"": 0.43}, ""Raymond T. Buranello"": {""party"": ""Libertarian"", ""votes"": 922, ""pct"": 0.4}, ""Robert E. Mattson"": {""party"": ""Natural Law"", ""votes"": 350, ""pct"": 0.15}}",Turnout,Joe Biden (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Delaware
2002,Georgia,GA,II,regular,General,General election results,"{""Saxby Chambliss"": {""party"": ""Republican"", ""votes"": 1071153, ""pct"": 52.77}, ""Max Cleland (incumbent)"": {""party"": ""Democratic"", ""votes"": 931857, ""pct"": 45.9}, ""Claude Thomas"": {""party"": ""Libertarian"", ""votes"": 26981, ""pct"": 1.33}}",Saxby Chambliss,Max Cleland (incumbent),red,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Georgia
2002,Idaho,ID,II,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 408544, ""pct"": NaN}, ""Larry Craig (incumbent)"": {""party"": ""Republican"", ""votes"": 266215, ""pct"": 65.16}, ""Majority"": {""party"": ""Majority"", ""votes"": 133240, ""pct"": 32.61}, ""Alan Blinken"": {""party"": ""Democratic"", ""votes"": 132975, ""pct"": 32.55}, ""Donovan Bramwell"": {""party"": ""Libertarian"", ""votes"": 9354, ""pct"": 2.29}}",Turnout,Larry Craig (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Idaho
2002,Illinois,IL,II,regular,General,"United States Senate election in Illinois, 2002","{""Turnout"": {""party"": ""Turnout"", ""votes"": 3486851, ""pct"": 49.5}, ""Dick Durbin (incumbent)"": {""party"": ""Democratic"", ""votes"": 2103766, ""pct"": 60.33}, ""Jim Durkin"": {""party"": ""Republican"", ""votes"": 1325703, ""pct"": 38.02}, ""Majority"": {""party"": ""Majority"", ""votes"": 778063, ""pct"": 22.31}, ""Steven Burgauer"": {""party"": ""Libertarian"", ""votes"": 57382, ""pct"": 1.65}}",Turnout,Dick Durbin (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Illinois
2002,Iowa,IA,II,regular,General,"United States Senate election in Iowa, 2002","{""Turnout"": {""party"": ""Turnout"", ""votes"": 1023075, ""pct"": NaN}, ""Tom Harkin (incumbent)"": {""party"": ""Democratic"", ""votes"": 554278, ""pct"": 54.18}, ""Greg Ganske"": {""party"": ""Republican"", ""votes"": 447892, ""pct"": 43.78}, ""Majority"": {""party"": ""Majority"", ""votes"": 106386, ""pct"": 10.4}, ""Timothy A. Harthan"": {""party"": ""Green"", ""votes"": 11340, ""pct"": 1.11}, ""Richard J. Moore"": {""party"": ""Libertarian"", ""votes"": 8864, ""pct"": 0.87}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 701, ""pct"": 0.06}}",Turnout,Tom Harkin (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Iowa
2002,Kansas,KS,II,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 776850, ""pct"": NaN}, ""Pat Roberts (incumbent)"": {""party"": ""Republican"", ""votes"": 641075, ""pct"": 82.52}, ""Majority"": {""party"": ""Majority"", ""votes"": 570350, ""pct"": 73.42}, ""Steven Rosile"": {""party"": ""Libertarian"", ""votes"": 70725, ""pct"": 9.1}, ""George Cook"": {""party"": ""Reform"", ""votes"": 65050, ""pct"": 8.37}}",Turnout,Pat Roberts (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Kansas
2002,Kentucky,KY,II,regular,General,General election results,"{""Mitch McConnell (incumbent)"": {""party"": ""Republican"", ""votes"": 731679, ""pct"": 64.68}, ""Lois Combs Weinberg"": {""party"": ""Democratic"", ""votes"": 399634, ""pct"": 35.32}, ""Majority"": {""party"": ""Majority"", ""votes"": 332045, ""pct"": 29.35}}",Mitch McConnell (incumbent),Lois Combs Weinberg,red,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Kentucky
2002,Louisiana,LA,II,regular,General,"Louisiana United States Senate election runoff, December 7, 2002","{""Turnout"": {""party"": ""Turnout"", ""votes"": 1235296, ""pct"": 100.0}, ""Mary Landrieu (incumbent)"": {""party"": ""Democratic"", ""votes"": 638654, ""pct"": 51.7}, ""Suzanne Haik Terrell"": {""party"": ""Republican"", ""votes"": 596642, ""pct"": 48.3}, ""Majority"": {""party"": ""Majority"", ""votes"": 42012, ""pct"": 3.4}}",Turnout,Mary Landrieu (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Louisiana
2002,Maine,ME,II,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 504899, ""pct"": 100.0}, ""Susan Collins (incumbent)"": {""party"": ""Republican"", ""votes"": 295041, ""pct"": 58.44}, ""Chellie Pingree"": {""party"": ""Democratic"", ""votes"": 209858, ""pct"": 41.56}, ""Majority"": {""party"": ""Majority"", ""votes"": 85183, ""pct"": 16.87}}",Turnout,Susan Collins (incumbent),yellow,https://en.wikipedia.org/wiki/2002_United_States_Senate_election_in_Maine
