year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2020,Alabama,AL,II,regular,General,"United States Senate election in Alabama, 2020","{""Tommy Tuberville"": {""party"": ""Republican"", ""votes"": 1392076, ""pct"": 60.1}, ""Doug Jones"": {""party"": ""Democratic"", ""votes"": 920478, ""pct"": 39.74}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 3891, ""pct"": 0.17}}",2316445,Tommy Tuberville,Doug Jones,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Alabama
2020,Alaska,AK,II,regular,General,2020 United States Senate election in Alaska,"{""Dan Sullivan"": {""party"": ""Republican"", ""votes"": 191112, ""pct"": 53.9}, ""Al Gross"": {""party"": ""Independent"", ""votes"": 146068, ""pct"": 41.19}, ""John Howe"": {""party"": ""Independence"", ""votes"": 16806, ""pct"": 4.74}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 601, ""pct"": 0.17}}",354587,Dan Sullivan,Al Gross,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Alaska
2020,Arkansas,AR,II,regular,General,"United States Senate election in Arkansas, 2020","{""Tom Cotton"": {""party"": ""Republican"", ""votes"": 793871, ""pct"": 66.53}, ""Ricky Dale Harrington Jr."": {""party"": ""Libertarian"", ""votes"": 399390, ""pct"": 33.47}}",1193261,Tom Cotton,Ricky Dale Harrington Jr.,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Arkansas
2020,Colorado,CO,II,regular,General,"United States Senate election in Colorado, 2020","{""John Hickenlooper"": {""party"": ""Democratic"", ""votes"": 1731114, ""pct"": 53.5}, ""Cory Gardner"": {""party"": ""Republican"", ""votes"": 1429492, ""pct"": 44.18}, ""Raymon Doane"": {""party"": ""Libertarian"", ""votes"": 56262, ""pct"": 1.74}, ""Daniel Doyle"": {""party"": ""Approval Voting"", ""votes"": 9820, ""pct"": 0.3}, ""Stephen Evans"": {""party"": ""Unity"", ""votes"": 8971, ""pct"": 0.28}}",3235659,John Hickenlooper,Cory Gardner,deepskyblue,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Colorado
2020,Delaware,DE,II,regular,General,"United States Senate election in Delaware, 2020","{""Chris Coons"": {""party"": ""Democratic"", ""votes"": 291804, ""pct"": 59.44}, ""Lauren Witzke"": {""party"": ""Republican"", ""votes"": 186054, ""pct"": 37.9}, ""Mark Turley"": {""party"": ""Independent Party"", ""votes"": 7833, ""pct"": 1.59}, ""Nadine Frost"": {""party"": ""Libertarian"", ""votes"": 5244, ""pct"": 1.07}}",490935,Chris Coons,Lauren Witzke,deepskyblue,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Delaware
2020,Idaho,ID,II,regular,General,"United States Senate election in Idaho, 2020","{""Jim Risch"": {""party"": ""Republican"", ""votes"": 538446, ""pct"": 62.62}, ""Paulette Jordan"": {""party"": ""Democratic"", ""votes"": 285864, ""pct"": 33.25}, ""Natalie Fleming"": {""party"": ""Independent"", ""votes"": 25329, ""pct"": 2.95}, ""Ray Writz"": {""party"": ""Constitution"", ""votes"": 10188, ""pct"": 1.18}}",859827,Jim Risch,Paulette Jordan,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Idaho
2020,Illinois,IL,II,regular,General,"United States Senate election in Illinois, 2020","{""Dick Durbin"": {""party"": ""Democratic"", ""votes"": 3278930, ""pct"": 54.93}, ""Mark Curran"": {""party"": ""Republican"", ""votes"": 2319870, ""pct"": 38.87}, ""Willie Wilson"": {""party"": ""Willie Wilson Party"", ""votes"": 237699, ""pct"": 3.98}, ""Danny Malouf"": {""party"": ""Libertarian"", ""votes"": 75673, ""pct"": 1.27}, ""David Black"": {""party"": ""Green"", ""votes"": 56711, ""pct"": 0.95}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 18, ""pct"": 0.0}}",5968901,Dick Durbin,Mark Curran,deepskyblue,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Illinois
2020,Iowa,IA,II,regular,General,2020 United States Senate election in Iowa,"{""Joni Ernst"": {""party"": ""Republican"", ""votes"": 864997, ""pct"": 51.74}, ""Theresa Greenfield"": {""party"": ""Democratic"", ""votes"": 754859, ""pct"": 45.15}, ""Rick Stewart"": {""party"": ""Libertarian"", ""votes"": 36961, ""pct"": 2.21}, ""Suzanne Herzog"": {""party"": ""Independent"", ""votes"": 13800, ""pct"": 0.83}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1211, ""pct"": 0.07}}",1671828,Joni Ernst,Theresa Greenfield,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Iowa
2020,Kansas,KS,II,regular,General,"United States Senate election in Kansas, 2020","{""Roger Marshall"": {""party"": ""Republican"", ""votes"": 727962, ""pct"": 53.22}, ""Barbara Bollier"": {""party"": ""Democratic"", ""votes"": 571530, ""pct"": 41.79}, ""Jason Buckley"": {""party"": ""Libertarian"", ""votes"": 68263, ""pct"": 4.99}}",1367755,Roger Marshall,Barbara Bollier,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Kansas
2020,Kentucky,KY,II,regular,General,2020 United States Senate election in Kentucky,"{""Mitch McConnell"": {""party"": ""Republican"", ""votes"": 1233315, ""pct"": 57.76}, ""Amy McGrath"": {""party"": ""Democratic"", ""votes"": 816257, ""pct"": 38.23}, ""Brad Barron"": {""party"": ""Libertarian"", ""votes"": 85386, ""pct"": 4.0}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 99, ""pct"": 0.01}}",2135057,Mitch McConnell,Amy McGrath,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Kentucky
2020,Maine,ME,II,regular,General,"United States Senate election in Maine, 2020","{""Susan Collins"": {""party"": ""Republican"", ""votes"": 417645, ""pct"": 50.98}, ""Sara Gideon"": {""party"": ""Democratic"", ""votes"": 347223, ""pct"": 42.39}, ""Lisa Savage"": {""party"": ""Independent"", ""votes"": 40579, ""pct"": 4.95}, ""Max Linn"": {""party"": ""Independent"", ""votes"": 13508, ""pct"": 1.65}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 228, ""pct"": 0.03}}",819183,Susan Collins,Sara Gideon,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Maine
2020,Massachusetts,MA,II,regular,General,"United States Senate election in Massachusetts, 2020","{""Ed Markey"": {""party"": ""Democratic"", ""votes"": 2357809, ""pct"": 66.15}, ""Kevin O'Connor"": {""party"": ""Republican"", ""votes"": 1177765, ""pct"": 33.05}, ""Shiva Ayyadurai"": {""party"": ""Independent"", ""votes"": 21134, ""pct"": 0.59}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 7428, ""pct"": 0.21}}",3564136,Ed Markey,Kevin O'Connor,deepskyblue,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Massachusetts
2020,Michigan,MI,II,regular,General,2020 United States Senate election in Michigan,"{""Gary Peters"": {""party"": ""Democratic"", ""votes"": 2734568, ""pct"": 49.9}, ""John James"": {""party"": ""Republican"", ""votes"": 2642233, ""pct"": 48.22}, ""Valerie Willis"": {""party"": ""Constitution"", ""votes"": 50597, ""pct"": 0.92}, ""Marcia Squier"": {""party"": ""Green"", ""votes"": 39217, ""pct"": 0.72}, ""Doug Dern"": {""party"": ""Natural Law"", ""votes"": 13093, ""pct"": 0.24}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 12, ""pct"": 0.0}}",5479720,Gary Peters,John James,deepskyblue,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Michigan
2020,Minnesota,MN,II,regular,General,2020 United States Senate election in Minnesota,"{""Tina Smith"": {""party"": ""Democratic (DFL)"", ""votes"": 1566522, ""pct"": 48.74}, ""Jason Lewis"": {""party"": ""Republican"", ""votes"": 1398145, ""pct"": 43.5}, ""Kevin O'Connor"": {""party"": ""Legal Marijuana Now"", ""votes"": 190154, ""pct"": 5.91}, ""Oliver Steinberg"": {""party"": ""Grassroots—LC"", ""votes"": 57174, ""pct"": 1.78}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2261, ""pct"": 0.07}}",3214256,Tina Smith,Jason Lewis,deepskyblue,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Minnesota
2020,Mississippi,MS,II,regular,General,2020 United States Senate election in Mississippi,"{""Cindy Hyde-Smith"": {""party"": ""Republican"", ""votes"": 709511, ""pct"": 54.11}, ""Mike Espy"": {""party"": ""Democratic"", ""votes"": 578691, ""pct"": 44.13}, ""Jimmy Edwards"": {""party"": ""Libertarian"", ""votes"": 23152, ""pct"": 1.77}}",1311354,Cindy Hyde-Smith,Mike Espy,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Mississippi
2020,Montana,MT,II,regular,General,"United States Senate election in Montana, 2020","{""Steve Daines"": {""party"": ""Republican"", ""votes"": 333174, ""pct"": 55.01}, ""Steve Bullock"": {""party"": ""Democratic"", ""votes"": 272463, ""pct"": 44.99}}",605637,Steve Daines,Steve Bullock,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Montana
2020,Nebraska,NE,II,regular,General,"United States Senate election in Nebraska, 2020","{""Ben Sasse"": {""party"": ""Republican"", ""votes"": 583507, ""pct"": 62.74}, ""Majority"": {""party"": ""Majority"", ""votes"": 356316, ""pct"": 38.31}, ""Chris Janicek"": {""party"": ""Democratic"", ""votes"": 227191, ""pct"": 24.43}, ""Preston Love Jr."": {""party"": ""Democratic"", ""votes"": 58411, ""pct"": 6.28}, ""Gene Siadek"": {""party"": ""Libertarian"", ""votes"": 55115, ""pct"": 5.93}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 5788, ""pct"": 0.62}}",1286328,Ben Sasse,Majority,red,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Nebraska
2020,New Hampshire,NH,II,regular,General,"United States Senate election in New Hampshire, 2020","{""Jeanne Shaheen"": {""party"": ""Democratic"", ""votes"": 450778, ""pct"": 56.63}, ""Bryant \""Corky\"" Messner"": {""party"": ""Republican"", ""votes"": 326229, ""pct"": 40.99}, ""Justin O'Donnell"": {""party"": ""Libertarian"", ""votes"": 18421, ""pct"": 2.32}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 486, ""pct"": 0.06}}",795914,Jeanne Shaheen,"Bryant ""Corky"" Messner",deepskyblue,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_New_Hampshire
