year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2016,Alabama,AL,III,regular,General,2016 United States Senate election in Alabama,"{""Richard Shelby"": {""party"": ""Republican"", ""votes"": 1335104, ""pct"": 63.96}, ""Ron Crumpton"": {""party"": ""Democratic"", ""votes"": 748709, ""pct"": 35.87}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 3631, ""pct"": 0.17}}",2087444,Richard Shelby,Ron Crumpton,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Alabama
2016,Alaska,AK,III,regular,General,2016 United States Senate election in Alaska,"{""Lisa Murkowski"": {""party"": ""Republican"", ""votes"": 138149, ""pct"": 44.36}, ""Joe Miller"": {""party"": ""Libertarian"", ""votes"": 90825, ""pct"": 29.16}, ""Margaret Stock"": {""party"": ""Independent"", ""votes"": 41194, ""pct"": 13.23}, ""Ray Metcalfe"": {""party"": ""Democratic"", ""votes"": 36200, ""pct"": 11.62}, ""Breck A. Craig"": {""party"": ""Independent"", ""votes"": 2609, ""pct"": 0.84}, ""Ted Gianoutsos"": {""party"": ""Independent"", ""votes"": 1758, ""pct"": 0.56}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 706, ""pct"": 0.23}}",311441,Lisa Murkowski,Joe Miller,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Alaska
2016,Arizona,AZ,III,regular,General,"United States Senate election in Arizona, 2016","{""John McCain"": {""party"": ""Republican"", ""votes"": 1359267, ""pct"": 53.71}, ""Ann Kirkpatrick"": {""party"": ""Democratic"", ""votes"": 1031245, ""pct"": 40.75}, ""Gary Swing"": {""party"": ""Green"", ""votes"": 138634, ""pct"": 5.48}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1584, ""pct"": 0.06}}",2530730,John McCain,Ann Kirkpatrick,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Arizona
2016,Arkansas,AR,III,regular,General,"United States Senate election in Arkansas, 2016","{""John Boozman"": {""party"": ""Republican"", ""votes"": 661984, ""pct"": 59.77}, ""Conner Eldridge"": {""party"": ""Democratic"", ""votes"": 400602, ""pct"": 36.17}, ""Frank Gilbert"": {""party"": ""Libertarian"", ""votes"": 43866, ""pct"": 3.96}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1070, ""pct"": 0.1}}",1107522,John Boozman,Conner Eldridge,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Arkansas
2016,California,CA,III,regular,General,"United States Senate election in California, 2016","{""Kamala Harris"": {""party"": ""Democratic"", ""votes"": 7542753, ""pct"": 61.6}, ""Loretta Sanchez"": {""party"": ""Democratic"", ""votes"": 4701417, ""pct"": 38.4}}",12244170,Kamala Harris,Loretta Sanchez,blue,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_California
2016,Colorado,CO,III,regular,General,"United States Senate election in Colorado, 2016","{""Michael Bennet"": {""party"": ""Democratic"", ""votes"": 1370710, ""pct"": 49.97}, ""Darryl Glenn"": {""party"": ""Republican"", ""votes"": 1215318, ""pct"": 44.31}, ""Lily Tang Williams"": {""party"": ""Libertarian"", ""votes"": 99277, ""pct"": 3.62}, ""Arn Menconi"": {""party"": ""Green"", ""votes"": 36805, ""pct"": 1.34}, ""Bill Hammons"": {""party"": ""Unity"", ""votes"": 9336, ""pct"": 0.34}, ""Dan Chapin"": {""party"": ""Independent"", ""votes"": 8361, ""pct"": 0.3}, ""Paul Fiorino"": {""party"": ""Independent"", ""votes"": 3216, ""pct"": 0.12}}",2743023,Michael Bennet,Darryl Glenn,blue,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Colorado
2016,Connecticut,CT,III,regular,General,"United States Senate election in Connecticut, 2016","{""Richard Blumenthal"": {""party"": ""Democratic"", ""votes"": 1008714, ""pct"": 63.19}, ""Dan Carter"": {""party"": ""Republican"", ""votes"": 552621, ""pct"": 34.62}, ""Richard Lion"": {""party"": ""Libertarian"", ""votes"": 18190, ""pct"": 1.14}, ""Jeffery Russell"": {""party"": ""Green"", ""votes"": 16713, ""pct"": 1.05}, ""Andrew Rule"": {""party"": ""Independent"", ""votes"": 26, ""pct"": 0.0}, ""John M. Traceski"": {""party"": ""Independent"", ""votes"": 12, ""pct"": 0.0}}",1596276,Richard Blumenthal,Dan Carter,blue,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Connecticut
2016,Florida,FL,III,regular,General,"United States Senate election in Florida, 2016","{""Marco Rubio"": {""party"": ""Republican"", ""votes"": 4835191, ""pct"": 51.98}, ""Patrick Murphy"": {""party"": ""Democratic"", ""votes"": 4122088, ""pct"": 44.31}, ""Paul Stanton"": {""party"": ""Libertarian"", ""votes"": 196956, ""pct"": 2.12}, ""Bruce Nathan"": {""party"": ""Independent"", ""votes"": 52451, ""pct"": 0.56}, ""Tony Khoury"": {""party"": ""Independent"", ""votes"": 45820, ""pct"": 0.49}, ""Steven Machat"": {""party"": ""Independent"", ""votes"": 26918, ""pct"": 0.29}, ""Basil E. Dalack"": {""party"": ""Independent"", ""votes"": 22236, ""pct"": 0.24}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 160, ""pct"": 0.0}}",9301820,Marco Rubio,Patrick Murphy,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Florida
2016,Georgia,GA,III,regular,General,"United States Senate election in Georgia, 2016","{""Johnny Isakson"": {""party"": ""Republican"", ""votes"": 2135806, ""pct"": 54.8}, ""Jim Barksdale"": {""party"": ""Democratic"", ""votes"": 1599726, ""pct"": 41.04}, ""Allen Buckley"": {""party"": ""Libertarian"", ""votes"": 162260, ""pct"": 4.16}}",3897792,Johnny Isakson,Jim Barksdale,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Georgia
2016,Hawaii,HI,III,regular,General,"United States Senate election in Hawaii, 2016","{""Brian Schatz"": {""party"": ""Democratic"", ""votes"": 306604, ""pct"": 73.61}, ""John Carroll"": {""party"": ""Republican"", ""votes"": 92653, ""pct"": 22.24}, ""Joy Allison"": {""party"": ""Constitution"", ""votes"": 9103, ""pct"": 2.19}, ""Michael Kokowski"": {""party"": ""Libertarian"", ""votes"": 6809, ""pct"": 1.63}, ""John Giuffre"": {""party"": ""American Shopping"", ""votes"": 1393, ""pct"": 0.33}}",416562,Brian Schatz,John Carroll,blue,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Hawaii
2016,Idaho,ID,III,regular,General,"United States Senate election in Idaho, 2016","{""Mike Crapo"": {""party"": ""Republican"", ""votes"": 449017, ""pct"": 66.13}, ""Jerry Sturgill"": {""party"": ""Democratic"", ""votes"": 188249, ""pct"": 27.73}, ""Ray J. Writz"": {""party"": ""Constitution"", ""votes"": 41677, ""pct"": 6.14}}",678943,Mike Crapo,Jerry Sturgill,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Idaho
2016,Illinois,IL,III,regular,General,"United States Senate election in Illinois, 2016","{""Tammy Duckworth"": {""party"": ""Democratic"", ""votes"": 3012940, ""pct"": 54.86}, ""Mark Kirk"": {""party"": ""Republican"", ""votes"": 2184692, ""pct"": 39.78}, ""Kenton McMillen"": {""party"": ""Libertarian"", ""votes"": 175988, ""pct"": 3.21}, ""Scott Summers"": {""party"": ""Green"", ""votes"": 117619, ""pct"": 2.14}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 639, ""pct"": 0.01}}",5491878,Tammy Duckworth,Mark Kirk,blue,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Illinois
2016,Indiana,IN,III,regular,General,"United States Senate election in Indiana, 2016","{""Todd Young"": {""party"": ""Republican"", ""votes"": 1423991, ""pct"": 52.11}, ""Evan Bayh"": {""party"": ""Democratic"", ""votes"": 1158947, ""pct"": 42.41}, ""Lucy Brenton"": {""party"": ""Libertarian"", ""votes"": 149481, ""pct"": 5.47}, ""James L. Johnson, Jr."": {""party"": ""Independent"", ""votes"": 127, ""pct"": 0.01}}",2732546,Todd Young,Evan Bayh,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Indiana
2016,Iowa,IA,III,regular,General,"United States Senate election in Iowa, 2016","{""Chuck Grassley"": {""party"": ""Republican"", ""votes"": 926007, ""pct"": 60.09}, ""Patty Judge"": {""party"": ""Democratic"", ""votes"": 549460, ""pct"": 35.66}, ""Charles Aldrich"": {""party"": ""Libertarian"", ""votes"": 41794, ""pct"": 2.71}, ""Jim Hennager"": {""party"": ""Independent"", ""votes"": 17649, ""pct"": 1.15}, ""Michael Luick-Thrams"": {""party"": ""Independent"", ""votes"": 4441, ""pct"": 0.29}, ""Write-ins"": {""party"": ""n/a"", ""votes"": 1685, ""pct"": 0.11}}",1541036,Chuck Grassley,Patty Judge,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Iowa
2016,Kansas,KS,III,regular,General,2016 United States Senate election in Kansas,"{""Jerry Moran"": {""party"": ""Republican"", ""votes"": 732376, ""pct"": 62.18}, ""Patrick Wiesner"": {""party"": ""Democratic"", ""votes"": 379740, ""pct"": 32.24}, ""Robert D. Garrard"": {""party"": ""Libertarian"", ""votes"": 65760, ""pct"": 5.58}, ""DJ Smith"": {""party"": ""Independent"", ""votes"": 46, ""pct"": 0.0}}",1177922,Jerry Moran,Patrick Wiesner,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Kansas
2016,Kentucky,KY,III,regular,General,"United States Senate election in Kentucky, 2016","{""Rand Paul"": {""party"": ""Republican"", ""votes"": 1090177, ""pct"": 57.27}, ""Jim Gray"": {""party"": ""Democratic"", ""votes"": 813246, ""pct"": 42.73}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 42, ""pct"": 0.0}}",1903465,Rand Paul,Jim Gray,red,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Kentucky
