abbr,rel_2024,rel_2048_target,2028,2032,2036,2040,2044
AK,-0.116667725173,0.02825475321489951,-0.036928000166667786,-0.044696525091548554,-0.022081751936614314,-0.009558896021381939,-0.006309449962686743
AL,-0.289994627012,-0.4041191425554444,-0.3012012342933574,-0.31743517873518645,-0.3042803685755868,-0.3285392072390093,-0.3321256319883448
AR,-0.291650529815,-0.5068192545583663,-0.3063485357152154,-0.3103246739021892,-0.33389726349255494,-0.3770352099355269,-0.4153486558005652
AZ,-0.040553208255,0.008357486140428,-0.012029459646256926,0.0026784586760365183,0.052158184713313786,0.012023141566391478,0.016855356070405406
CA,0.216067114384,0.34622758121632646,0.2447112084790057,0.23573602973167104,0.25507099606245026,0.2733604513719403,0.32168125508794027
CO,0.124567514941,0.2527299451419704,0.1568642599590386,0.16805641496914883,0.16243868342087353,0.1903855675839578,0.205969585390921
CT,0.159763748773,0.16998458081900042,0.16500867305073524,0.189653752009501,0.192812228592196,0.18573829357084734,0.1793928326716098
DC,0.852813541969,0.9418152333495574,0.6962934101232086,0.7049292799802261,0.7099167015059467,0.7138748479211141,0.7111500993225236
DE,0.161736515064,0.1970214505601528,0.17215478001807724,0.18728341314367755,0.16397748748106175,0.19504014842287556,0.16456553294930992
FL,-0.116281410803,-0.19060861859711076,-0.14279927505395845,-0.14649311528315329,-0.15188114987243811,-0.16010055277754265,-0.16240209189475377
GA,-0.007200937956,0.07799833651897126,0.014658266392949341,0.011385298193842555,0.014175952342212474,0.04081102650030321,0.052789817167586295
HI,0.245767610393,0.32018013765624453,0.24208095981166364,0.19166975492670638,0.1866402812898486,0.20516790400475535,0.23499798829567312
IA,-0.117376012185,-0.24937923304474358,-0.15559129732282517,-0.18252020811775768,-0.2100453468749224,-0.21499402649053778,-0.22470420573291697
ID,-0.350201569483,-0.3352376961229188,-0.3463824172908873,-0.35498584060094684,-0.3404571494298876,-0.3290994886980119,-0.33809504443602373
IL,0.123675283915,0.10949225456897953,0.11296477758303469,0.1034378358436361,0.11151285268564536,0.09926511712814783,0.10567054729192477
IN,-0.174863894874,-0.19185434115221597,-0.2376669452109848,-0.21465705289738599,-0.2483968580591054,-0.21454228415339952,-0.246620756804551
KS,-0.146436714803,-0.10119310205119761,-0.13200910643670213,-0.12386312476259478,-0.1061155937991288,-0.0903380335079202,-0.11278414226212494
KY,-0.290627660268,-0.4105788592893606,-0.31119855513338884,-0.313212611084536,-0.3327604269674958,-0.33598790991372807,-0.3604851282337353
LA,-0.20533098239,-0.3075556464771897,-0.2113160882581742,-0.1848950715721822,-0.2022327870729153,-0.2548915424379589,-0.2727694325204683
MA,0.266676102105,0.291419553474723,0.28683568141865584,0.2918621484630909,0.31154550853147756,0.28898472992645946,0.3046700885964404
MD,0.300081729206,0.4306265680035909,0.3218830300847219,0.33819536839906994,0.35640192270066684,0.37661723227466193,0.39015032026981794
ME-01,0.230644978762,0.3093998648445544,0.22453957199574218,0.25191302897726237,0.25993616700963423,0.29176369087125187,0.28810186143580085
ME-02,-0.075743757762,-0.24219261809475978,-0.12222322222636911,-0.1360050469094782,-0.16526502577860808,-0.16887814539127602,-0.22741968871235954
ME-AL,0.0840921195846697,0.045560350400957586,0.05867486193454223,0.06636279043800322,0.05655254646375641,0.07142798621429873,0.04151591314385276
MI,0.000577078568,-0.02212534171969728,0.0001665779256194296,-0.0296673621662425,-0.06772730730309266,-0.0768533856931448,-0.04490127146943058
MN,0.057113189938,0.0574070284221089,0.031206125818991307,0.05702955189565014,0.049478016784656444,0.04842980419240975,0.042359444942673144
MO,-0.169363312722,-0.29564729892542907,-0.1856325433685332,-0.19753802624692773,-0.20716675198029197,-0.21737236811600316,-0.23658776379988883
MS,-0.214168666717,-0.2126401463462413,-0.24285341905299482,-0.20881364406298616,-0.23040752894237257,-0.24333623224764775,-0.21906904180370657
MT,-0.184576086052,-0.19513731312734517,-0.20521509812445918,-0.16728172763022334,-0.22406763170140306,-0.21765032575432333,-0.2049181566753372
NATIONAL,0.0,-0.009495113644927536,-0.0016043881262477742,-0.003173901363174499,-0.004750995860894181,-0.006344817256071301,-0.007909478180882007
NC,-0.017399431556,0.07730637151596309,-0.0010568398120774387,0.019371753056277842,0.03587278664818557,0.05499208947665194,0.05937874648232063
ND,-0.349741528233,-0.4832751574724757,-0.40749954181770087,-0.40334074437838896,-0.4611139011596134,-0.4392047896406904,-0.4505733365220356
NE-01,-0.114930432003,-0.018667841784822184,-0.08736495851853934,-0.0901351363049322,-0.07593113904671922,-0.041100565416955025,-0.055189405350076284
NE-02,0.060650942109,0.27822457045120147,0.09669186620958867,0.09595433808167823,0.14621070014083887,0.23168946243617813,0.26025165287550106
NE-03,-0.521257571503,-0.588741455549519,-0.50290946567614,-0.5099168427920752,-0.5168459313366229,-0.5279810598849146,-0.5311982748875546
NE-AL,-0.18988569896868163,-0.10691192400324012,-0.16251716260290328,-0.1660014862450681,-0.14668706003235468,-0.11003345501399628,-0.10627159316633956
NH,0.042515396239,0.032884870449207806,0.042081819913760386,0.04446180352088475,0.04515121426641793,0.03711619164638654,0.01838893123356388
NJ,0.073814401002,-0.0017179462371197801,0.06722386309688978,0.05541475750273798,0.023051602825452943,-0.005558306373703804,0.013576816264672258
NM,0.074726478697,0.10508751880308066,0.09251804022302643,0.09981429621677458,0.0948062886876467,0.10638545599280912,0.1061496610549555
NV,-0.016266063678,-0.03680515082872837,0.0032909783134474134,-0.03247079550431004,-0.07394181081164376,-0.05638273278473321,-0.05232540520305115
NY,0.140624887772,0.05984105634517006,0.11951103429476112,0.11363058766242859,0.07329228775897158,0.039942324884827976,0.04599518564327961
