,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AK,0.4652873379427328,-0.05369158691514534,-0.05624145432409551,0.7066840028415801,0.4619095631537161,0.022929860751749312,0.20038049142895223,0.0829566968884304,0.17144554249268748,0.058654159724720746,0.014257280889217353,0.081964659269545,-0.06083624812405192,-0.07069704221981983,0.0017081773876364578
AL,0.35789026895280274,0.8941225068940315,0.06501411987593539,-0.08573053690561758,-0.22889887974478704,0.01720408708238848,0.09375519212045012,0.08789745945263593,-0.01974041791526283,0.009877952225153329,-0.09404620067988775,0.003260584512991597,0.09548348760047731,0.03462965120901719,-0.0609674394556593
AR,0.5349689179913789,0.8184271038418738,-0.12015137631971189,0.030318604707966795,-0.14658607773919602,-0.133982415717712,-0.05197504683220107,0.014776254855120866,0.02111678778890007,-0.06999429944159029,-0.036252649867387854,0.053497106457410314,0.0017516150379805642,-0.0704644167326627,0.023634550201884045
AZ,0.834436121848425,0.4225265751011972,0.2893140128121604,-0.17972746026714947,0.009855291040038865,-0.038568627482479766,0.09527655374087156,-0.02513785092376459,0.010127876235491603,-0.12609250027894828,0.029244489341864723,-0.027913135657603023,0.0725074840607447,-0.022465605541341315,0.08358288814572137
CA,0.7837858438951587,-0.5143277656754977,0.1833134575555316,-0.2627435412744349,-0.07026387153853768,0.07676755713925859,0.15218269667635395,0.08872465917121776,0.01650542067980766,0.03653597654913064,0.03293693900877005,0.04012012733759153,0.0345756154739453,-0.04883256495589948,0.04230771729441122
CO,0.884129940252363,-0.23106173049591336,0.19996076436436633,-0.06794656360522097,0.20764528483516725,0.25540525035802547,0.0486093740104771,-0.05674694072402076,-0.12936419201530552,-0.02106334627701627,-0.13994236226223516,-0.03623837384007683,-0.02372946120673289,0.01535990187226433,0.02931078105933571
CT,0.7340685147813502,-0.6305879785455352,0.15363082120206087,0.12373135775533012,-0.03100097893235908,-0.17410238227458447,0.11274436031406777,-0.04471921447917987,-0.03162409891252318,-0.024004459165654315,-0.0252949782704271,-0.023047923683374806,-0.013152892521284841,0.05239642381785396,0.030893599871265436
DC,0.2692484814023268,-0.2699861164231801,0.832640364076524,-0.03698271217640878,0.022803065639638034,-0.011881515431222853,-0.12012745982625855,0.33982436686435585,-0.10899756937104617,-0.1576954352400756,-0.0432067987348593,-0.02647128136240076,-0.12406327521853885,-0.04348447350111808,-0.05637715856181126
DE,0.695230940964424,-0.5463519812473243,0.3057392568382667,0.16119827614501925,-0.27005678599206945,0.15724729850504632,0.009936977283081024,-0.021859380514811108,-0.026722626937281734,0.012422373694608042,0.05472014160899791,0.12818255032535886,0.018255322626998517,0.021884180203357362,-0.032297156568367444
FL,0.6419305530621826,0.6597816170410289,0.35032059003406113,0.002441361081436478,-0.11787352439415207,0.03604714945505782,-0.03723397652832686,-0.1737147484465089,-0.07112080133348958,-0.024193323829047642,0.05121055109520106,0.025357815534104752,0.038694020871101735,0.02163363071495372,0.009566745743772866
GA,0.4052085822891879,0.8658388823783778,0.19805641167596885,-0.017871449660017025,-0.15466780225332583,0.06172143567551157,0.030614850142011898,0.07873071665638291,0.03788807486608617,0.09399105937919086,-0.1378298794808442,0.09719645760984795,-0.028146806192245348,-0.0015384358110794322,-0.043040782100761184
HI,0.5329074379040946,-0.2418246964217048,0.4569316705490198,0.5021539569777469,0.1526188912525225,-0.03870513228058588,-0.251250958149269,0.2177999781277675,-0.14178939146044528,0.2140972207813722,-0.0026777400408651425,-0.10558777707358281,0.12678903191569948,-0.000765647678288965,0.04924024553714255
IA,0.7876815772219249,-0.4224748269551705,-0.3330477137247747,-0.18812223587270244,-0.020256229689314648,-0.03458176427574808,-0.22511519289485227,0.04619878407862885,-0.032631448087619724,-0.03460109263537918,0.07957379122386897,-0.10960212596511275,0.035184262543023544,-0.07303689033282135,-0.03870472469761818
ID,0.8317057187193577,0.5143892405782605,-0.11799028254395616,-0.06339865630244267,0.11652584279316452,0.03240095012294197,0.17820676832697657,0.0660113762425502,-0.028683135824464436,-0.030657985374011553,0.03736225290067419,-0.006379565762258147,-0.01843602410588924,0.00047840001889975473,-0.050806167457150324
IL,0.7495782614093879,-0.6301168087692282,0.08736426613294065,-0.15201490217029026,-0.10408160079146245,-0.11068889535674355,-0.01722609752057216,0.10908463518903531,0.007700025176063242,-0.024778175094446304,-0.038731766371384674,0.005989140513963053,-0.011589876382778705,-0.014501952198367444,-0.00822955803721743
IN,0.934381286914327,0.26903828273152053,-0.04888409302758542,0.14453099228815572,0.02060079713553829,0.021018784250321144,-0.15315858423940712,0.020758700789256828,-0.04917631519554786,0.040522038393385786,0.03908817226559634,0.0216234828234781,-0.04793624604811966,0.1331102069486905,-0.06853825360383321
KS,0.9081027042758749,0.0011596918031912078,-0.12938992524005127,-0.07437705138261219,0.13755223166025982,0.29118223525445647,-0.11322689815702366,-0.18468638667600676,-0.00019536381189555173,-0.01148813843223134,-0.14530280875690468,-0.0006184606280012766,-0.07803778605614833,-0.030899317261698263,0.023490900195377067
KY,0.634629503320931,0.5862136571156044,-0.3614757300345967,0.32759592252999853,-0.15267558419992802,0.0936447560713361,-0.08305218214726165,-0.021890994198848386,0.03770977943313,-0.0382356462726764,0.022328782119036106,-0.0322292211750593,0.008387434167865991,-0.018664112902151152,0.007606233648258756
LA,0.40536909123812653,0.8592597216260855,0.13348776339716828,-0.0834300829953783,-0.0037714756829977988,-0.2622068760713513,0.0566075194131142,-0.13449986107561146,-0.04585703140202569,0.016292972446030993,-0.04851986739159236,-0.020759013454741015,-0.07302264405182322,-0.02724208067775732,0.011059107530137828
MA,0.5317498659304735,-0.8016851000648384,-0.11848799532727992,0.07581001857277869,0.03904358410716709,-0.18413725205486897,0.15463589626136373,-0.07000993406713349,0.042532831256841326,-0.061107715144185094,-0.09899803577784998,0.028528310902450033,0.05738536121804315,-0.0012791747621895856,-0.012101385141647214
MD,0.758913887506127,-0.44334386612116694,0.4040199454290734,-0.02018553422994487,-0.03160041189529864,0.01146864640143476,-0.14229863262616868,-0.13873197765931214,0.1901286207445979,0.035989966176942806,-0.061487405907137076,0.009846052079185796,-0.11653715625497602,0.006088608102776687,0.003141362650009535
ME-AL,0.6072290019052835,-0.7140432919739101,-0.013063029434980273,0.17642934532780485,-0.09924200879247347,0.0022590848628637294,-0.00577948779428939,-0.2889707584022058,-0.09936947232362996,0.04574606838019685,-0.04315323790690306,-0.013923182038222388,0.04966703212906025,-0.09121374109716453,-0.07402861939702417
MI,0.7668484977961679,-0.5640012771412606,-0.22222398424700657,-0.024562450057707786,-0.12460008079062773,0.09716294931467662,0.13083503734364083,0.08533850292556136,-0.07277203835548948,0.08141682030130358,-0.007074259087827315,0.0870668904058762,0.029025130680992106,0.011070429485684612,0.014048174161172397
MN,0.7745587874473798,-0.41904479563739744,-0.38967383878283907,-0.2311265696154262,-0.06661835610600429,0.006166960274934574,0.06751830104623088,0.08106295148259997,0.04517411585469438,0.08753563117756255,-0.1335730806196693,-0.032736087835295274,0.04551705094269958,-0.008244425142204673,-0.03621307942551964
MO,0.8188049893211364,0.3413760970417444,-0.34609878093289903,0.1985328314199532,-0.018167576905624677,0.015242486527028486,-0.20013153515898421,0.16177097951276198,-0.011181121460566126,-0.07302163711641074,-0.037746848582049373,0.08253169456917087,0.009426963241624179,-0.0058296787276517475,0.04460705602838966
MS,0.19155684582198396,0.8954405025661252,0.28535706776215664,-0.15330322258728804,-0.10359085489077988,-0.17371557105887472,0.0628763309307357,0.00894044949101247,-0.09219467725890752,0.15509787831936797,-0.025857767239877046,0.030846988074782433,-0.03808792041857295,-0.06540673737357165,0.006495864756551484
