,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AK,0.08558505721495181,-0.3024350486721396,0.03886898091503451,0.4397365084856368,0.5098149094400845,-0.2810678875804464,0.47530393993990183,0.29945302416249725,-0.13968138066982028,0.1495049113704162,0.11733336377679468,0.048184052828077764,0.0382760582089891,-0.09945376080049141,0.06899029461092768
AL,0.9504138815427319,0.0907219875847731,-0.058460537984824305,-0.25415909771821726,0.06132287541663187,0.1364902297937547,-0.03460515407033164,-0.02524965025784271,0.005343057289155837,-0.06479767503148039,0.021109970108842895,-0.07312109130855392,0.049359068389214195,-0.11165634458341923,0.005971218020748513
AR,0.9697027929007623,-0.098693067489925,-0.09370715278431964,-0.15530023151878078,-0.04009633225780721,-0.07320742062182889,-0.10874344021858696,-0.03187203443783066,0.048942344557686326,0.058003817956868195,-0.12322812042667762,-0.04030633062992786,-0.004537154594834663,0.0015356013623864155,-0.01288054317608154
AZ,0.7885937099134173,0.49098450656696385,0.25620636226121796,-0.0660576400121324,0.06665287310014585,-0.06495666461090648,-0.06428398560029949,-0.12237025928086409,-0.10809701710096846,0.063551546100844,-0.10443959783246107,-0.15206173450433275,-0.0058846288073366474,-0.03158243661028205,-0.026637262576942468
CA,-0.7087514939957814,0.3742022839555067,0.48876060880697525,-0.18224498697990069,0.24709885079729124,0.16188315632242237,-0.09318025214379522,-0.016273499170612302,-0.048177540172187366,0.029055522163284792,-0.09669531887087618,0.0586841775986589,0.039273278213154024,0.026257649069469265,-0.00868513450035844
CO,-0.1196113153706714,0.45602528369924494,0.4316569250277714,0.6381314411487485,0.17993838998719763,0.20055704643612293,0.0469881062270639,-0.12615846524264387,0.142237642766797,-0.28650047882444896,0.005300770041942671,-0.0951531837073285,-0.0749506093508502,0.04750591676247162,0.01026733559487685
CT,-0.8516130980668473,0.26607145359877077,-0.22167551789534762,0.12592019858701753,0.0650901258106155,-0.3123271107786414,0.00908622563030605,-0.11958591584505611,-0.10535617799745861,-0.04270733270013968,0.05517893445375203,-0.06857604973080922,-0.06327951322242181,0.06488656270328445,0.022853094197307747
DC,-0.154907353702676,0.4951409876711239,0.348494466688708,-0.3637498385989368,-0.26349363159419426,0.32941875150618577,0.2962991883007245,-0.19021463780746004,-0.3005938276884349,-0.157655837020007,0.22876218026380757,-0.12973535898777006,0.00657105542081955,-0.1091463722196526,0.07507378173240954
DE,-0.5971700649749416,0.4652235556800862,-0.46573374207283136,0.11631246279619538,-0.09717889488718898,0.3468106431699125,-0.0232024350141965,0.0194802906849033,-0.14804151905022853,-0.03280516435420648,-0.06497570694692556,0.15442425211001543,0.09597628238455765,-0.005182727197101864,-0.045898888716396774
FL,0.8594273001491156,0.4504817332066364,-0.06422410105295613,0.044116915605126976,-0.005765761384415201,0.061044063533353676,-0.17789996718763795,-0.1307633893414641,0.03886689609815807,0.13063890787860064,-0.01667055028866969,-0.020538923989361923,0.024545424842538917,-0.08573106367251593,0.03992707534340192
GA,0.9446660635877979,0.2199364791414959,-0.07630909545518631,-0.1796155340572217,0.042173757230095935,0.12093505233946493,0.01735966612439747,0.03855178825998214,0.12335122358311325,-0.05469075257553418,0.008861956611257967,0.06377660787929444,0.019594423274394472,-0.028001411520705174,0.024505514908510204
