,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK,0.27446320127128865,0.14972321652388165,0.08475450437570688,0.9333110269498579,0.07410136610246264,0.028518579508104405,0.009797383983258122,-0.00040271651059954025,-0.006612451915523026,-0.18234760796553223
AL,-0.23700107531573628,0.9347985703268533,-0.03353678646890633,-0.1376164726193237,-0.012609910867897828,-0.028533678115861993,0.01916337164294248,0.11970124386247452,-0.13117000315991767,-0.16079719706348633
AR,-0.10209495041879642,0.915980232078689,-0.04097546092620373,-0.02946188890372666,0.16627069477591583,-0.09894510975950443,0.05628425855613045,-0.03291693261551129,0.009733257647281722,-0.35397945614407084
AZ,0.399340681685926,0.8844344950479005,0.06713077893039374,-0.00763538629748013,0.16465879159741956,0.07096959232286543,0.15353678703294216,-0.05029596192488168,-0.04825366345789719,0.10616004646083559
CA,0.9487469783635988,0.11612381589890981,0.046900806555362926,-0.05901230262342091,0.14713708065050748,0.07663990183942154,0.06038090595275932,0.16189555441312328,-0.12710311861035944,0.1792723538881901
CO,0.7732307351566193,0.3409234916919745,0.15190637244096555,0.17171715202206425,0.26104369218294465,0.3913940745077048,0.018682189226357546,-0.009039630600311854,-0.10232667770360616,0.10897259601679551
CT,0.9732901013322717,-0.015279540365511567,0.09573497650481361,0.19223602974326623,0.02238653253007167,-0.07343455523834934,-0.003976822061490425,-0.14851923971832762,-0.02871387489837118,0.02303776084057157
DC,0.41760778344639604,0.1123267370778569,0.7187683082909699,-0.04264368675935669,-0.22193162214215809,-0.0015882867759865853,0.18319963868649533,0.005080693376391078,-0.04700316845512241,0.4656740427543776
DE,0.9280225446097806,0.05888172655274481,0.2141949891787007,0.04923224827318323,-0.22578539084622531,0.17485979032138685,-0.023174324139495266,0.05016292036318979,0.016167409627012096,-0.05044151209821431
FL,0.12674702149795097,0.9692156793389295,0.11623893100691003,-0.03951821014973024,-0.047294992531215566,0.1750927456047233,-0.03693297595086736,-0.11444309043737497,0.06667564442801933,-0.014110790391539292
GA,-0.19087643504331367,0.9583298913303169,0.06452869663382442,-0.039148488188109065,-0.03743940598629185,0.022956391277759572,-0.03579723351219953,0.16471260485452788,-0.026032387094022304,-0.08372189699059791
HI,0.5100229494754355,0.1554276523433289,0.6788846449600007,0.4290789386165983,-0.07309805535983466,0.01493688500731666,-0.24585391233410786,-0.01734311799183331,0.09458070622913826,-0.013411613606441192
IA,0.7943301029641725,0.023257570030097614,0.02142509139035916,-0.10793416025150136,0.5147705204158172,0.034466628995191075,0.04104280704805919,0.02415279365942499,0.04269038382059123,-0.2967160590486961
ID,0.26953904814592944,0.8362588039432967,-0.08873985288629355,0.16793588888962172,0.36752773063303906,0.0778972518723874,0.07707931302576046,0.052750391686003525,-0.20307883680600483,-0.1661653061510035
IL,0.9775022314982724,-0.025799844714854716,0.1363371718441543,-0.06245701157692876,0.18155904173775,-0.08099288153748857,0.06981532782597547,0.037499740070232414,-0.0228268808690287,0.02490596239473218
IN,0.4893059175933131,0.6956136312133445,0.16116615453435462,0.17470884592633396,0.3007234356692667,0.11259859421341485,-0.05547388830828102,-0.002105941001300189,0.04477239432904809,-0.3309805955114871
KS,0.6186487786560576,0.45406838683298895,-0.04574734957734609,0.10519526489758034,0.41003198600287033,0.42867824804908156,0.015831860167685213,0.028907521291670416,0.08406674153051892,-0.1886441845196289
KY,0.069895009746869,0.7086593474805761,-0.0825580031045878,0.19274564111597048,0.14757581281799362,0.09523115095595208,0.010787109832988084,0.03702732186448188,0.028553145852007675,-0.6652251866074708
LA,-0.19349185076545614,0.9532670769514745,-0.06359804111097395,-0.028354592632187828,0.11771943295694424,-0.1301491749200906,-0.06379061574975856,-0.18404678256623963,0.010190461519953585,0.0034152721040662842
MA,0.8965857244468365,-0.3253073812348762,-0.1009825106763387,0.20511855647597302,0.1309037525768008,-0.1111925115790883,0.05591524015507932,-0.13587798579281168,-0.03109788141514882,-0.03183282600200276
MD,0.8888239429426882,0.19214911638565993,0.19522830940426844,0.06691573339989293,0.0005432396558508303,0.116124856409417,0.024194276571912178,0.011924784892321235,0.3127625694684565,0.18071810760197815
ME-AL,0.9198945001479056,-0.1958670786352217,-0.029680192936079066,0.12283183979911386,-0.012393103779191495,0.1561729125965969,-0.15723457496200427,-0.20351206559420865,0.08010778235370546,-0.13267381429174244
MI,0.9195375506099951,-0.04267038335606102,-0.06441930856242793,0.05582460892749797,0.21294835656763875,0.0724872022840792,-0.048416256649190095,0.13932129656022962,-0.19823844596170015,-0.2261435107768049
MN,0.814794678603144,0.039315854441189214,-0.19843520111100954,-0.04688859103243473,0.4451486146823227,-0.02018880429710046,0.003012009927997517,0.1880386277302215,-0.11073942645345718,-0.23001592581487273
MO,0.31774952879633295,0.6009352287729509,0.11203530894560336,0.16702289414181895,0.3918241391209296,0.029175879421621417,0.07367426866167855,0.055801434384658795,-0.004409706050363883,-0.5940925455139532
MS,-0.3468606725811858,0.8999676238208525,0.04831094194882773,-0.15303008426623327,-0.027312610204995768,-0.1382846529156639,-0.16150772191465498,-0.010076191647782468,-0.06339688120686948,0.12187996799917022
MT,0.4178677157234819,0.7075224324410735,-0.12493252908307388,0.12723326972259674,0.45228802788898675,0.09418184401568828,0.011673527984211382,0.05461533242175512,-0.20042947225867974,-0.20351164188495094
NC,0.13744024239922398,0.9554310335477946,0.09750213596264393,0.06534513357998786,-0.055104553218270014,0.017338153454603468,0.03983670853341571,0.21458845995885803,0.05949240982288087,-0.15022386032025042
ND,0.42606470052400774,0.5011637617412529,-0.086573158808577,0.05557523217521615,0.7265230176079269,-0.09381334132289115,-0.03720616420153616,-0.014519506227383407,-0.04596618684490498,-0.20256543291583903
NE-AL,0.3561125807807038,0.7138950793347956,0.12129705064224174,0.16377654702059632,0.5301750012417851,0.21613707384417347,0.025871510625358345,-0.04306841022440504,0.10609501087069861,-0.003466157591733011
NH,0.848585263450391,0.2909036135879933,0.2013848123279989,0.29711175720516403,-0.03839168759639072,0.05412849981459664,0.04048768547611903,-0.2771126991831544,0.0012748890749195575,0.01571880258237194
NJ,0.9920759307858931,0.04001997053873457,0.09553621279383503,0.09661834721721646,0.048374587798028106,-0.08088955881756764,0.035886243278784695,-0.05325445627821351,0.0426634725727474,-0.02630608952344095
NM,0.7204384419949968,0.5548569664636709,0.27669410809477907,0.0846908058964597,0.18226647511511385,0.13919747854867548,0.21011908379375666,0.03738464091798679,0.11261733706899364,0.011272872085841878
NV,0.6338237440919274,0.6792904721290106,0.1249014466879942,0.08895720522388807,0.31051032342827684,0.044968082064450014,0.0446276683853147,-0.03622017267815855,-0.06724087785097266,0.08769570825495919
NY,0.961624409216197,-0.10487865199748929,0.14774493506481667,0.029626240139585876,0.15810934507646432,-0.1462286325100022,0.008956616784018573,-0.10954275400476055,0.10075336766726509,-0.014710566759848913
OH,0.8187308255581169,0.32878890386494025,-0.044828598686821014,0.09893473584442831,0.17308727512911765,0.2409131753847442,-0.09895855573725082,-0.0596013396201025,-0.10990730379044163,-0.3294306388992829
OK,0.016697245785893686,0.875493884267805,0.023344998391257057,0.07929186314549386,0.25122127151064005,0.1168497854191793,0.10178374090265148,0.07206310455461737,0.03020983869784909,-0.38300491508441736
OR,0.8891958719714854,0.182404209513725,0.013688640237144644,0.03475094643999111,0.296428315807428,0.20271643476769824,0.04348937479647357,0.1899450944823948,0.07343776003535252,0.056337690288178255
PA,0.9205553749920208,-0.05054476747117197,-0.07747803774554943,0.0621609973444962,0.09061121292157168,0.007432558036301574,-0.0163357780194439,0.15760747374288375,-0.16407229612581128,-0.31249778060769046
RI,0.8852540544807256,-0.1626234002783317,-0.030328715617866445,0.2577281815754327,0.09649585424580082,-0.18979843219030762,-0.016388684868905632,-0.1190480017179843,0.03298854399244461,-0.26732145268106594
SC,-0.3407558755707113,0.9232284350589283,0.07015540324270474,-0.003134848696048175,0.031054080558335882,-0.07742457722732683,-0.13274846908247132,-0.11132949335711644,0.050340655761469295,0.09927094790888338
SD,0.4096859792432057,0.3241924816331911,-0.14197772735097614,0.04712004970791319,0.7840945647650727,0.09336971402824484,0.003938907556334967,-0.03551338264925441,-0.015199151862251062,-0.28392514855582646
TN,0.051911189317680954,0.8819667616278436,-0.049818861499690455,-0.061924907388172135,0.11650430169176962,-0.061800212223649675,-0.01422959991470067,0.06403293571911613,0.04296457342685113,-0.45231160280258564
TX,-0.04470734876289343,0.9736554455421841,-0.023745615084044356,0.1504031487778602,0.11545138357041347,0.11562925775455084,0.03433850741716544,0.001148067400065775,0.09492750077167363,-0.06829626899043244
