,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
AK,0.2745684811059667,0.1497994721663882,0.0774347810937714,0.9340930579359144,0.07262828127535569,0.03523290014337559,0.009412267759908522,-0.0040853400708722185,-0.00870505810150657,-0.18114487045691657,0.00579142631698465
AL,-0.235896458903758,0.9365495123667023,-0.03111167584248763,-0.13929334153978723,-0.01887401098386811,1.6300507669968052e-05,0.02578331608213309,0.1537821823437622,-0.12153425858093357,-0.15801821387844966,-0.010133434346677461
AR,-0.10122347529288808,0.9173000400099843,-0.041582512579046174,-0.02912586568042843,0.16528553912315777,-0.06976558965806107,0.060204640002539625,0.017543681616112184,0.024179659809745794,-0.35116470394120225,-0.07813395273471252
AZ,0.39839325125506614,0.8833375040454532,0.07329244628930379,-0.007631840748923872,0.166151088309056,0.057766313418691505,0.15093684147933023,-0.08017931750751893,-0.05370468524284981,0.10482839136387587,0.022559086269751748
CA,0.9475163005284377,0.11508489957281742,0.052363810283822955,-0.059165744950982826,0.14845802778560832,0.052421906393064384,0.059519063475369706,0.09249220661055307,-0.14102658021870781,0.17742150500591086,0.14324476931951383
CO,0.7742792850504274,0.3423366255856124,0.15328611887398103,0.16717835237317347,0.24256155438225613,0.42226866465715485,0.010609778461259305,-0.00981980053499608,-0.11350992173781818,0.10870232169670091,0.012876163535709141
CT,0.9738131978035635,-0.015092763481117799,0.09585949648067593,0.19254009706508776,0.0227351786425284,-0.053778193140103896,5.1114042680955516e-05,-0.08933652650912725,-0.01707000900428297,0.02389046651396652,-0.12867317744313808
DC,0.41681011091555487,0.11086882479227157,0.7294108324935831,-0.0406019165632083,-0.2235631819529671,0.004780057890438832,0.1697467205150618,0.0031629730787239,-0.03966850414995357,0.4572956837556689,0.000987539565748743
DE,0.9265705467193543,0.057312419705307545,0.21252942827282495,0.05068268327118252,-0.22371644604888088,0.12189558688197967,-0.03715685233707479,-0.04904169925113337,-0.009397203301067018,-0.05451316574661699,0.14864761020163697
FL,0.12568273655671874,0.9678105864800127,0.11483566575878468,-0.03839443107385725,-0.04570333011586059,0.1345767713662914,-0.04888484000408601,-0.1757827866122135,0.046965484510478474,-0.01576564257021871,0.04562535387256454
GA,-0.18924320547156437,0.9606019764465402,0.06519888574728679,-0.04125918133896093,-0.048711560114701326,0.06441086897947063,-0.03383151829279744,0.19541836742305374,-0.018776521610052024,-0.08082521058295912,0.01699810845873803
HI,0.5098739477067241,0.15486232705857222,0.6694397206151017,0.43416854540335337,-0.07397509009846236,0.01270733492066066,-0.26360768467717216,-0.022643376309037472,0.09039027585968706,-0.017382439009721716,0.0021106979872921937
IA,0.7932903688377722,0.022698213955218614,0.019840365675486697,-0.10563261814166681,0.5193013732843252,0.021184736980657853,0.03422606102401372,-0.01962025985635251,0.03466796800286148,-0.2980953505874893,0.0716304851017695
ID,0.26878211702192395,0.8359795527426508,-0.08740924864328183,0.16775465776972254,0.3683593926601398,0.06677034967594597,0.08078997980965795,0.022061157113572413,-0.21010075463124325,-0.16506088949659878,0.05232501471661817
IL,0.9778335701777638,-0.025295919447748852,0.14038875896737413,-0.06219809476198711,0.18039243966251212,-0.054305380666062435,0.07166067782807475,0.0683199016950395,-0.011800859740372694,0.02450597570961488,-0.02648132969907755
IN,0.4887445147318831,0.6953870100554912,0.15530569071409905,0.17697492467598488,0.30078809378668303,0.0990745288642573,-0.06626228078287418,-0.043936972014268445,0.032554967706309265,-0.33165711120646546,0.059420614222146034
KS,0.6202321034081145,0.45649891331092024,-0.04842244910481606,0.09999804161966945,0.38919145727060406,0.46790677830204425,0.004926113059898399,0.013798792886766529,0.06909169391998762,-0.18661165606922972,0.05625955941432708
KY,0.0698950208230282,0.7094534325031618,-0.0902431422719526,0.19354215664981964,0.14667395042221265,0.08452009846885658,0.00511324646895081,0.0014455703535148619,0.019008152901389984,-0.6636691954439343,0.06251682287452683
LA,-0.19225860919271942,0.9542639651105965,-0.06363965103917407,-0.028535766870177302,0.1169562122103374,-0.09435415550139538,-0.05479920437609907,-0.09005115764362008,0.029302816499730495,0.007803407211077795,-0.18749446207583131
MA,0.8984524165538089,-0.3234351081946322,-0.0997047959392219,0.20276169179193607,0.12559587866865304,-0.050512332207098415,0.06848569657311729,-0.020232735730967916,-0.005976216829628128,-0.028011132587659346,-0.1941795358353786
MD,0.8893400470241599,0.19245197362781938,0.1960319699283136,0.06608866368110711,-0.006876810523624823,0.1335402205669523,0.01135603371591231,-0.012717312375257068,0.30555689206175574,0.17976605016658043,0.05815969534922973
ME-AL,0.9208369436849858,-0.19511514486435827,-0.03661605441263812,0.12153410102730085,-0.01794429516636409,0.1624456072763226,-0.1612338890046798,-0.1747071614890758,0.07418192502693079,-0.1307830255733344,-0.0956297996063421
MI,0.919439854177613,-0.04205568072013499,-0.06617709513581882,0.05521637673116318,0.21091991660855122,0.06806817435115968,-0.04484842497570409,0.11649952496621642,-0.20566061967292137,-0.22503358593731637,0.07262696652587618
MN,0.8168029189572632,0.0425087415926721,-0.19757032611367037,-0.0502992199795758,0.4339851195053661,0.045703822271706246,0.01510712538243635,0.2506676994379905,-0.096017406485431,-0.22476254587221758,-0.013635529469670405
MO,0.3184239953804181,0.6025652431263465,0.10776357080527511,0.1679451411721312,0.3870814504884802,0.059724218026932806,0.06884065856180235,0.07306854371838375,0.0020316430569229187,-0.5933513812482926,0.0011994453439745359
MS,-0.3463427683430415,0.9003365295642725,0.048369376819537034,-0.15196610184859252,-0.02598772880206693,-0.12687256314103681,-0.15468148964465153,0.03530255014165213,-0.05361353481873801,0.12455680837070379,-0.07264772779630889
MT,0.416607420508126,0.706753092515946,-0.1257580619405628,0.1279522250012453,0.4560346513631198,0.06636593642521124,0.014019071723758462,0.0005626952328755234,-0.21436369467554095,-0.20255171928793264,0.08334828140301608
NC,0.13657857248695848,0.9549605569611979,0.09754040341265056,0.06686182581822683,-0.05346501785069559,-0.0076188862257456046,0.03304557583115725,0.1315282049177536,0.04569638832336527,-0.15098522070263132,0.18108555576195412
ND,0.4262094436842077,0.5017955037215264,-0.08853663875016271,0.057083403999713976,0.7288041636410669,-0.06674375473151371,-0.030828463857136376,0.023007129215102774,-0.03630822220759241,-0.19933743847931773,-0.05322963874980125
NE-AL,0.35724441515208083,0.7153697880212864,0.1207608143949785,0.16167929128160324,0.5168647655206358,0.263099913262232,0.017798557052919325,-0.02179679571721026,0.10545016852939641,-0.0021886347242111616,-0.022514243958145948
NH,0.8477500912156944,0.2892900041553761,0.2005691188308666,0.29888472595994714,-0.03376568155654338,0.03268127841147833,0.034459265860460046,-0.2724655198563678,-0.0021231101124653115,0.01352532831176527,-0.09967346336226793
NJ,0.9920819935202603,0.0398699878440049,0.0964065449742865,0.09766634793528221,0.050727454635386755,-0.07297615536756655,0.03630537153352765,-0.03441725785196158,0.04864468557747579,-0.026379387276942928,-0.04123158309304897
NM,0.7187796672367291,0.5531498674796259,0.2811155727699806,0.08639158197817208,0.184025836685032,0.11235762238546526,0.19396481807061425,-0.05314082823924961,0.09653000892085521,0.006266154398198285,0.141029638321388
NV,0.6323722449971568,0.6776579553377563,0.1274115415202227,0.09089239063788425,0.3156699823933632,0.020197684865533538,0.040961187818687524,-0.07937409501617634,-0.07672477564827311,0.08603287435804728,0.0423216873651104
NY,0.9622837156320008,-0.10442143179588867,0.14817784167792514,0.031006545314951048,0.15924034936178236,-0.11346462506390749,0.010029092961837066,-0.045139519959020186,0.1175306795001668,-0.014279733130863061,-0.11693053283867037
OH,0.8179550746190137,0.3283303206448302,-0.05099489505561224,0.09906966448371793,0.17261329437421624,0.2034925800485763,-0.1055529849301918,-0.11638825722432634,-0.1327244669363189,-0.32940343147692197,0.05567984681445732
OK,0.017631664576411108,0.8772580773428142,0.022313312434140906,0.07786381933924255,0.24206253212514112,0.14766370640060691,0.09715700205678775,0.07605872888969352,0.03158767052288203,-0.38155399922987715,0.028241164303994714
OR,0.8863349112533982,0.17969653758379475,0.014241140798601202,0.036793157553882676,0.303412119839283,0.12967134254200957,0.029425885789573166,0.01337721815874787,0.034137101399041477,0.05253911802708281,0.3031504581338282
PA,0.9197829097187281,-0.05068124869776085,-0.07959808237764256,0.06299501681848681,0.09426585585916307,-0.01809969336488742,-0.013647677846478546,0.10804610219706237,-0.17433791856510866,-0.31221811441474734,0.11044122482055344
