,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
AK,0.27385030640031144,0.14798046612134455,0.12936473213919694,0.931413798800479,0.07869654362282119,0.005519395070192018,-0.18401777981466216,-0.005543019388648808,-0.01035703341612654,-0.004384241041647643,-0.03443344337362739,0.005298614194434511
AL,-0.2353767551245386,0.9364592781445228,-0.048799480441286756,-0.1335567776813745,-0.017202024907141504,-0.02586109999431031,-0.15593424222770974,0.15016713836290016,-0.0954031204615737,-0.04149799635988968,0.006731018798762414,0.07993628306400094
AR,-0.10105743651757705,0.9164688033878204,-0.045536574743240174,-0.021057811296004085,0.17188973267019203,-0.08354977300169308,-0.3464256815142536,0.009740077325968538,0.043115041497847104,-0.0764182057645725,0.07644813048081431,0.020739983738603144
AZ,0.40065040423654447,0.8844503072190458,0.031046837066692194,-0.00629039500915456,0.16009944149942806,0.025791279973438386,0.10814537396557503,-0.08187740258052341,-0.08338608436410795,-0.13514071455547744,-0.06283460033730717,-0.04593497971470104
CA,0.9490626694462171,0.11547325032820288,0.008132680071134595,-0.050966944973742975,0.1488841257404747,0.12821931285173732,0.18447794485270963,0.09153071410864455,-0.12427076021723543,-0.06770354641280184,-0.04694582997410688,0.08769047155466937
CO,0.7754990709157931,0.34289571450368656,0.14621170368079783,0.15723580337276835,0.2363480679689663,0.007026863436037523,0.11108554462620676,-0.008623175184196986,-0.1276494081289112,-0.019856853966451288,-0.4247427295064658,0.03445602142610755
CT,0.9740569326219305,-0.015254250003711447,0.10479728070644222,0.18473253993652394,0.01940151999113069,-0.12096730814828818,0.022285791321912763,-0.08838169078339361,-0.03596259930632008,0.012240818280205295,0.04918259300505579,-0.053226471151377346
DC,0.4234877050071556,0.11977035266565039,0.6356900929040045,-0.057452715404975915,-0.2302457887079073,-0.011910121265102103,0.5205017982174467,-0.008184279824491542,-0.05173207263103954,-0.2850030158798711,-0.0010091153417932457,0.028207671654174295
DE,0.9275305729018636,0.05859260711483697,0.18764473928700812,0.05980608451479525,-0.2084983051805913,0.12308612249271765,-0.025685024098102936,-0.060598073795578015,0.058747451881325484,-0.034508311347175066,-0.09948016788837252,0.19952445828021775
FL,0.12632685607952293,0.9685262529373767,0.10710877836146032,-0.038812863701608594,-0.039597342875673715,0.04334282708730023,-0.007024722256702035,-0.17937631720826536,0.05871128943998226,0.026181412072173345,-0.1278025904979221,0.05162184924832435
GA,-0.1884930428295115,0.9612242054199471,0.04366193082660438,-0.029565452778803236,-0.036070957741687545,-0.006069128648095249,-0.06523533927635575,0.18529990677657177,0.03813823369432206,-0.01526008303209654,-0.048063680280742746,0.14425311848865296
HI,0.5110675134048541,0.15897574713325044,0.7416953466175322,0.382608213591625,-0.0807545703542067,0.009775742020185179,0.010593913849864186,-0.012123280097886305,0.05840301970059935,0.148319212941538,-0.020531188727200726,-0.013983260094598573
IA,0.7932347828561725,0.021867914162739022,0.04721542002379528,-0.12494357646278503,0.5051513118684353,0.08717554799902529,-0.3070847601418224,-0.008852937289149269,-0.02067104487355456,-0.03638251790000093,-0.03766527625424024,-0.11133612723108839
