,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
AK,0.27696941274263204,0.1481901608356908,-0.009772521652864928,0.9343269334287712,0.07538042550878205,0.03636397022237958,-0.12837523452301408,-0.005717352147941875,-0.0018574826579886006,-0.004465058704722974,0.005162451355995374,-0.17610643819921049,0.0012688544275500041
AL,-0.2362951280415516,0.937827378165935,-0.012493486890803433,-0.13724357205057375,-0.007733349461528801,-0.019406921709566743,0.042288679357524915,0.13599004934542203,-0.1265106537607715,-0.08407656472745606,-0.029446017401376465,-0.15251125422777556,0.0672110515488143
AR,-0.10359760321955366,0.9150409600923861,-0.008852165164341438,-0.01692981085768581,0.17956567403259216,-0.0800282325051935,0.05144921445401729,0.005883381736981413,0.04355242481273031,-0.0309989222586535,-0.08547357746970236,-0.35004529213128427,0.028819422828983126
AZ,0.39998345822543235,0.8837002622382808,0.12243690143859644,-0.001276704886014026,0.16757741077906563,0.05063978564880529,0.05062092951801584,-0.08890539484812429,-0.07068407821339806,0.049358526141243,0.022040003970146615,0.09637465292588847,0.10382585554474086
CA,0.947691869018181,0.11392901434791568,0.09250573409972618,-0.047761530618807085,0.15605600664248867,0.044451030429600545,0.060203773189496025,0.0838765049573618,-0.1272690725986774,-0.07513818709375306,0.1320408989284781,0.17151369156779417,0.03504610134071946
CO,0.7758915878998663,0.34131377287168985,0.13193459848916322,0.16590384280126616,0.235918749609504,0.42853971463022394,-0.07165510006583674,-0.013175473350073566,-0.11650023206077446,-0.015233056132649843,0.010580051783574655,0.10109234445745888,0.008070316921315506
CT,0.975723103670229,-0.015688957977151554,0.056661818632756045,0.1863485767543469,0.02068517256296492,-0.04512489630381779,-0.06668140810672918,-0.0836023604122821,-0.023408799972685333,0.06627508970568327,-0.11558510258983005,0.017230972670196316,-0.03998309457486729
DC,0.4292593278430212,0.11362795742124282,0.7132963851528017,-0.00664280384346439,-0.24885617957833542,0.014198849777286623,-0.24648704206399694,-0.008710301769637817,0.012540255689033867,-0.004805869812035399,0.0027211869740741412,0.44289455942942335,-0.0028363342811243363
DE,0.9307617145444088,0.05931344715178135,0.11518943094979599,0.06159033694542145,-0.20684102395665613,0.09483014120406642,-0.1266254664936201,-0.07107003632427814,0.031179285572777108,-0.20677484048187442,0.1209229283424914,-0.03323618187420352,0.030907608599053827
FL,0.12874715709291223,0.9700411963333928,0.042603889984024555,-0.04069345044819986,-0.040194630922550385,0.1255625792092273,-0.09488616641931095,-0.18118366401506897,0.050155563749920744,-0.05380138666832766,0.040201306403707705,-0.0031095128547833917,0.0021984180552437594
GA,-0.18843583017521973,0.9598968764554561,0.05834156009641436,-0.02308499516863706,-0.036383914945733266,0.052765630141281626,-0.006279756248863097,0.18032391543701878,0.022976160283266784,-0.1534077864702298,-0.004807531029577355,-0.07488454372383646,-0.02422622329632562
HI,0.5236682727097619,0.16760688051865888,0.2663972351856721,0.3793004916507465,-0.09749778733861689,0.013464348257999418,-0.7091265016486321,-0.016560746306273025,0.023139087403658925,-0.002882522658799758,-0.00132023722887164,0.03760197335860141,0.002097912881558503
IA,0.7898656879487616,0.021504435576603198,0.009380281963511499,-0.12470174815586775,0.5141945881971369,0.0336406794712253,-0.05918190510138711,-0.007716842837020494,-0.003269373305012764,0.1065916364415316,0.08218292325076605,-0.30049600174064445,0.06322232057961967
ID,0.265254296990885,0.8310786102090055,-0.0009727025864840102,0.17750037905558652,0.37367195274959575,0.07267346997807073,0.11684465243945456,0.02107709862682455,-0.19874744889343537,0.0036040725083505234,0.056748648836272675,-0.18489719521181433,-0.008085067980176453
IL,0.9784643958664524,-0.026613164917627774,0.15608376700107462,-0.05384554311411515,0.18188167393374996,-0.0527257208157764,-0.018684296066599118,0.06492138131223649,-0.0011424491313149667,0.009450405129841891,-0.0269908293680194,0.01780878261106427,0.0188992745303437
IN,0.48898137182177315,0.6939779411051552,0.067943509390258,0.17365076680362107,0.3039209905513418,0.1050577349355858,-0.16623533970841273,-0.041378727277257256,0.048971427652427575,-0.04123489223365784,0.059017206682750956,-0.32314979899890556,-0.03999123194840958
KS,0.6165426274842084,0.4521719557113423,-0.036493190022565965,0.10154606632604447,0.39167413341901613,0.47712308985737495,0.023390265217260845,0.015617268807172218,0.07508060533104197,-0.012271302802283484,0.051799548747969965,-0.19481905185597964,0.01997023943646091
KY,0.06637579362709449,0.7077950830542534,-0.12435362718945711,0.18191497648695368,0.15639113054972853,0.0795088409570066,-0.03553574635882119,-0.0020311637594518164,0.007244727318513188,-0.01549299750780091,0.05524863855048657,-0.659069217143825,0.06805963641824311
LA,-0.1934835181053779,0.9511769343286318,-0.036152905364286426,-0.02661902430266589,0.1139726697985328,-0.07107715381227064,0.0441589122713505,-0.07299562306213414,0.04001994449121836,0.09337558626601083,-0.1628766381521022,-0.008519725124242919,-0.14678846623817593
MA,0.8968945978415364,-0.3246420301915064,-0.08653353826986047,0.19912639160122184,0.13546559670852265,-0.059620625831502384,0.06646487699984019,-0.02701370091046323,-0.025817823386642604,0.05562424541124148,-0.19324327002810862,-0.02894187098325742,0.05470828502000812
MD,0.8926730513206015,0.19171417724574916,0.149161398361747,0.07213391476968313,-0.014213549137738328,0.15195427124395172,-0.0955738973693291,0.00033295637278350933,0.31749247246057927,0.056459799782651456,0.06411440499292115,0.17313095692406333,-0.009962440570739566
ME-AL,0.9210078526427096,-0.19336754392946298,-0.17246027279410478,0.09230776614727906,-0.012825929788862555,0.16087024775741424,-0.1296970397020509,-0.16837882642382287,0.04466497172148722,0.0032754716327246147,-0.09241730057800421,-0.11353533945558064,-0.03465739284458378
MI,0.9161233007256651,-0.04482160442157324,-0.0701749977420286,0.05971864673459399,0.2304319594642578,0.05258726401614319,0.03431589634045503,0.10280641669046749,-0.1791575500171023,-0.1589508092680126,0.05420454879290904,-0.2191480872515235,-0.013608625340747154
MN,0.8103710134709088,0.038954643874871527,-0.14367961855453765,-0.05925650133958231,0.44280329084993225,0.047586948914216144,0.11258988370754147,0.2515788792016993,-0.11823501764681994,0.010012088866656594,-0.019153486655965172,-0.2328967808446506,0.041597986404664264
MO,0.3164557386059749,0.6006985514809232,0.07442509534219538,0.17788699195569568,0.4039657706300415,0.03946592815047452,-0.0883204193608288,0.05029939975203397,0.02486655637549802,-0.10102913034392445,-0.020739820859020673,-0.577177507130501,0.09547036500664104
MS,-0.3450162294479933,0.9000697579301988,0.018285269517427007,-0.14853979269976286,-0.025728664886355175,-0.11490103049589896,-0.044260091443212725,0.04461571578197129,-0.025061623770446947,-0.048295939147860845,-0.0645625941633423,0.12452164692737469,-0.17887809778312666
MT,0.41156797054086275,0.7007473424676778,-0.0479632489591719,0.1225349622363037,0.45020412811483473,0.09530534450698006,0.09170195175851614,0.020349153409204727,-0.21978596034170478,0.08615834935766524,0.10596772632074405,-0.23324208945271924,-0.07799556871440107
NC,0.13853769628810508,0.9560864090992834,0.06826093226057824,0.06911276658849952,-0.048785666353438034,-0.013780918743476303,-0.053899494719737345,0.12642214911020147,0.04599029127007314,-0.052080082614696876,0.16684802937507498,-0.14772999466271863,0.07251573450340186
ND,0.4204742102620347,0.4961101618027087,-0.05764139928735118,0.06253168874782077,0.7378918719095554,-0.05423084397445761,0.0400348805589363,0.03164175022565966,-0.017649430909663155,0.017903986460328997,-0.042468650374503064,-0.20226739093748544,-0.08705843379886527
NE-AL,0.35751308460665915,0.7147438342065829,0.07983581711616684,0.15722126187415128,0.5124834649083574,0.27079939705062805,-0.10007182833276546,-0.019305148840401767,0.08722658912775783,0.055865830158750865,-0.020593409768068293,0.0026089544277759394,0.04071109285195387
