,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
AK,0.27712468820903696,0.1489585472452201,-0.008541616798399527,0.93754191728904,0.07564564902999006,0.004355479975034442,-0.1255443454404212,-0.005691601577558664,-0.0018725725795631888,-0.004011662548868592,-0.03608292908806171,-0.17434672406167617,0.0025535190326862697,0.003300883893954541
AL,-0.23630364276681107,0.9376976411998024,-0.016531506968188534,-0.1403069019246587,-0.00816653970708196,-0.03223316024370115,0.03890546700737992,0.13690709128522127,-0.1293748093297554,-0.09219594339659752,0.017088366168848252,-0.15170900018791664,0.051216222968902374,-0.01937800898868783
AR,-0.10326375032483132,0.915898123303107,-0.006449863998047018,-0.011214236795518698,0.1804857039033741,-0.07249675758600611,0.056387418389656774,-0.004052830645480082,0.04355368474536071,-0.03581839847117962,0.08161537953746,-0.3495560337479292,-0.004699451923745184,-0.07374916162064674
AZ,0.3998894883757216,0.8837353180174998,0.12417125615905016,-0.0007388335030965095,0.16756102201050332,0.01840417655817711,0.05187995686020468,-0.0868571967211556,-0.07129854644036225,0.04094758835190239,-0.050363588534968314,0.09639875824032659,0.10604758823468685,-0.02653403406317033
CA,0.9478695387343355,0.11406500355476545,0.09753550086426975,-0.04429154719839519,0.15618736998355387,0.1405321214151824,0.06387022556359569,0.07861543888127472,-0.12535634575372884,-0.07619029164809721,-0.04318861715506372,0.1707150152784502,0.019516658872335283,-0.03130736380424659
CO,0.7756712485637084,0.34096388835033103,0.13174892167986413,0.16357407105173577,0.23545485039245176,0.008316234149363725,-0.07255285642800341,-0.01165204640814455,-0.11627385734083838,-0.014844416865248016,-0.42980625836680825,0.10101253529686971,0.015419333474473385,0.024972888847156267
CT,0.9753628640575808,-0.01611973861711976,0.052850283747425335,0.18105902948344982,0.019824899197746115,-0.12969930085237866,-0.07107811947014676,-0.07462990454720948,-0.025729037363056838,0.06843372470524907,0.042508954123214246,0.017836606521620342,-0.012663024992785911,0.06651146061262038
DC,0.42842931375941656,0.11264930710900661,0.7228819516503628,-0.004023655039750151,-0.2477456717947877,0.004080480690641042,-0.23720423147965836,-0.00857059314438874,0.013140587202632273,-0.00408939041711964,-0.013631650360660068,0.4362171190831832,-0.002148721096462644,-0.0008014317068299752
DE,0.9304436787703092,0.05896406751765665,0.1153476440241353,0.05981770309162158,-0.20716683007387618,0.11541343441915988,-0.12759668422675224,-0.06600647582830185,0.0322313816709761,-0.20494405904554872,-0.0951147266310287,-0.03400625726868017,0.03929813167979634,0.053828056455617806
FL,0.12848383514061745,0.9697770363560283,0.04297963824033477,-0.04275197046310891,-0.040647684734383904,0.03487169338787124,-0.0965378897982857,-0.1760957081684136,0.05134856676947812,-0.05065495391138186,-0.12549476683280092,-0.002494357769069473,0.020230523261200357,0.05032858319853499
GA,-0.1884130532910436,0.9598132179732919,0.058207255164523686,-0.023412901671188504,-0.036538556387289235,-0.00019293782281616217,-0.006267954274649284,0.17720984162688908,0.02238158361722629,-0.15262762187677756,-0.05390432768370847,-0.07480292895604358,-0.04495250955396605,-0.004466495800652252
HI,0.5231819157803853,0.16708130883821748,0.2746671953398982,0.37982547480606904,-0.09737515965623238,-0.002657005378044114,-0.7062800566199043,-0.016938244754030007,0.023113291413308222,-0.0029153632684951482,-0.013817932697221633,0.03535849576687107,0.0020827357009332104,0.0015614531392264973
IA,0.790312986218968,0.022406020853382176,0.01372302142524978,-0.11764056922323628,0.5152423293410381,0.09280675968199295,-0.05329045002277768,-0.016223716346483428,-0.000991003909972505,0.10178694814327978,-0.030492062720018597,-0.30075850004288407,0.04834733083629364,-0.08021719726695034
ID,0.26539413067061435,0.8313837648547044,-0.005805218530537064,0.17592602621307937,0.3733113004609623,0.052187958892104605,0.11486136751798261,0.025506339993140392,-0.1987519257466911,0.005763828250128766,-0.07384021611346035,-0.1829492144619089,0.00575566433975967,0.038957167903160346
IL,0.9784101776157332,-0.026652483771697613,0.1576673932481915,-0.05289257760279972,0.1820344898839854,-0.026803436028220013,-0.01672836748332973,0.06363686315949123,-0.001999284826067827,0.0062335446988407844,0.05244871923058155,0.016591388019304966,0.011579472150762393,-0.021210938114951682
IN,0.48847102586697905,0.6932969563617014,0.05433245315359533,0.16200182423738915,0.30238757520712023,0.026775835740770103,-0.17732442216607583,-0.01788182203057573,0.04658617514325194,-0.034789131411465724,-0.10972947299917056,-0.3210282880957103,0.022960478097070774,0.1678330868432315
KS,0.6167895441463304,0.45264014331966085,-0.036207452804971785,0.1037941247351895,0.3918022395881855,0.05745933621326169,0.024870694028485206,0.010954477679389694,0.0769438453075894,-0.012743459984931864,-0.47606867946594283,-0.1936827842950002,0.013007918388033305,-0.022372003967912776
KY,0.06667954271317499,0.7086933617669521,-0.12876789619153023,0.18368096685121593,0.15679869547317565,0.05417489110564695,-0.035852888912991716,-0.002215123572864049,0.007214634389745225,-0.020413137594863587,-0.07904040843515765,-0.6569633839864126,0.06438265831821634,-0.01988334520073975
LA,-0.193378210814894,0.9513916351799775,-0.03370296770114251,-0.02500311472114253,0.11394566660192121,-0.15438330766365108,0.04576096670489581,-0.07813854870862826,0.04104476931577907,0.10373161926373399,0.07151732407799125,-0.0074053386848927615,-0.14688752655570853,0.014488945804580232
MA,0.8969486294653971,-0.32441450478993133,-0.0879717705452002,0.19836143284355096,0.1351774948620936,-0.19559547667119953,0.06504537932344608,-0.0285722744954626,-0.02929081030818073,0.046292102429945095,0.05823396274130359,-0.02778441827938478,0.04177436897898224,-0.04006926974856228
