,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AK,0.27702994416145865,0.14848827258773128,-0.009055838720035212,0.9363312443964257,0.07576242818235357,0.036466513871110634,-0.1755193695735863,-0.0053044192733290385,-0.0011582055988971932,0.13330106065296277,0.003217221528569601,0.0006200962701405099,0.003229258307871723,0.002727734773100291,-0.0046508605323566385
AL,-0.23696749264911715,0.9378336831598088,-0.007748047803258902,-0.13870573476095352,-0.003143766839116746,-0.02257179908087425,-0.15087237445771787,0.13950695719964484,-0.13131049295782538,-0.047013719765158904,-0.04649705818054373,0.00818803406205724,0.05043463087934675,-0.022020756800526526,-0.09623085135447795
AR,-0.10297758619129782,0.9150929881733687,-0.007476341638053176,-0.011695449619266376,0.1787261526585128,-0.07666993374916488,-0.35193491886553935,-0.004729351049593218,0.040587158116952515,-0.05227502810581376,-0.05790799189588156,0.012817838755383577,-0.027878011608012697,-0.10082525559779285,-0.006504119186884304
AZ,0.4012761570342068,0.8832609894113015,0.10973534222368997,-0.0025691702523702614,0.16029803639042314,0.06505810771697708,0.09203749527529001,-0.0963661486984552,-0.07256898917715102,-0.037417471653597496,0.047868039651624006,0.06804126842389611,0.07442573174894433,-0.08084032744198988,0.07699060536044294
CA,0.9484127984923113,0.11391960659427368,0.09032741174202469,-0.0447080502971513,0.1533317220335688,0.0502298792235537,0.16918285731564958,0.07479705757081136,-0.12619056839966053,-0.056456515827925075,0.15296108091687816,0.031880831678291296,0.005603082542209688,-0.05273303839127831,-0.06176165430790056
CO,0.7760151370524545,0.3407140636339753,0.12483737671315212,0.16230015219667776,0.23254710738005244,0.4343840772158763,0.09956274559549444,-0.013177168772834895,-0.11435345837736463,0.07931641494595867,0.011981288208216421,0.01594189795539163,0.010095669461140839,0.016167716357438088,-0.012150354936739131
CT,0.9757963469098593,-0.016419403855565874,0.04714166398793537,0.17968067896823517,0.018732248940173495,-0.037923097817687594,0.01697526860439068,-0.0817757982546281,-0.02412210261460264,0.07735853031344582,-0.11771320658688304,0.05325786697183033,-0.02349214667392243,0.04302022954341267,0.08143629865534063
DC,0.4285115993994209,0.11425978237689995,0.7174898943694192,-0.005827282129642381,-0.2461674673662774,0.0130133412243836,0.4428543448919841,-0.008993940244369805,0.012480184726505975,0.24844692025521378,0.003925834520877962,0.0017906084450528062,-0.0020113889803307756,-0.0010055822094183248,-0.0041267891110603055
DE,0.9301153982148903,0.05913257211815236,0.11931848226879278,0.05971428736706051,-0.2029264419684421,0.08848544770575548,-0.03224697910906535,-0.06522407955692192,0.030788282389166415,0.12440521759174575,0.08761824736538795,0.005732625213949419,0.049851936270772584,0.03398390415011072,-0.23064961397340303
FL,0.12887933270500054,0.9697223952926828,0.039118643346707345,-0.043662670234143997,-0.041320472979884074,0.12622751971969912,-0.004320113611566766,-0.17796949695889744,0.05163304700242844,0.0976154467454107,0.027509961197057568,0.006160111451596346,0.022876047596462078,0.03178541040760556,-0.05979828308846765
