,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
AK,0.2759845432276705,0.18955958723020883,0.0778903245914172,0.031019569553331523,0.11757363340943174,0.9463733564265085,0.046920755868358296,0.029641424353920195,0.0024351777065623444,-0.001492320163802332,-0.002608803881088487,0.02041400597500356,0.002582202279745496,-0.031024603146548944,0.0031623777505862235,-0.00039110754992710485
AL,-0.23575961569429713,0.9465223994956895,-0.015046077763114183,0.018630919724828422,-0.004678199546374632,-0.1563875378030353,-0.06484063725394903,-0.03915196852875431,-0.09813497767766448,-0.14903714438127222,-0.05932272521799174,-0.04278621537990944,0.002712136598218966,-0.07906201181261317,-0.01232890949407095,-0.06399485591448517
AR,-0.08078477481314623,0.9603035676636348,-0.07087007308434486,0.1668277761493027,-0.13769605716046512,0.011659409066591924,0.11005428101987706,-0.07346786857830802,0.02345052610467327,0.006637788094412889,-0.047052168051354704,-0.06152111037024399,-0.03454506092909769,-0.139075277642157,-0.06830163012258432,0.044608052700327576
AZ,0.3858274351877073,0.870671015126036,0.1960111929095575,-0.05278189739993058,-0.0006654150579045091,-0.04884847724540753,0.08553384078956403,0.061626238900486255,0.05175979918240487,-0.012272446076674794,0.10572336792667454,-0.06758730535761023,0.03531092614111388,0.1784203357065344,-0.03688986131974858,-0.12410088454984393
CA,0.9451017334608541,0.10365671198850081,0.17456040064352105,-0.10826943633941118,0.0911139369790891,-0.09132574538360351,0.06165831804176354,0.032253543933836504,-0.04342373704211147,-0.0986082493072137,0.07236749588966679,-0.08067757088417273,0.1660832745282521,0.10922700806606365,-0.013745965741378477,-0.015717200076161026
CO,0.7756560181996817,0.3471926021945384,0.22549683146602006,-0.07941072027593768,0.14045894799934175,0.12111757634839034,0.151456805068115,0.42566528092691736,0.005907909818859049,-0.07576848329706846,0.0490783167215519,0.004749739689165854,0.01990774905330384,0.07153397370283886,0.027235996873654893,-0.031076233428462677
CT,0.948280859058376,-0.021850016752295275,0.23270987062904236,-0.006803802914470428,-0.010933594761963279,0.18263674378236297,-0.024364521283872582,-0.03992676017882975,0.07176530678978049,-0.0043205984133694005,-0.016111335395207396,0.023360869920700925,-0.15177232312317995,0.0737920648084938,0.05701812370398712,0.0014982036025523598
DC,0.30321496396336717,0.00834178508865419,0.8887106713902695,-0.16529815682599625,0.11489619042055717,-0.10352188130250174,-0.0773152131291474,0.030694177977985206,0.009616667659798756,0.012831874228485054,0.2819083204950962,-0.03267057715345222,0.026936126484917118,0.059321933152581295,0.022786016406663466,0.016811695856180805
DE,0.8729496879513177,0.03670548018323938,0.3496667786444231,0.04303477715623092,0.06370313784814273,0.05382087843216513,-0.23646498296249127,0.07207770202122288,0.07991691043050664,0.03754468599554941,-0.12602536869583866,0.009799308219479847,0.16152934346752038,-0.09050724945691312,0.11411117990898795,-0.02459162511191583
FL,0.09064306029991367,0.9476205090801576,0.2083402016632829,-0.012471555336954408,-0.048864144438948744,-0.059644002084598496,-0.08266576260137565,0.132854480885927,0.08204411098697448,0.1069059961142578,-0.04627901266237842,0.0783714657465103,0.05772273824787775,0.10449249403239781,0.08772125751086111,-0.04484734459202898
GA,-0.20882472284779693,0.9533614171145186,0.11612030919276303,-0.05287948770367372,0.07753817122295391,-0.06725539050888459,-0.04890804577652828,0.017195083609602507,-0.10636131125216412,-0.025371510719388868,-0.09384771107247426,-0.07529151609680475,0.04313299095132535,-0.10693434414392229,0.010530524891275247,0.07421735214353746
HI,0.44206925315119455,0.13484207893173164,0.64102100023234,0.011825170714604667,0.13357155440377477,0.39395049207629623,0.009097180902795066,0.00777017837334649,0.005325187370305157,0.021581043442292558,-0.029267215025329165,0.47107542725939944,-0.004021520120217045,-0.09536182759054455,0.009286071575358002,0.0018329715852289643
IA,0.865936848247319,0.10144257704090123,-0.13135191835735127,0.1843373438330336,-0.08277540029647004,-0.06340128889041742,0.37373593695466995,0.037129779614563964,0.03358346744447798,0.015485603821819746,0.11481428445794668,0.1320376752906873,0.04444844021983822,-0.15564248304042055,-0.07159462889598321,-0.017654686797100794
ID,0.31452667142888857,0.8850110339234618,-0.10382726557769095,0.08202476570311337,0.050260870003141216,0.15333295697479757,0.22061799958574624,0.07345104624720077,-0.018048467475064226,-0.17003632663050355,0.08630058320137139,-0.07875567008693217,0.038644725703853786,0.03418630782142398,0.04724643050187003,-0.021747615922449785
IL,0.9739602164661358,-0.023622610580723267,0.2172234365719383,0.04301287757357252,0.023002635854845948,-0.0652843510845377,0.1200822011589544,-0.056970027879030924,-0.03986692145533563,-0.006156143075925917,0.05492510888700244,-0.04698868928755307,-0.02562306909297295,-0.011092095810236596,-0.03264936007314255,-0.01786970617117511
IN,0.5114901528946746,0.7472856256280431,0.07267931636612311,0.2018379757087101,0.07302973313671261,0.18007557448005312,0.19941432862806746,0.0885020346464097,0.016224955917241435,0.06011427553235658,-0.009121973992455486,0.11369831630177943,-0.009246762078490157,-0.16975596996508918,0.1703469494237301,-0.014260892473450292
