,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
AK,0.2762988258984351,0.18981580589952288,0.07259401576980569,0.02738902206362053,0.11846042946908386,0.9474038053443409,0.047217861279670134,0.029434210443273844,0.0027328571434609983,-0.0016834247447934851,-0.0024879345761559192,0.025927925246042212,0.0020381595423299968,-0.029504903095275172,0.0032191595052199775,-0.000575314000607756,-0.0007142318363064924
AL,-0.23610297041357586,0.9467256092853816,-0.013897802317353575,0.01936151882781044,-0.004039217506701121,-0.15354382556862836,-0.0611332609219797,-0.04398708165871926,-0.09950837935266411,-0.14624073055567338,-0.05645971631778863,-0.05196735851062969,-0.010818136420764112,-0.07907080168399479,-0.007599681619962966,-0.08433343655924723,0.022265851936777114
AR,-0.08058563972233435,0.9601413199563265,-0.07711663071183911,0.173050691796653,-0.13039494366233823,0.009650940521853326,0.1072330998457899,-0.06901788858134533,0.028052179735072198,0.004405814180912967,-0.05414061828829977,-0.04780308722891584,-0.02478319744343484,-0.13615712601613444,-0.07542234335538003,0.06582805498771939,-0.027364967517063382
AZ,0.38615483238661746,0.8703134506463461,0.1970078068822799,-0.05194268472028384,-0.0029852469022154083,-0.05169772333905153,0.08291812553635146,0.06917487699997842,0.08048627099388832,-0.014771817495521462,0.09495885648236825,-0.057412561817110484,0.06305193221034792,0.16884510683236117,-0.06212255499296757,-0.09295616356805747,-0.09035861635865682
CA,0.9450238869746672,0.10350659383783402,0.17792984705772247,-0.11146935035117828,0.08624631644301357,-0.09149004278108946,0.06282160683828557,0.0332783707653414,-0.040426645981800825,-0.09973020519947284,0.06472097789993429,-0.0796743155107084,0.17310245550753364,0.0997927543728661,-0.013635263932298138,-0.01675819770457144,-0.007508236826145952
CO,0.7758849572251434,0.3470643515369163,0.22570894966633145,-0.08352901003430116,0.13652843342572663,0.12004517023252556,0.1504256365748842,0.42849660387679794,0.012480815253583855,-0.0760554183196182,0.04337488949450892,0.009920402782648644,0.028543240023546437,0.06610315731479587,0.021492246263863115,-0.026487164401673535,-0.02354420469808947
CT,0.9491994025405629,-0.021756786497360542,0.22733278351527275,-0.003620790874838434,-0.01164549233656851,0.18112742535608709,-0.0268245284457678,-0.0343540257472829,0.0848503807979747,-0.006590258301832418,-0.022017310073628928,0.0354544997500503,-0.13657521485736884,0.07710980815374056,0.039075975238345495,0.021234309914707577,-0.07307442439896424
DC,0.30362424901487073,0.009215490275525647,0.9009924574765438,-0.16328109481854997,0.10479288159508877,-0.09571522543736705,-0.07304506357530899,0.023106868602786768,0.0027693418419912196,0.01093560212243668,0.2649515973185172,-0.040635131985327005,0.018976900920435795,0.04706231642801217,0.032972617397043644,0.008828638045930573,0.029741150431477906
DE,0.8742824472168972,0.0372290642987892,0.34324096974618606,0.045337483550672034,0.06446965565981994,0.054971317875603054,-0.2379307130314279,0.07081343167761693,0.0713894396973889,0.04083224065985055,-0.13146892735857332,0.017338446371303783,0.1515696949729587,-0.09294465218982718,0.12387902186239587,-0.02957326255383863,0.028030557236249903
FL,0.09090138670946525,0.9478868955841908,0.20875960790600553,-0.008312227781339632,-0.05023131683593453,-0.05695576213947979,-0.08001036880944308,0.128137165714145,0.07144783840855107,0.1108843721690035,-0.03973984685763806,0.06623070175611441,0.043533010969989294,0.10484296798821333,0.10080693384225703,-0.06279241467195272,0.05853497656318152
GA,-0.2085633437889033,0.9537073784271355,0.11546547279289207,-0.05355752787525391,0.07489714317299816,-0.06501506209270524,-0.04863339113566142,0.014593357351806726,-0.11826030836164576,-0.024858258371594985,-0.09881547713847241,-0.07214800305042349,0.0331870066638965,-0.10600638821995431,0.01895095672742994,0.05967467194481652,0.01999129052410055
HI,0.44428315898352777,0.1355862472758147,0.6284609625902086,0.01544500067730225,0.130698808403579,0.39247512088428066,0.0018011001140530358,0.011899014858712205,0.004718425785017731,0.021153412642400764,-0.03369658299199252,0.4914930231052493,-0.004817957397940423,-0.08613323190222585,0.007994429513254747,0.0016994834466532772,0.003372878342092455
IA,0.8643891301780355,0.10129869481418821,-0.12898467785765133,0.18571447608258423,-0.07585901462743998,-0.06073146319935762,0.3815430673788372,0.028843744122075438,0.01668497747936698,0.017891642585981853,0.1265604217912314,0.11192804176853811,0.02189547197244666,-0.15425459284416726,-0.04727747392763324,-0.03663015176027687,0.11147986777759199
ID,0.3133542364445301,0.8847137259180844,-0.10016416319913184,0.07784550388618339,0.05352086500534323,0.1550124911712423,0.22630331038138404,0.07039386444959693,-0.01965098940130023,-0.16928075848475055,0.08797550274607932,-0.08986196215498746,0.03415342520114293,0.03099549235418527,0.05229746131009946,-0.0341069293256641,0.01088862055582343
IL,0.9741178519007705,-0.023644377384842666,0.21643630160826036,0.04386307358781282,0.02412275702745602,-0.06539933712194924,0.12000043748155277,-0.05436786311450901,-0.02857316817022995,-0.008489288506845445,0.04627111016518942,-0.03933554777442398,-0.015181460876429938,-0.014408211683148167,-0.04521876034689321,-0.00482706616751023,-0.0504091148267112
IN,0.5117013934216134,0.7473161331633599,0.06577789428311676,0.20115415785617288,0.07999816569390737,0.1791802735861698,0.19868745110791086,0.09010482989227801,0.018069209877561727,0.06114774304705433,-0.010280176059769747,0.12245689591303453,-0.012356425327132768,-0.16489995634057358,0.16413077568210194,-0.011838585657557887,-0.042259104095574394
KS,0.6697926790074616,0.5134311903979225,-0.09211285832753305,0.030648956626610078,0.08078851684656661,0.1029667640499398,0.24392094410539744,0.45021623529914845,-0.0007626216579973321,0.10027061381961551,-0.0020272563668306044,-0.008890423608763073,0.0380501280787701,-0.11298133903477027,-0.007384471958605061,0.012503853937345244,0.038768330115828524
KY,0.12155377363828747,0.8068654305592841,-0.26170551076666815,0.280837345506764,-0.0954667753578403,0.2624260995165157,0.014825862141812795,0.05842065235204699,0.04857324002119995,-0.00037333835639131525,-0.041758770215806394,0.10400061471355201,0.027953288792207397,-0.348780018850493,0.000942552101182843,0.01272960000151048,0.011726012496224411
LA,-0.1999042146161464,0.9429375104476979,0.01974178914805738,0.052871443116496414,-0.052438683891991265,-0.04777139148861138,0.06620278380420767,-0.050412006213290894,-0.029892495865508614,0.06775107789171084,-0.0123077961127411,-0.027632609260396318,-0.1714485282723052,0.21459605548132588,-0.017087389700898643,0.07260987520429767,-0.020135032919032788
MA,0.9080660773328532,-0.30339049531758067,-0.0024450318201554035,-0.01782453239976588,-0.030303006185659738,0.2106750128892679,0.0752925185259996,-0.05412871121504376,0.11154388105231698,-0.048158582687790864,-0.07104447063712403,-0.06939738490948352,-0.17637176800617219,0.027602612845993777,-0.059008995943681336,-0.0023118591027704513,-0.028517141037497147
MD,0.8456850372072856,0.15624025365991878,0.352715296250683,-0.12315808250240937,0.11268663325104063,0.0311000179947,-0.030804957325702962,0.10858843956829405,-0.011186219729766318,0.3551244459645144,0.02268750129851169,0.004872645938437243,0.0016071988766970804,0.035004016687512775,-0.003640812989419103,0.002244061504604002,-0.0108092599945396
ME-01,0.3870082076856223,0.1257297591055624,0.8646173718679239,0.034193148153418874,0.10284104805719511,0.1221565593673993,-0.1341257846856952,-0.016444984539387208,-0.011085930500128894,0.003858799063084522,-0.25821664490377866,-0.00936515083923083,-0.014608827281308188,0.047006284074780455,-0.04818792392730129,-0.009890890459821725,-0.042279474821655574
ME-02,0.30338504712703046,0.19595987214714367,0.5558993295711679,0.6013385207237893,-0.24894377689749195,0.019545688771041,-0.01135000232118232,-0.049606043636700604,0.015823477220174163,0.002793642207126824,-0.3745156823604301,0.06582354183263522,-0.04837420442536902,-0.07795925892338712,0.03413196248554433,0.0210180818141296,0.02462906371329754
ME-AL,0.9133061963373407,-0.17929412610747827,0.04247284757099831,0.12448890611806761,-0.023852163163107815,0.14730229357118732,-0.09783518233664165,0.15495532123203506,0.1155650488608945,0.08515014867367232,-0.15894772085828365,0.1185570662022801,-0.09629851885905938,0.047090000531260424,-0.020991436401261672,0.013287814054120824,0.14366677636222713
MI,0.9577667345335655,0.008878323292937607,-0.07649667027126837,0.0944932339311697,-0.020063110016472367,0.09641641582083929,0.08455886369932102,0.05062545160952602,-0.11849377191085068,-0.1865326323171637,-0.06522758363022761,-0.015892269132102965,0.09232504419510892,-0.09297298225436176,0.06191326413547667,-0.02064928368310546,0.01431221768309924
MN,0.8914625656949217,0.11479147162152642,-0.24937437743961174,0.05544738247759404,0.04829424353350108,-0.04132279230609277,0.2757000868835247,0.015963656120832725,-0.11424652912192755,-0.15567117244238876,-0.02741025826719385,-0.051009222438484915,-0.027991970031969855,-0.14921229200843253,-0.0984533626688028,0.015423470795507897,-0.009078461870655467
MO,0.37384088465255966,0.699253426493755,-0.07270043387998874,0.291570666353583,-0.13389657990210344,0.25340757249974954,0.2967716442551346,0.05471059096924631,-0.06067532932275782,-0.030333915208517,-0.036520166230582615,0.04931163634030539,0.03199937904706546,-0.3536755054524647,-0.013685168751728519,-0.04408355593164439,-0.04374042751560162
MS,-0.37735668365544855,0.8603038424082903,0.14874155994005925,-0.011218858761290921,0.010330103247655521,-0.18499732399453558,-0.01986375562241502,-0.10525355462212695,-0.14696790130775494,-0.020533068859779117,-0.06517558690663568,0.0018194000590079952,-0.0273126904577765,0.21236181503869034,-0.0054473168675760126,0.09938269418347258,0.0325108842186521
MT,0.4798582500293456,0.7696016179590999,-0.1822565060334525,0.14027507870055175,0.09092539877915941,0.10944558501422831,0.2629683375378814,0.08640552870577906,-0.026032401102350066,-0.1643118042496988,0.12836181403019203,-0.012837866796934216,0.016720082535551465,0.03339484364351786,0.07521829586497335,0.004752411204401068,0.0033095214434078245
NC,0.11866165156171653,0.9614125755795776,0.13664202522100197,-0.046087273908949296,0.09308817629664859,0.03723736081402068,-0.0924420609031628,-0.07750779178996078,-0.016644032872552828,0.041176046413034934,-0.005698004334161336,0.004543457396986577,0.1213758635073795,-0.16259625062599795,0.02624290399740802,-0.013712639335701684,0.04691271657002494
ND,0.5098617896072442,0.5757875511182927,-0.20120965884414294,0.13257458557064017,-0.0021296044378851958,0.06748978468941322,0.6037089318995497,-0.03206093494643901,-0.04497991958897144,-0.038807343038464205,0.022184468015503844,-0.009014665297128605,-0.05256164040116024,0.01292975988583558,0.0432846482127354,0.0681584456523721,-0.02549598342731803
NE-01,0.0355019734093539,0.06785160945915854,0.03369400324568323,0.6052523770274202,0.8051524152755366,0.07172738875350707,0.04721327250351809,0.03239194295205286,0.015903719901393783,-0.0006874561340116914,0.012674891391016407,-0.023972156331893577,0.004458705308373029,0.008018575560709836,-0.03584400704504425,0.005263553572625801,-0.018349230555590124
NE-02,0.035582729902850045,-0.04161719692429137,0.1649359365321624,-0.3899666960500417,0.9162526565439746,0.08331547751284812,-0.02292480532156292,0.00570482044727817,-0.012486926928044276,0.008091916584350257,0.007355437016750154,0.03862668767429496,0.00651820491004709,0.023910220142129495,0.026570279466051016,-0.005799747158477265,0.012922342766396552
NE-03,0.011194941517941665,0.10955467239259245,-0.09739247843602214,0.9981093883574407,-0.012562924740094381,0.0002028983566140306,0.08898751695207587,0.0015721049239702167,-0.002761462802896345,-0.008565705337790771,0.04033498460811941,-0.010267342431143935,0.009730820209201735,-0.001511697883009037,0.0005973375885504038,-0.0067618953232532865,-0.0010153391917460677
NE-AL,0.3906995053706371,0.7459451073751879,0.08505873693136345,-0.014783055540295029,0.11412749300980805,0.11807139002648123,0.4326335082049039,0.2728648271241058,0.006367671584308796,0.10854645536863382,0.04508453468410768,0.051310085203499,-0.029848014935068754,0.040711357747763056,-0.01700787684001309,-0.055545733246048834,-0.06027884320734637
NH,0.7986976921791428,0.27207646089930426,0.36549258507870025,0.05317379013772746,-0.025081371521485332,0.29155743912337706,-0.04911697416921486,0.04479006768984465,0.2611155914635721,0.03232895404712478,-0.055725253770927435,0.024952500028390168,-0.05336542342459233,0.12819846541551344,0.03412510729521936,-0.018978023263218066,0.016887089817360954
NJ,0.9750820204867826,0.03989996229022504,0.19996205251699045,-0.009655512613948815,-0.04962262185009816,0.09872971480454783,-0.00423982187399447,-0.0678442678193026,0.04507281468268777,0.0598749953353914,-0.007098016691882682,0.02825056747669899,-0.04996557789650268,7.864424906410976e-05,0.043381202284129505,-0.004914970408560257,-0.10976071303425958
NM,0.7011500831269698,0.5532553361647558,0.3386266787294115,0.0032637782569028273,0.08808277762364124,0.056732066560669946,0.13895212437500104,0.07874943002209324,0.08945951151269187,0.12771975056448442,0.1214063708061732,-0.0233468949718815,0.09222690325100118,-0.059864715402451134,0.027275385572540525,-0.17724869778707059,-0.007368539900108317
NV,0.6297556536523122,0.6748649642248786,0.22515050556829194,-0.037333176376504504,0.010165801007845313,0.06680302554434125,0.2598947332976979,0.03706732901616353,0.031984751436011434,-0.011690961029556779,0.01970608882644515,-0.06674824112973297,0.08085903487247643,0.15111298782323482,0.11998766010661269,-0.016169213028488397,-0.04640301336052483
NY,0.9528367329751829,-0.10178118506281321,0.2146766152302429,0.0518392331224539,-0.07565464244859886,0.04523602135277831,0.11773614590534401,-0.0840830933206631,0.016543012425876198,0.11388142945290662,0.024963212777307515,0.06334884957816156,-0.1124104253840489,0.01701255983529912,-0.03674023698411506,0.03604988714558516,-0.06532159691221213
OH,0.8484163825361212,0.38379452089368393,-0.07597078641989029,0.15444674125018285,-0.08402492344103217,0.13584336624189727,0.015269563070389212,0.21907259981724214,0.03103668678665498,-0.07124820557820329,-0.047081711727267224,0.10774572306924234,0.026993930486669374,-0.07259731286613252,0.18070766977153574,0.019843242590782996,-0.0003268878687708962
