,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
AK,0.2768154032964677,0.18991404189347275,0.06793426094190486,0.03136974615428086,0.11759402140216842,0.9475174817869741,0.04697038883317681,0.029633345033377008,0.0021905659742251673,-0.002573411899982077,-0.0021031605931072076,0.027076391188322124,0.002346288817665337,-0.030857250634554367,0.0038564643005394982,-0.00030191336276494944,-0.00048045404194398334,-4.1672896067578946e-05
AL,-0.2359794328071769,0.9468535062664016,-0.015331344543822721,0.01797692977779556,-0.004588393709636021,-0.15339482070883362,-0.06005058745617442,-0.04584213390812764,-0.11148175716222716,-0.13996267473770924,-0.04204901416959637,-0.048034439426593994,-0.031055364861479695,-0.07429715355834175,0.00695058977251571,-0.06615623443751185,-0.049525217022541444,-0.04953306698094938
AR,-0.08034819513951152,0.9604984070835416,-0.07952075936584968,0.1637067239005371,-0.13878755843090046,0.009905266297794695,0.1082153130263878,-0.06992268034934683,0.027589401489254275,0.009062495911230931,-0.049255236184238056,-0.04470603854195513,-0.03278138896034836,-0.132765682543202,-0.054637350430234426,0.07258232313328393,-0.06234058366002186,0.013991012357708379
AZ,0.38611363707110824,0.8703412027859014,0.20004163221114066,-0.049041788556735716,-0.001955249266639501,-0.05090417892498185,0.08247934583101127,0.06893212952659408,0.07422095452635126,-0.02499786078319426,0.09174282988675002,-0.05876646070575285,0.06570573610061436,0.16752858844595855,-0.04606699392042045,-0.09459756979814035,-0.054477348849704225,0.08365168460592859
CA,0.945027745126303,0.10361566311133623,0.1810841406710341,-0.10214260180167314,0.09001043607210836,-0.09112492085301807,0.06439071184469354,0.03013891907400561,-0.047704491086421705,-0.10320115085119055,0.08505667182371839,-0.07616501660300234,0.15173589281226582,0.1053875640220631,0.010811080747540981,-1.5239466686958132e-05,-0.06207760794022953,-0.028010299461988915
CO,0.7756696387989983,0.34681122216471977,0.22617862798994215,-0.07624754455179787,0.1403287505205142,0.12025961029631353,0.14969766259983822,0.42969263284907405,0.009266383345667489,-0.08126275960082532,0.03828600551679225,0.008413846347137162,0.02953737229035215,0.06444640472489044,0.0192455901494695,-0.02806759658495095,0.007015567046973297,0.025081210345768563
CT,0.9495288730314656,-0.021737032725899264,0.22277045110302013,-0.008861294760382502,-0.009672195778625313,0.1815280892412372,-0.028442833336106317,-0.030852658609886743,0.08835564151043904,-0.009382361685583575,-0.053153531043790433,0.031400280967726034,-0.1145256951356151,0.06977883635937139,0.02040515282505231,0.0021793275511500176,0.054371341403107995,0.10641419610673518
DC,0.30435777241805007,0.009740908537201807,0.9108114224295442,-0.15020534434145744,0.10975180547591644,-0.0927584554383958,-0.07231915478537625,0.01847757299228892,0.01213449169133388,0.005389163735780213,0.23072610443553399,-0.03899437569311133,0.024603534030939928,0.03958724214755493,0.01429946869959206,-0.0007172244767100649,0.07633799235870144,-0.006242306461979824
DE,0.8751744370182318,0.03774236368566207,0.336704019722401,0.04414747643768539,0.0638050937978342,0.056193694514677914,-0.23859218384421227,0.07179383798812727,0.06281083593123428,0.0390737073115316,-0.1292976440935792,0.02196556220727749,0.13310745220805742,-0.08332338975254477,0.14346539617591478,-0.021557774110051553,-0.044483007815120504,-0.0711680626451937
FL,0.09148359517867802,0.9483625602242234,0.20674928459242195,-0.010817753606841986,-0.04955776031374362,-0.055743197007359205,-0.07980227003272099,0.12669301004252354,0.06703413545993363,0.10843770343855856,-0.03246158111843844,0.07080678710288807,0.03500093220623459,0.11043317320073459,0.0998429272958318,-0.06420508595970019,0.014490712120944913,-0.07270348771240599
