,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
AK,0.27680193092854166,0.18989598919412196,0.06797194639569284,0.032370411947307116,0.11687775640982893,0.9479705671116908,0.046943980727376,0.02925474962514126,0.0013594877677032687,-0.002920544600820764,-0.002074345500889124,0.027391680541295167,0.002180558199134092,-0.03153960537887806,0.0037689516981451866,-0.0003734766124715181,-0.0008165159017232348,-0.0005641684721758853,-0.0012539221245159106
AL,-0.23616722206889912,0.9468062994069977,-0.01493383337886378,0.017847008238658993,-0.005267468511917574,-0.15267918817473689,-0.059962903548237266,-0.047006255503132484,-0.12931623487803326,-0.13510149742745892,-0.041175105829166184,-0.049279488386037754,-0.036126354909469666,-0.07277980008809991,0.0014592721279792303,-0.0642086169742946,0.008443502365826212,-0.044373067840503606,-0.023393549520697863
AR,-0.08050305693401545,0.9604681107036688,-0.07895953351822116,0.16201935832874811,-0.14106114793587035,0.010659524960844944,0.10793977649355435,-0.06947031910743597,0.027247025749385548,0.011173494822075363,-0.048511571170201,-0.04608137490766072,-0.033434842892987114,-0.13176678277704862,-0.03998179750338514,0.06705664897865596,0.0020519109982682533,-0.0785011735763245,0.03044186609134386
AZ,0.3863393313404193,0.8704930748382217,0.19933194807808158,-0.048588559024186455,-0.0015199804925038448,-0.05096781762933548,0.08215125051545441,0.06980222289869627,0.08204556136393043,-0.029275966996439487,0.08945076385248898,-0.0557336648953595,0.06290234253835172,0.16949295184051183,-0.0598108170145919,-0.0949081754757118,-0.07108660034057065,-0.036128294744337444,0.03136690147088552
CA,0.9452136715727982,0.10363355979006576,0.18015274716657068,-0.10109677668776303,0.09164244676065328,-0.09192400377899808,0.06505357699772948,0.030616788659163223,-0.05590431236712925,-0.10249838896402023,0.08375825645065553,-0.07320395682660334,0.14380718251416574,0.1058908786892928,-0.02631387496154222,0.0007118990150996155,-0.023057217692302772,-0.04315226469136257,-0.06537200609452716
CO,0.7756157688229841,0.34688757795281594,0.2265212945303262,-0.07411263472547905,0.1400582494460897,0.12158636165051923,0.14902479305101748,0.42754215532745765,0.006077247578919864,-0.08380076890382511,0.038940197982252754,0.006664299016027961,0.02954846366186633,0.07000343484798573,0.04199608028417107,-0.028931390207610402,-0.0063395536937921205,-0.007931006895487777,0.026514528673037035
CT,0.9498837052207831,-0.021724178618184285,0.22148403266426708,-0.009989002313413,-0.008177296461545242,0.17976718624446222,-0.028033950608305165,-0.03008640020601109,0.11470682047968365,-0.014125664407191076,-0.05577619193326181,0.034192133666724606,-0.10757315839502178,0.06257609881220094,0.013059808560952313,0.006872245922025487,-0.07604322751028794,0.07688494834327941,0.04026397656084759
DC,0.3045558482562912,0.009862992025915814,0.9110055783919454,-0.14883341385400334,0.11142126129530704,-0.09269558848307446,-0.07241370860167125,0.018153176057745118,0.01898786002080272,0.002271058887442817,0.22973490931904608,-0.03822429519096497,0.02835166381873871,0.0401015717192279,0.01699922705574059,1.1860850546521983e-05,0.02032452590582292,0.0709207717144732,-0.003993302706702859
DE,0.8756294459763816,0.037712326422398065,0.3350177736062943,0.04325336313141225,0.0652280148451473,0.05426313871297148,-0.23674385982550686,0.07376202728740422,0.04525307938183245,0.041849868702172714,-0.13226813656959688,0.025924778395518797,0.12316471454685463,-0.08382657714646723,0.07979169838718161,-0.030314426979517972,-0.010132690963291684,-0.0245772611573222,-0.1652847461685412
FL,0.09180290197649771,0.9484599737559771,0.20543842321913877,-0.011930125922999952,-0.04835973302098737,-0.05678293330904579,-0.07874506244819932,0.12771951164541187,0.05186696066525185,0.1076275355838167,-0.03484907725269956,0.07395771656564466,0.028312822369843896,0.10952579547439704,0.058793354005999096,-0.0667281184761786,0.02382189834843042,0.03477311321341724,-0.11504502285371275
