,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
AK,0.27667193464191225,0.18997894065629184,0.06959783427552883,0.03369525645209254,0.1164364289063555,0.9479127492157593,0.047020586664297426,0.029227667766927826,-0.00033725272347597077,-0.0025672306592287577,-0.0020053001363575817,0.027171575687393316,0.0027136754422228664,-0.0018564056556906,0.004079078080708098,-2.513180419438226e-05,0.0334312157932479,-0.0007500477675697978,-0.0007320070071536131,-0.0004984650154874436
AL,-0.23658199490056378,0.9466044451197926,-0.012742275971458583,0.0167853527562199,-0.0054352537413631385,-0.15350324736651197,-0.05885123208819907,-0.04686173696650255,-0.1209472282866284,-0.14106590007286315,-0.036601015028516606,-0.05161610325266769,-0.024098432264771586,-0.014882666398882265,0.0015336676975510133,-0.057941182024867796,0.07811909223752585,-0.055981102306318635,0.031015204523316547,-0.0030465486757610643
AR,-0.08091937172812182,0.9601217582506633,-0.07551344484965615,0.1585230255386154,-0.14401268744174592,0.010172491096070069,0.109520055254235,-0.0688589938667157,0.018616394552045955,0.010780933124015768,-0.046889849926470446,-0.047746598387515556,-0.034257350226560214,-0.0005258043252415319,-0.033002755341575075,0.09751004483159746,0.1342233150173223,-0.04405596972764291,0.036417380068678507,0.0238104115456649
AZ,0.38654912742066283,0.8710394290699025,0.19667098736806957,-0.04788120013164738,-0.0011501684274581106,-0.0504676822161255,0.08066036747570937,0.06787471694929258,0.08794499706243494,-0.023889163057968996,0.08546204419558703,-0.05227859372539456,0.05626609184763258,-0.08995738538435795,-0.0477345543470634,-0.028058035935395305,-0.18380620589892394,-0.05146511365958206,0.020176501702165405,-0.048716235089548705
CA,0.9455539053962831,0.10412766833432727,0.17659992366372532,-0.09874616295118224,0.0934354558991887,-0.09138602033477926,0.06300742876158073,0.031069796402219123,-0.06437754855053653,-0.1094761614547718,0.08285413972925917,-0.06901064121239135,0.13932013586343076,-0.005615139786380848,-0.027454845156463795,0.024369457926571705,-0.11819964460483953,-0.035474497707781515,-0.04680055501424519,-0.027282121020285533
CO,0.7758150721279367,0.34731658180405073,0.22444062488997693,-0.07156082144786854,0.1412964799736009,0.12189848471268808,0.1473072551080678,0.42709420926873504,0.011659530731672698,-0.08209626576287414,0.037665717100233,0.008692971058135143,0.027171913998545984,-0.024752453236659862,0.043332690814131394,-0.013524050842046428,-0.08031193414770088,0.008040788437654768,0.027206870699349666,-0.0082138074898212
CT,0.9499825655192004,-0.02166887427856865,0.2218372819839701,-0.010736153308766518,-0.007932316323123958,0.1799396856457879,-0.02839586338650751,-0.0307441307112617,0.14470958006219167,-0.0047501738424664,-0.05599005006395272,0.03298507246240798,-0.11204169173527892,0.021458817209500453,0.01926747241733351,-0.025672346250264717,-0.0561875819424597,0.027887263506268294,-0.00798188773256102,-0.05621903367478806
DC,0.3045623915777783,0.009634868210180635,0.9076521534568686,-0.14930167339115155,0.11536474718228096,-0.09402522429145191,-0.07316140965162002,0.019989487497087066,0.020976900419869892,0.0055245194416458955,0.2367319240494607,-0.036874152044776225,0.02650514200715114,0.0018442673609028201,0.006105465166683981,-0.01966602048524792,-0.051355869322064505,0.07498649651303639,-0.02774705904064264,-0.0036136308274173244
DE,0.8760438010374331,0.03826117371464297,0.33324336178833325,0.04407607324577598,0.06471873306299449,0.05512369683123286,-0.23853312286941883,0.07591332875956817,-0.04426464890834369,0.03188438628294173,-0.13601808261135412,0.0325492810758046,0.09792361070401434,-0.09614824409391501,0.05974605358232234,0.03767598683155282,0.05982519089613258,0.007757231247746869,-0.1800433372799361,-0.006901926897461706
FL,0.09179804219106547,0.9485883961264201,0.20527252048314762,-0.013130722078190432,-0.04819220088337148,-0.05677463393084873,-0.07903093368241432,0.12511465539417121,0.007077893399483549,0.10785968386416614,-0.03588491626270755,0.07370324144521902,0.023485523067536138,-0.03776560840576885,0.06037952860879607,-0.06635946935299683,-0.11144736490063133,0.0005055423293331503,-0.11967646966066987,0.043927857307482936
GA,-0.20783257631189694,0.9541649727912194,0.10981370160924404,-0.04926164392878573,0.08027326955106942,-0.06376181514515335,-0.04980649794310261,0.01707110072114767,-0.1549338851276314,-0.024735276161547446,-0.07676205026359802,-0.059515011895823505,-0.0019128643821592721,0.05074326109275186,-0.007124231505114109,0.08158449829300597,0.08654998465416924,0.015260927555689743,-0.03383817786552917,-0.04220701843613879
HI,0.4458048549908945,0.13618976821593784,0.6228289279338975,0.018380672105462043,0.13384278985267503,0.39238211669755363,0.0013961328872835312,0.011721156939135132,0.0027216214762720956,0.02195647843903126,-0.04765224556001026,0.49641929084656844,-0.003117990069223313,0.00011667406710729857,0.010215856310161994,-0.00028340469322796956,0.08840847572135943,0.0006997335242121045,-0.004062867858300763,0.006170188583001381
IA,0.8639118375234964,0.10134199463921839,-0.12657173090580956,0.17710375270341772,-0.08860462022224053,-0.06227089441123753,0.38149783682321603,0.03470665706636886,-0.007295124989604052,0.009839811881113424,0.09553564856039704,0.10784503560649017,0.04511665188033432,-0.06438580253403194,-0.06963434827675288,-0.035931457447556395,0.15679337482200054,0.09802381117968394,0.013189256157657921,0.07391414247395235
ID,0.31306316271779583,0.8848380775426695,-0.10067381463377621,0.08178052226642826,0.04746682128636057,0.15513126424777596,0.22380439711121294,0.07220123343777361,-0.00898896074655816,-0.17789110403311104,0.06598485829198654,-0.09178956104709175,0.040235610307321666,-0.014005198842021121,0.02490395415235391,-0.04542092472117263,-0.02642045316278757,0.06640286825928217,-0.007703458837826225,-0.03210242912062435
IL,0.9747544910205705,-0.022956872701428644,0.21485259865987794,0.046271960138667356,0.020423600666186544,-0.06442077531394738,0.11840938888961729,-0.05236147014182476,-0.010581888136831346,-0.010771151284025686,0.03669288792122215,-0.033788208383239426,-0.016095641520267993,-0.013332030511223152,-0.04557668299934693,0.02443033138331505,0.005789240399551759,0.007985593427370392,0.03916398973756118,-0.062185942047789135
