,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
AK,0.276652462705542,0.18981732542978152,0.06930890131686414,0.0360585532494522,0.1157114344390353,0.9480106658316684,0.04693574168894887,0.029685004786056162,0.002101751943637214,-0.0030359836932478436,-0.002011424049840877,0.028126367061099496,0.002587975813214433,-0.0014265218539092658,0.004241020636239389,0.03551881338005777,-0.0002429762535143921,-0.0003926958085877945,-0.0014673782152064168,0.0007804540224585958,0.0006904614811699501
AL,-0.2360381559637115,0.9466609595603424,-0.015015660684139833,0.017264388676219454,-0.005458098780238497,-0.15265992960079539,-0.06123768315461223,-0.041821051291811843,-0.09537581623586985,-0.13006833287375918,-0.044804110127603915,-0.045805851784812654,-0.04013424047263462,-0.025359668712767267,0.005374107843784814,0.07118039426396701,0.023719987157365674,-0.014875840989596408,-0.001512185730044098,0.12324890628333103,0.037188397967770716
AR,-0.08049952511874489,0.9601648304771796,-0.07681060534903211,0.15504492682848744,-0.14787737856257974,0.01071487173605009,0.10765706540296924,-0.0628161455738705,-0.0012046180515598304,0.011367961023593005,-0.05043984996510727,-0.04323901294655942,-0.03863677120989329,0.012112277894629486,-0.039167645789683646,0.13037441828867968,-0.11701078971376576,-0.017384955147676077,0.0361887321275434,-0.0004656199043438027,0.022877611514723097
AZ,0.3864712075857129,0.8708742823810439,0.19791566635537708,-0.048202962448442355,-0.0004010120022529834,-0.05039367762245149,0.08220653687360813,0.06353088406196036,0.038263045695085963,-0.03476481378975572,0.0910551937385788,-0.05483742550301607,0.06024051447057718,-0.09658118723790851,-0.04728441523650808,-0.17653004954082221,0.01453888387021317,-0.09157738257770574,0.03103448451063683,-0.035220591506098346,-0.0391283944320033
CA,0.94595996319781,0.10419662043772583,0.17388480586577482,-0.09430811977794391,0.0962910445020696,-0.0901048173699935,0.059364560080085345,0.03759811302912164,-0.07225882225275462,-0.10482459729325518,0.07730070902136493,-0.06155306163285574,0.1284445989070613,-0.01886168702277954,-0.025881560009240023,-0.12720468924374284,-0.036429142761811535,-0.012714361861382922,-0.060162934987825996,0.03891888887662257,0.05747638817089887
CO,0.7757607242308293,0.3470178433870993,0.22463828720247392,-0.06785665430638248,0.14305029757604665,0.12205253691393736,0.1471279451304878,0.42445141253248264,0.01575918057073913,-0.08703649483827805,0.04110576826771089,0.007385477942548812,0.029388961167651263,-0.013632957082741724,0.0447785243595539,-0.07659040935247018,0.017190372808336192,-0.013815686209202899,0.011368637037898172,0.010282343323046927,-0.04923367827511684
CT,0.9499384906037527,-0.021671928828645753,0.22184106618358895,-0.011546590715801937,-0.007495966506535212,0.18025439783229238,-0.028279900049826247,-0.03261431950928924,0.051619154470311956,-0.019075233506553393,-0.054552446478365615,0.03293157379439109,-0.10487988115556487,-0.0031807884312863187,0.020324012495941176,-0.056842755482299445,0.035730331407222725,-0.028305134470595853,0.036985571130932496,-0.14429015838943451,-0.017369934723038705
DC,0.30428674201681916,0.009638577513155845,0.9080273408814057,-0.1470856722782414,0.11940076939635963,-0.09423149399343829,-0.07236001512362951,0.019841833653612827,-0.007672775080437725,-0.00045241084831006454,0.23498783548803764,-0.03435020818678414,0.024247361980015484,-0.018111686389405617,0.008534336394716598,-0.05611006748869154,0.025530300290575864,0.07031386609215468,-0.007924315920559572,-0.045600097654768246,0.011885610901232534
DE,0.875311432372232,0.03786695841773102,0.33575222894487516,0.04283467312574073,0.06370346603493124,0.054165455437213315,-0.23655595364180637,0.0717878649656874,0.06508547008571279,0.03474458588793273,-0.12928844527901176,0.026543599018757597,0.11251845445470658,-0.06364535202952304,0.060806103512760154,0.07257428786991725,-0.007768926439812746,-0.005553088418564615,-0.1895708599361,0.0038242266384713778,0.021460044526525127
FL,0.09160171399388627,0.9486201092081675,0.20528720889604893,-0.01499844352280121,-0.047467395816907905,-0.056727709738837555,-0.07937426842603952,0.12445272637133287,0.09086673799925503,0.10411645464353482,-0.033437075765465125,0.07284170286794057,0.033032544913634755,-0.04653444129323327,0.0626926727738821,-0.1067709303587713,0.0723087651605533,0.006778639810225454,-0.07129670462992276,0.0015947710155549612,0.05240035284145851
GA,-0.20786091253894562,0.9541573015879323,0.11024891535564861,-0.04846676807518648,0.08148859683062407,-0.06387314208238372,-0.04860624566328512,0.0176393399505954,-0.10151697857310166,-0.009830030659406502,-0.07763615184406741,-0.06031316735147293,-0.006713704487927502,0.07479661341865503,-0.005327596352060846,0.08581148687538298,-0.05007898494248282,0.02499956750662966,-0.11779995195222309,0.06152112573433508,-0.013420006673842778
HI,0.4458089493327514,0.13611084395621809,0.6208755579797909,0.02023072670732463,0.13489005415685346,0.39228554394825077,0.0003196073781464002,0.013646004129695138,0.011268330649981917,0.02178581969799918,-0.049853972747157464,0.49904414022027227,-0.002575969027964733,0.0011282288101964327,0.010140883205154883,0.08878799961094663,0.0008695057736088284,0.0015589578527885025,-0.0011681665671089596,-0.0038697649629746977,-0.0005206260616732707
IA,0.8639904887898092,0.10100907343204013,-0.12652578873701859,0.17440544963879445,-0.09285820175921425,-0.06278898652881597,0.3806425852568496,0.03761463934120456,0.026703300210091752,0.0073079903739238705,0.09291938863802766,0.10843442621917714,0.043391755135943295,-0.0657878966857623,-0.06884654909693563,0.1584793329116649,0.024497088139115195,0.12089286238391493,0.02271041745488103,0.022762317889226717,-0.009323238665714075
