,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
AK,0.27661385992775644,0.1898137554952341,0.06938316864922868,0.03607138144809424,0.11571895265057429,0.9481407289042179,0.047082327796913834,0.029629362023728005,0.002420765012280722,-0.002931144839180032,-0.0020671233082787343,0.028138032291598586,0.0024435394684252025,-0.0010859328444032255,0.004063503045267602,0.035709915668029994,0.0008328918183435304,0.0002185792749637122,0.0012831661002972805,0.0018352765967190809,0.0006584451087595265,-0.0007838243096342723
AL,-0.2359932440770863,0.9466903537285436,-0.015103096254708358,0.017250124399799498,-0.005440158357616593,-0.15272229968801354,-0.06142427926378769,-0.04161375814394041,-0.10062702971665612,-0.13018958046179963,-0.045060077913648806,-0.045909243958824945,-0.04004051330046815,-0.028712757758819023,0.006433369463751901,0.07041254506317328,0.010490629800711254,-0.0614683245281439,0.09964579246109576,0.00859885705545248,0.047281487269668715,-0.005350641061642615
AR,-0.08047832235458768,0.9601932848140288,-0.07686059287941377,0.15523773212767542,-0.14765512748708778,0.010602469594631897,0.10740743392968427,-0.06283561919787352,0.001111225665065315,0.00978941030896574,-0.05004800518524437,-0.04364578069456914,-0.03463487425556708,0.019863714844922876,-0.03266394640394784,0.13082287905550516,-0.10600122331689717,0.05513616468249075,0.031667865407540796,-0.030880273377507674,0.00614285680856568,-0.0020435284059165514
AZ,0.38647910014659786,0.8708026472749534,0.19794670402769424,-0.04831703475419341,-0.00040184580499862837,-0.05046007743587062,0.08241180856422403,0.06359413517648192,0.04801572251983411,-0.03321534979777737,0.09093820939797771,-0.05493229639427072,0.06105951874843059,-0.09605289064368495,-0.047602276110713,-0.17500415621234483,-0.008180945085583908,-0.012133616719675068,-0.020652734628715523,-0.03897698817526629,-0.0403841332278962,-0.09155985588670068
CA,0.9459075464473508,0.10415716747686722,0.1740750823575494,-0.09438656397523593,0.0961241362221484,-0.08993077670030479,0.05995389357295372,0.037251239476146045,-0.0712178159419359,-0.10527489189219766,0.07755500111742909,-0.06174792928330372,0.13121925301353662,-0.018108617390767856,-0.025041376271311703,-0.1268303287730262,-0.036861045378001556,0.00090440408815646,0.03368538689840606,0.06379437249250974,0.05239412003518082,-0.010621620264856151
CO,0.7757843501313676,0.346973454492878,0.22458362852273914,-0.06811846114563538,0.14293926018505282,0.12196751856613289,0.14726328055255689,0.4246697400697771,0.01708829282965437,-0.0858418860969974,0.041017449669336806,0.007470003498330082,0.029799417939438643,-0.012488901207721538,0.0422286820048242,-0.07607229507386043,0.022989618931014817,-0.018807905398341405,0.010694623414397733,-0.012141962677416657,-0.04563147554831242,-0.015437401866066458
CT,0.9503490654144442,-0.021645552630813258,0.22081193417084502,-0.012055761102827568,-0.00743334508559104,0.1793291100437889,-0.029754874261909144,-0.03130065892277821,0.05810536303318884,-0.020631209933843177,-0.05438604530790053,0.032857107902168815,-0.10755513232359937,-0.01054732573565792,0.024000937194734267,-0.05634387096113905,0.0007029266075019861,0.018219607601406576,-0.14317383037747247,-0.0588767826041482,-0.022878738696271408,-0.03592203063591088
DC,0.304269763952812,0.009592194000570238,0.908321235063497,-0.1470721823390683,0.11915317288118077,-0.09396347041555643,-0.07197029649864194,0.019564544478040295,-0.006991287707763258,-0.0006722432754395759,0.2350365004259486,-0.03430808201091582,0.02279807930605987,-0.020683438952904126,0.005432439683617493,-0.05591594128749301,0.04220221223696922,0.03210688937897779,-0.04497528871298917,0.009927285963622023,0.01000971348633455,0.05258841708645719
DE,0.875259715544469,0.03780954612907573,0.33596544099745485,0.04306231412118294,0.0637741807237165,0.05446278819680592,-0.23587703736238802,0.07133462118011558,0.06887668309078515,0.03491252532279134,-0.12895554153487268,0.02661078276456233,0.11492817810685364,-0.05511840087023199,0.05715082554642684,0.07345386629172736,-0.0012993228469696618,-0.006962975304000502,-0.008922747751810421,0.1920537492106858,0.02002764925235563,-0.012486203133921434
FL,0.09145306432607181,0.9485344813462355,0.20574550991055068,-0.014605294781417496,-0.04749598234864358,-0.05626747953802987,-0.07828275283617613,0.12402511624093601,0.09037080243214428,0.10596145691024716,-0.03377086361858184,0.07329397119115719,0.03161889102686477,-0.0476782885013368,0.05578065919155351,-0.10669858306141894,0.07103732424393779,-0.014912010041790715,-0.011459415277263902,0.0747333922724321,0.062091020022976715,-0.006657646163540111
GA,-0.2079795739662149,0.9541856824937416,0.11067658926817298,-0.048273301984947836,0.0813753474670249,-0.06348709791548235,-0.04787650197447613,0.016913219037412226,-0.105291041310317,-0.010610989454401967,-0.077390543733145,-0.06043608886119406,-0.003990278879889777,0.07926287186798656,-0.005442991837403562,0.08494206899094968,-0.02980925135106324,-0.006152660926118817,0.0489773823263294,0.12640050681202053,-0.01558509354662862,0.02543725650639055
HI,0.4458177370095405,0.13609582929052272,0.6209250904042997,0.020301336130925406,0.13485033670741015,0.392414970584059,0.00022579279611001675,0.013578580945699914,0.010435592233092065,0.021887158703464683,-0.04995841448427482,0.499058617241513,-0.00303092067497388,0.0012583909318418219,0.010263369795051639,0.08894896782873393,0.00022124425377129431,0.0010618757919079584,-0.003494037178812153,0.000991415871140967,-0.000478588159511316,0.0017910261393151144
IA,0.8639051783724763,0.10091593401999387,-0.12645914069484604,0.17455388775144406,-0.09268686050501516,-0.06281317158787958,0.3808054352349917,0.037670636042364,0.020792088961795106,0.007223670367330505,0.09331409224575997,0.10849093720002052,0.04010868645067983,-0.06806199535238706,-0.06996504896545859,0.15914202502181443,0.04183984726003319,0.0015365729315194902,0.012912005805198527,-0.015462978159773893,-0.005237267787835382,0.11824487313805192
ID,0.3133828463221796,0.8847043243549656,-0.10138475281873144,0.08352180013760671,0.04540415381489778,0.15567738862096628,0.22299629913766106,0.07345346029456677,-0.04024303212687314,-0.18151523919002796,0.06313093555236214,-0.08923551689624865,0.03391068304870812,-0.03586788665583466,0.02621014144435974,-0.028110219919863413,0.0533199797073673,-0.00239803471597487,-0.02159578779140459,0.016611924963953858,-0.007871919701834634,0.03519042409986894
IL,0.9751402181062497,-0.022986139875064374,0.21341374947154854,0.04692428111532547,0.019519404788127238,-0.06408292057106071,0.11655119205472254,-0.04834667982451594,-0.06637349484054074,-0.013349680727816844,0.0331559087935519,-0.030024990934130955,-0.024807868708723212,-0.028091645765646326,-0.03878397445521766,0.0003993356775125531,-0.0437947453960567,0.011489394334282504,-0.01849356753144335,-0.011923021899254102,-0.031709010315025245,-0.002384473023611851
IN,0.5115529320997992,0.747147531973233,0.06893703939578033,0.201794196617742,0.05984333847278909,0.17838499409671432,0.20118808017079565,0.08687175834279715,0.012768208909589943,0.06594800476329883,-0.0051479004656148925,0.11536127213551903,-0.012761401109849774,-0.03473767366638652,0.19326306823922867,0.16921825124766413,-0.02085374884357828,-0.029125700284315704,-0.026465491945449806,0.01660685493034159,0.0033791776310993266,-0.013779929726980413
KS,0.6698248336879549,0.5129493533177688,-0.09543104096216,0.03820866014668006,0.07895454021436153,0.1011616039449201,0.24031904273214114,0.4637043650124312,-2.4941762301003507e-05,0.09305525175021369,0.005283660589314547,-0.001235210840981707,0.032070064848240515,-0.012322882510932326,-0.015658453597961385,0.09988666244581047,-0.0236749636143173,0.009138587839292268,0.0007558226312160976,0.016450428323032278,0.04968293385355504,0.0230154413054572
KY,0.12134310328427902,0.8064765461150835,-0.2606718782116115,0.2599284662981692,-0.12230414490079711,0.2605074755947391,0.01663794985109108,0.062352982122433,0.03982350792521133,0.0016109988005297365,-0.03823921188557345,0.09940656856653021,0.017209298554901754,-0.039069263682601926,0.026154311691953355,0.34687286786834276,-0.08016632084181942,-0.0013516955010076997,0.03554354217027256,0.04018907296987614,-0.03408669220249944,0.0343586081081144
LA,-0.19900703497949118,0.9435453321915072,0.016845745862820647,0.04603232966055094,-0.056620230669848275,-0.04822023248602186,0.0647694788679019,-0.05193094230661711,-0.006880515734903837,0.06603456887120952,-0.02765026296116528,-0.029369324041736245,-0.1346584908738877,0.1012786928756409,-0.03245891238907019,-0.18133596742968694,0.038504011438228555,-0.004094612844630608,-0.11387150136830558,-0.08187795051441935,-0.012146381495629126,-0.0032692077101256494
MA,0.9080394023920445,-0.30355845831918465,-0.0045681320449532615,-0.02190357759581716,-0.02814797089502876,0.21096860055562763,0.07863576485268747,-0.055713742402226055,0.09559937652116586,-0.04118872881577624,-0.06009563584642214,-0.06561330227998428,-0.17753049566986578,-0.00596760788302986,-0.03912799342928375,-0.022075914789259715,-0.017382077411104816,0.0563363745955628,0.011403984356224334,-0.061687369133836795,0.029434368265037734,-0.06413767624413877
MD,0.8458205526894075,0.15660228513609992,0.3525458198832475,-0.11123260817614491,0.1239801132965927,0.03270051844258174,-0.03054863831331187,0.11043729421569264,0.0013968295947982493,0.35192064235564796,0.02901343126514287,0.005297828597193207,0.016927354977544565,-0.01425478988726496,0.0004797169831351409,-0.046098192266013124,-0.00025718241890479443,0.01090510373972585,-0.022046181537901326,-0.012215163426293533,-0.020271584170964425,-0.002604320900098089
ME-01,0.388024132578648,0.1263093652034879,0.8580331802128404,0.0311245157214354,0.10192904834094912,0.12551838439154786,-0.13429952660815722,-0.018849035592074976,0.002192762885268921,0.0165575929536311,-0.2666475489610651,-0.007790917913663225,-0.021965192527571665,0.02712986985630109,-0.013757544270577253,-0.053451660283191156,-0.04959661647622965,-0.04076337011912957,0.05382387184141239,-0.017453770857326287,-0.007731375648534692,-0.0701149874861464
ME-02,0.30507611250137523,0.19697968958182951,0.5435076846705031,0.5480010214529473,-0.29969949495398773,0.022080987716533752,-0.017071230247630197,-0.03720569822880142,0.016909285707948692,0.0037406725195853023,-0.44807808695903634,0.06657925368626058,-0.029813218585306715,0.011618766184403195,0.007606547799594081,0.09402508279163331,0.010947607544677655,0.01274229497966095,-0.019307957503811944,0.01439882447381768,0.0040132529107701235,0.01802184022019567
ME-AL,0.9133218383320725,-0.17884108546381625,0.040468469359415275,0.116198487145071,-0.036774714629218754,0.14823908066920644,-0.09299791130047168,0.14259957859422934,0.19403184552611968,0.10001257165699055,-0.13311191490250543,0.11250154025800538,-0.09467693371092227,0.054055347928014044,-0.003771593125444278,-0.033806691016898004,0.023492007030733626,-0.04156387237616335,0.06930479060067783,-0.0036832342084657586,0.026235702113822743,0.0579590339678204
MI,0.9579152246751315,0.008892908067572734,-0.07678662472126171,0.08789968109718085,-0.029097457867477267,0.09381667412231476,0.08941862782728068,0.04218429469145058,-0.08128453087853837,-0.1694763823271679,-0.035156683697438386,-0.015196010961723015,0.05762774807678343,0.04953677116633299,0.05596858738445613,0.09507831163390444,-0.009236517908292705,-0.1259127117651326,0.05409139335652833,0.1075066952172417,0.0027871784728529525,-0.00985046254658722
MN,0.8899355266513834,0.11401562239345991,-0.2452266603654234,0.059611753392338464,0.039952627110550365,-0.039677557068347045,0.278856798230131,0.014275154717921715,-0.10054658381744984,-0.13314125110644767,-0.006990447855792419,-0.058388269109282936,-0.03482547718573157,0.056469449825643114,-0.027011749290892503,0.1438289871663538,-0.030854331175801036,-0.0006323172834149898,0.15244872283573488,-0.05057460560148131,-0.04118826700679052,-0.0001373034104067436
MO,0.3738582745786635,0.6986064961893539,-0.07132393083950489,0.2643969844789824,-0.15960788043415378,0.2489850628482696,0.2987517064062922,0.06315015349548667,-0.07593781965419391,-0.02616747793209783,-0.04212593034668575,0.0488077177785092,0.0227977343318242,-0.05762326603669045,0.0007408300029926754,0.3556205580283704,-0.07065039337322437,-0.06763418898501045,0.013909676416013964,0.023549158681640803,-0.018260547266401844,-0.023547515783693924
