,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
AK,0.27673098340506064,0.18981858737122653,0.06907963724769668,0.036133241046159406,0.11579537951296379,0.9483182265759714,0.047083854179162415,0.029498435644224965,0.0024430890588379235,-0.0027762704994504085,-0.0021024440273406018,0.02883898479063445,0.002237326215678381,-0.0010707067075226416,0.004138325173387436,0.035644576911721425,0.0011077692340207435,0.00025776315370039474,0.001239573037683697,0.0018890212261950688,-3.321293587879354e-05,-0.001126038670156119,0.0008147417215485344
AL,-0.23602341060137083,0.9467080435980094,-0.01517006814739856,0.017262204003908845,-0.005556938824165653,-0.15280369100990315,-0.061413578197325215,-0.04138755760858798,-0.10450557041008512,-0.13106994209759348,-0.044368172154950127,-0.04533614807600552,-0.04148408002666933,-0.031070479498959358,0.004287625244512643,0.06998721285474867,-0.0004381277641086552,-0.06371418222755634,0.09507370864540102,0.009769044829453625,0.002399298689329706,-0.012162996495203974,0.04203308108692096
AR,-0.0804392325470288,0.9602103497130628,-0.07697126660513301,0.1548037418937629,-0.1478136696012828,0.010791928128599136,0.10755832658303582,-0.062253914803989195,0.004081432203806809,0.00838366010971889,-0.050271234474002176,-0.04390422162652961,-0.03294103664997168,0.02283658348081992,-0.03548160959021364,0.13127839616968,-0.0778778962216453,0.05184029733692789,0.03295690626629111,-0.03247912503588404,0.06676503480171514,-0.014491590812155876,-0.022501181045874275
AZ,0.38651822734155244,0.8707899317387552,0.19826718261795725,-0.04831491983660349,-0.00024031330833860294,-0.050231948397683336,0.08232048531154398,0.063224207807012,0.05348010131648664,-0.03448823620536181,0.09088543335570765,-0.05582922821620453,0.06407771596708463,-0.09433671578354622,-0.04551970512119058,-0.1738139896248367,-0.024039452171762375,0.0038179878255727006,-0.01423127822975722,-0.037011181586947314,-0.060918488096126155,-0.06750193605462423,-0.04031820731524653
CA,0.9459074599284447,0.10416521976448198,0.17433835460590077,-0.09411620218733348,0.09626684978793108,-0.08989557730862122,0.05998703438985171,0.03750260474031151,-0.07100257935663282,-0.10652806917153428,0.07823807141335175,-0.06168474240057014,0.13061836626852405,-0.01783227538821239,-0.02819101131148062,-0.12636120279409307,-0.03204052089700419,0.0017116823341315089,0.032140778991158074,0.06470771334356977,0.03183373812735309,-0.02003632878666981,0.03826123180167562
CO,0.775775127037788,0.34698976843446344,0.22464245214785775,-0.06772879100499435,0.14291482229074626,0.12189395782656216,0.14654938432488016,0.42406492578993493,0.01675022868340806,-0.08582297650626834,0.040985150210084434,0.007468714078784475,0.03088550189421535,-0.012248903264329033,0.049779808699852476,-0.07626153780151296,0.020805915325441127,-0.013108981161755502,0.011221211062714944,-0.011349030424984577,-0.03602282786899304,-0.003997137906479948,-0.036365219969450545
CT,0.9503212880552104,-0.02162462441418173,0.22045999362923455,-0.012007272707997002,-0.007542100209522228,0.17897539182230665,-0.03000003889700019,-0.030473176371968693,0.06559513213286874,-0.01992133753790994,-0.05395626486748535,0.0346147157295822,-0.10742423983113826,-0.011054873705787742,0.015379603073285677,-0.05626952111351675,0.0126188421077237,0.01620196881334224,-0.1400911834876478,-0.056054753013757556,-0.006308997169776486,-0.04304069725710312,-0.029319099631840425
DC,0.30435669210631816,0.009589056083008841,0.9089443336536722,-0.14673444096638824,0.11951951871857765,-0.09340713586101393,-0.07170352934704868,0.018095622207738808,-0.006686574567076027,0.0007762697659488733,0.2327451877349308,-0.03485894156809227,0.023716274038176596,-0.02188403584490542,0.009892622352594223,-0.054991833252575575,0.03913912726070294,0.03097683009540979,-0.046360530397022634,0.005259913464023548,0.002967593848507588,0.053293276877625216,0.02451152066042005
DE,0.8751990874941565,0.03784966151150766,0.3354395070354092,0.04331424570765796,0.06340595346349846,0.05403715121316355,-0.23635410373995536,0.07245718499404909,0.06595998725905586,0.03556606959777183,-0.1281496614517595,0.028968728975252756,0.10854073793930988,-0.051132384479341327,0.05191522939896629,0.0727778174603429,-0.003192163602964238,-0.006920197802614229,-0.008256311738131475,0.200509404066712,0.004455464429201484,-0.016385338553433264,0.021956593521656305
FL,0.0915211371964656,0.9485175199637675,0.2057174015827626,-0.014889512081631844,-0.04725583153306807,-0.05593718314461894,-0.07816685419865572,0.12218350066588853,0.08441900642618912,0.10706580188310073,-0.03485598757992395,0.07144512763334514,0.03163680171669143,-0.049034741844678716,0.06406830016475651,-0.10699863423895105,0.02924380620202574,-0.00966486208121815,-0.011126381913510536,0.0708392786745252,-0.04079236999976891,0.003811825789439555,0.08729956173223016
