,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
AK,0.2767289103529862,0.18981027842116505,0.06900685814110552,0.03617675235084474,0.11578354660127299,0.9483186147032115,0.04708659208379004,0.029531138748203883,0.00246677557174041,-0.002776847072197952,-0.0020891028465221543,0.02893778432801718,0.0020399475006268922,-0.0010528132878519574,0.004078128052481176,0.03576422111090149,0.0012262807274090368,-0.00019842159856014581,0.0012541446201909715,0.0018272734619911345,-0.001296338591154176,6.062851719537655e-05,0.0008871062959487395,0.0007033638025327395
AL,-0.2360103084099674,0.9467340241753421,-0.015085941533067354,0.017309967792275095,-0.0056151440772965544,-0.1528482645754677,-0.06157048505034348,-0.04095497375833854,-0.10359202438419796,-0.12986995377613395,-0.04386029853735079,-0.04549228395041113,-0.042066857788097475,-0.029297549115597187,0.0035828739563758573,0.06985495277908299,-0.001981606848747615,-0.07042852332511218,0.0929551882027352,0.008459097384675719,-0.011832340724951467,-0.003971466611637311,0.04270954777442289,-0.015786562694126847
AR,-0.08043759254492999,0.9601954045288762,-0.07710755159257104,0.15455543108540623,-0.14785937836165755,0.010789775605424684,0.10762063369012423,-0.06234886889015153,0.005841074521928138,0.008306695607075063,-0.0506199304121464,-0.04369103678169724,-0.030946079854107,0.023201710136532345,-0.035573476273809024,0.1315113572228484,-0.07614444702852328,0.053982533527498225,0.03933809190658654,-0.031622972226538766,-0.017436691915380626,-0.06262683652090976,-0.021709232422677617,0.015569146392515455
AZ,0.3865527213435528,0.8708089031769441,0.19842218746015647,-0.048150540265900495,-0.0003273867735341181,-0.05015697804127827,0.0822104022758145,0.0632278385391728,0.047716762502871574,-0.03571773731369301,0.0912495327137823,-0.05598999453642001,0.06277155151077733,-0.09579125183791361,-0.0441065502213235,-0.1743873954945837,-0.026644759648950044,0.02159331783856643,-0.012084064378683337,-0.029776040083940886,-0.05411297914328157,0.06930843295739798,-0.03722302803389977,-0.03281729254421076
CA,0.9459331921962238,0.10412450889819837,0.17424983526769938,-0.09408462423573381,0.09638710295847165,-0.08987625959989451,0.060109893036028386,0.037004973172132756,-0.06940197604445861,-0.10544326364148955,0.07731861133045728,-0.06125782200100594,0.13192257729200263,-0.017815650507331592,-0.029930528960776935,-0.1254616698575209,-0.028792586016309796,-0.01487219584806751,0.029616654236826377,0.05946155658588411,-0.029501098008880865,-0.03247225130250307,0.035732163337191106,0.031946234672584374
CO,0.7757882838080538,0.3469916524563531,0.22472332015009988,-0.06753350436232965,0.14289881123287473,0.12189544425246991,0.14644437936123253,0.4239880578473631,0.017008907092466115,-0.08600311388955587,0.04098173568723251,0.007438533215544472,0.031369692446488,-0.012874962114329295,0.05014212453717587,-0.07641812449666079,0.02111547569600417,-0.013421087796266405,0.011250839525213375,-0.011699167178281766,-0.002091041412727804,0.03733063023576858,-0.034753283424548365,-0.0045558982469715995
CT,0.9503325582297426,-0.02158350617749085,0.22062987614006346,-0.011879115349834823,-0.007666938220653188,0.17902607729979694,-0.030258044180240546,-0.02976671272721387,0.057781069814990385,-0.021971669749744727,-0.05313667486671239,0.034153678158716255,-0.11018929059346047,-0.010634531059289288,0.0175274746490955,-0.057473857699955874,0.00752684344057564,0.04878313699105041,-0.13310660236426072,-0.04684347768727394,-0.029712472396757353,0.010698496319617662,-0.030518017477960874,-0.04777782119779554
DC,0.30435751981254855,0.00957620626716718,0.9090234604810223,-0.14656779352998328,0.11958626513603933,-0.09338987529223144,-0.07160809569326011,0.01776663059501923,-0.004598766973263648,0.0007361983294315869,0.231430441301882,-0.03441199017921344,0.02485185861143049,-0.022998845245080047,0.009392629583143625,-0.05429381438021199,0.04266882530006117,0.01719759700518938,-0.0488272423905643,-0.0003695369192360955,0.0444435706866108,-0.010499663624523047,0.02270048114196176,0.03975913423294994
DE,0.8752041205240115,0.03790451879116372,0.335531563944323,0.04338897030159676,0.0632915068913661,0.05411966772230831,-0.23626015727212563,0.07270693253341805,0.05863619912721211,0.03572342525070594,-0.12716872012389055,0.028634295087556036,0.104999470841508,-0.04788421987703222,0.051056356531434026,0.07174235005290032,-0.005430396751298344,-0.01043092211759956,-0.011927718058399062,0.20731722084582338,-0.012192177440433178,-1.637014698598274e-06,0.01919030962838579,0.0012102102776881743
FL,0.09151515221894324,0.948522469334112,0.2056740210646145,-0.014986555482455173,-0.04721611891406975,-0.05590491363346763,-0.07801332207129257,0.12184530269938286,0.08430570518497413,0.10666360880030869,-0.03492172949136734,0.0714167694717984,0.03063019392297229,-0.05004502540820079,0.0632089460706105,-0.10692775017766568,0.0292372948772585,-0.019326763702058446,-0.019784312350026145,0.07226443425392683,0.0015152251494151125,0.03662112661033818,0.08626261627570848,0.008722980324736467
GA,-0.2079035913971233,0.9541805403933256,0.11054427317600934,-0.04850937996137074,0.08191208733394903,-0.06295864719932577,-0.047405133035944146,0.01544841025355091,-0.10675092100771198,-0.009915516080990127,-0.07910316708285807,-0.06156842004266964,-0.001588001843578502,0.08341851633274927,0.0010915197919468748,0.08524915415625586,-0.031582812785727554,-0.02529585119810015,0.04107987954887437,0.10320905029855745,0.021378423831396206,-0.005844019258278856,-0.01272280262604481,0.06940539951141687
HI,0.4458415288993504,0.13616488702656943,0.6196001433410046,0.02071170772386529,0.13454978527680397,0.3916672057209407,-0.0004096540879077726,0.014446751498725548,0.01066696223030458,0.021762739426763874,-0.05088454822424412,0.5018694823922963,-0.0038435600705805824,0.0012106509241437084,0.011316625983095107,0.08816778041514069,-0.0010313569951738914,0.001777259220971978,-0.0031459871308823755,0.002219303869306199,0.003165778093982117,0.0007244475758322476,2.5274130723811152e-05,-0.0006714814688483081
IA,0.8640168243824473,0.10099535245641754,-0.12619724949439984,0.17437889815748775,-0.09313485095650292,-0.06258487819460794,0.3803595403578877,0.03827364503909846,0.015711079938860124,0.00772421890859227,0.09316088312973134,0.10605128419425566,0.03893620759566267,-0.06629909477516727,-0.05467437703489991,0.15771071560355832,0.02852969797889563,-0.00034777140889213367,0.011597767269732688,-0.013868993680388676,0.13919894340026231,-0.009733980465536446,0.01763225740731191,-0.007829864562286322
ID,0.31339368837375764,0.8847677035826151,-0.10100972168217667,0.0838920662593394,0.044958979870483355,0.15561574162889974,0.22258143933815233,0.0742184772028395,-0.04363882237418592,-0.17977637867883273,0.064597692530995,-0.08915395579224544,0.029864308523147684,-0.0357558767041746,0.025173666367020384,-0.029008217284624924,0.060848550904184985,-0.007205209756349523,-0.022221395530897064,0.02247662659058186,0.03540999677097016,0.00013496497947270572,0.0016635651151212963,-0.010311693474935399
IL,0.9750862109610063,-0.023101311659562463,0.21281138774271333,0.04668676011471498,0.019538552790612704,-0.06438990333541514,0.11671006858497757,-0.047979564524477436,-0.05425218161692004,-0.013422697163509545,0.030457452549796094,-0.02704114026080418,-0.02126869675531157,-0.030071685778159996,-0.04739557208398355,0.0033096669680118974,-0.01787735746323603,-0.0030003327850533297,-0.018919509497816026,-0.02402884032675878,-0.02706336447091865,-0.024549472114480025,-0.05305498988588936,0.05423548046771096
IN,0.5115952434955255,0.7472117623133829,0.06866286002289602,0.20189630566878633,0.059292680804811655,0.17830047421980333,0.20127986758883748,0.08662676003000533,0.008910863242112294,0.06746538877802052,-0.004356215822884571,0.11559807325496677,-0.016429831007411747,-0.0346375504284025,0.18541242779985673,0.16851210207107614,-0.009196867269157496,-0.021720772298592143,-0.02879655488208902,0.028158474370052523,-0.03635326043468952,-0.025461630010626866,-0.012607585517398705,-0.0332414488800727
KS,0.6697272579569187,0.5129767258820079,-0.09561841080889516,0.03874331834841109,0.07832680774212243,0.10048032841192904,0.23891628551454594,0.46645892282944934,0.00011791889655120737,0.09163686140529888,0.006559979438578704,0.0007633194939149088,0.030527958419444327,-0.011083299568833102,-0.017922500867179548,0.09882297015016045,-0.017589814054915,0.0012921177484699958,-0.0003004655949848187,0.019217453066831727,0.007766195958655333,-0.040032589989149485,0.03730350731862705,9.59969740761312e-05
KY,0.12151025401111007,0.8064896679873759,-0.2610195345200402,0.25893577751960717,-0.12241262304471186,0.2612014605140798,0.017195587183280226,0.05999226177166994,0.03718929060062584,0.0007591333137126584,-0.03958469414011688,0.09608445082097135,0.02080462805847278,-0.03308966132769491,0.04107127659440766,0.3468872940880948,-0.07892302170916321,0.006610694092327071,0.036393551787610286,0.03660379013867646,0.04392118703438815,-0.020480734171935598,-0.04006547479063997,0.017583891241045365
LA,-0.19886713724959,0.9434502749132475,0.01681456367836719,0.04522269190585217,-0.05601062949550237,-0.047437852968720357,0.06547524291300034,-0.05499380007509416,-0.00063970221561162,0.06520201454741956,-0.031459878904179533,-0.032159126884518024,-0.12551291111099727,0.09395786548317002,-0.022324036937439423,-0.17975388165224385,0.013599014963523571,0.00638013865332227,-0.11658084192647084,-0.10850488576747282,0.004645765675417763,0.04213926946997205,0.003991656623870385,0.024267300902403463
MA,0.9079478064080073,-0.3035402752353916,-0.004851415305099451,-0.021830686603233163,-0.02835075668144823,0.2104683787236536,0.07819064517286509,-0.05317231332514564,0.09817029512717129,-0.042897109538644736,-0.05849088066347035,-0.06325654851811745,-0.17870988953972697,-0.004707294071563044,-0.047490108045078805,-0.02255933084042142,-0.01041724498261052,0.06392900535147039,0.02280511258943133,-0.05155502848558052,-0.0615767620441558,-0.0037542301710119072,0.020138673206462277,-0.020590580428205624
MD,0.8457708560052978,0.15657258075001798,0.35243809086861044,-0.11075592960545098,0.1240434260794845,0.032445684288444944,-0.031170105823032188,0.11204641992196879,0.0038326684527460546,0.35168276227299006,0.02872313400563945,0.007107327510475697,0.015521572959429455,-0.01550309609301992,-0.00592927575179945,-0.04608179174509148,0.0012147190516172204,0.012391651218022702,-0.021522856780371215,-0.010706229073221897,-0.0067336629656839534,0.0016215626419522193,-0.022070831616526593,-0.0006837480203704674
ME-01,0.38811772165624225,0.12642712634503184,0.8574899818539896,0.0314703366767745,0.10168435854100154,0.12566932132342767,-0.1347566864218869,-0.017446529551579947,-0.00046438369210350457,0.01467821788674173,-0.26614885886605666,-0.005477190576329726,-0.023982977954234985,0.029368018041852597,-0.019522108140090685,-0.05454159712064479,-0.05212727257815793,-0.021595245493970402,0.0584029996873678,-0.005935305487791949,-0.060332170977693486,0.015502183190509609,-0.022857879358014813,-0.04936156349428981
ME-02,0.3052481796520028,0.19702917382219526,0.5420222766728535,0.546316798518782,-0.30054666571126,0.02264145384467396,-0.016742506369110535,-0.038597207527687784,0.017564201689778926,0.004312510950710317,-0.4517214185055131,0.06716613311348982,-0.029363428714092914,0.01050316598845661,0.01026093720858332,0.09405231615398925,0.00909180573952154,0.007587568510447834,-0.01949228053037897,0.011813402828080138,0.013135752641529367,-0.005641979619235251,0.00786655069943847,0.013065055757981137
ME-AL,0.9132538278434638,-0.1788989604414782,0.03952644585987363,0.11570633359897388,-0.03695119901681732,0.14791836325890179,-0.09320513149035205,0.1417634596766731,0.19581614859351337,0.1004585567982172,-0.13475867027340657,0.11329255712956912,-0.09264045996105752,0.051725465346564276,0.006250003925698512,-0.03380892384272404,0.005327312148118181,-0.06333691527376394,0.05928940487651012,-0.01001975187533581,0.0504395055650859,-0.002585675550355591,0.03984210859463337,0.016042320827766365
MI,0.9579636876248108,0.008931389445338818,-0.07704216647097317,0.08769697876927049,-0.029284416239164716,0.09378002504908849,0.08955809422161118,0.041564303086141494,-0.08654989559505241,-0.16852176692289808,-0.03465868509020125,-0.014822995820703153,0.055157973903071714,0.050945546112353544,0.05633787171054571,0.09490082177042053,-0.02381396300615528,-0.13117114131641985,0.039493226354465234,0.10062688419819817,-0.015501656939413237,0.019904668259269353,-0.0032128417729801973,-0.0008029486417792848
MN,0.889980914109968,0.11408871524569097,-0.24501899157634097,0.059787350761500435,0.03975492173603358,-0.03961254917969732,0.27846690826644965,0.015227889916762239,-0.10127398455176145,-0.13290725732795186,-0.005389410789720032,-0.059306486860002,-0.033398999163367395,0.05977201635923823,-0.02262067482208037,0.14275077694141625,-0.015151492236949261,-0.004049506403121331,0.15698319083038983,-0.050940919148434814,0.012304102493147354,-0.003598142553043813,-0.04131137788190011,-0.01041241887746652
