,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
AK,0.2767812389546561,0.1898038765574193,0.06830514249183348,0.03463145967050581,0.11633176480357875,0.9483389589274637,0.04706753563000462,0.02953233966275379,0.0024437067217502524,-0.0029117419692172384,-0.0020959131195523732,0.029518429331643763,0.0021428101557639297,-0.0012512429745588209,0.004089143881979511,0.03572525798741356,0.0013482461500208616,-0.0003557778646567385,0.001217069270077447,0.0018673599876690783,-9.353027899126648e-05,-0.001271956974511383,0.000983546990609412,0.0008954499605825434,0.0001816798898979233
AL,-0.23599647824625392,0.9466972700279919,-0.015574058500839236,0.01766492350610027,-0.005491920750170238,-0.15271954086498774,-0.061481384536478736,-0.04073015902974843,-0.1054567055213147,-0.1275513404980239,-0.04456414194134386,-0.04373666096185171,-0.045630453870426434,-0.03235441286805898,0.003615133910043554,0.06818041694155498,0.0005407097277507332,-0.07827663021525924,0.08627872992076455,0.008338563959345461,0.009062442943016233,-0.00865997446160994,0.04697490712553903,-0.009030875670490107,0.015050621035370948
AR,-0.08044442025941756,0.9601099161796127,-0.07810273833408699,0.15731057485953226,-0.14505822178367025,0.010836272348019814,0.10764264660611925,-0.06233110523785023,0.004618766656296068,0.010578128335995323,-0.051370757930600905,-0.04191595669450156,-0.03430944870351689,0.014824696910786464,-0.03413035030482833,0.12951241278386133,-0.05599361859464043,0.03765753695906015,0.038287861431512325,-0.03429358472968287,-0.09863517995204124,-0.014521596457001336,0.007244417949227463,0.00602523289102481,-0.007213809708201272
AZ,0.38654373268260256,0.8707940046828874,0.19830880076765786,-0.04839125967392867,-0.0012592158142095528,-0.04991516038270525,0.08265309719716822,0.06345890005069886,0.046726760348591655,-0.03609789851586093,0.08999447522541326,-0.0550331463257689,0.061505659242681324,-0.09680562530951459,-0.04455082698603926,-0.17516892871455983,-0.025771747154008384,0.01847233474463836,-0.014888469419072868,-0.031030821818624498,0.019871910766149033,-0.05867628582037037,-0.0445732369969853,-0.01159558286470251,0.06779168119452811
CA,0.9459126831997147,0.10416612628178672,0.17481565972349492,-0.09562251485256605,0.09447229615887297,-0.08982246200759254,0.060292384791907135,0.03698004948976742,-0.07058716429285775,-0.10528525532112754,0.07698045327547985,-0.061653997824792056,0.1306179295901082,-0.01953060738070344,-0.0294110395905507,-0.12519216939708586,-0.025792438641334174,-0.02018891048760858,0.028756021559003562,0.05991677301040631,-0.024770056872201705,-0.027271422518747337,0.04342507876370079,0.02187712241962615,-0.027079610962959525
CO,0.7758042273238726,0.346981454587324,0.22455684343638915,-0.06999319739655552,0.14152328900225844,0.12208920362038816,0.1467845559053276,0.4241311934913917,0.015932955916629046,-0.0860143851773429,0.04010925743745078,0.008516374191569615,0.029878489537811023,-0.013948144474523297,0.049601449596674084,-0.07673747479916249,0.0212449251414089,-0.015687495842137487,0.009544766300951999,-0.01181679362958533,0.012893952130965508,-0.004590832498275699,-0.040128992477341134,0.0062019035280753846,0.030838234279003077
CT,0.9504019770625755,-0.021602855461401546,0.21989076796972243,-0.01134762875652412,-0.007975641398225803,0.1792330726065601,-0.030139158338683664,-0.029699837813374978,0.05847217182797202,-0.02182456847946603,-0.05378745242267477,0.03555605331090138,-0.1099014303133827,-0.010211701417979186,0.01805118449948031,-0.0583942146872354,0.010909538571684368,0.053178209406700074,-0.13184102018182567,-0.04782728535850232,-0.0038187886675749975,-0.028722243897100125,-0.027695959127117524,-0.044522745810695485,0.02476390142942987
DC,0.3044572764404936,0.009743796453366338,0.9099820927014401,-0.1476277558971741,0.11643158060916799,-0.09287894753432831,-0.07152725172431862,0.017667109265123413,-0.004093609236946468,2.5326660678872272e-05,0.2300976903660487,-0.03390081150460001,0.025174627705235736,-0.02239452412609848,0.009245305482266835,-0.05337877785180672,0.039652601223196,0.019846663944758716,-0.047779082050621105,0.0004710074851411494,0.0071589601079165635,0.04509168242644074,0.01854695908204899,0.035537143742101214,-0.02480019557004936
DE,0.8752865242891301,0.03797665365351305,0.3350828227899935,0.04345513111902048,0.0639409317261795,0.05419607179324515,-0.23641587748810397,0.07272859808002236,0.057823171367579855,0.03552004125909327,-0.12701762255981883,0.02927396971658314,0.10426781480408973,-0.050034850759021796,0.05100925648452456,0.0711865982476026,-0.005668217727313652,-0.010578755016367687,-0.011624735003743464,0.20811567362824365,0.0007153504390243938,-0.01122519906188634,0.015221063270139577,0.00035506150380115443,0.0007199176809381329
FL,0.09153505278350958,0.9486162394555635,0.20608671764481595,-0.013283629344209182,-0.047605693868651607,-0.0559558928478615,-0.0780780881599765,0.12185435530616245,0.08679394002613351,0.10388256913244084,-0.03375479631762808,0.06926255310613386,0.03474023947133833,-0.041789665747796835,0.06166635688332433,-0.10503079934680871,0.010167475376825396,-0.004735870363438929,-0.01768140348445085,0.07572378284516487,0.08711335922374967,-5.2318612540894915e-05,0.059868070638803936,0.01376288223938377,-0.01271527261945911
GA,-0.2078539491345647,0.9541967238249658,0.11030728694519638,-0.04929165918755921,0.08085463440804734,-0.06278306801026419,-0.047403848522086275,0.015572142692629869,-0.10862007896372534,-0.007969631874750591,-0.07959053138426482,-0.05988001759885406,-0.005153001293420401,0.07760997023856035,0.0012690530498893917,0.08419384100993767,-0.02496630218094348,-0.033427256692483115,0.03810881041789053,0.10351244345106606,-0.037316032598550465,0.02001940796587646,-0.01033947076291161,0.06771690412396567,-0.009822984871278553
HI,0.4460074246138217,0.1362207725952113,0.6182179465457851,0.02009661683191662,0.1340233589618182,0.39196613750190523,-0.0007468246393361422,0.014631458299483834,0.011038206274895096,0.022027765947692596,-0.05091344834641851,0.5039211997756766,-0.0037828710489764155,0.001196592549302014,0.011222723489695255,0.08666573452003885,-0.0011563927111828173,0.0021569179743060577,-0.0029483072002561895,0.002260357668344842,0.0012643047899099427,0.0031705845767038996,-0.0005740020455149336,-0.0006647876012796271,8.533773347754061e-05
IA,0.8639335433518528,0.10089298960531354,-0.1269122369946311,0.17583117788155211,-0.09022542992426773,-0.06267712981787149,0.38045090478814475,0.0383649510772346,0.015850650252135643,0.008148851593599099,0.09330410273066805,0.10683347414847182,0.03858827428638672,-0.06733949090409433,-0.05494241680696129,0.1563473861422183,0.027071035241423666,-0.0017288465337296582,0.010782908985518074,-0.0144612153177578,0.007344615314895606,0.1409649919134863,0.014977212865306287,-0.0012390460458990532,0.004876477019212368
ID,0.31332183332603913,0.8847205559545385,-0.10066668498266783,0.08317176184166955,0.04644963233306796,0.15542091146393086,0.22274572427660289,0.07410581627606008,-0.043967031347977165,-0.18090557095418805,0.06500573772969066,-0.09055880178569344,0.030922976517416902,-0.0326077230621881,0.024750842678319184,-0.027760227826208066,0.05393449350943745,-0.001188281592951759,-0.02002292076556667,0.022924653053530537,0.026467392036166226,0.036349292062287174,-0.004208085607685274,-0.013627484839158812,-0.012971628271433307
IL,0.9750906838277328,-0.02306962773566371,0.21319171921050709,0.04693633217870046,0.02030620540772748,-0.06445182621894138,0.1167162685010293,-0.048241624115763035,-0.05387011404851257,-0.01402494148800254,0.030661665953299434,-0.028194470292181185,-0.01976758087582127,-0.028770839470441453,-0.046893616183095954,0.0045046391524429475,-0.018043810797876623,-4.4237825096330286e-05,-0.016784986163761388,-0.025444252669494977,-0.02640808963545024,-0.028751701406088716,-0.04847220115831117,0.03121411286386297,-0.05280854476168631
IN,0.5115937353265565,0.7471995243482216,0.0682732974414617,0.20173242062408026,0.06275983603215218,0.17810818326682792,0.20116280934693526,0.08642040774199938,0.010082084879824404,0.06654048992582633,-0.003454698654884461,0.11473728976734579,-0.014338000660362163,-0.032016589825715216,0.1858766628304917,0.16917614343166673,-0.011190382025401084,-0.014619001601204884,-0.025809059341702082,0.027717093775116792,0.0008631602651059493,-0.03391190680710141,-0.00887436507097769,-0.04777867965157341,-0.023976753591095884
KS,0.6696830895063047,0.5129720097731416,-0.09563464829172745,0.03744339570721994,0.07913412853168186,0.10033294287194172,0.23903805037363252,0.46622660842241087,0.0011991153876455291,0.09142601009208318,0.006923250255629574,0.0001542243965241787,0.0315965987593249,-0.010774435823965487,-0.017569637821129115,0.09932516295637778,-0.016943112801378352,0.0019932327100729173,0.0008235975396503188,0.01946737567955872,-0.014275911503849797,0.011072741866916865,0.04339063774296224,-0.011313344593959364,-0.030100822214654155
KY,0.12149504350322651,0.8064315436715976,-0.26191611172319235,0.2616453802528178,-0.11750995166705591,0.2607904677863831,0.01695575529754544,0.059863556579012905,0.03667898188129596,0.0007574221640352074,-0.038602482797070334,0.09557760798512648,0.020628360388590627,-0.0358939184846736,0.0413315406582836,0.3467046218557605,-0.07371778141148566,0.0028841531082892525,0.03816174176392938,0.03502393619941957,-0.04405186081325194,0.04216622012645091,-0.03334419723431095,0.010107478889151197,-0.010439822069268242
