,PC1,PC2
AK,0.394196626320891,0.2529508117253813
AL,-0.2888933667561067,0.9187388772605077
AR,-0.1038909797515969,0.97222493891389
AZ,0.3785439733656515,0.85528755886002
CA,0.9323413354973757,0.09794352330892236
CO,0.8307231273113334,0.3807549872299656
CT,0.9674420134824239,-0.02353154539156101
DC,0.3793393657072886,-0.038586181769151934
DE,0.8840555458571943,0.017097968484387778
FL,0.07933466822066547,0.9171110224821809
GA,-0.234358057944332,0.9267940796507135
HI,0.565630331762328,0.15010612566912354
IA,0.8772162991932042,0.17151912702494507
ID,0.3182830316471409,0.9246764867447793
IL,0.9791509358945759,-0.01334943473756426
IN,0.5530732923122121,0.7997249028520554
KS,0.7022907848192599,0.575707842534895
KY,0.12024940488167381,0.8555355859926729
LA,-0.2300693255681777,0.9218022970099208
MA,0.9191141178772642,-0.28405308993521744
MD,0.8681549152415527,0.13715361978036814
ME-AL,0.9220722813333443,-0.16842681367450724
MI,0.9506712646672137,0.04876685068007322
MN,0.8648859056615856,0.16586809865276092
MO,0.4178093948500578,0.7825692044437152
MS,-0.4184977889181942,0.8144736456680011
MT,0.47961872908052466,0.8222759681846392
NC,0.09826175706750341,0.9348411933074122
ND,0.5338286159087585,0.6623391419942335
NE-AL,0.4538577225169465,0.8060539179995035
NH,0.8482899145495332,0.27012251703875806
NJ,0.9803967112876874,0.038149445818370875
NM,0.7456912575366613,0.5671341828169457
NV,0.6566502586229304,0.6945394451086568
NY,0.9710448669474586,-0.08946506603392976
OH,0.8484761478812347,0.42208220639614963
OK,0.06301898619143027,0.9764056475892944
OR,0.9235969381377698,0.22659182916058757
PA,0.9289900463890065,0.029598060430792356
RI,0.9112899758116207,-0.09223868364809548
SC,-0.3784211873084759,0.8622549180844156
SD,0.5508237123241233,0.5314588500098195
TN,0.039326337317859235,0.9465944993153573
TX,-0.04320666501939828,0.9806673079219702
UT,0.17582414361727466,0.899393449097667
VA,0.1296989629163533,0.8429615820757238
VT,0.8976506809351195,-0.38177578227627895
WA,0.9215191852479642,0.2540206942323257
WI,0.854667990089242,0.2744101258262524
WV,0.15235585844856991,0.6307880101975465
WY,0.2655387385527232,0.8848439545483023
