,PC1,PC2,PC3
AK,0.3854517859088265,0.22355244692355475,-0.15488517925863046
AL,-0.2762064849155829,0.9192637890012806,-0.10213423348910211
AR,-0.11446127547839936,0.9264719226480915,-0.31464172277686214
AZ,0.4130302087726832,0.8861422797959319,0.05169963946609767
CA,0.947856387091954,0.10803661431627598,0.04851270732728478
CO,0.849832584000353,0.390654152377037,0.015280518232580436
CT,0.978784991941381,-0.017937358505689446,0.041933316382197994
DC,0.47588520508249155,0.12982431684173482,0.7715932490816573
DE,0.9142763542014734,0.0567307150804701,0.19027195267219624
FL,0.1234351193612847,0.9682009064462297,0.13214351670351562
GA,-0.20615698487885892,0.9540669755577984,0.018783272895479285
HI,0.6165885515036749,0.22817038203643722,0.34498247439488916
IA,0.8317246702942842,0.07080640733885236,-0.46159349175063996
ID,0.30480273043705075,0.8683429300308225,-0.35118122320472994
IL,0.9825326424715047,-0.022534273067639218,-0.02586678726202201
IN,0.5457725774554401,0.7543890061824019,-0.2843750384803538
KS,0.683616433658298,0.5141183936326865,-0.33127702623743344
KY,0.07890928340105326,0.75436770403096,-0.5493345554272532
LA,-0.20962103958822456,0.9352328603176223,-0.0432304182377611
MA,0.8975129838051771,-0.3292168568574838,-0.159946958963683
MD,0.9105935297111394,0.1954657292013225,0.26143595953395543
ME-AL,0.9133929637091938,-0.19381901799507467,-0.08308434519092203
MI,0.9174993136241374,-0.02741010231246792,-0.3361268423590751
MN,0.8127062936550138,0.05350971280185955,-0.513839223380125
MO,0.37594888680075117,0.6778459888926174,-0.553128254736047
MS,-0.3789095194633199,0.868419379204013,0.14903601182919096
MT,0.45301095033238575,0.742789338757669,-0.44239827521040415
NC,0.12685284605261687,0.9572636776213675,0.0007948512210349663
ND,0.48824800926598605,0.5525990199315655,-0.5610112383222383
NE-AL,0.4584122200358576,0.7834039154246967,-0.1838794141118196
NH,0.8801449462673759,0.30586076169791493,0.14450787238929333
NJ,0.9887744329962189,0.03640863840683631,0.002204362656720843
NM,0.7769741214533623,0.5947979545715694,0.07406037175196847
NV,0.6783106457997764,0.7026231388251047,-0.02972183644543482
NY,0.9728588425450482,-0.09910900419605531,-0.019750889033849306
OH,0.8261098383374027,0.35602103777877775,-0.3326090930739244
OK,0.04922348957860752,0.9220724036669996,-0.3514889425271404
OR,0.9241053904218519,0.20611837667002733,-0.10393996760150459
PA,0.895111827288273,-0.04693986675174432,-0.33598194700390677
RI,0.8826138715304672,-0.15559022540898296,-0.2632829318403661
SC,-0.3393280086793818,0.9132738466729758,0.13116086582978836
SD,0.48842686340460206,0.395082171475247,-0.666974843068382
TN,0.023283814880706515,0.8894773179075682,-0.3611724910887337
TX,-0.0229592858047384,0.9890294314503734,-0.06987146705417743
UT,0.18819108331839668,0.8924834603545678,-0.12690440934793773
VA,0.19239499896785914,0.9288028548324074,0.29818225679935695
VT,0.9138786191198791,-0.355818002581734,0.17215612567773556
WA,0.9242015109270635,0.23668132679108655,-0.09278672354207221
WI,0.820722156187921,0.1917784483121296,-0.3913587025570554
WV,0.07755299177545068,0.475599356437127,-0.7687126709946019
WY,0.22403450751109516,0.780202492837989,-0.5661375948710078
