,PC1,PC2,PC3,PC4
AK,0.3167725956419388,0.18535799245788084,-0.29086710104360514,0.7089670945994119
AL,-0.2607398463546398,0.9221918393524965,-0.10970096981586626,-0.09305752985664924
AR,-0.10361098844549778,0.9198933920673421,-0.33825166031250464,-0.004118633613544695
AZ,0.42794932674109526,0.8920815812167848,0.07278452841529516,-0.08105026042344986
CA,0.9673419895449432,0.11593865570614456,0.11419195346448574,-0.13877749449329896
CO,0.8514967467556187,0.3889996745313897,0.03439648803141687,0.0461057743837807
CT,0.9584853936231019,-0.02849320079773573,0.034324234559320155,0.23393459734725552
DC,0.4468737051807605,0.1401203212385738,0.7685688726273536,0.1732542060397842
DE,0.8848176569571233,0.04682283140731556,0.16924201936562847,0.29592296525996287
FL,0.11834237783032864,0.968137436523317,0.10819055877773079,0.08436161324099663
GA,-0.20276285052694862,0.9551176814189422,-0.004348713171973854,0.005935157858175801
HI,0.5480521647634399,0.20573864586407292,0.2435087129541137,0.633583940960974
IA,0.8640844380418765,0.06838053298351943,-0.4015172210001379,-0.18084277601202411
ID,0.3241044011973712,0.86347521116575,-0.3465205782033791,-0.05968396331740356
IL,0.9931852084171414,-0.021003191814207015,0.02300062423784009,-0.04763178717528277
IN,0.5395181233890689,0.7394589088266595,-0.31548741321723694,0.17696682736277825
KS,0.7005891280742604,0.5084482419766307,-0.30967747277671737,-0.040996178283829704
KY,0.06699639245058239,0.7294050866684114,-0.6198060979897622,0.25239840326774693
LA,-0.19707241469733366,0.9385317059105932,-0.051652213136934286,-0.07129993204433849
MA,0.8901586893794668,-0.3396198975020154,-0.1479461733835484,0.12502498254286826
MD,0.8971753150124464,0.19505815488670178,0.27171336486635894,0.1390836513437112
ME-AL,0.8927543052301294,-0.208130908400364,-0.09562286800131167,0.24578523709806957
MI,0.9275340786633284,-0.036110116323575504,-0.30733139003777177,0.008054901078413173
MN,0.8516179596155126,0.052486480310033,-0.44405825514109387,-0.23581631424207056
MO,0.3755640828307901,0.6574384132646283,-0.5907056067505325,0.15482939026084033
MS,-0.36572037891558734,0.8788515973128666,0.14915551353864256,-0.12271658454378548
MT,0.47980117260689936,0.7382348805397378,-0.4206194239723335,-0.11418334986267252
NC,0.11888938021354098,0.951597399191987,-0.0355668095240488,0.1337451186247402
ND,0.5316890621685048,0.5521078930199969,-0.5075400085608076,-0.260015958817866
NE-AL,0.47627074528232494,0.7830739332701151,-0.16606860144958585,-0.07160567595176116
NH,0.843027550074265,0.2905736029786757,0.09867326207754785,0.3881372025552298
NJ,0.977447786415552,0.028580568530972197,0.008687965514419983,0.15924245865049652
NM,0.773812775971192,0.5926659110126602,0.07963225735357059,0.08907086907198371
NV,0.690950881758384,0.7044758498087978,-0.004946091203510457,-0.04190441115773133
NY,0.9688229859753169,-0.1040053317453716,0.0026819298480503903,0.08579272992390323
OH,0.8236602117092595,0.3412355513531993,-0.3404199440139668,0.14187228948297922
OK,0.056257587583100274,0.9121049526464163,-0.3795659198033904,0.04646921637658652
OR,0.943518571427346,0.20890215063962023,-0.05002825558875436,-0.1077291001832323
PA,0.8957168907059093,-0.05989894878774539,-0.3256090836921663,0.095147369675236
RI,0.8606786149734218,-0.17636803609823415,-0.2901502035187978,0.28959686889803427
SC,-0.33738750164436315,0.917742444235706,0.10851142377815295,-0.008640035035254635
SD,0.5355810873793179,0.3931243478304362,-0.6080665229784148,-0.28549135996924807
TN,0.03162946494082619,0.8799252867662932,-0.3871663837632711,0.03262178715446898
TX,-0.023233264114116064,0.9849484961230068,-0.10047454133312554,0.06717081945131845
UT,0.18694957532646947,0.8857077197564107,-0.15378107429922794,0.0916638559309772
VA,0.17836309285755114,0.9299153304189787,0.26910370206646583,0.14182200781839555
VT,0.9031798200941995,-0.3569245655979912,0.19712633583672834,0.09892077647402399
WA,0.9420898407918255,0.23907068067870238,-0.042002580758254644,-0.09354089119450305
WI,0.8615518550642743,0.19537501774062754,-0.3144540493583601,-0.2671512556474127
WV,0.07334837842515435,0.4475313632739141,-0.8291612641498558,0.2019421520839497
WY,0.23885501382397972,0.7666163102561643,-0.5821044440265165,0.01086620190412595
