,PC1,PC2,PC3,PC4,PC5
AK,0.2596213824228492,0.14643432437912035,-0.19858633274957604,0.8895305479550738,0.12551301955234156
AL,-0.23347873614308187,0.9403464114556417,-0.14754351842127084,-0.17543053677845513,-0.014251421135677716
AR,-0.09657829571988287,0.9275066832665333,-0.3274873213314063,-0.028998140446860998,0.12317818085744017
AZ,0.40129985037671745,0.8793628698930818,0.14980219934353395,0.0004892239874633282,0.18480386286543043
CA,0.9519206227920375,0.11038119049184154,0.17029244727140047,-0.09800548402351976,0.17171730161411028
CO,0.7920828061943568,0.35656073323755283,0.1735035394015315,0.22468942399651157,0.2960968386512437
CT,0.961600895855651,-0.02807851740617527,0.029528669527359504,0.22334687392778896,0.012258361306171073
DC,0.4677451026906124,0.14459787371711805,0.6918257472471577,0.12703825690624682,-0.3257442479066617
DE,0.9432574997352544,0.07675864491235075,0.04072514628247241,0.12147485176324897,-0.24939389773097384
FL,0.13492517147375666,0.9769289176055083,0.07926769253837658,0.04037809899412756,-0.05918269197161253
GA,-0.18108027297391807,0.9680639178521536,-0.04018477339136875,-0.05548475309976578,-0.052034961566347245
HI,0.5568075734041584,0.20161247712160582,0.18722992767735852,0.6216747808419294,-0.23343168489938318
IA,0.8224469841025225,0.052340740590483485,-0.26926229849665356,-0.07149362206818717,0.43459889371795074
ID,0.2676927890346985,0.8366333897667977,-0.19413593556614486,0.10463321550191095,0.40938775307684805
IL,0.9891070313906074,-0.020692633843281107,0.05253702319982082,-0.042266178766273255,0.13107751316388325
IN,0.5163405258782319,0.7284335771239057,-0.24543451978560366,0.24339536660395794,0.2290214380881106
KS,0.63915860496514,0.47862545890816166,-0.14722237999567003,0.1360575673980021,0.4336519783479244
KY,0.08326281895901597,0.7412405965767384,-0.6316956652047025,0.19657326319058355,0.11680712252723625
LA,-0.21133333523436754,0.9324167436143269,-0.006839359307424425,-0.02573203678218555,0.11257654368500923
MA,0.8718809923702432,-0.3489505067317566,-0.09939891934434407,0.17298962744987784,0.15817524338126557
MD,0.8995987576955147,0.1945627122945,0.2660260028147254,0.1350196965056088,-0.03177269149420016
ME-AL,0.9095303945341513,-0.1993896823627162,-0.12725237011322627,0.19078711443736443,-0.011710839375776192
MI,0.9224368327577492,-0.034626488095026865,-0.26651302050388853,0.010918770213967866,0.2200657599506585
MN,0.8141142424894526,0.03984664044414611,-0.31531564113299526,-0.14104137695590216,0.4489506376110518
MO,0.3541523479079573,0.6494896451778831,-0.5152122027291828,0.21032838530319437,0.2992768519394877
MS,-0.35352012122403986,0.8864498102964954,0.13029058729539736,-0.15364821882591959,-0.053067538481633994
MT,0.4169021582025316,0.7092368376810362,-0.2468222382618441,0.06579090589353402,0.48468381560051954
NC,0.14950820820526306,0.9688636920008649,-0.09046624477724753,0.044782103614501204,-0.07588256376609401
ND,0.4327657624116014,0.5051634230992715,-0.24811647424241953,0.024094548319992505,0.6805776989230566
NE-AL,0.37977968717253496,0.7323377992600463,0.063339096938082,0.21729305935181134,0.5056680302374414
NH,0.8437831065373358,0.287137630944634,0.08791307154611794,0.39103997496857384,-0.04525967380794994
NJ,0.9891669823500386,0.035225775570891765,-0.006644994313929397,0.12047112758168171,0.018435052118319074
NM,0.7518766236152892,0.5806968728143695,0.13836124458228613,0.15639911822590213,0.13834083221858814
NV,0.6408471775059884,0.6788572068866413,0.12359015969632109,0.10787427229385715,0.300997317781231
NY,0.966535545430974,-0.10446752027871957,0.019162362862121304,0.08775648532533507,0.08424123811409402
OH,0.8238273920438698,0.34437008511917466,-0.31464904940187327,0.13261095726822564,0.17886079191952278
OK,0.039997634781014174,0.9064362786332142,-0.31954128426934686,0.09165260884589499,0.2204040980321965
OR,0.9019754191071048,0.18941694790572158,0.06549014720944417,0.010278173440569839,0.3102433056215813
PA,0.920279558580005,-0.042642208390142274,-0.35140927941089783,0.009004894281905963,0.09142276996376032
RI,0.8697995951141589,-0.17104558755299895,-0.30071764235161963,0.2549569804015648,0.06469042454578006
SC,-0.34681775067446774,0.9119012250848955,0.12940058975895422,0.027717160191642325,0.006385794687388447
SD,0.42409740254660544,0.34000828964976626,-0.3189336589585777,0.03368495949632652,0.7584528554398534
TN,0.06204241220821822,0.9010149261476792,-0.42250591978020363,-0.06491979588454162,0.059911987094152006
TX,-0.04656696336440514,0.9726169913729499,-0.0399493363962421,0.1411005994810035,0.14014620341727482
UT,0.1408525160381044,0.8608544970599613,-0.04310574333493728,0.23261946221664148,0.24863175211114888
VA,0.1783081829821122,0.9272333736382391,0.2642460041790968,0.15263101438063445,-0.06755152860797019
VT,0.908845374734954,-0.35503688232922204,0.183373577574654,0.08060682651096687,-0.032233840849789565
WA,0.9287087613451153,0.23540944365068392,0.014885742493956586,-0.06085374070757055,0.20625227046294722
WI,0.7998546748712247,0.16850753658848222,-0.13758001235325973,-0.09599473227678124,0.5076944524456227
WV,0.10288642441895894,0.46900266151821063,-0.8595587569940554,0.09913001386998764,0.14277117292025435
WY,0.1895358492936646,0.7444665550665294,-0.4416093374574221,0.1501116300283499,0.42767000120623533
