,PC1,PC2,PC3,PC4,PC5,PC6
AK,0.2605283290537467,0.14335068987668168,-0.20491833981489274,0.8893136520146053,0.11534896243728704,0.03502265186817172
AL,-0.23568869983584687,0.9381592324018478,-0.15449349111757701,-0.17420768611093632,-0.019448702556792263,0.03900029676296106
AR,-0.09180286449650246,0.9313855077014525,-0.3251444777074962,-0.028813130955011555,0.13329072216112112,-0.10289183666325673
AZ,0.40173104810494503,0.8809530912005187,0.14323946656189115,0.0022503096596240267,0.17876426068951115,0.049559241332907504
CA,0.9473586525784954,0.10721279023062895,0.16070698750754925,-0.09781726004601582,0.15578203093457138,0.15386867435304563
CO,0.7803918302919547,0.344971454448591,0.1493216968065964,0.22755864277607527,0.25675776699812736,0.3464152918710693
CT,0.9690232772182394,-0.020902261946968502,0.037206885232223506,0.22009694002575927,0.024822488729207563,-0.12960005321647985
DC,0.4680702498573741,0.14729558859160885,0.6885617148893949,0.1263805412608888,-0.3305316376555816,0.024081232681402862
DE,0.9354398584097555,0.06826918755987152,0.026522260057899052,0.11874372879895166,-0.27198509733707354,0.17457806100978068
FL,0.13211497169727152,0.9743530339338086,0.06839916706696489,0.041420038374485844,-0.07103887455613615,0.08397541370830788
GA,-0.185008711259091,0.9640972261368814,-0.05104464604199873,-0.05393260776901367,-0.0637336256590587,0.08865900516662462
HI,0.5593202587736027,0.20256892733263737,0.18428604001720375,0.6194178587399151,-0.23700697995872969,-0.02279963702571596
IA,0.8230672908586207,0.05274512048551293,-0.2702058573946397,-0.07161774569614046,0.4327120959075996,0.03524680388655698
ID,0.26542625674637943,0.8337257936076232,-0.20463507157944133,0.1073581078211045,0.3963490976207873,0.11338520035405018
IL,0.9930566152801488,-0.01585285581145651,0.05645335396321528,-0.04424899915903893,0.13717591995114653,-0.048640281914031455
IN,0.5146988200631608,0.7252207000168025,-0.2551320262914702,0.24387072688704053,0.21717372880592778,0.08369815687912606
KS,0.6255942412722901,0.4641428274162342,-0.17350179653514589,0.1394212489350282,0.391773559034983,0.3752450891314649
KY,0.07844972153919914,0.7329497519892972,-0.6435961455968742,0.19633211072045015,0.1023030311253731,0.0993283455601146
LA,-0.2006195440255094,0.9438523240603517,0.003635615369847995,-0.024945655555152792,0.1358033369744486,-0.2145090676655904
MA,0.8801264744114513,-0.3412082219150284,-0.08801947546778749,0.17000505583169054,0.17468329126164914,-0.14988446087460733
MD,0.8984191922046361,0.1942036467093445,0.2596902606140859,0.13396931925399022,-0.0414513212260866,0.07277799769437891
ME-AL,0.909216617329546,-0.2008862975534133,-0.12919705283678098,0.18780625901626866,-0.016009431286279234,0.02207684130076882
MI,0.9173048763522408,-0.04074476931088893,-0.2756676269161913,0.009804633947327829,0.20444712288475086,0.14181298012215265
MN,0.8127537234919562,0.03826689579124583,-0.31852454049712864,-0.14097385488454042,0.44326895668323,0.07368334658184882
MO,0.3528615943411056,0.6455865814998492,-0.5227745862799712,0.21052440544591963,0.2907477276726739,0.05744494982735729
MS,-0.3469202744450365,0.8944839558268085,0.13620599115090376,-0.15264079629758465,-0.037468500888927295,-0.1436524295259181
MT,0.41447972703063163,0.7061755131928928,-0.25683255812282507,0.06833251460886725,0.47155565275262534,0.12121301476391245
NC,0.14504720772982613,0.9637733103515044,-0.10326885721577471,0.04524913695332995,-0.0906945007670927,0.1061922007916139
ND,0.4410505974749422,0.5135577190009347,-0.24117771344453762,0.026192754536751062,0.6939656549625752,-0.09867429646686116
NE-AL,0.37751620004823133,0.7302958708154944,0.05143029710125706,0.2213142997139168,0.4888365152847961,0.15138525664190688
NH,0.8491496649311279,0.2917777672514807,0.0895663097630183,0.3886053328931963,-0.0407901523960886,-0.07465934909728475
NJ,0.9949020782030142,0.04090303364452022,-0.0010943837457370671,0.11733370452828727,0.027954219581060466,-0.09756483260179735
NM,0.7483039710468067,0.5774538203875144,0.12604581277172916,0.1571982151624248,0.12084871564104954,0.14256557526774558
NV,0.6432584449510961,0.6821297018492566,0.11972368671579503,0.10927282703887184,0.29785420542824087,0.025155173348552565
NY,0.9766582359050556,-0.09395167781322027,0.03214251366759756,0.08444361924416192,0.10507708712747371,-0.18993823247371078
OH,0.8169044938213517,0.3357174228832079,-0.3292709623234669,0.1319876304568965,0.1566545796780044,0.1839581105165553
OK,0.034964039775959056,0.8998763618898962,-0.3331574434928509,0.09361961467000862,0.20333033398686315,0.13751990804105188
OR,0.8936083256048991,0.18160065293055574,0.04893317230804146,0.011826154235260036,0.2828651039517852,0.25405874667130185
PA,0.9162279851269088,-0.04818037849368492,-0.358258531941293,0.0065079995150428725,0.08012033233484633,0.09487714328936085
RI,0.8804383706961385,-0.16212871496054654,-0.28660749919576456,0.2504348681183428,0.087473188042123,-0.22283315661773478
SC,-0.33938901463687166,0.9201855782335999,0.13488693063223084,0.029088695803216408,0.021157917821451662,-0.14471495440990836
SD,0.4254274943691074,0.3409057142935999,-0.32142832716210834,0.03689259524459059,0.754880423528388,0.05811083638626633
TN,0.06317189849082536,0.900768728156495,-0.4250183200782125,-0.0654619235503918,0.0621087240280012,-0.03560622728188529
TX,-0.048815728303534145,0.9699160468673984,-0.05058706817230499,0.1434866149578581,0.128201720628435,0.08852142249909131
UT,0.14274906492413542,0.8622398741513837,-0.048195909316693396,0.2345926328172122,0.24491401182070813,0.01625407887574287
VA,0.1759942900173675,0.9255738468971187,0.2530164828856574,0.15412345245622974,-0.08068108515115267,0.09183128961490107
VT,0.9094209182782936,-0.3538446241027923,0.18369128879818947,0.07833819917031001,-0.03415165755960663,0.014743994635369857
WA,0.9198079349949088,0.22696347326473187,-0.0018325455727949873,-0.060190263511977184,0.1793270259439783,0.24681246167309528
WI,0.8071251740546174,0.17659835062266158,-0.12969372217618297,-0.09587614259627994,0.5209146061101344,-0.09357505971778847
WV,0.10381983608071006,0.4659892851851136,-0.8599357509600003,0.09699571897597628,0.14616300213091576,-0.05247116981930292
WY,0.1871244406899494,0.7401084258995194,-0.4512745353760016,0.15214850789029835,0.4157614166245877,0.09907504142604465
