,PC1,PC2,PC3,PC4,PC5,PC6,PC7
AK,0.27513661331187234,0.15075331201712952,-0.1874899379461471,0.9142564153541006,0.07322465129972003,0.024529975086985054,-0.023905703346179384
AL,-0.23071232857368137,0.9412046638296782,-0.15827693399381107,-0.14890913381751747,-0.03515382181466505,0.037838113396134215,0.10775131899098973
AR,-0.09911094911223088,0.9214274899849423,-0.3447162963371646,-0.03679794040961081,0.15572055837908624,-0.09987932328057642,-0.015831156337771053
AZ,0.404132727565942,0.8867935319502879,0.13734202094960124,0.01413667321735927,0.17180422568383788,0.04700290710695795,0.03105675916106762
CA,0.9543486978243318,0.11794733136275598,0.1768025419264633,-0.06759656254130281,0.13709715760573635,0.14596543203485973,0.12189402114805556
CO,0.7796289051227712,0.34688569233484934,0.14753771505259342,0.22797020889472625,0.26519471435640596,0.34270761405497474,-0.02687271474811994
CT,0.9749450687730586,-0.015463033338694754,0.040295588282283086,0.2201656111798877,0.020399198777834558,-0.13230100465885183,-0.02490674075489359
DC,0.46119042785517794,0.14562983454775644,0.6375794457339705,0.03686827719927808,-0.27238443545878294,0.043875957859491464,-0.37046840918483315
DE,0.9361361436709381,0.06501185642953701,0.002234947688648424,0.07927152998132028,-0.23472462382047654,0.18389650250115092,-0.1525912385304011
FL,0.12746197536198822,0.9692500346733197,0.03313489135053466,0.0069373245969096674,-0.03779508249716453,0.09366063581700948,-0.14020703118383532
GA,-0.18412937361211015,0.9633263162474244,-0.06980071099930014,-0.056388507595216276,-0.05817896954918195,0.09281933584099931,-0.011505980735696033
HI,0.5423402805960826,0.18252656538699624,0.11528134848934594,0.49386842716624374,-0.13823981783995487,0.0011397439360366832,-0.5362611681747609
IA,0.8000747196570978,0.03185312210955117,-0.28823025808387875,-0.10836109139941554,0.502582952946633,0.03804405287269501,-0.08678193537817658
ID,0.2725977872540376,0.8410792982431305,-0.18311238137944813,0.1658009931178193,0.35703314222842836,0.0991946892333039,0.2014974728132721
IL,0.9878318242353094,-0.01835144426463149,0.049685611853578254,-0.060497713074599085,0.16342091735891182,-0.047809699586575605,-0.04205083076539249
IN,0.4988299920856512,0.7069366556792102,-0.2906591176150594,0.19574739658813173,0.2804272351941996,0.09137271450940086,-0.18620852286503298
KS,0.6114904190358298,0.450630452432576,-0.1882254147414008,0.12083669839885794,0.4378644110470468,0.37521479906313593,-0.06263837792213484
KY,0.06952813294905032,0.7149684074939032,-0.664552518900808,0.1805184933711258,0.14059711252173274,0.1028683012888477,-0.052737957628080145
LA,-0.19950504345879677,0.9468687526438556,-0.00385982633437592,-0.013032387175891825,0.12325183097176119,-0.21578782572648367,0.03315379562392433
MA,0.8886565101587924,-0.3328623274823763,-0.06100387314993863,0.20305536605277458,0.14558974328637506,-0.1610366780023064,0.10952995783627698
MD,0.8858842548919458,0.18413601354416403,0.21821635892564503,0.06086436858351037,0.027318565592068793,0.08640349391705131,-0.2815865019861289
ME-AL,0.9072527618309663,-0.2059317277605193,-0.13672122099686068,0.16595364655378037,0.01050185788972955,0.02426330840590335,-0.08557201571621173
MI,0.9226735786665181,-0.037612447926838155,-0.2528055521148722,0.04848264144899295,0.1891921054041942,0.1312377804207538,0.16187973220446636
MN,0.8111105914151677,0.037718732325287566,-0.2921184057583054,-0.09558555893295433,0.4331576213822531,0.06040011448347372,0.21159690545379833
MO,0.33326260715482076,0.6211105788337408,-0.5543453902896716,0.16806887654940153,0.35898418724553643,0.06362356013313686,-0.14658801974101746
MS,-0.343501247848638,0.9002031763515121,0.12496876547443397,-0.1449521130687687,-0.05093299859453834,-0.14167077911765744,0.025453829090508952
MT,0.41830719219127027,0.7106424275500564,-0.23388511593905933,0.12494777791188891,0.44069003951881025,0.1063974010767292,0.2079112155880193
NC,0.14439778362038178,0.9598527761842991,-0.12960637620887291,0.028241614641581432,-0.06992888151919731,0.11271692141227797,-0.0708629373413563
ND,0.42675430512964435,0.5040711328115802,-0.23576611838563097,0.04031747667742428,0.7103035654183224,-0.10780012897249734,0.07072785733310595
NE-AL,0.3591615502656536,0.7169188341321113,0.025375043647539876,0.18508822961085292,0.5395996900930148,0.15395948052230127,-0.15254755496475736
NH,0.8532119149980775,0.29425949148601255,0.07563208865831951,0.36614695140436443,-0.030698831696241158,-0.0721581692757102,-0.13522990267786925
NJ,0.9945706948330248,0.04028858264742327,-0.008794076072754477,0.10106742104325252,0.04620057067498863,-0.09630884623356821,-0.06529945600724543
NM,0.7351357995617938,0.5663484971635498,0.08817310166879595,0.10068668519747764,0.1823591519699605,0.15241431648974296,-0.22144955660669038
NV,0.6417262542891695,0.6846754832621272,0.1145831192856804,0.11303164873468892,0.3012908227803482,0.021682868625546872,-0.004189689944773599
NY,0.9665145018362097,-0.10225454604174906,0.01297510986674682,0.04149772469898067,0.15113235553146287,-0.18441100318108025,-0.15289022970832636
OH,0.8162362636280219,0.33085532734804346,-0.32958180279825205,0.13961885786083075,0.17033819840199232,0.1805715850684364,0.033829408895446514
OK,0.023064254250393847,0.8849107843343571,-0.35872933748776853,0.07230822178875872,0.2442181710203268,0.14186033786675695,-0.0736420304717059
OR,0.8870893258769155,0.17831815003142817,0.0453606634212031,0.006139245150737562,0.3075837800994327,0.2519012326201762,-0.009828280089275573
