year,PC1,PC2,PC3,PC4,PC5,PC6,PC7
1916,-0.6982886132280673,6.402569473657792,0.4317391924588636,0.941609939878405,1.7278804916153556,1.4397144870978111,0.44379177009960086
1920,-9.371091002967146,1.5998564425128972,1.5347832009257691,0.5095992724277497,-4.003936400268176,0.7053859282831504,-1.304328591361254
1924,-9.567758653669946,2.643143809849416,1.4763070663777926,-0.09082578014929085,-2.417639355100453,-0.8625795293892655,-2.1451055204832454
1928,-6.228972751925467,-1.0005746949300303,1.688598598433162,0.20876868663485584,-0.2518612424711921,-3.5879064189278447,0.09379442077070911
1932,2.9003770313398953,8.972738464424669,-1.323049743676199,-0.4577208031442628,5.233704769214021,0.6919048890600865,-0.7081618421322171
1936,5.276659092417293,9.516421258086845,-1.5556483303463646,-0.17327767247701661,3.955916158174735,1.1086250966896636,0.9907680341408445
1940,1.6354830729571155,6.932992668751826,-0.976294077486498,-0.039606109770279084,-0.4792286835643491,-0.08180511178425223,0.7341376989529745
1944,0.8630726342381405,5.237045533062454,-0.7165971032482271,-0.029908983959408185,-0.584020855495204,-0.4872938344970492,0.9546308766583397
1948,0.3337928472582007,3.4903248682562693,-2.1191672288201464,0.3551430274017921,1.3820982142409084,0.9289208710812886,0.36751355669682734
1952,-4.266840358674221,-1.0101612429492413,-0.8015204959696463,-0.24845467529015353,-2.850967241801906,-0.15280596587745068,0.5137202816362051
1956,-5.551204239142392,-1.3114860383818323,-0.18503207779440892,-0.6405074223211689,-0.6407859653242113,0.8666481914382085,0.5810606090366175
1960,-0.03434723279507671,-0.2853431124379504,-0.5964731044383655,1.0067826936285436,-0.0751875008795667,-0.7377780474219856,1.3580170435448478
1964,8.683966244795911,1.227740066708354,-4.248600494797761,5.5265904428707895,3.0525936525997484,0.7074958339886683,-1.1614992454543145
1968,0.09679316573761637,-2.1118580940802807,-1.6802766124681612,1.3315955605193892,-0.00994641282833455,-0.818398858442951,1.1124813903216448
1972,-5.448185433281551,-7.517460095542111,0.7541207754605007,-1.1692151205504733,0.7249472256860593,-0.3194768512842103,2.9935410425834936
1976,-0.21124793253941357,0.07881608511520075,-2.4830466863210554,-1.0842522939059889,0.7781135118440248,0.22722305596600342,0.11093765705754635
1980,-2.9442803411099816,-3.454750330747426,-1.796072594963148,-1.9009890927534838,-1.5213400899002782,-0.2176566087239967,0.1864472478598803
1984,-4.530447543370196,-5.645459708287871,0.27825605791285574,-2.7723053589908373,-0.6418654566709455,-0.2325575376075228,0.8656853733481945
1988,-1.1827122457463757,-3.4615856104141023,-0.7868491153173724,-0.9547500641586201,1.7288501984113303,0.4076845985672611,0.4658677504036553
1992,2.633374716660194,-0.23264581233678464,-1.4276577253060172,0.3857246233208765,1.1642267152647123,0.6229337713257066,0.033639013895539464
1996,4.155594450116341,-0.4869782517696948,-1.4134180099929095,0.13036327804602174,0.626574418973957,-0.8847310666927644,-0.48775587695127587
2000,2.2863425184041755,-2.946811697089508,0.27434379116449165,-1.2947436399807908,-1.1749981733065746,-0.9146984707309707,-0.7333321265801732
2004,1.872977061078124,-3.595770065743242,1.0257807185111587,-1.1183171355903232,-1.0018371831797859,-0.5115868372249717,-0.237171299338491
2008,5.411385291893446,-1.5977025735072201,1.3211681464662877,0.1409228300847728,0.2363549971208977,0.27761207030109747,-1.7846953400647636
2012,4.284049410874755,-2.733578102930369,2.0715271746419317,0.18558353728556395,-0.6993987426565702,-0.006823582212842622,-1.6310262157369781
2016,2.9712832977504244,-2.9385217692772243,3.8838278473249015,0.2207015228890802,-1.577302539420281,0.287379959339776,-0.5667295995870123
2020,4.035023564692602,-2.4634013862321553,3.6227089661781413,0.666197572126603,-1.3014485886971692,0.6159141483720344,-0.6961659011369535
2024,2.595201948235598,-3.3075600837686805,3.7465418650904256,0.3652911659276529,-1.3794959215807558,0.9286558193073194,-0.35006220818024414
