,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
AK,0.27394130986363974,0.14600711984730716,-0.19177815997145195,0.9139130661088302,0.0754475976181294,0.029876645011376837,-0.08815364295560087,0.011267579627817312
AL,-0.2382408532896031,0.9355976640300162,-0.15917779165770948,-0.13544230485091557,-0.015997004432355882,-0.03400092478056886,0.03176909374054953,0.1735471610447638
AR,-0.10279883728037338,0.9170595439155214,-0.34972146319908615,-0.03132457569257866,0.1694147607495271,-0.09932452826551837,0.007104400413486794,-0.016106308537238122
AZ,0.40171754860737063,0.8883273808644351,0.13182076573454674,0.012727345866492283,0.17216463719592712,0.048648600851809234,-0.022343977799487626,0.03953832382804895
CA,0.9464669413628194,0.11602325942945084,0.1830426425644508,-0.06031704512041511,0.15288883901788833,0.07529214612430948,-0.014061194850898653,0.21842105051437308
CO,0.7786781725218138,0.3482505471257252,0.13834272633506287,0.2159777530979774,0.2515698843483422,0.3547718818045424,-0.065839333174545,0.08197107885047687
CT,0.9774750977610199,-0.01210105600778115,0.03865648601836784,0.21294407160903853,0.023025776945214675,-0.10241828142550011,-0.0428590290114965,-0.07806003678782414
DC,0.4338812903928234,0.1267829068547708,0.5649472217395378,0.015770176487134316,-0.22844111874306214,-0.025664000889150614,-0.6196428513688048,0.10037485467431119
DE,0.9331796409794534,0.061848552301893886,-0.0282218067161588,0.058472715070181994,-0.22935301605088393,0.17566514572971745,-0.18967120308728613,0.03522291092414863
FL,0.13242500643433744,0.9735124714856501,0.006782958182829084,-0.014596672103939713,-0.05614121838046529,0.16134699911572284,-0.07779708657872716,-0.1269439944547709
GA,-0.1926516271610163,0.956506087703156,-0.08755861673361068,-0.05418640242678877,-0.04304040470427042,0.044387957943613596,-0.08294167325264123,0.12231453121122637
HI,0.5230896404828136,0.16362465398216572,0.03484833590939369,0.4594686764270682,-0.107532178961157,0.02308214025832826,-0.6325836950729332,-0.11742827776897374
IA,0.7924774228568678,0.025692265761259513,-0.29012154589807826,-0.1079684128002977,0.5193129784119933,0.04499045010285702,-0.058164425709283346,0.007344001385052786
ID,0.267662613359065,0.838721869552119,-0.16359252637866462,0.18507337002515736,0.36750211506935926,0.04628109143669645,0.1205865044639865,0.19277414854935868
IL,0.9780724414033227,-0.023689611584672202,0.04200917414441512,-0.06013145448795157,0.18852928664315913,-0.07948357415384887,-0.1268440668735988,0.06647711451503271
IN,0.49187929008303016,0.6992107353712156,-0.31676298106317086,0.18448793248085255,0.2909508293497505,0.11623428446937491,-0.17012756182844274,-0.03408597599089659
KS,0.6169646136510042,0.4545368886146654,-0.19203483871305652,0.10545369124923844,0.4111857653909229,0.4377419617025062,0.03479121050682412,-0.020334760041663607
