,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
AK,0.2741226973170907,0.14992390769725342,0.11675425288877855,0.9274181143626945,0.07302815961972953,0.027646019722977453,-0.18647698349070654,0.005008628776006775,-0.0013836423807587408
AL,-0.2373968670717595,0.9354224254220519,-0.0387658767278606,-0.1374123962084477,-0.014129005126970908,-0.023402139385424046,-0.15734850994331676,0.11620472025425731,-0.13396528715419959
AR,-0.10152497897448864,0.9183814393240953,-0.03084949040952606,-0.024813592292779692,0.1688902120815239,-0.10739433794123213,-0.3443779573350074,-0.000173916145932505,0.014893495325429645
AZ,0.40187651903040517,0.8877298734571981,0.03922729915763617,0.007968333351650375,0.1720822155960719,0.051457947520623416,0.13222560679022927,0.01891726219238379,-0.03067011090016654
CA,0.9490155491146413,0.11641946106945442,0.01954944986094284,-0.05731290131677817,0.14623924426264337,0.08026408718004512,0.18414185852185183,0.1671983076563334,-0.12681852039114522
CO,0.7743627055951651,0.3427755767073703,0.1406518232138081,0.17468742518373442,0.265561226792349,0.3841981726181156,0.12374868756231078,-0.004483469556288206,-0.0971943227736861
CT,0.9741429399914356,-0.014244740994230157,0.09581465327292411,0.19405639463312624,0.024356315071036812,-0.08232598184397065,0.029875212710909725,-0.132620340281069,-0.02337415964714161
DC,0.42422581104179063,0.11898010354828079,0.6664215211790611,-0.03723805451776725,-0.213194866664022,-0.023449505128930473,0.5323982983362694,0.10892232018708616,-0.03944237808793637
DE,0.928759920575962,0.060361966505830186,0.2150454023965734,0.04221421036847405,-0.22518363450967707,0.1788623141885653,-0.039729866521443086,0.04017828598861654,0.009935094308305938
FL,0.12718286759090497,0.9701738610612116,0.11551562886145758,-0.040326759312143697,-0.0448032090053253,0.169191076882941,-0.0025679567675541,-0.11957382376703368,0.06790918090933994
GA,-0.19209491874400664,0.9575655692487884,0.06361577496572589,-0.04892165590713418,-0.04254959562126995,0.03586807386894314,-0.08500886724601257,0.13341678686503022,-0.0363807120262502
HI,0.5095669389653558,0.15498488763964957,0.7078829716671179,0.39116693909906,-0.0823928820258145,0.03183183993550248,-0.002619997505386497,-0.09590307400372854,0.06386403449601095
IA,0.7949306674213277,0.02578429692979795,0.028908646844862017,-0.10766108605407683,0.5170826749483702,0.02852909596548189,-0.28917821116450587,0.04593846024913019,0.04232265188382567
ID,0.26973438871575195,0.8379535157924013,-0.09273057131508596,0.17649653791255004,0.3699530894944154,0.07164601322201747,-0.16064839173341888,0.07579238856568841,-0.19394382259769688
IL,0.9789246450583265,-0.023748537500972472,0.1207143219584157,-0.0607666322479648,0.18295885763999337,-0.0864585126041188,0.03920347453512967,0.07033767574231695,-0.021000045107341766
IN,0.48904079948396445,0.6971923890827896,0.18374972988688557,0.16425300251197414,0.2999296209215732,0.11351109628202444,-0.324586507875533,-0.01772490025036526,0.03751738526320469
KS,0.6183709003081063,0.4552991083306416,-0.0358259617359815,0.10653077751171924,0.4137904093057053,0.42485068500534745,-0.18770494020303793,0.02445223026419521,0.08774330477558581
KY,0.06947110816885532,0.7111971388801532,-0.04347769742678272,0.19078745811845182,0.14956235399333095,0.09464583166179891,-0.6651343404696526,0.0427699255072767,0.028026315938607216
LA,-0.1944495121721937,0.9520820810047852,-0.06158647308859255,-0.027515658012635964,0.11653982401992755,-0.13543673378643972,-0.0004803082717017881,-0.19667472314522275,0.012975686747295923
MA,0.897237438846667,-0.3244331359988982,-0.09952296281765738,0.2148571385898523,0.13441438760786142,-0.12339627096793601,-0.032720183869577174,-0.10115830251906356,-0.018421025658934366
MD,0.8893839249370464,0.1921895916205442,0.1860951722358566,0.060528597291938394,0.0005349204182714888,0.11436367817885347,0.18866146289290683,0.02106638156653827,0.31235574083348305
