,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AK,-0.10260965638588042,-0.1023467943405184,0.009002818100743623,0.10903899006983048,0.9689107545951854,-0.12236526254899287,0.0047487364247031025,-0.04236859266169493,-0.03755811202581272,-0.008122958241946065
AL,0.8751654615842835,0.009040207859069645,-0.002123945541382208,-0.06638589635170261,-0.036692320760453485,-0.32472318236351044,0.08341347960374697,-0.03047445159975689,0.2954023594516565,-0.18877366836134302
AR,0.8047772470486229,-0.19560195548359233,-0.02237866059764912,-0.09770390246319674,-0.006235360827456313,-0.5097005931829611,0.03071070777544088,-0.12005237051523078,0.1851140760949773,-0.055685788044842095
AZ,0.9639520955789989,-0.10072485906428602,0.012121864926886269,0.0424800679545011,0.00729341117522175,0.10133189884548306,0.014464903930228694,0.11707694993632967,-0.0831619120830369,-0.06316370388796685
CA,-0.3209659221070029,0.06710611439520199,-0.008692022993658231,-0.05577006395913519,-0.09638980679263182,0.9389695400527829,-0.07498093470345253,0.08001364313553072,0.012053664277134887,0.000518955698772178
CO,0.0682548626377227,0.09139839115769127,-0.10795815679238425,0.7897400552232984,0.09737323490422649,0.4860261474387395,-0.19474166990960112,0.1157776782674213,-0.19524986990446233,-0.15916423657020673
CT,-0.6306611929435745,0.2742727122342778,0.058545492274016536,-0.12989328846803774,-0.014375461035526236,0.3358080140857302,-0.08875837184741055,-0.015230559618383247,-0.6130062302330792,0.002779154575995546
DC,0.11797142491737507,0.14401251559434658,0.2379385994728113,0.02564339102736578,-0.3386508953173551,0.5309522000345805,0.4458410950084179,0.4845587326279689,0.04428699006287887,-0.1264871013367311
DE,-0.38494691570589956,0.7407657704603615,-0.13917664415890368,0.004198022886918091,-0.23979230544768645,0.17989154898480395,-0.03988607241132882,0.27843124412664444,-0.24359719635077187,0.11176595865384915
FL,0.9651546613953041,0.1017244037871143,-0.12999967510136795,0.0984376316542966,-0.100863401854792,-0.1670981754936604,-0.053311817031938616,0.005335417692913675,-0.07124504040651215,0.06481821884022637
GA,0.908327135975278,0.1012745902536059,0.09456492235128036,0.03751361611678817,-0.01809791868159227,-0.3019415513544267,0.016504839130139743,-0.04879875073336525,0.2532664251950185,-0.10625718325864746
HI,-0.033136072201952124,0.18329829607081166,0.09676874132024411,0.06874731010263366,-0.045845231256534655,0.29770154893058554,-0.8368362754299691,0.09162047938612226,-0.2541016119702603,0.0086033464972215
IA,-0.6327463093261085,-0.5836163826064463,-0.16922197400478373,0.02649373033029001,-0.27912735907182495,-0.04122234542068788,-0.0034972957709405042,0.2561765842760543,0.1356516918902466,0.16015926679836334
ID,0.7843913423026557,-0.34994227698667496,-0.14409926577411486,0.07264151311309706,0.3372777207850357,-0.22080372367417017,0.028954947616121107,-0.0010872410130797856,0.1815381529204303,-0.23610216614423132
IL,-0.6919990377337543,0.04507020381520062,0.20645783092919545,-0.15770109814834926,-0.33588608841145084,0.5235767507128084,-0.018688082524437464,0.17825690124423266,-0.19761990809103577,-0.0007557746778232608
IN,0.5060111975328577,-0.03276600289896065,-0.06471033382958113,0.21790361946481224,-0.004576527199900525,-0.7294417128669609,0.0025835779697592764,0.3228026792953611,-0.0204128603095931,-0.062161096250305685
KS,0.18333569680301035,-0.19922299952323302,-0.17187921587854127,0.8678100833506484,0.08308650483221044,-0.20194578726010437,0.0924540550534622,0.021513786475533134,0.21332965765650144,0.193020835044818
KY,0.4455155172745269,-0.01914299992728277,-0.21587814364224947,0.024146705981353316,0.15497125172994478,-0.8272871750050909,0.038818364027438046,0.01536850863031954,0.253078730542318,-0.0021342246918774886
LA,0.912892988677769,-0.16669180717508894,0.07383975644237863,-0.02691109574736099,-0.010409691584662584,-0.31203624069429453,0.14382869837430343,-0.12525394336490267,-0.05730812264059578,-0.05348617347130164
MA,-0.8740424376946244,0.0410069424580919,0.10393320376705499,-0.08242479700490854,0.09605951727201896,0.22711617720188162,0.10611142852073767,-0.1213979693517507,-0.36709118428744647,-0.00016807767865489992
MD,-0.15178049130011642,0.4059321011310427,0.30241000688744946,0.22348837366468544,-0.20569416810709826,0.3897420528761923,-0.07366553421644514,0.2183131976452801,-0.38462515418476034,0.5153718448670731
ME-AL,-0.7403683469014595,0.2393905057189306,-0.23230165242479148,0.12208222892447737,-0.09653632892768785,0.17618628778703022,-0.0610043218852985,-0.19897454156024003,-0.3876478973068069,0.23526500394227243
MI,-0.7908921696563893,-0.042536649765597234,-0.31955889900956247,-0.09417011589308917,0.06749531200135019,0.37342361503008764,-0.13330673873570956,-0.13294040000452828,0.182403573863515,-0.1303731495482621
MN,-0.6805904152287812,-0.4622327752698094,-0.0026700083086598834,-0.01232372289269218,-0.0043637841393418106,0.19458963104969432,0.15460552946748188,-0.19112194534026555,0.44080290176357806,-0.07815836713824974
MO,0.304630368850718,-0.22042936997417742,-0.06639118327651847,0.07941800710340322,0.062311851771563266,-0.8458139062210012,-0.07518201954052131,0.17908640346472196,0.24510620410753295,-0.13811897438086906
MS,0.923474480569451,-0.002372783482577467,0.10878976014058946,-0.0585888074402004,-0.12091000686987338,-0.2260655670988071,0.1373989789537775,-0.025486095674508456,0.06509037585304552,-0.11588841855654454
MT,0.6196759337450126,-0.5164734592388731,-0.27820847796012116,0.0940494430955022,0.3214684621074153,-0.19205775656998975,0.06460278120581724,0.016939253057154487,0.21378594717072905,-0.1995120887195123
NC,0.8936680826987059,0.18058152307509645,0.03941869305585257,-0.08104093582013418,0.0691848030933282,-0.3105276546301682,-0.07385022573643421,0.11491760101177266,0.22120400903578757,0.03778746408759845
ND,0.2592825292547446,-0.9239280344731675,0.014129976302093077,0.050267921081093306,0.10686808831661956,-0.17109454406998506,-0.0345940179958745,-0.10497827457820881,0.10927532730143386,-0.08855732853039096
NE-AL,0.6594938565539589,-0.4243314694619214,0.1473928739082744,0.5395029854910524,0.09330709341217687,-0.20363608292857244,-0.10573923175937303,0.15259929126297408,-0.05564728889760691,0.008561788709007395
NH,-0.051448141520438945,0.3934980764025648,-0.07876271330351288,0.02032475184898309,0.07513214603515303,0.09991007144219322,-0.18261915448441995,0.10934813837595937,-0.8611332089288716,-0.0005953102274831626
NJ,-0.6213684101157126,0.2155103505498327,0.06129553877584244,-0.24871738618878853,-0.1269664431192291,0.43793632661671356,-0.17959840327669577,-0.037472124885600644,-0.45709263160979996,0.16952875648983165
NM,0.5125586143254577,0.13925516607267788,0.16629164060170631,0.20324052302122153,-0.09414585966359713,0.061621881816825215,-0.19103854353655483,0.6959635482813342,-0.233806062519953,0.1368317967854003
NV,0.7532868294094401,-0.3252801637404822,-0.01699615350134248,0.063417107802765,0.07210569538237868,0.33955250293777317,-0.20869780357740234,0.0723562813019903,-0.2544777217548508,-0.09789589765746119
NY,-0.726422921683639,0.011068269305434936,0.18949763746103754,-0.17056603782969565,-0.28124422020246986,0.31387385727634515,-0.11118534617744186,0.023090392637097844,-0.44307457772776415,0.17678329895822498
OH,-0.2205608550626377,0.12439060679186244,-0.8343621981579447,0.2787783742893377,-0.00878090346380096,-0.2846563963327255,0.061117078697460664,-0.07978793609345122,-0.07563388114177,-0.027353733097972045
OK,0.7548134121142634,-0.17972262563846808,-0.06366091939074772,0.11498905928692386,0.09834621058539315,-0.5081851593499449,-0.11727013635395218,-0.005058334218307273,0.2922614792659077,-0.041844587006944114
OR,-0.31331448004898704,-0.11807725458007116,-0.13697785115640432,0.21852853020831503,0.05882232895108627,0.6330414184043152,-0.01930215486371423,0.4404333874056161,0.08537413886916173,0.44341098183846317
PA,-0.837831942979622,0.19837304696640123,-0.33632028376093537,-0.26634235544147583,0.048651036520345886,0.1031806975744008,0.08882349918061858,-0.007813859460907178,0.19341377386509145,-0.010090867445112246
RI,-0.8435526420248421,0.062026346219533984,0.047264192028481276,-0.25811122652436946,0.11910904036385468,-0.07699280782643847,-0.11216970386329876,-0.16007914664581674,-0.3492074296670542,0.06511710471407268
SC,0.9405429997997133,-0.05982706004960609,0.07732651706440306,0.012956242973311985,-0.031202578324792785,-0.29667508329076797,0.06352182960312369,0.0008192715312287114,-0.06851802523978198,-0.02689077161033992
SD,-0.006563224884219139,-0.8022620348073091,-0.08825537304778525,0.2778555246223336,0.07290561071307838,-0.3694313137694934,0.18883386927422124,0.13003571090358615,0.1421428274674554,-0.05442176637010444
TN,0.7260626052153911,-0.08310540732688687,-0.09931334842666835,-0.12975098379644753,-0.06258798801957031,-0.5991344740848441,0.07832171517832273,-0.05884154416215115,0.28031882643508366,0.03825152252161771
