,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
AK,-0.09420306496005734,-0.10251264144033777,-0.11252192473624398,0.09915749668358431,0.9718573629128072,-0.12158026194493549,0.004547349065349729,-0.0077524117427775815,-0.02888782383727668,-0.009083256955258483,-0.040423910317896064
AL,0.8901653052631476,0.017711999273747305,-0.3134904835944607,-0.056550102393365734,-0.042598264491618174,0.035184237999555584,0.09040550642997101,0.01894731702386418,0.2330933266732878,-0.08671674659608897,-0.2020158129319082
AR,0.812677400199542,-0.17340754295052346,-0.47614125643145205,-0.07191197606475463,-0.04880010090987487,-0.1947533840225712,0.14954356954918874,0.04574257188906536,0.11442147349722054,-0.05887809188777462,-0.1414020293327435
AZ,0.9529649246953199,-0.08563300353175361,0.1039882777165841,0.06921814952080316,-0.020091570880210873,0.04029562945002471,0.045193537344032454,0.07762280162166085,-0.17130475319349803,0.08913344341940423,-0.09426711553520582
CA,-0.33525865431395785,0.07338737095820114,0.9270038183151136,-0.027981351713265535,-0.11528389986239782,0.07688571993880552,-0.06211899862888432,0.05459860101052939,-0.0071895005150233,0.12800656168504754,-0.05292278650251715
CO,0.053353297459384025,0.09030714887617182,0.4605733038602813,0.7894400576126479,0.10249202032472018,0.11793096026433647,-0.2577468272320213,-0.12065648398386915,-0.22030360197770868,0.01831756828828449,-0.09085179146621399
CT,-0.6597627598184481,0.2541151340788941,0.31695791136941615,-0.15778079628903566,0.01409401673306115,0.0831992520614043,-0.18086143232321675,0.001191061997511955,-0.5414991914737907,-0.09910946749795815,0.15835429134310525
DC,0.1200111136352532,0.10953987221302494,0.44756505610321723,-0.0036707421048412306,-0.23607823607247358,0.8045273889721786,0.1345461634198877,0.11940173118868297,0.060432426336865186,0.14047428325361674,0.08316485380422028
DE,-0.3990800654062391,0.7370066264214901,0.15504376409881335,0.0002656916420055691,-0.23641624747376366,0.15028288461276243,-0.07815871142878152,-0.13532448616536483,-0.23895416434667038,0.24681125266654214,0.11806259906348245
FL,0.9625006569412126,0.10683914218598026,-0.14859980597546776,0.09810952791301467,-0.11742604409422734,-0.07965386924619303,-0.022396848901918266,-0.10982416928897559,-0.11747021329932192,0.035757461108329044,0.04096751449725368
GA,0.919731218361654,0.10762744983562995,-0.29108138814092926,0.04502380238875039,-0.023743356187299558,-0.004336749361293085,0.026560548589282737,0.10404407226612467,0.20282501527046937,-0.08751350617267711,-0.10086132484981143
HI,-0.039220006725707426,0.15333816693658392,0.27304934697898936,0.030004992989433293,-0.015714530475465727,-0.08122275060097672,-0.931152874531634,0.03227148423921923,-0.18825315103147752,0.0640378013192156,0.07315169574355349
IA,-0.6216370413819848,-0.5829767424875457,-0.05983712982185546,0.031000332428329617,-0.2777090880846736,0.05470161487482534,0.014981893578835047,-0.15493914590700764,0.14803097456629186,0.3182255623317092,0.036193196345804764
ID,0.7944441558394715,-0.3285730958035549,-0.20262964412359766,0.09831149793381408,0.3051595685378116,-0.06703856424481398,0.09110751043932082,-0.07391659808106898,0.08720859309240396,-0.009093674238439492,-0.32807542453531774
IL,-0.7104520505458847,0.03518136521445655,0.4834546778708274,-0.15278971407635722,-0.31578269937054904,0.23911215657199736,-0.09260588742413328,0.1963543044956007,-0.16534408940548875,0.08944121270682157,0.07480304410783034
IN,0.5218348155825601,-0.04677829417084882,-0.7594316989688629,0.18620405327115605,0.03906827090933965,0.219565954498204,-0.11398382090135747,-0.13796958344705396,-0.03185609040027533,0.15294235618418617,-0.009967591276760739
KS,0.19415872128020678,-0.18720674534925977,-0.19216507336588223,0.8741985046233641,0.06600612572388817,-0.10594865334298971,0.15763358042173625,-0.17314088753028278,0.18887113573426528,0.11776827876775818,0.11526290253650243
KY,0.46811906109155316,-0.0033862658512578392,-0.8018440972856065,0.029625801988312866,0.12968171711331872,-0.1675876999027157,0.12704814371019882,-0.18333338295291052,0.20497900926702084,0.07562513336284536,-0.12339011025003525
LA,0.9150356981537627,-0.1737256627806386,-0.2988792657043728,-0.04430119427507404,0.008145207541594358,0.02703108964322089,0.10047719681141061,0.031591763185409655,-0.067894647588029,-0.19533186356205795,0.03706761306373611
MA,-0.8943975415912596,0.03422454349660538,0.22047215639323423,-0.09027729512345764,0.10682446641658194,0.01562982685675535,0.08147136513201969,0.07489811827088158,-0.3071280625832956,-0.1496577635381128,0.10079218421922087
MD,-0.172110369232946,0.3754006364202225,0.35563995040417234,0.18850003791557957,-0.16006989024459076,0.14466844912501228,-0.18458968472080076,0.20298921594433644,-0.2960456077434256,0.22719842874882581,0.6324057536388552
ME-AL,-0.7547425420082458,0.2241063125982424,0.1925165640523113,0.0870242246624487,-0.08684337995128444,-0.1678648080367483,-0.06046056243233461,-0.28837746855838703,-0.29459712513210595,-0.093225569616254,0.2855774924484917
MI,-0.7849663842694184,-0.03022121724465631,0.39087950576249875,-0.07707685827008737,0.03579442946580167,-0.1616412286130083,-0.05106623587610079,-0.2551053882431654,0.1823886935352575,-0.015566572034640165,-0.25507364242350666
MN,-0.6592035662987912,-0.46492410492588504,0.19923710213874604,-0.0121549945968936,0.010049560375881502,0.003709838567015477,0.1540416802254318,-0.022343563587452486,0.48118520567963,-0.14796309254113388,-0.10705421883279222
MO,0.32053759966505435,-0.19326276471755324,-0.8426461517648495,0.11233259666283939,0.02104829062209058,-0.09656519810027003,0.032931887190895875,0.011088572586038403,0.1582337419031298,0.17156457246070167,-0.2741617723803255
MS,0.9312883544537018,-0.015465395722250457,-0.22934652607478118,-0.07996155305835169,-0.08495422534287148,0.1679125112037656,0.0391002991747827,0.05041569844507361,0.054144545265905744,-0.15781311743523077,-0.003664122233460937
MT,0.6396278955394428,-0.5099335590392609,-0.17906800792177427,0.09342536493093974,0.3196280057391662,-0.0020978586635680154,0.06281211226292371,-0.26047753986145716,0.15821921989606821,0.0006061464319924852,-0.27757007202320166
NC,0.9061545274394202,0.18780723748408495,-0.3028561390312324,-0.07172811082230195,0.055803013197549906,-0.03184209921315699,-0.04547597752420002,0.06952808803557693,0.16477028666508503,0.13240718640914736,-0.03344818953604356
ND,0.26729518327046464,-0.9157580641780001,-0.157227657511822,0.06153942821062082,0.09339655456235539,-0.1226673351290687,0.01766110786786828,0.037434916643984954,0.08683094136966495,-0.07290343607093096,-0.14139333503521462
NE-AL,0.6581876564500835,-0.42391572445682846,-0.22040083604582578,0.5406552121864722,0.0993481241518222,0.04886831444273704,-0.13167709354512533,0.12793295029452117,-0.09005120484991554,0.08240713941921936,0.039020451529210645
NH,-0.0969015096341941,0.3988488388357164,0.09373236683760044,0.023944032892553136,0.04898769838971998,-0.04868633790748178,-0.16696054390326315,-0.04353829429762269,-0.8782373160539793,0.05904041744498986,0.0722298012679252
NJ,-0.647909481873334,0.20490590132653516,0.43412733559792,-0.25808903835563995,-0.1275345237896842,-0.06746778062701361,-0.18288609300869893,0.05453550387219988,-0.39615891195590464,0.01460596640809751,0.21745396616273796
NM,0.49218682242810485,0.15585443891484316,0.009196840252836368,0.24540501091005862,-0.12210860962400479,0.23302713398890043,-0.1843487915166292,0.2534320830150092,-0.3384695232714119,0.6179487050105054,0.04823262638820069
