,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
AK,-0.09461907635800121,-0.10417046516665526,-0.11132868537279908,0.09753537165319928,0.9715298110682572,-0.1304825807106789,0.005912721744257822,-0.0076954050046630675,-0.028903644492223043,-0.010337749424945072,-0.04901444047431157,0.008502280265963233
AL,0.8848548372493018,0.02262252921725584,-0.31643790807358935,-0.05027058493935536,-0.04705632792687076,0.046885002117581426,0.08657523213910771,0.024175404267528382,0.24001162516671934,-0.07701717472274544,-0.22426380341907065,-0.036230006077584254
AR,0.8089936130134958,-0.17018720408475888,-0.4775809871098522,-0.06821594943627164,-0.05319227127969513,-0.18475612891860096,0.14745186754277892,0.05075113328736014,0.12160175769991251,-0.049271455013008926,-0.16574573397866366,-0.056576833029244884
AZ,0.9539431061042933,-0.08080024124836899,0.1005565350216931,0.08392202665473927,-0.025940006585360584,0.06541317024443898,0.03953960622645383,0.08423771981418975,-0.1652124956526721,0.09646408558740509,-0.12431616034775969,-0.10543907111639747
CA,-0.3345153449647434,0.07309711919174872,0.9293929238666351,-0.03249050908328245,-0.11256579312389099,0.06958747191567538,-0.058997283607294886,0.049895826977552606,-0.004497694833279002,0.126344967634559,-0.026135029740756533,0.06637835736038464
CO,0.05651995460575246,0.08986130962593494,0.45876397073499364,0.7969647627887401,0.09915857529214707,0.12065203353347287,-0.2574536749508683,-0.11772479156683886,-0.21707527395662907,0.023762602540446973,-0.0859270098992203,0.03793462908318249
CT,-0.6510135286227642,0.25574585295481694,0.31546630358401484,-0.1474240698422972,0.012817316768457076,0.09140029022875684,-0.18395042667230802,0.004865479357152148,-0.5573278315382316,-0.10100836211064258,0.14677135394739493,-0.051559547523156946
DC,0.1205311707434586,0.1111895459536913,0.4438667217779439,0.003709321755561751,-0.23352308516825868,0.8200033791767802,0.12791687778844096,0.11705499166525055,0.05828027992163151,0.13055581173000122,0.08855736237968533,-0.0031251905567365418
DE,-0.39384272920916413,0.7266425486320282,0.15953579545291285,-0.015986513155002095,-0.22614046030604745,0.11911377819830377,-0.0688813478409756,-0.15045072528244358,-0.2315089605413306,0.24612404331773485,0.18186745722858155,0.19077815356464153
FL,0.9641375870708307,0.10499713744187848,-0.14973038409552739,0.09926863431753527,-0.1177668320575016,-0.07720186649826,-0.02112010097106694,-0.11063465308841822,-0.10629898864771568,0.037321222235546646,0.03141809459277941,-0.018716073984920246
GA,0.9164102119919089,0.10517070526004986,-0.2908294642948257,0.03612244573333846,-0.022050746090217968,-0.01766366574509035,0.03062211969183395,0.1001543542935724,0.2183403502253757,-0.08057169615554213,-0.09359391425065731,0.089156095145188
HI,-0.034566008937106416,0.1528137026739206,0.27413023989012586,0.03438448937147911,-0.015866911590089128,-0.0841878117875224,-0.93020409527192,0.031567266005694324,-0.18950955067759687,0.06389366282800443,0.08137938094292904,0.0044897068334744635
IA,-0.6243184950296236,-0.5761957810887938,-0.06174056864012775,0.048675684423884605,-0.28325736109502964,0.09265950845069909,0.004161859934365589,-0.14619564415484906,0.13354256516631632,0.30909129638057464,0.013402770154317302,-0.2095316652719565
ID,0.7893570701080351,-0.324701557687802,-0.2031758751013414,0.10213618969801103,0.299700509824579,-0.062366529163976094,0.0892618226047033,-0.0689613450243868,0.09845329675556774,0.00503351766590358,-0.34837875759384906,-0.0020634479982474577
IL,-0.7068419853700493,0.036521398354980555,0.4838100239836355,-0.14947032261110033,-0.31438792822740436,0.24513888875662554,-0.09490526566886198,0.19545200895543816,-0.17466645346276177,0.08675972759002622,0.08932210661245349,0.00037247136733871704
IN,0.5217257501605848,-0.05771653868123941,-0.755306563657528,0.1668355818905594,0.046876632632695675,0.18575720362114953,-0.10609833199210492,-0.1510833481471131,-0.012588856316673041,0.1564025308893376,0.029095546278772453,0.20164352821825343
KS,0.1928073999763491,-0.19137178576008806,-0.1937092705850981,0.874617415780442,0.06520370926554424,-0.10038145640800221,0.15897637753059793,-0.17249188141738628,0.19403714713694906,0.10896555936313355,0.11527451274744487,-0.03844371853894503
KY,0.46307393851075085,-0.0008871149792309463,-0.8035610679534152,0.036203997548069494,0.12543467827187968,-0.1549404348174992,0.12320042099965778,-0.17809256747647445,0.2072425376317158,0.08200373476358504,-0.14367922776965716,-0.08191961693296396
LA,0.9155119801738693,-0.17269339873963732,-0.3016103125523919,-0.04127192140199897,0.006001742700451134,0.03337961327985172,0.0987677879084756,0.03471917902832586,-0.0625733412903652,-0.19481165181994742,0.005702300717750572,-0.043923327453714404
MA,-0.8895395781682776,0.03757926525295214,0.2187672436895288,-0.08080717889464661,0.10413087008779268,0.027096601521056644,0.07735841345823906,0.08107969966481796,-0.3257575687238719,-0.15210008080032567,0.08385402325365347,-0.07308812469722761
MD,-0.1609970456192749,0.3649527620831192,0.35587067802014755,0.18383735237905605,-0.15055785475672492,0.14152262935135987,-0.18048259344140546,0.19196832764731547,-0.2987432591632398,0.20032575975671746,0.6574179363228139,-0.022624979233177616
ME-AL,-0.7484080617434015,0.2259556159904874,0.1895254670387091,0.10016619710026343,-0.08954757197450644,-0.149954077092132,-0.06422005870663434,-0.2816106159565642,-0.3147791914945204,-0.10610567813730509,0.2612177143597824,-0.15181126624749952
MI,-0.7895027721255719,-0.028601699576510427,0.3945600136529604,-0.084430160846144,0.03586237247319121,-0.17774045536185895,-0.04744397243516913,-0.25613656520030326,0.18062685344238888,-0.009551850059500022,-0.23285575501249825,0.08899107443454665
MN,-0.6667888619710922,-0.455250553317125,0.1962448984010258,-0.00095890726887739,0.003613190031804268,0.027689591825182356,0.14586675528833642,-0.01128173619284699,0.46508239828334746,-0.15426962096031768,-0.13789621067597585,-0.13619273033133772
MO,0.3151737211327837,-0.19510450955654768,-0.839937512495618,0.1057122223563041,0.02033964684855496,-0.10617927151523104,0.03470331389000644,0.009282191342188044,0.17075421937872684,0.18860280835177373,-0.2572170218750703,0.08180931268810747
MS,0.9304494238124159,-0.01908978680371446,-0.22921436580614624,-0.09052466386262109,-0.08143594828640034,0.15145578144260502,0.04310740178854075,0.04478464644479912,0.068326441872467,-0.15627101387403747,-0.0008381112236381255,0.10125318391410075
MT,0.6335994893769323,-0.5039923539879663,-0.1808653323833927,0.10259723357529925,0.3127919005687839,0.012209647789227366,0.05757150382569131,-0.2526867994919531,0.1635145169914197,0.007057991352426738,-0.3123378088276616,-0.07074228278640701
NC,0.9037027036652745,0.18700228039249045,-0.30334541857020536,-0.07200212837644594,0.05631881755388147,-0.029612835179818362,-0.045302182944913956,0.06740325953112565,0.17634767912497318,0.13537682051555122,-0.034011537142354276,-0.009842852874296601
ND,0.26401258859216997,-0.9196946245511044,-0.15224179006733884,0.04389549732811422,0.0954522367328474,-0.14752806182144848,0.024276681212438134,0.03244136157983495,0.10131643323040368,-0.06938121334182037,-0.1331309079826897,0.12183880193605168
NE-AL,0.6598415850774866,-0.42955011176012936,-0.2195033652423518,0.5351575623071205,0.10045619095881217,0.041076357984002596,-0.1282630476669843,0.12437357649724556,-0.07581422279672027,0.0830217630445771,0.045078121229663634,0.05777842296565212
NH,-0.0848282854724361,0.3959457856680985,0.0941942171826219,0.03045164842003058,0.048384638970199616,-0.050226603449746714,-0.16564664803198448,-0.04355395028979922,-0.8802620763495741,0.06963051229820992,0.07463070429402825,0.018699771971128952
NJ,-0.6402947793115542,0.20504523143665324,0.43447251724460945,-0.25303263812593163,-0.12655931899918982,-0.062178855044814484,-0.1835725006625213,0.05481757875792954,-0.4086743780079094,0.008201989537822515,0.21701094263831047,-0.056120273586001565
NM,0.49758619153626166,0.15194863905149075,0.010038009786312793,0.2523524277099476,-0.12040403011069051,0.2466651948680597,-0.18621278133677857,0.24814520097174234,-0.326952056058341,0.6231912186558417,0.07491577458284313,-0.010884351659882786
NV,0.7344269326502596,-0.31615776126433126,0.35329110554532944,0.07381338438683432,0.032826897785515986,-0.12265897649379354,-0.1248517086587254,0.06513590803735794,-0.31319836784510935,0.09841446184035105,-0.10885093848918682,0.26364541808129816
NY,-0.7425943977760512,-0.008163046025125078,0.29205695055337105,-0.18372695285274782,-0.2559709194773982,0.06314156156735318,-0.17078464250766068,0.14066853000803994,-0.37520444005102505,-0.0040953290651142595,0.27973905794893966,-0.07415632489958417
OH,-0.2046976998556027,0.11181214023691882,-0.25955169500906755,0.22837503808545082,0.009348139071821256,-0.08642529165431878,0.028720579639685277,-0.8886014577771301,-0.0433424365360173,-0.03218991406172217,-0.07554064718682915,0.0052141200945198
OK,0.7623098720386139,-0.1456008687028902,-0.4831780072136038,0.16282112334987037,0.03514413744036965,-0.2093092119437413,0.024847484542306335,0.03762045273219894,0.2057818272316165,0.09639839621922502,-0.22218446298876146,-0.1112538283825192
OR,-0.3077405224286782,-0.13381219571048505,0.6104880423086405,0.20754202536701022,0.07470712566193574,0.11004662475304892,-0.03034718568335709,-0.13800508472412232,0.1009958772647596,0.5514951071077479,0.3342660249473521,0.055166393909232336
PA,-0.8258614733844791,0.19856108278099585,0.10915103797306933,-0.2750247250557787,0.055544623786310386,0.005037702141956086,0.08327974641390505,-0.3350373665132005,0.21773250385966744,0.05531196739266582,-0.09051670852219078,-0.03319583729698953
RI,-0.8516946844739159,0.05892835608497594,-0.07348679328782458,-0.2589601080993461,0.11891769157613619,-0.12338549682561006,-0.1128305192969533,0.026210287630731306,-0.295937453212951,-0.1267045726464314,0.08230702644785204,-0.18037605658779923
SC,0.9450053670075486,-0.07619943276956201,-0.2958868737384571,-0.018215555284288795,-0.0006054613291165769,0.07487670604994497,-0.006473124001013523,0.01933392384755095,-0.0646605865977113,-0.09346462645437266,0.06212889682046891,0.07048010301990253
SD,0.00029014558120678643,-0.7946196801549702,-0.3681430095863095,0.2753632869477553,0.06449874364545681,-0.0028732391664912354,0.24364000080487966,-0.06595250099627016,0.11272660904859368,0.12291654470074545,-0.10416383436816382,0.18557917478961142
TN,0.7402881961410439,-0.06987145641110505,-0.5711939422535028,-0.12180263949612638,-0.08540606528042624,-0.131004677341443,0.15418958624897927,-0.06705328067961568,0.24296516247810018,0.010840796695795126,-0.06993156753091,-0.05751127969537049
TX,0.9339019791564757,-0.08748993073918315,-0.24910871875036925,0.1113687901626752,0.17803329132329318,-0.11172630551421532,-0.04497144186479213,-0.005401077174944328,0.021402538871831165,0.05471857723691378,-0.021992016178554497,-0.12964340954162604
UT,0.8251179952526679,-0.08762400033300591,-0.1288442031197488,0.025721351592659335,0.412739429076723,-4.0901970803345624e-05,-0.0036456797604129,0.049524045336072235,-0.08126751185610871,-0.11734789025238135,-0.2915235738275729,-0.09125335190217083
VA,0.9166436596285518,0.1838094774866386,-0.14291887879106183,0.16023662967689378,-0.0038447737016250377,0.09379198458494994,-0.09632403219152352,0.013521668337844711,-0.16866097112695155,0.09800592300270518,0.2357489282284235,0.009655718531908457
VT,-0.7174110501714573,0.17765189796786918,0.4622663961806486,0.02955974891298077,-0.16484152782033584,0.06626427693082511,-0.14349307362090236,-0.02567560207054395,-0.27889395441040093,0.09831971011773413,0.30571498884250126,-0.075123040061726
WA,-0.26097386819087415,0.07806913004794006,0.8736133691973255,0.08110069598828995,-0.014278632776593402,-0.0033757268302995595,-0.12829454316709643,-0.08717343252378205,0.2255800254473308,0.22204329391580416,-0.17651513842532426,-0.1251555363325362
WI,-0.3960645217092426,-0.8024803637153449,0.19529291571241855,-0.09610268012385023,-0.07363947642384779,0.10476786322583267,-0.017606678846935016,0.17668343401820727,0.1448651620476538,0.05803616837361375,0.20476034962484008,-0.14250910087312768
WV,0.1408959832001413,-0.1375789108676532,-0.8252219549861102,-0.1263149786370778,0.06029510858336199,-0.2196796842284979,0.19946660929272236,-0.26336781279903304,0.23855155141342452,0.002967525452866749,-0.19364941347564937,-0.15335220902284247
WY,0.5688302025164327,-0.34939449546858437,-0.4386832345616238,0.1172064917347656,0.28524453489085777,-0.1705751218027835,0.1321534586054091,-0.18386037091327156,0.1575101024325864,-0.07017338359311355,-0.4094201573477362,-0.06280399618441854
