,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
AK,-0.0923127822430135,-0.10257356716241936,0.005528121059195079,0.09601340277661703,0.9725150770015846,-0.12944857023637854,0.004024818052286734,-0.004673944890108957,0.020297077445413363,-0.05779673755076969,0.10727837997710049,0.013645735994139117,0.03554749723105382
AL,0.8873653514122374,0.025958207577195462,-0.03501790818346744,-0.05203408695043423,-0.04661327645843995,0.04635322196033898,0.08321421661498535,0.03153290994692552,0.059838466169679756,-0.24338320615777134,0.3087442070413096,-0.005767292261124386,-0.23189449521132194
AR,0.8102930305918908,-0.16681096818311303,-0.014219340148733096,-0.06886526989948717,-0.052714877978007516,-0.18732786278872934,0.14821366576805253,0.04761276381336676,0.027902183473124998,-0.1746332089515796,0.4726839202225262,-0.05452456372282794,-0.12740764813243016
AZ,0.9514636830177748,-0.0781123228209166,0.0037195733965757027,0.08392221663555793,-0.026938458428969,0.06194506790785646,0.04405819608788692,0.07688843593563073,-0.12982728078531997,-0.1052911771247172,-0.10257930304208047,-0.1372934432310794,0.14945962911558222
CA,-0.33798632677147716,0.07359027053335722,0.05382561242397848,-0.03314947304924209,-0.11314377826983098,0.07176756810415147,-0.060729955338414764,0.05588379877923798,-0.10332253209591452,-0.006973306153023985,-0.9309674122700181,0.047086553528130425,0.010856140564489128
CO,0.05112436511425511,0.09069199009414593,0.10483796079929676,0.8018735161086624,0.09414880977541425,0.12178357472273516,-0.2504462786077288,-0.12749856039564827,-0.045157900586262775,-0.05941098097765129,-0.4521961623223697,-0.05220971332290916,0.20799662030584892
CT,-0.6556388923189322,0.2570804731361333,0.05748137142241577,-0.14056078451891404,0.007318423503341255,0.09486229974256168,-0.17783669894935183,-0.00232343399558017,0.07726218970798975,0.1746099326360047,-0.29655787885600143,-0.15351416129096881,0.5424108434682386
DC,0.11795288793018731,0.10947221040892292,-0.012802083667265462,0.003608769551164832,-0.2335700607580776,0.8185787356266419,0.12900080607902814,0.11679878192341767,-0.1359058608302208,0.10114024235426498,-0.44221510771221006,0.005082847110581849,-0.06323924520037343
DE,-0.3922668976846114,0.7141280118197619,0.017169889540305048,-0.0232986161590026,-0.22310642268900407,0.12016152742828562,-0.07652951049895003,-0.14067012023100595,-0.22224451995774627,0.18324891023269735,-0.16516589126674744,0.2570377692237217,0.2520366919112041
FL,0.9653418053545227,0.10408553996918331,-0.015154736474943819,0.09697623716352673,-0.11740936833934935,-0.07794611080130184,-0.021839948156392078,-0.10902540740133713,-0.04580248124152636,0.029406981867873723,0.1454559817543443,-0.0015097799318896593,0.10633670061885205
GA,0.9165590830966248,0.10979644635498373,0.06812530978021546,0.036666330911357695,-0.0228334456758205,-0.01692927004154051,0.02905610121479767,0.10164445063887045,0.06824331642196671,-0.1041954886852677,0.2881866564329244,0.0641478818895408,-0.216779685980092
HI,-0.03413134019038095,0.15214357530769135,0.0028996547041037894,0.03314665404436024,-0.014465632899374727,-0.08350164052872305,-0.9330953147545398,0.038382776233663596,-0.06798271440585635,0.0899921046433226,-0.27382436834393303,-0.004233130486785862,0.1923428357020425
IA,-0.6153366731978495,-0.5907081817010968,-0.29553172451869464,0.034802979692914446,-0.2722885714084816,0.0846752064606089,-0.0037005626617001453,-0.13297519033449892,-0.27686206848815065,-0.007884883722693503,0.0410662022640366,0.015478917411429406,-0.11678138223835055
ID,0.7890693275350795,-0.3196440583608328,0.057926085796519866,0.10118345410324786,0.2991179619516124,-0.0643219081043004,0.09037530829245885,-0.07287848836613149,-0.02602483902715442,-0.3479174223509202,0.19467669658844908,-0.04213403072250972,-0.10433237114754666
IL,-0.7105582109229692,0.03495555280410646,0.029314652343875102,-0.1478816308420515,-0.3150403959881081,0.2446971145119458,-0.09260033843936469,0.1916726011605939,-0.0921431744995261,0.1133037248939759,-0.4758195649942602,-0.03816008172386451,0.16482554453528592
IN,0.5224445567255885,-0.06242959798639492,0.11673493038483708,0.16326007208733953,0.049393104996834636,0.18164000941082314,-0.10563975222393591,-0.1637027375978005,-0.16757338854463832,0.029776546475889495,0.7496140010015196,0.1727915059486364,0.00041822680979796187
