,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
AK,-0.09010562882206181,-0.10551820615014433,0.003201177799569287,0.08958967364165166,0.9766703635768491,-0.1094743463245004,0.0048612388402433345,-0.012578259797199325,0.00945464159915227,0.012863069506567883,0.00488817665670735,0.07391753823081476,0.0329092106729209,0.13155959753275928
AL,0.889710548729638,0.01863983251728786,-0.041508535148095264,-0.068242182844561,-0.03280348433645173,-0.3018603818411615,0.08529995232077374,0.004011392340458517,0.05975876458723993,-0.15556376876208286,-0.0691423571793784,0.19891981269346962,-0.23480805476268718,-0.06019758278715477
AR,0.8101305159440431,-0.16656468218392428,-0.015137916780408637,-0.07187441490863704,-0.05620510353676688,-0.46810367589673463,0.1502101576236161,0.04701407349000471,-0.025174789083518268,-0.1020855996750208,-0.060646003898158385,0.15621052793402793,-0.12117616309688689,0.18719282066212736
AZ,0.9506879648643314,-0.08499052830809149,-0.00016846071963059044,0.08428071207620824,-0.025671904614500838,0.10418694484819868,0.041019217276146394,0.0715723395278139,-0.09673099035587587,-0.013480047720462943,-0.15712821400817253,0.08965434893002605,0.16114304596172344,-0.08258332173795084
CA,-0.33783179280653314,0.07536414606532846,0.06658576446937615,-0.02180671506670515,-0.11699142818164035,0.9195913767938345,-0.06624074259441756,0.06585113587402537,0.03870485340210271,0.1566635169631289,-0.04097744957340323,0.027309217505318305,0.009967035392116602,-0.08668315164509402
CO,0.0485884713431631,0.08725629739615272,0.09043542784565817,0.805555940721908,0.09322027653977094,0.45248255407849375,-0.25220090323735206,-0.13578716737117902,-0.03825359485471917,-0.023790324213725605,-0.033428624802442575,0.05366092465002052,0.20644787324467878,-0.1208572634597384
CT,-0.6620231208202538,0.24933878431429915,0.027568017564698066,-0.13703331132378088,0.007776017252107638,0.3180864234843253,-0.17296851879384156,-0.005951311435281265,-0.16978850995166705,-0.09402827525924788,0.06978770298531135,-0.17925112997053344,0.5247391682328417,-0.0699388219848897
DC,0.11901972745078093,0.10279789471896143,-0.009031670408207067,0.0018036687619567293,-0.21815595091354636,0.43314799681326005,0.12194634087143347,0.10492457688414246,0.00013513509773621966,0.08054106651649887,-0.02044504785319648,-0.1014939884471676,-0.05825238491011352,-0.8453808064275667
DE,-0.3885248305346672,0.7180602715516835,0.050179814809205484,-0.020564240000795774,-0.22121947244681353,0.14950032833225094,-0.08520410267564772,-0.1253406161560783,0.21144020120628945,0.2411470665762457,-0.008711679992175635,-0.16231643745581367,0.28062052111230745,-0.15043118330565847
FL,0.968013960329347,0.09574120325127225,-0.02019846802087964,0.08489979083059765,-0.10594792917629449,-0.14138986857248198,-0.021011707782100274,-0.12847648690862623,0.035416126561577645,-0.01971515374401468,-0.06831472444233277,-0.05037050378851538,0.11524026384365954,0.05684973315791434
