,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AK,-0.08963611970409832,-0.10107321672112596,0.004069684823966969,0.091944392661466,0.9795626776565752,-0.10968350329063942,0.005588173186744024,-0.009178388101008093,0.009506602848148544,0.011400195202386073,-0.0008939969365799032,0.07461169806094203,0.03239164250827601,0.1302232728635974,0.005402939085193935
AL,0.8881150019142378,0.02220735836001922,-0.035524317345376845,-0.0668988590869901,-0.03347873450167009,-0.30355305603299426,0.08503073485402307,0.005375772134146704,0.06941468253871187,-0.15402473872900244,-0.01709612252386767,0.20199120069509693,-0.23489119651772936,-0.062291669960785584,-0.06725501404351893
AR,0.8094965087750745,-0.16281030194983653,-0.006147291615559495,-0.07102498827698046,-0.0569433151653123,-0.46906721426328524,0.15017571697283338,0.04705130602438852,-0.014313711027241948,-0.10287797635085301,-0.03972619323159906,0.1588245473227389,-0.12178729876018676,0.1865735433609881,-0.058207802231965804
AZ,0.9517478462890393,-0.0820325002062998,0.00918818758862261,0.08293930925843272,-0.02810673004232228,0.10370064741984351,0.04019694522122582,0.06930885417363065,-0.0885661826259364,-0.010182364634564012,-0.038790111612181495,0.09236177816362263,0.1596566766384965,-0.08115423084885239,-0.1570877329221755
CA,-0.33789872099741197,0.0738956657911648,0.0736327775525336,-0.021532093966141246,-0.11713518296589005,0.9186714750261993,-0.06668976151226087,0.06747012301893199,0.039629110798662506,0.15875003098490684,-0.0023812765126410393,0.025004097291265785,0.00874743864897808,-0.08904308210500515,-0.03642359195530007
CO,0.049782397559182255,0.08928731807797209,0.08602158563863369,0.8048111164550921,0.09247190115402233,0.45270034008891713,-0.2529508461664809,-0.13667592388527985,-0.04866029560013006,-0.018404764878255223,0.03116922673650705,0.05226355868034011,0.2050900020346685,-0.12041528311878776,-0.03479542655161696
CT,-0.6608263818453184,0.24803883318216233,0.02847033995514384,-0.1368671834077315,0.010087317254173849,0.3198136825315307,-0.1726374047115254,-0.0048971929272124265,-0.16859729924243252,-0.09858608126874706,-0.024891276869136225,-0.18632498862235317,0.5231681004958744,-0.07063806002454844,0.06683994932794658
DC,0.11827721494622193,0.10014796515626433,-0.011921958809490672,0.0034202882837063957,-0.21360223360715994,0.43110558056954174,0.12165374922137419,0.10807375115840868,-0.000966263168971808,0.07845214076006081,0.0013723156609144111,-0.10717302502739817,-0.05955359557615871,-0.8503968964954067,-0.017766966584694243
DE,-0.38897652466451044,0.7137484802571539,0.03940849188660335,-0.02448433923828996,-0.22582164819402378,0.15042473541432477,-0.08582046695276035,-0.12897611121928326,0.18917723707448955,0.25058478330965345,0.09688410890887467,-0.16593387700710124,0.28043977631575256,-0.14768891013034025,-0.007207526286781179
FL,0.9670475491110069,0.09912993125683668,0.006597058000191313,0.08702322801374245,-0.10207407461567093,-0.14309735141906482,-0.02022923542208831,-0.12514097236223115,0.055913432147775645,-0.026480619534299383,-0.06320320543844639,-0.058761403906743434,0.11007306825748545,0.05038840122038084,-0.05857217679179653
GA,0.9166366750550908,0.11085340982996225,0.06279250603075232,0.031325585572874466,-0.017647708998287614,-0.2845202010737746,0.032149999185766776,0.09256269966625424,0.07881823052072445,-0.1096152364132262,0.027680707857951365,0.08517785659564406,-0.21414176843951904,0.01209701334141758,0.024718944942957677
