,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
AK,-0.0648552155794418,0.008453325000789777,0.11427998810561199,0.06600117465911105,-0.1936218295953875,-0.9467483275116079,-0.13062300990011183,0.1284359352400268,-0.02728668939417449,-0.03465209237514519,-0.1570443698628249,0.047794783611925226,-0.014383521076721134,0.003876650063582017,0.044273838662553154,-0.07177797919863545
AL,0.9281042475289946,0.04996939177059206,-0.04320870825588795,-0.06736744381450945,0.04485093473399534,0.05038446126487476,-0.2282256461065938,-0.012084484751574828,-0.0899593404940006,-0.047874732426791064,0.05348090764975066,-0.021449226850899707,0.019670950528844895,-0.063565975226492,-0.191159415877976,-0.2013355775494941
AR,0.8626709218551367,-0.009031996417723008,0.12390020029857098,-0.06249725457518943,0.20713478265251398,0.019838875258965164,-0.36925545564159457,-0.04075024051136221,-0.13350722130693093,-0.0271145735953367,-0.16374133162071663,-0.08400513246656577,0.04761952488706907,-0.024929878868164567,-0.10828627107745625,-0.12161287864136724
AZ,0.9393461239476009,0.015099292517026916,0.03781723982932397,0.09235513263010137,0.027043894817188097,-0.0025321315010664903,0.16523781714318533,-0.055219921231320954,-0.011066517759876385,0.13022790191793313,0.1116667638047291,-0.10856676135653483,0.11749783188180782,-0.009428944652698277,0.1897880292311489,-0.028177431864291173
CA,-0.40646337222121126,-0.008106658030702226,-0.06397313088004951,-0.014202321144930339,-0.14152352045461558,0.11379347843701139,0.889572178522354,0.0016310568660377652,0.07886006926025042,0.07282564409432624,0.10940523314991905,-0.07700148483971213,-0.05428233283465064,0.07977061378539162,0.02082980066743064,0.012718126518420277
CO,0.012966065824131975,0.10340515822880426,-0.08453556643148204,0.7935864070567568,-0.18083468261302654,-0.07187310838172484,0.4019384036885298,0.13753409974873523,0.25082481493587866,0.051980670488328946,0.12762679401427537,0.13097220656441347,0.06898977765225797,0.08678663316581815,0.2159789716585045,-0.04125111594871456
CT,-0.7245178598694012,0.05006118989872128,-0.24088429776543058,-0.13017862713243042,-0.07552577360348317,0.004134531722727828,0.20132958894957342,-0.015970986462946587,0.18889303970468843,-0.058069594517167214,0.08410298875958439,0.008170873979667197,0.1619340401136546,0.05020335764794116,0.5118445903944011,0.13270963983587727
DC,0.06818375222374073,0.018341013878459742,-0.07534538506986047,-0.018342379667577405,-0.28031640503657,0.2573313076518604,0.37330899175382465,-0.0047420269359562915,-0.12902712580437972,0.1411329162112762,0.8242429831125989,-0.06927018768386099,-0.0039388753187310326,-0.008666265528897628,-0.03014994254030299,0.09664934373874375
DE,-0.44620305164382645,0.12651269643921806,-0.6870871917123655,-0.04473674355945431,-0.06481358858483126,0.26187810405430195,0.11131458795758199,0.10540651673242976,0.05864520278704293,0.2323800697700976,0.09994163071237055,0.18626508130317362,-0.21322545541662752,0.0044128236352097535,0.22275246211485716,0.16605044438097066
FL,0.9609260404184663,-7.297468267627794e-05,-0.14413381140582568,0.10664521107409093,0.056809620379739634,0.09546291987715615,-0.07640453632638045,-0.10287992254299932,0.04543616998046777,0.048455218688725175,-0.04276782406597325,0.08489458876028003,-0.013596412161549647,-0.023542381340013838,0.1364087670983352,0.08857119306545762
GA,0.9455948430848597,0.09663416844615585,-0.11419526315269435,0.004604536957502007,-0.04977445188836419,0.0589106264484231,-0.23228760645887078,0.04240863575422378,-0.0393818272486011,-0.05367539939872517,-0.02670607882201509,-0.07107468695246344,-0.03747953582640107,0.04399205929201066,-0.16701980605780545,-0.07739931100397233
HI,-0.08573417773935246,0.04529120374670606,-0.1378910426694526,0.03122343793526399,-0.16112681851063998,0.04032456829963349,0.2220560295588713,0.02649700607003854,0.9337889988966872,0.07442707519674739,-0.09408336729073834,-0.014327345626382144,0.003708196387158422,-0.0014286259171547913,0.17678735109474952,0.07504608706189757
IA,-0.5863436449936918,-0.21679963318084058,0.5791664052431648,0.07006294391794822,0.24379897283858215,0.18749336471407788,-0.02041774896788088,-0.08097471814072278,0.024980536777022475,0.23810967374427733,0.11627437486255156,0.09024863307951554,-0.08959990250586321,-0.26297432772339685,-0.17066233628212568,-0.0004331625678557389
ID,0.8376281120606902,-0.04393751561716914,0.27922521699018393,0.10023793497334345,0.0954512077163679,-0.30551497796005406,-0.10428979177975824,0.04333615506783038,-0.07870793921774162,0.012003865393702169,-0.05333202557211255,0.051274725903233884,0.038575032029769016,0.06355449824936962,-0.06248124636829865,-0.2997215307621441
IL,-0.7653825595766851,0.03146647401443825,-0.021897121544848706,-0.1280693042543046,0.016423500957876945,0.28519734479884656,0.40340393700376165,0.028414874964238966,0.1046158761810643,0.08181653509981714,0.27712953640361987,-0.2152714732389365,0.04580276315744358,0.044933899399748144,0.1215155519791717,0.12093979683624634
