,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
AK,-0.06558556198842165,0.006631530123181772,0.11617824893439584,0.06408661084027394,-0.1937310243674786,-0.9466161983239278,-0.1354671226811636,0.128313745637402,-0.026197116697756515,-0.035338044804102006,-0.15807799173676898,0.04723637567582213,-0.01208820453242143,0.006061132576744544,0.044558223642976694,-0.0726816676109194,0.01264340736819538
AL,0.9275441361962116,0.0286418917540389,-0.03482881270288562,-0.07997237543467878,0.044867396422813344,0.040229801228253884,-0.2184346141130973,-0.008055373024597325,-0.08836988247625023,0.011008266087520395,0.05427615430232638,0.0017331113100598438,-0.04679805193750151,-0.061259231390737065,-0.20292788188258085,-0.1624872512452248,-0.1561728343864596
AR,0.8623153367915626,-0.013305242249243407,0.12770445225697774,-0.06751219755070309,0.20548512166943983,0.019613616975722673,-0.36506443576222913,-0.04015098157430067,-0.13430341542094704,0.001118736512442276,-0.1672691491834474,-0.07780586055702382,0.026066352876296023,-0.030908248438653176,-0.10930331718676188,-0.10310038842224946,-0.0918847703357299
AZ,0.939584484114342,0.02332877912806251,0.03967692098424151,0.10133346295938915,0.02697429961691441,0.0007731459739111619,0.16652802943203418,-0.05561088434637592,-0.013917901676885398,0.12748214196244376,0.10673189358024897,-0.11118226295700567,0.12925263881094398,-0.030221811380468457,0.1889604905259709,-0.03064392330526743,0.00415601319903796
CA,-0.4060127625310581,-0.00832482974151245,-0.06477901958662642,-0.006113088635024891,-0.1380302080270471,0.11120746399144356,0.8849927968133939,0.002929910438615437,0.08044753568337444,0.05564771706707941,0.11540788042290823,-0.07691599580603642,-0.03631141962115223,0.08197618192986746,0.012335772631371936,-0.0069677363491564715,0.11282448484056226
CO,0.01259588762752518,0.10500580994189099,-0.08466581589209203,0.8033650692143955,-0.1804739329873285,-0.07021419365425646,0.3997079255893484,0.13722640808943604,0.24501249673325876,0.05240987819546853,0.11906605529368597,0.13063242909415557,0.08253073960564959,0.07187401262099168,0.20932299404169347,-0.04208721225239894,-0.01341930821486271
CT,-0.7225304957529002,0.06313256593575203,-0.24091351053133317,-0.12127909820165766,-0.07624959192039805,0.007633256284390133,0.2160739314033937,-0.01703453712688923,0.18237182986564354,-0.056563980777858215,0.07210133652965095,0.004782820221694761,0.18257412432607178,0.0287983324329516,0.513948397258469,0.13182389356158244,-0.05000644072397625
DC,0.06802268015522504,0.015382631644421368,-0.07558142383672549,-0.01516925969275231,-0.27694120456290683,0.2514936689432578,0.3726726358763673,-0.0031306477914830933,-0.12628690132635195,0.12477556333730011,0.8318598863583049,-0.06571045882469773,0.00017247522324800182,-0.008605622816624317,-0.03409572483856194,0.09132083062668077,0.050981449453355525
DE,-0.444481293130115,0.14150374491057022,-0.6968813216410847,-0.03529642901314183,-0.06434268867340036,0.26712003092916103,0.09787004940207615,0.10174403148876011,0.062338926012965805,0.15837837084477172,0.111969355257902,0.16087272533358332,-0.15682926203480513,0.03204418884692016,0.2375495466157669,0.12032968455679115,0.21710942708741632
FL,0.9607397953487973,-0.0165975296104643,-0.13797269001750317,0.09792097615502775,0.05782908302107729,0.08717104278364411,-0.06997395928758217,-0.09977187383435358,0.04828020242658404,0.07831740927463833,-0.03713234075073717,0.10155673655231968,-0.06288373369365027,-0.014727311292459019,0.12745679155788628,0.10887370846683134,-0.03466969604890231
GA,0.9456177968349088,0.08625587953488748,-0.10947004294759388,-0.0011258074397359347,-0.05056586281008527,0.054960370291136984,-0.22733281520877457,0.04386548123277135,-0.03940788956912448,-0.025083789868949016,-0.026948825930734107,-0.06221255261763829,-0.05795035084465876,0.051021792328847716,-0.17087161847436355,-0.059989581127050315,-0.08789874786410204
HI,-0.08552736398638998,0.047697191494182924,-0.13656001777656135,0.034788411466111696,-0.16110684915017198,0.03945569120472257,0.2251705787938968,0.027309815262697913,0.9338948285229931,0.06967191019655371,-0.09225391775668247,-0.012928391014496722,0.0018813505154056291,0.000766003976241351,0.17596314696816162,0.07314001433404653,0.021782982569864492
IA,-0.5886310931556644,-0.19996765454234083,0.567821608035141,0.07589513976014359,0.24476795077804409,0.19614087215585618,-0.04676282935653885,-0.0843809442264558,0.031037916314092372,0.1640041220431057,0.1286942190289384,0.06851760948385063,-0.06401092766671511,-0.2560237311635726,-0.15721704618016463,-0.03836441107498043,0.2252521854622477
ID,0.8363604172064177,-0.04919270266042558,0.2839939335919208,0.09818343294667199,0.09568916207007845,-0.30730378863639596,-0.10557840994756758,0.04448241838376546,-0.07876699535955939,0.037668191871787694,-0.0558022438495948,0.05917675082803892,0.033338707808069475,0.054387296294999284,-0.06886061588624129,-0.2859035947140586,-0.06713237636764789
IL,-0.7647382266366521,0.03542014755286325,-0.0232956320656559,-0.1223417381680481,0.0173859253813122,0.2848335737629021,0.40836191059493526,0.029012204616973545,0.10341854867634992,0.07339424606623315,0.2773310302949256,-0.2155778413286734,0.05826543965618973,0.03715563284609413,0.11994208381971169,0.1150766963409617,0.029078740800820402
IN,0.5671056512220815,-0.001498498069266394,0.050489719823172546,0.12617629179066092,0.06155206215541967,-0.007623760315908666,-0.7303741758062913,0.12857091527741935,0.08423699389672712,0.16476315423883603,0.13261712648622992,0.1955742234722466,-0.10638791300617977,0.1421787847086275,0.021847348443614755,-0.007275859215137225,0.0640691336350336
KS,0.2289569552894402,-0.1307970378496261,0.19958965099618944,0.8461418725062188,-0.06291690686464399,-0.036979502274351254,-0.19094997401060668,0.12407038409353108,-0.17231477244561472,0.05769888625367285,-0.12631862463581617,0.1781993663006766,-0.08461946129270599,-0.07107720654986788,-0.16813733228251868,0.0942972744353951,0.09303080877012206
KY,0.547771716797007,-0.06900095033216093,-0.026395327379317154,0.02267868871582123,0.19182544272852248,-0.13592291441544424,-0.7104926624636341,0.0003014708835319121,-0.12808801193790598,0.05003334810331825,-0.17806955439109495,0.15528986736062403,-0.012464607805218011,-0.13535500407481252,-0.19087209210789935,-0.17089945587475494,0.05722606704246518
LA,0.9339761984898133,-0.04170229947796077,0.13035847341767764,-0.03723743387200219,0.09324492998687701,-0.024540114309587174,-0.23552759496825548,-0.032791886043905726,-0.07221292208667245,-0.15514223129802135,0.058389420493281614,-0.06963234208492537,0.04607873837231723,0.01640486930872716,0.09703149709899239,0.0635272966662904,-0.12591396398257648
MA,-0.9197190999680191,0.023347474811552752,0.004044178174565891,-0.08548735673993448,-0.11220715138259363,-0.08743561914961895,0.13435513122252005,-0.04741563089827854,-0.08979586652681808,-0.08311167358473184,-0.007006998616986113,-0.05013187231576356,0.018135562310032508,-0.08115663784007898,0.30971478016701876,0.023747749999688903,-0.10949962458556796
MD,-0.2531179165304568,0.0576819470401333,-0.3241035978244503,0.16330688245423688,-0.2577621194422207,0.17465539050092274,0.2384602383092804,0.07399083309231447,0.17482292867321989,0.17065259312387104,0.15245430498820522,-0.13414379678933744,0.026460596933109655,0.010336356063614998,0.2629923205678353,0.6889011385784256,0.13308410452095248
ME-01,0.00464488523772531,0.5566399351440833,-0.36241261580985906,-0.03879051452257139,-0.12083436251432597,-0.02153517704029258,0.41755128944762654,0.13115546991311433,0.43645141680710564,0.044948889313255254,0.08451591666385978,-0.17865178115283187,0.019422008824586532,0.05714988442937668,0.33973411042799334,0.13827228712346779,-0.05484855240698919
ME-02,-0.030765445191171397,0.3817837210566412,0.1219694148046211,-0.181341370574513,0.8176491949870364,0.15667184862614553,-0.19517806856405093,-0.0958065322054273,0.062140676081234365,-0.06731006462839155,-0.07774457536067249,0.23235393315204875,-0.04398468483297532,-0.0812264321074213,0.09308324985767394,-0.013727662969724372,0.018740808538626752
ME-AL,-0.7761781113332307,-0.01599864307757538,-0.21226878411336164,0.10293633726995567,0.11025042966835602,0.04220813645504556,0.15434088639230695,0.031413964656138646,0.08885615805033736,-0.15340406514613625,-0.11176622561252743,0.2192255223348128,-0.15118419184139104,-0.2566746259747274,0.3112051875781713,0.23774047082293592,-0.033057053518543315
MI,-0.782172995225472,0.1457417059284454,0.018958053457220323,-0.045712386175996086,0.18078228530368937,-0.13233467763505682,0.39988492633337996,-0.011934663772874042,0.05323744677906535,-0.07979195567362969,-0.09993197866086241,0.20244245648841408,-0.11106330462826766,0.004895867522329701,-0.23474799954272935,-0.19666096057316712,0.018037207457567966
MN,-0.6227054715027411,0.056939246934532804,0.5001195833509804,-0.02452944466786032,0.003536317239405218,0.007427326881863221,0.18805782281052164,0.08219058005263194,-0.1837156030499887,-0.1628299773436044,0.0035133576423292696,0.03949904450227732,-0.004269158274288884,-0.20093172675454032,-0.4352044187040238,-0.19036292936593374,-0.08141513761871827
MO,0.40607104350729195,0.06050536170129952,0.15008738126101373,0.11699569736824707,0.29522071665445926,-0.10166830945181693,-0.7563700294952919,-0.03678604742383729,-0.03115261905683219,0.165019800152174,-0.08267919316067623,-0.05151043843439445,-0.04904635250569514,0.013527190674525087,-0.2203785114044707,-0.23597384213048414,0.0836076557783427
MS,0.9447900088362753,-0.003231488206150493,-0.014945980176996174,-0.0949791617403197,0.022746588727846285,0.08493713007733475,-0.17836189666077695,-0.005722695774745866,-0.011712567925150274,-0.1828009487565824,0.17742608123515277,-0.09120742074291682,-0.07372311879339584,0.07286654891730517,-0.0018756314984341613,0.0064701952073770155,-0.029478285821066035
MT,0.6858825864071395,-0.13645108357129712,0.4636029804856376,0.10000099215425189,0.1433618968889954,-0.2894084213993602,-0.09033716594119987,0.14778808340772806,-0.05626402427230756,-0.014578198964191304,-0.008013525303132043,0.2328137722539108,0.10968588820697353,0.021512708444210497,-0.11609489768213262,-0.2834388214119551,-0.019641473592164064
NC,0.9263416264318814,0.02498241643714391,-0.18061808704875365,-0.12380957037965187,-0.08229383974236118,0.00020042193541054958,-0.2365506087552381,0.07896438031603852,0.0335965007763282,0.1573515313079682,-0.0606878935473618,-0.00623718743130449,-0.02063209398239036,-0.03719458492805641,-0.12372800974383152,-0.0169793235065367,0.02621611417256528
ND,0.3117516895542192,-0.008441726315107954,0.8916965944666768,0.05101473512843967,0.15727516098075933,-0.11733865960205629,-0.10212696272374581,-0.004957493431404517,-0.01822428322611188,-0.06390223569593413,-0.14285232443925072,-0.04174410794319272,-0.030526826253746687,0.1587853219676285,-0.08842610793997374,-0.12548133403707923,-0.033101618335795516
NE-01,0.027171679898983843,0.01176604332071427,0.0019110903047268525,0.1418574586036446,-0.05744663810619045,-0.10536819703111934,0.041780962728067306,0.9923327613797239,0.021973169266326587,0.025673851507930882,-0.005749197767264342,-0.06849476668012301,0.0015121609171906698,-0.002781654386421528,0.0025712708312422543,0.011093124783853013,0.03323766118485602
NE-02,0.02901853018314169,0.08622993392328006,-0.10453471400176467,0.09077889231001106,-0.838419123053383,-0.10994919421532148,0.21077197826800903,0.4446326426188725,0.16600400154844627,0.022631617615082575,0.08455413443739011,-0.0654702486207677,-0.0387627491850646,0.005991270264196646,0.009777778462289785,0.0705577702054632,0.03904419898886379
