,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
AK,-0.06524122067341874,0.004848309215188788,0.11607838804991695,0.061901355223121055,-0.19068186117730818,-0.9491073255882085,-0.1349394660362393,0.12855080186467285,-0.02378932130437885,-0.03364958059260979,-0.15665760209103102,0.051425775754214996,-0.013093439144719948,0.005206942600622157,0.04382047791213165,-0.0750985861504633,0.011948921787184364,-0.0005143846733598338
AL,0.9266468561142964,0.029631190667960154,-0.035874194815401064,-0.07821052289686073,0.04403398040709234,0.04211962420425718,-0.21961691485573542,-0.008157034156679859,-0.08983481363456429,0.01137577538928389,0.053626891494671,-0.001235858406335077,-0.043560188233975124,-0.057354131108894424,-0.20332367983728755,-0.1641713588945162,-0.15505238526693932,0.03809733085151544
AR,0.8621955668157466,-0.01407159444281262,0.12762706872712082,-0.06940925243187623,0.2064953119772981,0.017711205699343282,-0.36558123487764077,-0.04007872570491007,-0.13209200627928092,0.003711138187014083,-0.16647312637011144,-0.07239371048726129,0.017084172389654196,-0.038583386080949876,-0.11019397321728414,-0.1017226786366875,-0.09521694375276107,-0.03579297841436674
AZ,0.9409198236617143,0.019444845137256434,0.04073587450626139,0.09279734056586213,0.029803857433396752,-0.0043004839518623415,0.16787968040008927,-0.05498531886401415,-0.008158816230995654,0.12983723444591241,0.10872025449307304,-0.10024494570099102,0.11237480011633545,-0.045609474186781955,0.18747568994825473,-0.02751568625913924,-0.0010018457122858112,-0.08659808295590254
CA,-0.40526520746611405,-0.010500745187767136,-0.06412868578712048,-0.011177399799868728,-0.1359118807001087,0.10863113964042925,0.8857346661855227,0.0032438903842825556,0.08307548607853737,0.056001431798018336,0.1158509724867049,-0.0748846562293172,-0.040647857965127245,0.07687902078419676,0.010758339147755279,-0.004406802870652847,0.11171339797682837,-0.03624960732730074
CO,0.013486374619574776,0.10397839849377893,-0.08525685171283062,0.7989134929615782,-0.18046442655418238,-0.07068622563343308,0.403026161299524,0.13752138921236798,0.24748224188842677,0.05228846339115315,0.12118292539154381,0.136068490763604,0.07803574768184152,0.06546337866893412,0.2100109486659329,-0.04272823279089975,-0.01685943238313766,-0.053877997666744074
CT,-0.7231367317894349,0.06625679148530729,-0.24209125899834516,-0.11194676077229265,-0.08052420038901491,0.015156453876787618,0.2149826374280407,-0.01819177915802564,0.17377283190305098,-0.06138437280156165,0.06820027629978805,-0.011778231553726823,0.20141022328111938,0.0430928886720164,0.5164526775453457,0.12519904909033186,-0.04224424717378191,0.07285857767075697
DC,0.06873648281235975,0.013646622188539835,-0.07448017624353383,-0.017884612310305165,-0.27631986442342793,0.2506649185107285,0.37383493682845287,-0.0025266981103602587,-0.12573280415717142,0.12223990285196183,0.8319832207430495,-0.06635583142568056,0.0001412061718877731,-0.009458930259892799,-0.03398381374338256,0.09300385860541856,0.051944134227046704,-0.001512131598685801
DE,-0.4450087053125216,0.14486162895091026,-0.6978612665670084,-0.031238368575718736,-0.06837758633210717,0.2714139000080664,0.09768878070987659,0.10168650396224954,0.0582742592544245,0.15306412952437087,0.1108589785960168,0.1522588902590484,-0.14394081163492184,0.045327598684485375,0.23859827526081775,0.12069185721691025,0.22124572676091983,0.06320547428151393
FL,0.9605126655859602,-0.014541704567028019,-0.13980084015169697,0.10117359369472867,0.0564238957623277,0.09006869494112736,-0.07057044781386176,-0.09999941582064345,0.04559946750032457,0.07492604457993707,-0.0380665559066744,0.09670827158806804,-0.05269448667304001,-0.0027862936648050756,0.12719731520545918,0.10505268114668376,-0.031126969970517455,0.06291986743544001
GA,0.9443549945622041,0.08797885270328767,-0.1121403935762335,0.005572202630698647,-0.05284020866830346,0.05907336470904418,-0.22883184558508377,0.043332427136373794,-0.043987816921880994,-0.0274957956913858,-0.02846356064229684,-0.07095633312474263,-0.04866275240398586,0.05852513676368152,-0.1709130550687919,-0.06355484631168373,-0.08627915128644685,0.0426595936949016
HI,-0.08460787607289398,0.04491666969722376,-0.13605964001905477,0.029223556941942234,-0.1603186580323202,0.03693399326423757,0.2254096508599156,0.0275781044149845,0.9364384601531807,0.06787535641425457,-0.09128900286180479,-0.009660400090352713,0.0037831479061708195,0.00289479502589541,0.17500468516625495,0.0739406496395468,0.022753995080716877,0.005345654618543417
IA,-0.5892170487504746,-0.19187584553086334,0.5668290439584521,0.08736220729904477,0.2425893723833625,0.20378600425971113,-0.04919468519366381,-0.0862539402803554,0.02504591971982233,0.158447385815076,0.1265069956531308,0.05518962682343092,-0.050977169679749045,-0.23209593087530733,-0.1530811046823611,-0.04409324786068005,0.23645154515875846,0.133734271880985
ID,0.8348765153275294,-0.04345383993538722,0.28005038908600094,0.10854323141370958,0.09373245785850293,-0.2991754356861262,-0.10806765386809129,0.04311903028876168,-0.08606754373275424,0.034069179631511855,-0.058407164942807836,0.04412001112358058,0.04824282994193126,0.06977637097153036,-0.06774208134548194,-0.29596410330945216,-0.059927000707857496,0.07960585671316753
IL,-0.763921855668064,0.03335447154652239,-0.021738611498960968,-0.1252608186159834,0.01836646603337815,0.28268003799504726,0.4089273085616016,0.02889712916385649,0.10531256775167494,0.07316511216435907,0.27775581515982195,-0.21339077729015696,0.05267940984609874,0.030092173051842346,0.12025193968525029,0.11921987476536221,0.02800955609689925,-0.044280480328469436
IN,0.5678699484834016,-0.0025022236558215577,0.05048090584657482,0.12034588848069196,0.06243270867418051,-0.01124980357338839,-0.729006654774433,0.1299119040923135,0.08847709502117324,0.164055816989665,0.13545926397235458,0.20499069904080805,-0.11218625187396254,0.13833267249456238,0.02077310051052346,-0.004399636439373328,0.060737221440321364,-0.04346615327244258
KS,0.22860539218677042,-0.1269623606793636,0.19708312581323392,0.8541938365912188,-0.06372970090738109,-0.032809525750743314,-0.1895968692291936,0.12330124600796726,-0.1748567604120752,0.05469788050838393,-0.12525562051265,0.17480723877384782,-0.07797960766443839,-0.06019338154331604,-0.16554452294464847,0.08964709438877011,0.09520353805722306,0.04848593313218919
KY,0.5475383352784353,-0.06799627112436053,-0.02562612598926723,0.019610145499878683,0.19258518236922748,-0.13781535827964975,-0.7105772425491128,0.0007612300707671915,-0.12495814247898045,0.05272770017900333,-0.17615677362323517,0.16363834273699698,-0.021982455272546404,-0.1412532531625388,-0.1908506234154691,-0.16905518643890088,0.05481227117986651,-0.018125575740526867
LA,0.9332539583724732,-0.03910449173491527,0.12821369668902377,-0.03032362359510514,0.09176677089550049,-0.02021366873734315,-0.23687256374331253,-0.033640960289541604,-0.07751690879237803,-0.15852052736152658,0.05582674130834589,-0.07789210172821434,0.05673278477293708,0.025321083541371345,0.09724710769138085,0.05733927325653735,-0.1230684076084006,0.05043948410475504
MA,-0.9190704060738574,0.020096397707255933,0.0060346831801102304,-0.08885863738604573,-0.1115877646019901,-0.09004626665160263,0.13577731948300312,-0.04700097349816986,-0.08747757112314666,-0.07976738251297767,-0.006616559000106597,-0.04548859532066752,0.011947667799965154,-0.08559161645920987,0.3100508515286226,0.027347627696750264,-0.11187063326782488,-0.01775431924697274
MD,-0.2517518609647128,0.05458435146897113,-0.32360973957207156,0.16540216231851307,-0.2573351289988868,0.17296698183173742,0.239871338641852,0.07392492106399656,0.17473932520664825,0.16575228530138048,0.15314633298051963,-0.1354840439427413,0.03357866721991649,0.015257773554645623,0.2637838016851961,0.6899149065420768,0.1350050824109333,0.014308183960997454
ME-01,0.005581454224938955,0.5527235095719313,-0.36165834022808263,-0.04470197012804992,-0.12313055056532231,-0.02418790745064289,0.418564160623506,0.1314487093790537,0.4389475084449369,0.04517048092725343,0.08455833696529348,-0.1760539371039992,0.016665485506502386,0.05144243992648713,0.33898516411339485,0.14213137451980593,-0.05958122778100319,-0.03902238242914471
ME-02,-0.03199421358000394,0.3937296639265203,0.12070966931070154,-0.17304817961738375,0.8094994180250961,0.16630311114967125,-0.1983682876790306,-0.0976159773906717,0.05446536029860713,-0.07164934199044204,-0.0825200868540439,0.2188239503612565,-0.023982143663624604,-0.05888246166529411,0.09575702786339589,-0.020391480455950215,0.02560252508074307,0.12322951151959709
ME-AL,-0.7755644932934065,-0.014951177808646158,-0.21011415617277127,0.0998372491331772,0.109718121456452,0.04118998960445018,0.15586960637056307,0.0316146240570036,0.09057661388358261,-0.1527812892244621,-0.11190591994089433,0.22416114046952332,-0.14644450412687743,-0.2466711382112799,0.3117198019368903,0.23937749647876985,-0.032131639482347214,0.07577523572267247
MI,-0.7837980607463969,0.15337343763196956,0.01728428372192896,-0.03782208222960126,0.17645364444600978,-0.12428428133892111,0.397578495971836,-0.01318326987585342,0.046403486787532464,-0.0820233572445682,-0.10325936062327706,0.18745323408162287,-0.09087508505413347,0.02432977493024244,-0.23320734832890092,-0.20302212822437196,0.025478857171901383,0.11227069733130511
MN,-0.6220351213878018,0.05355121934450576,0.5040419546257044,-0.0340649383235596,0.005909802163958521,0.0009990371418833013,0.18943562586352036,0.08321889404106167,-0.17644849100582707,-0.154090478408706,0.005105409404117635,0.05235553921125716,-0.022558497784742077,-0.2156911069150265,-0.4358781679826044,-0.18412258816505833,-0.08791670863850647,-0.05469036036642046
MO,0.4051100412190946,0.06487123835313849,0.1480213940956394,0.12246076729450231,0.29344605476559604,-0.09831305431454428,-0.7579302375446593,-0.037771060118614974,-0.03280993611255601,0.1631885504817137,-0.08179568669630209,-0.05329185485331295,-0.05053713760833958,0.015500188956391745,-0.2184444697307229,-0.23700501820958556,0.08404812414489578,0.0012047975673024182
MS,0.9438357349205522,-0.0004285352013464891,-0.01744041314406668,-0.08893898322612194,0.020895131601705322,0.08905917064959587,-0.1797803059650526,-0.006352510061349155,-0.016984466507398894,-0.1874917312459585,0.17488762878941988,-0.09946328131999825,-0.0629220448359923,0.08179905875999027,-0.0023925060181986023,0.001989961126393248,-0.0278960475229093,0.04643527365669103
MT,0.6846596594979394,-0.1296309576847477,0.4606801143112403,0.10878983246458108,0.14176946187704637,-0.28146956233087084,-0.09264935496591606,0.1467382573820039,-0.06333082523322994,-0.01771654534543174,-0.011052188370328724,0.21819845356827736,0.1252654116043378,0.037171408735318906,-0.11491594574350178,-0.29502727812084534,-0.011017382813393132,0.08405951626199377
NC,0.9255681461147941,0.025905867990894692,-0.18230558798248783,-0.11898853556338779,-0.08333655067568856,0.0028631148190936587,-0.23833249837530404,0.07869660357097029,0.03063107877613106,0.15498232360636843,-0.061480306076367355,-0.013677401601712673,-0.013292109805523051,-0.029023237125627238,-0.1237594892673889,-0.01979686462728852,0.030125736517744243,0.05133114903288048
ND,0.3110624050747832,-0.004014304452948294,0.8881870182330367,0.06135547108533762,0.1553141206187569,-0.11145384303711925,-0.10435676023342162,-0.006227464472190188,-0.024366215169430248,-0.06726891541713353,-0.14573745687599554,-0.05511271212997244,-0.018500509242417296,0.17379502696463206,-0.0875616455520583,-0.13347962222804477,-0.028447307419144273,0.05224546086898106
NE-01,0.027198572532989105,0.011098354695002957,0.001460619920985365,0.1428680009339678,-0.05513337542112501,-0.10616937941363033,0.042214122463843276,0.9920913131083854,0.02275858535658667,0.025135681425176103,-0.00528449809859055,-0.07024312483778705,0.0010755643627346548,-0.004219089341832254,0.002598265104516659,0.010622966525694034,0.03337252327665643,-0.003550669803070353
NE-02,0.02899949180524022,0.08072630917028795,-0.10556117484085141,0.094396602492021,-0.8384560024251889,-0.11001030332865133,0.2115957388351459,0.4453387902961332,0.1639007464373208,0.021139533572933508,0.08406021157261756,-0.07399759032784016,-0.03256515520487653,0.011927438055649602,0.009592289111713568,0.06961448954886858,0.040315977725449446,0.02939597871841633
NE-03,-0.0119945382443034,-0.16939551347035095,0.1284464758959995,-0.0025231584764585707,0.9259203018384167,0.021353158605617553,-0.20220847783663487,0.23991092706884648,-0.10787699274653305,0.02000873780887004,-0.08062556562806426,0.04181874352981773,-0.021886214836122343,0.04686713664089817,-0.039588150771118644,-0.052991750126314636,-0.044776235783673006,-0.055494197255035314
NE-AL,0.6784514472612764,0.04486100899843646,0.42263938805406565,0.5133373508489525,-0.08041701326521582,-0.07814990992840198,-0.2133289370585676,0.061883977829851285,0.11924112152713148,0.10714595671942018,0.02451117543483333,-0.08912614737009654,0.004627694274743007,0.06517890646556777,0.09951719309010591,0.058700357319368256,0.03057548089449407,-0.03153284256079975
NH,-0.1480598627087437,0.07611982492136601,-0.4110860797277338,0.03550979907982798,0.04003498974131981,-0.061433930074980915,0.06540066193329737,0.013981556203902462,0.20348590536957278,0.11907107908561607,-0.035391944567897536,0.013163928021261193,-0.028736739023398458,-0.0037733046942148227,0.8647903081835189,0.09160083016630753,-0.01592477141694993,-0.017387759043655224
NJ,-0.7196318753079436,0.06902152055378787,-0.18890548089820505,-0.21630473312268067,-0.0494510863238874,0.10978248267913289,0.35567639897809983,-0.14759744195386154,0.17347612949004643,0.08394230002641709,-0.05879547417435167,-0.012843371956885395,0.20129093045203875,0.06378716879864611,0.32245613959413594,0.2580272280461768,-0.02937550723778861,-0.05588078566835406
NM,0.4571864841611968,0.007238218216179733,-0.14186658468091093,0.21776443470566287,-0.08772097164471879,0.1164805394987138,0.01132254216916403,0.08020852474726309,0.18964883510945574,0.6753012412619417,0.25500878523969867,-0.16688907979650347,-0.0017156474543324584,0.028659415422630688,0.27996610902878777,0.17748940564193105,0.16276349223022452,-0.003911564123992363
NV,0.6915677825946266,0.09257946659614924,0.26878914904322543,0.10044114086915425,0.02593558912052908,-0.06807581002997144,0.3952907955473096,-0.057928126052295914,0.148182669191722,0.18062889214167016,-0.06649649111157425,-0.059835369936207417,-0.03475511494457769,0.36884847757868205,0.2861965484865924,0.019585678711968677,-0.047350506268723454,0.008114541426809603
NY,-0.8046825201113128,-0.016815632105818903,0.009778038060991256,-0.13186292772777095,0.0392668908646003,0.2086044961911678,0.20462833399882802,-0.13191193973591017,0.18768490971060042,-0.006071362187433514,0.08973620697634593,-0.1717199011132753,0.1378727115927072,0.017826434506696357,0.29753791578036154,0.289276074142595,0.02395775847765616,-0.025709315299952653
OH,-0.17760843635504625,-0.026013883774321025,-0.1506151233329469,0.2665402964831633,0.29497672148333726,-0.07359530234381507,-0.2130568103110328,-0.12125467094958182,-0.02990132474257411,-0.0738331730994646,-0.06407428764190917,0.857064493659507,-0.004150274745473714,-0.010836457907079145,0.0008472080315674143,-0.07494625882546387,0.03890849707914177,-0.0032796365346519744
OK,0.8256005527708823,0.003155273778844945,0.1182601758023235,0.15152196951050387,0.12567866767791194,-0.0726918358558633,-0.37518059352351496,-0.043660084223950846,-0.022911629244526284,0.14580413128474015,-0.1970507223987152,-0.03349808981671885,0.0026812758067576584,-0.12478319691939202,-0.2025104949680773,-0.16250834009921578,-0.03621355242862774,-0.006919847285492585
OR,-0.35044706383190993,-0.03479953294121167,0.14978160568865168,0.21336904218078476,-0.16777847809200172,-0.01890579527829671,0.5333401191282972,0.13994813296444913,0.041333590349148665,0.2082597807515241,0.11576591261874693,0.09746513211920972,-0.012760119748879637,-0.009646866279883978,-0.03942263750100276,0.21860122163997692,0.6220521387830086,-0.008679522260759959
PA,-0.821365215990034,-0.14331910644656756,-0.20806098644398194,-0.22670717549398253,0.10755364125467039,-0.0596472966072496,0.08806893332979217,0.03717846865519159,-0.08997451217074913,-0.07219216541536978,0.00029179271456287944,0.2590366117491364,0.06464680888743962,0.00963239909590593,-0.25166678748118715,-0.1492031799376424,0.12700071586662554,0.13104668331893474
RI,-0.860978262273169,0.027568328711909444,-0.03925945611467551,-0.23566249698675634,0.062064758179524615,-0.16968860370469402,-0.11617699235885634,-0.09122779641097066,0.09991796723130997,-0.04205171485061989,-0.11930090700848751,-0.033352815697738396,0.05419431530019959,-0.13507402587173536,0.22356537018621084,0.08782018298535116,-0.16290871824052955,0.20694081016722393
