,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
AK,-0.06552960369828811,0.004891790013820161,0.11483889894431981,0.062244650538674104,-0.19055581275948158,-0.9503169795838294,-0.13586768561434712,0.126586857039514,-0.0233220677036213,-0.03761204159964982,-0.1559712577507975,0.04992364865514538,-0.013371666689399705,0.006023132200654736,0.044228250422334636,-0.075507984043377,0.01228198472758606,0.0004182941629537336,0.002217089732746921
AL,0.9256142101281992,0.031025775045823142,-0.03558401516294782,-0.07852048210125939,0.04279160436168485,0.043751367585516864,-0.22432867316826144,-0.00703471027745859,-0.08903072006482034,0.00018393205810613507,0.05712334347922213,-0.0012969240986926973,-0.04744214957287489,-0.040627693758198496,-0.2018643961599766,-0.16438599492942885,-0.15128520359132283,0.057592270427943036,0.027843844057063076
AR,0.8611083359085702,-0.01378603364708359,0.12937024741582975,-0.07103286587651031,0.2031786179889892,0.021606409191590258,-0.3717768391592198,-0.036397631743372696,-0.13137971831198794,-0.014064503167499144,-0.1595812296492634,-0.07052865112483946,0.010610253500739238,-0.01338008394412982,-0.10556239751301356,-0.09916841393449177,-0.0887756543526234,0.0034724509991502887,0.08642155646438927
AZ,0.9410833743370148,0.01968729045320204,0.04365456302145891,0.09119825926215973,0.027403963211604074,0.0003069807536923946,0.16341071560871478,-0.04966628183954736,-0.00825686697883736,0.12159635169771654,0.113647707607961,-0.09564321077964766,0.10305216303609346,-0.014347496329983611,0.1894690413956658,-0.02632260220103431,0.004287954825025459,-0.031059725796828138,0.1316519901369153
CA,-0.4037487562001761,-0.010179760113126659,-0.06527876797062572,-0.009694024150744489,-0.1327126583532556,0.10602030223362408,0.8883179222785408,0.0020354682243007814,0.0827848546460275,0.061995990832080426,0.11073027073826396,-0.07378807743884924,-0.03850813837784281,0.07205579705462309,0.004772978341617839,-0.008541522377359462,0.10956058199843394,-0.044312626722873893,-0.00786485170816546
CO,0.014324214775136283,0.1028835282910905,-0.08622417227359432,0.800660871816257,-0.17773907473730505,-0.07327384315304508,0.40394085292213405,0.1355681759328855,0.24668247043842187,0.06630800378397216,0.11660135938426669,0.13421852707167203,0.07998077014366603,0.053749758547355544,0.20460201000428843,-0.045399526927432474,-0.018688623439676054,-0.06726496506704574,-0.006928249788607371
CT,-0.721033927320972,0.0650343062791302,-0.24199058691759207,-0.11044473426636539,-0.07897963989601862,0.015646053087104077,0.22004992609505333,-0.017865864205731153,0.17351249309739603,-0.05173933709446868,0.06767128075779914,-0.012630210959695819,0.20496305668743334,0.03035786221923841,0.5185933332384949,0.12547540969784188,-0.041874188620493,0.04750725500198996,-0.06163704086198671
DC,0.06892611415148515,0.014740540524037116,-0.07245007881079898,-0.019138162431469097,-0.27711005453800835,0.25319349472127683,0.3764932979186764,0.00037378800389584866,-0.12643544773825507,0.1340321189841884,0.8309775642013996,-0.06287091224433315,1.7649937080989827e-05,-0.009159074312942952,-0.03480044990594499,0.09326940083065904,0.048750272695211094,-0.0009522936745920138,0.0012086706821664334
DE,-0.444872234549676,0.14465882441357905,-0.7001993124949294,-0.029897820838661122,-0.0641070958617426,0.2654654425980246,0.10455507166332739,0.09611902699139582,0.05656373038712085,0.18168665623036845,0.09977343753200955,0.1502980573484138,-0.13585400467845113,0.014741165974492388,0.2289473046292556,0.11827933684309853,0.20970857978183063,0.007975068299287921,-0.12478406341740897
FL,0.9605050835593143,-0.0144331420385497,-0.1388055884326612,0.10063192949534945,0.05602170696597345,0.09099773735667233,-0.07282514933001573,-0.09855371214592708,0.04515303444560628,0.07671195844823052,-0.03723847521835701,0.09819301464354582,-0.05356077499325887,0.008403582874370106,0.12547519259900802,0.1044794638570285,-0.03136988458821136,0.06477175966549005,-0.012088970659764997
