,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
AK,-0.06572435878590892,0.005675791994866146,0.1156949667944639,0.061955377261518,-0.19099989819100757,-0.9499985868032461,-0.1358780678660753,0.12658037842240147,-0.02366220938577307,-0.03738155900365182,-0.15675780628074973,0.05013429879364344,-0.013306622844658606,0.005752394897992606,0.04449069988108325,-0.07498489637413017,0.013096794938303331,0.0036715914261819735,0.002355509348737698,-0.005761141807502575
AL,0.9262198052468322,0.02494125526807737,-0.037552723685696204,-0.07850948762622231,0.04455104859809318,0.043653037913274476,-0.22319857333127258,-0.005100705245272855,-0.0864544310090107,0.00366977368228929,0.0549732593020566,-0.0014435996359655151,-0.04934220057936199,-0.04148949279468865,-0.20610824324219618,-0.16791300623803898,-0.14758426195843966,0.06617849262015808,0.037205649610786734,-0.0019518901372042954
AR,0.8604789866101532,-0.006269137124814443,0.13308722041761822,-0.07034273390671428,0.20098708913709767,0.02080762630083195,-0.37342252706139206,-0.03883630787939833,-0.1342260177674667,-0.017178145697709615,-0.15667938078899396,-0.06945890270345888,0.012090523969506533,-0.013463509062543488,-0.0986765959941684,-0.09192061694555717,-0.0970180615038691,-0.052423055174097434,0.08087081446032099,0.06266531882616602
AZ,0.9413161659409768,0.01374824624454214,0.04274799828691207,0.09017643794512013,0.028569704196341927,0.0010592559283029654,0.16392613447708237,-0.0476420515694676,-0.006873442130654951,0.12409778874869783,0.11135894088686123,-0.0962297697142811,0.10649841205610358,-0.017107343005639222,0.18483822836976402,-0.031207938014157995,0.010068774842717603,-0.0015456964279799918,0.1291653795882447,-0.07386001050544931
CA,-0.40321473233722527,-0.006291508617415654,-0.06542608789798418,-0.009537282239679068,-0.13300519357845175,0.10602701438326323,0.8883333624609888,0.0021529583328393884,0.0822528276278427,0.061129725634369594,0.11147152129693047,-0.07403819899067654,-0.03724034196568095,0.07253537310927946,0.006495930751422388,-0.00819179151934063,0.10953504141412933,-0.04754865441458082,-0.012719937524783443,-0.01052945580784899
CO,0.014201247665572576,0.11046771244921832,-0.08327095239828135,0.8006244198678055,-0.17928408011461064,-0.07331615762595622,0.4026138773579294,0.13417740839006098,0.24317490345124576,0.06403636275329197,0.1179864912141591,0.13482111637785565,0.08223997235917768,0.0532338590193903,0.2112858216441829,-0.04137665498488341,-0.020640910394470902,-0.06316015786419564,-0.017686588476217013,-0.021059461984479392
CT,-0.7208974273182165,0.05440261675552956,-0.24450186049965036,-0.1121705515410548,-0.07675844235007562,0.01704416449600531,0.2217318635414083,-0.015212629960650134,0.17533898365344586,-0.04752078985328653,0.0636234476725932,-0.013281607340191324,0.20423165421310216,0.029084429391987278,0.5085390532026431,0.11655551496252264,-0.03235069410209838,0.12558067966098643,-0.050775338030896365,-0.07324352415203923
DC,0.06879073112637954,0.017758054302897182,-0.0725579003433855,-0.018896117582891597,-0.27760260399988734,0.25266020664877015,0.37515501817515046,-0.000644298336387095,-0.1273019443893193,0.1324737621419791,0.8322118270534737,-0.06272525694559461,-1.2847933658718702e-06,-0.00890391226287841,-0.03323990831848163,0.0942035625635118,0.04889757023061013,-0.0025500212738080695,0.0012450578868285491,0.002383917498958408
DE,-0.4440659983648212,0.1369681918892339,-0.7024143158082397,-0.030416782231945647,-0.06180207357737606,0.26622830153070903,0.10528938513796285,0.09753961972351392,0.05753578093419458,0.1819638802438477,0.09770969309255786,0.14937119906473406,-0.13740270996359963,0.01470056782517969,0.22774590957107202,0.11118335090415787,0.21680961136485255,0.04747470763147563,-0.11822812060151672,-0.029005829696712608
FL,0.9607397253353647,-0.02065622542857316,-0.1394834074024353,0.09998839520748222,0.05714508085944606,0.0915165737934349,-0.07233507994807582,-0.09712034423348095,0.04665622949294317,0.07833027097073611,-0.038857741193386405,0.09746586279730524,-0.05542165335171298,0.008491288545897095,0.12337645213308701,0.10061889746766542,-0.02642384179259285,0.08203833421931772,0.0003550438526679995,-0.00433733794254406
GA,0.9435649413574726,0.09373754699671627,-0.11186544043932543,0.007048074411442883,-0.05238284653643611,0.055825535798631275,-0.23132138483336145,0.03885960015582076,-0.04593883816756033,-0.02391862268887805,-0.028982019483511496,-0.07277319465646977,-0.046107735224016975,0.046318575654108705,-0.16925214949770795,-0.06121577920267653,-0.0911726763989153,-0.007344016624207034,-0.06358112746431928,0.045730138397571174
HI,-0.08353296014383302,0.05037832574498748,-0.13575305433537793,0.029635396861735257,-0.1580474251501243,0.036570725165919755,0.22769668705084378,0.028101076405996777,0.9356507466631034,0.0757243343501967,-0.0939323948632869,-0.009750770357460015,0.004028250565591379,0.004207304271063608,0.17624911397909143,0.07306927503939036,0.021759567801200558,0.0062554500362216724,-0.0034988709074554474,-0.0016162150020870027
IA,-0.5911815735719231,-0.18469902491544068,0.5703450714169896,0.0866430282681671,0.23865053857164137,0.2026921693453732,-0.05025119355216903,-0.08826668099582069,0.02273031588060209,0.15610762737582262,0.128895618946915,0.05737622623679602,-0.05964227679119993,-0.2092318366442172,-0.1476802815761936,-0.03476249010677151,0.22104941030720945,0.05516123967005161,0.021424838390716728,0.19509512036351243
ID,0.8338959903389092,-0.041090510383328456,0.2781118693568879,0.1107367409559334,0.09518710657498565,-0.30524166267075825,-0.11012385998482747,0.03686566430249134,-0.08717755664556136,0.041326646551100625,-0.06319897783081395,0.04010733166767502,0.05242719380712722,0.05544667014131836,-0.07398930888146352,-0.2979836856594568,-0.06627227520331234,0.02329265779161803,-0.0791704515594384,0.06202790196403827
IL,-0.7626268267573412,0.03120128308894411,-0.02571745182506767,-0.12406450347709662,0.022904635197394968,0.27754551520845755,0.4172958283811058,0.024410201097060772,0.1038524723387751,0.0975347315210154,0.2666003287598072,-0.21607658972344662,0.05957958686629194,-2.261703240153078e-05,0.11001835403842387,0.1116109218598604,0.02246422488179633,-0.03829720262985384,-0.057868219060440707,-0.06411422464286727
IN,0.565178017072454,-0.005647850693943463,0.051456883740958345,0.11696723236750182,0.05943762878595773,-0.008287431534204921,-0.7316249679622895,0.1328650452556406,0.0884628254519914,0.16718694342066034,0.13643083455565297,0.20662637948844476,-0.1065686623961633,0.1354680473066782,0.020933190620552395,-0.0032928771565389494,0.0603769175734283,-0.03816695993030879,-0.02065621230247311,-0.0508204981576276
KS,0.2275996639570888,-0.13002885579769027,0.19787343763832285,0.8524237208229872,-0.06607888041767283,-0.03191510292579086,-0.19277770045210119,0.12530496829417995,-0.1735451323653224,0.0540206402145565,-0.12437585114997339,0.17556371252086103,-0.08294859967305004,-0.04635531153399795,-0.1662414431171042,0.09164943460167484,0.09514156026777382,0.04470058240674053,0.01911565020724087,0.03555488592350101
KY,0.5449617937144653,-0.06491520572028787,-0.02323015541472672,0.018708025722550866,0.18851859691394918,-0.13705511043403099,-0.7162803997027649,0.0002543144874475041,-0.12484249949684453,0.040011223681290536,-0.17095004156856528,0.1642223798351181,-0.028265501975067265,-0.12339687682813043,-0.1833847223861706,-0.16139199044318236,0.050168963971804204,-0.03538620393303034,0.07173493333203187,0.06937020685625613
