,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
AK,-0.06506910907141526,0.005550007884599694,0.11522021303279555,0.061963635872055105,-0.19075328030284677,-0.9502685797463226,-0.13544953691055361,0.1266233701750739,-0.023689656858488554,-0.039693066793871745,-0.15640070524774716,0.050126693621146565,-0.013277337451825666,0.0058312354227920095,0.04435975233740316,0.00504022458991862,0.013383434983596393,0.0031432868356940924,-0.0738837975248813,-0.0031650247706916314,-0.0005720921516014154
AL,0.926607419307019,0.0279803315882019,-0.0394278660103166,-0.07783025604829978,0.044529609241430325,0.04408643125913825,-0.22258110544460127,-0.00485924346241143,-0.08651072054087684,0.0070814104064068715,0.05280992124673415,7.605795732390054e-05,-0.054401646008507096,-0.03799597442719414,-0.2073353305048184,-0.006758900162527267,-0.14550513038729385,0.06848623656224344,-0.16985091473537953,-0.03323701360062288,-0.014965078098496344
AR,0.8606727437517112,-0.0014396118583348695,0.13102278758439379,-0.06961556846094238,0.20088800932695522,0.021419097617068835,-0.3726899014268507,-0.03857691429026533,-0.13443831193275407,-0.01147151109783379,-0.15928026449457353,-0.06739556760171424,0.004330500551061275,-0.008198990820451484,-0.10091547272697556,-0.06005932999192371,-0.09349692420706836,-0.03750044345532099,-0.09486545951935547,-0.034418682892126864,-0.0969052953097425
AZ,0.9408415627863254,0.013260860349220728,0.04320864408566071,0.08890795466833698,0.028245045538238304,0.0011361827600838367,0.16423034110899445,-0.0482064334481885,-0.0068766393495012425,0.12555036438048595,0.11177561701284344,-0.09736727416869848,0.10353287714894892,-0.01993269499221122,0.18693142548825162,0.04428664000078146,0.007675871133307748,-0.005513038591376462,-0.028486555160662896,-0.1416057921319736,-0.03542536038882302
CA,-0.4036528170759308,-0.008507725737209197,-0.06478011960052978,-0.010116169892291273,-0.13308861006873712,0.10590442085191278,0.8881642540038158,0.0019906820022402238,0.08213095410974608,0.05817169150776337,0.11225035162793182,-0.07509090247907071,-0.03227177974647779,0.06971803358833442,0.007748490661399611,0.011638562750430419,0.10600320821108929,-0.05761117830744876,-0.0068757337311096825,0.005243309160601182,0.02694069182541317
CO,0.013720793702832924,0.11063435170195429,-0.08227807888536982,0.7999749047252098,-0.17951057449152838,-0.07338103771789824,0.40277605659853516,0.13416414315951034,0.24309633319677648,0.06754626278383245,0.1181824544073753,0.13487828190670106,0.0858955506869792,0.0533645515354312,0.21206635306944943,0.02890116012948624,-0.021588361035588866,-0.05729372540757364,-0.04086653605182802,0.016053532605632855,-0.005883259402723706
CT,-0.722890741913499,0.06218765233678817,-0.24506814448055794,-0.11177846675448375,-0.07733584732790465,0.017761370150131368,0.22148958396577645,-0.014624119955259121,0.17421633333490355,-0.03258990383629477,0.059364413152694154,-0.00983995143230368,0.19766087866988855,0.04057048404092671,0.5007134469255409,0.07967863253073341,-0.029292917986460314,0.16806889423501714,0.1105914886008775,0.036293010610902475,-0.031307254707991894
DC,0.06797347095579656,0.017577385149393394,-0.07184098083097665,-0.0200049196043134,-0.2780091036118059,0.25289973160914603,0.3750224661072396,-0.0009116368197937268,-0.1278612993081426,0.13905458355776543,0.8315360966822051,-0.06303203308310174,-9.104979434512757e-05,-0.009578201876251032,-0.03353012755609271,-0.002640109077738246,0.04611898908664217,-0.0019543590318608374,0.09411669375757145,-0.0010421532519182706,8.899824063327018e-05
DE,-0.44436442435457224,0.1242249439824952,-0.6972744791011232,-0.03212990563668458,-0.06169255487459719,0.2652958549686741,0.10416992414512913,0.09683218803503596,0.05803621669689714,0.16775865249594404,0.1035541000001702,0.1453122552284085,-0.11952821863339366,-0.001599525463580535,0.23737430754730757,0.018922699406059573,0.20957416837061205,-0.008459835927874396,0.11949796509881239,0.04719708749891593,0.2062684037290688
FL,0.9604765696612959,-0.02287991421491814,-0.13840910984123286,0.099137567577867,0.05687608128695452,0.09173168593686493,-0.07240445571321662,-0.09758780612325892,0.0469770086456827,0.07733490567038384,-0.03754755014131851,0.09595972022853433,-0.05427062547634732,0.005875293237769553,0.12712638653873526,-0.007912516517762404,-0.029029014757693716,0.0644650396094156,0.10380551458491784,-0.020902401774448784,0.051887580945066236
GA,0.9444519286513914,0.08879191171058523,-0.11150186183631706,0.006895881338613297,-0.052114910642646076,0.05573011842901475,-0.23208050237854355,0.03833030886336601,-0.04498380551815956,-0.03136068845248916,-0.02558150934030398,-0.07569340233019711,-0.03884732758184978,0.04033652894323056,-0.16348888224590113,-0.040023221408130666,-0.09095263950772432,-0.030707004661431343,-0.056661591022134424,0.05241897371756715,0.0709321471065154
HI,-0.08448697025705408,0.051419371363826544,-0.1350693043778104,0.02897277820294853,-0.15826599667189292,0.03654109055410035,0.22764919946156456,0.02809244637171153,0.9352705403677254,0.0793759087389439,-0.09433638197809134,-0.009637855752318734,0.003678806294565431,0.004580188078921886,0.1763902047570103,0.0017568112532378888,0.020567784331329882,0.006512318869157673,0.07289305551876721,0.0023433603044414435,0.003700436927794626
IA,-0.5907656133838475,-0.1860549698515297,0.5715557241793123,0.08580376787322022,0.2386154776114033,0.20165708497508883,-0.048574417544840945,-0.08826607024114072,0.02209236480627689,0.156299976291919,0.12722406410759846,0.05865496767081458,-0.06411327012186784,-0.21228240241256824,-0.14930417675860586,-0.19919729200067476,0.2144261173160825,0.03952139564205867,-0.0343185572151215,0.02113459745788508,-0.01003060840127932
ID,0.8349472064898411,-0.04406542055559301,0.2778810888973799,0.11023996675850764,0.09543204904606097,-0.3058692027359053,-0.10962544001642259,0.036536879922198985,-0.08668488020127309,0.03614376248311522,-0.06218453424739741,0.03909047770731527,0.05919560146368784,0.051842662033492734,-0.07203332886584168,-0.054347575751236624,-0.06798563254843674,0.010952705738417199,-0.29443584515097637,0.07119708059632908,0.055032533460684395
IL,-0.763635990166647,0.030714991832365476,-0.024785747379364183,-0.12483261446059303,0.022783426616534364,0.2774170541457183,0.4165359370143465,0.02418895537893996,0.10333731380652846,0.09837462468762662,0.2664211843195473,-0.2163112589747437,0.06385918685354132,-0.0008703860181401181,0.1087433513063549,0.07509098332663011,0.020583567237550147,-0.030105285016827642,0.11056197170730526,0.0388760783473433,0.019527629913942697
IN,0.5650861528049156,-0.00763647303012885,0.05280769515383767,0.11605211939797319,0.05938471227737303,-0.008649570269122803,-0.7309589735040898,0.13289116918906088,0.08820605376140642,0.17008793618623236,0.13592763408889233,0.20763074358960004,-0.09975960653227633,0.13202976028402352,0.02151516678797527,0.051144986658525945,0.05968072341185696,-0.048826808356809956,-0.0030816048814515788,-0.0003116785096104762,0.04227394888895836
KS,0.22789847741879346,-0.12823861866718284,0.19785861542758731,0.8527171225492701,-0.06606659452096747,-0.031984633022711886,-0.19116738684690465,0.12574188841377917,-0.17368030765794878,0.060442723980152185,-0.12656685185924707,0.17795645050002484,-0.08710313284107406,-0.04388274249653224,-0.16779315665074146,-0.0379369626715992,0.09375912713693835,0.04471627885145717,0.09016573409242441,-0.006205834490129592,-0.012786746455493062
KY,0.5462432238730112,-0.06805542305105587,-0.022909148130821937,0.01878346054174318,0.18888388718763396,-0.13755642317970487,-0.7153723809290474,0.00022182105895013346,-0.12434367700229641,0.03382852859701975,-0.16965409477208354,0.16391271467487753,-0.029419175072806513,-0.12941400847179396,-0.17974765479546595,-0.08226429882277012,0.049609769678449205,-0.05359508821940066,-0.15825432528634284,-0.05293086745434396,-0.014765345283139343
LA,0.9334649662003058,-0.045062202860788984,0.12518506949275818,-0.030199963751447602,0.09247307610700857,-0.018098181053393624,-0.2373254906135221,-0.031271281683739514,-0.07448170264014102,-0.1388692168065645,0.055006416004538754,-0.07983179034574263,0.05439029243618144,0.023395140979651622,0.08924367356594547,0.06115907578251291,-0.10929419805134698,0.10612328434042273,0.05054723664488002,0.03821079859614318,-0.020596966228865327
MA,-0.9185243082425809,0.017934298936983114,0.006620122000619487,-0.08949938358416118,-0.11230348792206059,-0.08517573079400732,0.13775440139727577,-0.042636771300975554,-0.08667011303211339,-0.0851309897853283,-0.0049770657045340545,-0.04349338996287966,0.0014241328899740869,-0.06640384302849867,0.30784685492666714,0.04813736203734487,-0.10031967249711082,0.06303542418658674,0.021351470451068947,-0.05340734446713781,-0.05065881903898742
MD,-0.2531840785397909,0.06002356012208951,-0.3163502240535632,0.16108431245941174,-0.25951315612214143,0.17515462302617085,0.24292101174923306,0.07338148570278041,0.1684529808342695,0.18490334679812578,0.152070713344542,-0.13169252578303042,0.03166644722032998,0.012489071769176017,0.27007475329596814,-0.007719600133525053,0.12173401122944767,0.0031204072622142216,0.6948147506949205,0.007180459351488841,0.0129781822033463
ME-01,0.005088642693676832,0.5661082471864572,-0.3539246030290405,-0.044748291005946905,-0.12308474391604642,-0.019576726594438876,0.4148286145686569,0.1320294144421367,0.43001160079577333,0.04311490620536427,0.08974526597719588,-0.17164009071563946,0.013898278033800837,0.06412559998275782,0.3536195519282645,0.0056945384456948776,-0.05553889608530021,-0.027242772804963483,0.14726064304767958,-0.02838619464685808,-0.011851355108101359
ME-02,-0.03194773575400866,0.3804664509928424,0.11609699815272714,-0.1691502299622602,0.8178775725922325,0.16012505774344718,-0.1949795282848972,-0.10331139334101397,0.05246047157977892,-0.047490784747395744,-0.09329870797671759,0.21386201065752164,-0.019718384045863686,-0.08588777778885347,0.08369416154254088,0.0154506865224873,0.027248184530139892,0.11716060469293255,-0.031436015886810935,0.09986943783858397,0.06631977903782932
ME-AL,-0.7740649096971792,-0.020469221090261207,-0.20726837016857677,0.10125356715581536,0.11121156608824408,0.04169783385136545,0.15897339353654424,0.030839409214724087,0.09060421502688923,-0.14877618114811567,-0.10965099726389774,0.22055089297456154,-0.15798150402367037,-0.24010619380373,0.3178148111825873,-0.025206868632457555,-0.03215983349824488,0.08407316902731198,0.23876880349062177,0.011788685985427741,0.00698713401993869
MI,-0.7808266930702402,0.13991829500980352,0.01843675492722259,-0.03669829926908994,0.17854660937669783,-0.12239748604418908,0.39308434843800394,-0.008558000015533633,0.050845807239923456,-0.12999007807759014,-0.09022270308864612,0.18329842057720447,-0.08832458835769717,0.035208990656246046,-0.2208896200939841,-0.09878866204205004,0.029825677959107295,0.041814561138175915,-0.1932563327713785,-0.05728272234675809,0.14782000141785626
MN,-0.6205181217487288,0.05962557234692435,0.5024282733442389,-0.031234231446071212,0.005430020328153257,0.0014861043387043053,0.18718248013391348,0.0836644466273168,-0.17460004963897252,-0.1823715414835362,0.011740151744911371,0.052282872905234375,-0.03812308714448483,-0.19865899507115245,-0.4302624051623488,-0.04025623109297047,-0.0860679987686146,-0.04141844092646447,-0.18070328833008184,-0.06381517189208011,-0.06831307179964285
MO,0.402535271118077,0.0640966617802482,0.1520117611471439,0.11871804384900102,0.2873602614974587,-0.09235408283404227,-0.7658619496582041,-0.03100684581884286,-0.032582544830214326,0.1381502411372169,-0.07309446742871714,-0.046734800946633896,-0.05850645935222706,0.050453343643682716,-0.2091833157766002,-0.07776696011643182,0.08834849997760592,-0.01651187243265833,-0.22734305957530543,-0.08926811365573442,-0.0037263623919664727
MS,0.9439176672645612,-0.0033778732389146333,-0.020917167661326962,-0.08786461307156761,0.02181913293949018,0.09158559563286317,-0.18029455578691175,-0.003237773838125128,-0.013993963332147594,-0.1604617005996598,0.1739166060587409,-0.09966474398539725,-0.06087856775047894,0.07702640566185046,-0.009455392243328765,0.06713438976193181,-0.012052974530544679,0.08350857304054139,-0.0051507152390556045,0.07706992235437954,-0.01436089024246558
MT,0.685188044692185,-0.13127657068690657,0.4595183405573404,0.11068122818952768,0.14292205370052674,-0.28917092316214105,-0.09409576517185346,0.1392758028905786,-0.06325348261349244,-0.01953137606719864,-0.011435226584746489,0.21087460321154847,0.13890950556064505,0.009089349761431052,-0.11591883666504016,-0.08013172773037151,-0.024983145663608226,-0.007972666955511349,-0.2879879926414776,0.08085464489419979,0.06418396433947118
NC,0.9236459481302882,0.0411943948289771,-0.18046448474273818,-0.11821357580160431,-0.08477366890577698,-0.0011627139971652684,-0.24001400167437395,0.07215827303488051,0.02533100861911364,0.1617287015833311,-0.06552046550408755,-0.010912184503022495,-0.01584565320680499,-0.02927045560991211,-0.11947953658041728,-0.10572396002652863,0.0142848445052625,-0.027058715165005867,-0.014796347404117375,0.0620384725152931,-0.017538307562406003
ND,0.3108298935016555,-0.004938236654182896,0.8907722706234062,0.05991999622300065,0.1523700804418714,-0.11013062817930094,-0.10959338839089128,-0.00508041239782035,-0.02480215258914734,-0.08558650499125015,-0.13687449744795074,-0.05613379607204492,-0.007031977290557246,0.17471488924130282,-0.08428782100776994,-0.03696243910799368,-0.028271697409529874,-0.002704563816905848,-0.12578602829324398,0.0376097863783428,0.04952779907420266
NE-01,0.027194709340650797,0.012653669292014332,0.0026063835355618977,0.14127306778442383,-0.05675220479217959,-0.10428137851715134,0.0412047091680087,0.9952164813594918,0.022543496634648146,0.026941907223761396,-0.004111617783315942,-0.06825970214040052,0.0006746196103163343,-0.0027077449148164,0.004255104544717907,-0.0024682983635967264,0.03249258446612827,-0.003175082499223345,0.012040886599940685,-0.00554953994025529,-0.0011979192819155844
NE-02,0.029220971293007745,0.0875395835971247,-0.10798246028655299,0.09505209417080893,-0.8349509780201969,-0.11434368126818498,0.21725846643032212,0.4403810115519037,0.16238936208918028,0.04494731240353066,0.07481866010341076,-0.07486982234333621,-0.02421769643740576,-0.01631414473612568,0.002835615958676245,0.028694415857918324,0.03385625176618546,0.01131689443789709,0.0643807830539781,0.08325536832833912,0.03678976822852484
NE-03,-0.012345657230679454,-0.17446145270456276,0.12826954409252345,-0.002432946154413074,0.9240784397336399,0.01968998714341633,-0.2047077700433254,0.2395066727709964,-0.10777545382731389,0.014756379610816486,-0.07944813648403679,0.0394565901972677,-0.016996486290428502,0.046119242105100024,-0.03855390245355354,0.006711762077365573,-0.04901761950195393,-0.0705627503797868,-0.051360429077084026,-0.0051442840661731154,-0.017500081332821858
NE-AL,0.6782241181551942,0.028526547066286916,0.42518430578922367,0.508481214257733,-0.08005364361702945,-0.07808801546970794,-0.2147974416982902,0.06320683239681754,0.12057834522761988,0.1088121903018173,0.026665642090430666,-0.09394168641158848,0.018017109501889495,0.05025172193445407,0.09912838712786234,0.060558263263125515,0.03079115002299331,-0.025165993045178796,0.062201119810172324,-0.05633868572638991,0.10263175733690483
NH,-0.1493698463401731,0.0787060939422878,-0.4002587553354279,0.032791161311591537,0.03693263524129612,-0.058729005918454355,0.06501860315783885,0.012549280573924397,0.19567980070254842,0.12649907382538994,-0.032105361268409766,0.01415695631054468,-0.0239324247408965,0.003175060890505611,0.8764260333391619,-0.00394300501575797,-0.021196401590417514,-0.021579530819375345,0.09697738836446515,-0.007447718098683386,0.0032158018331071877
NJ,-0.7192032229409219,0.06427131283728386,-0.18843149258500863,-0.21846231474839556,-0.047704072637247866,0.11214940340657031,0.3593411011874549,-0.14476619641107397,0.1730207193431535,0.08018179359681583,-0.06107514114679639,-0.011860366886058403,0.20207178592324834,0.06206247228920763,0.317932458994851,0.07340971846002993,-0.027146832116197974,0.011030272995650512,0.2529515221157165,-0.07023375008976096,0.0013828531333838203
NM,0.4526366614543197,0.012793354899137688,-0.14128634751629068,0.21164493958441777,-0.08686445270625882,0.11093255561542034,0.01815539531326541,0.07562068388873372,0.18131110729066352,0.7177348488472989,0.22948610277466885,-0.15814989972545487,4.1379269960415965e-05,0.02961461780470293,0.2595241100577899,0.0018377036620329087,0.13806310569322114,-0.004101701434886168,0.16364003357042095,-0.004640939865642342,0.001796479083288294
NV,0.6897860297236177,0.10474216452647367,0.2755534529148504,0.09670684041104328,0.020515814250390632,-0.06078547718580821,0.387966753206593,-0.05139127630754181,0.14235602281078397,0.169470729692748,-0.06120525416530982,-0.049986939551854466,-0.027024215102219664,0.4022824084391052,0.28919416798505854,-0.0069193907072694055,-0.04387702059110395,-0.006410512567039466,0.021254419756866656,0.002955772978170725,-0.006329309412654026
NY,-0.8050042434247893,-0.016496792561829617,0.009277019565281883,-0.13265450842223447,0.04052623343892408,0.2085531211531494,0.21086276083949743,-0.13242515216747916,0.1857467583921542,0.017650657828170137,0.08328717828495645,-0.1712015548644292,0.13860364766903294,0.006187026519842225,0.2889513948992537,0.07038925294043694,0.02365039791983824,0.028108423842330598,0.2824467914261657,0.02276409783936341,-0.040899240283661244
OH,-0.1773987417238427,-0.0306028248411718,-0.14990375045507176,0.2684675591641338,0.2950316269518427,-0.07260554166277777,-0.21501554636742973,-0.11938872593807595,-0.02791821852794337,-0.0841616400706873,-0.06021472763761587,0.856931234657014,-0.0036571737189910886,-0.011159884314944864,0.005273750051678363,-0.0013523072560142247,0.03964232779628958,-0.0032482473580366634,-0.07292185027587512,3.376720907177374e-05,0.001446866040732134
OK,0.8247317265333046,0.0018995101540734203,0.12177230541594501,0.14798263976044254,0.12074501192267313,-0.06605074362405491,-0.38365444970197,-0.03575188648729714,-0.02055802270609312,0.11065894682048133,-0.18710944551871325,-0.028373988328049195,-0.01768903549192599,-0.07445278265838368,-0.19268164591624581,-0.08585816498025552,-0.030224637756270958,0.010752591911046813,-0.15462803903297437,-0.16045224312398274,-0.027543003837329386
OR,-0.35125437736932136,-0.03768372296259491,0.15018985814146463,0.2101435197346962,-0.16651118122762032,-0.019579918340935306,0.5384544421468961,0.14298605747676332,0.04038964339149948,0.23623410414880963,0.10649583671168784,0.10540859386645966,-0.012357922834704825,-0.011455194287137075,-0.050828979242744834,-0.007856795363080071,0.6115838518433356,-0.010274740459895614,0.215526475877711,-0.0021185352741553863,0.00326462699782312
PA,-0.8208016796423263,-0.13458582731699859,-0.2019121131431563,-0.2259175183003377,0.10082936085311597,-0.054016790409192064,0.08135913439464564,0.042787058197332126,-0.0889497862876376,-0.11769380671636019,0.018869728324108995,0.26346283872746834,0.055053460413582306,0.04068178869621727,-0.22977298053451725,-0.21630273695775626,0.12148595502993981,0.02433039400578767,-0.12812904275502962,-0.01171409170304875,0.012613510659256704
RI,-0.8605595091173783,0.021352315271588256,-0.040257877693748556,-0.236520022726905,0.06237525624484546,-0.16471510294424063,-0.11421625822078588,-0.08548591114889208,0.10258259318254782,-0.052122886395229176,-0.11867143660159991,-0.03167617723689545,0.03260542025814981,-0.10239453665600118,0.21920102650181034,-0.07075418889797055,-0.15235769850793285,0.24700003377301347,0.08171979315249002,-0.022306047387657867,0.010261612804435133
SC,0.9548461149124499,-0.011434381802498651,0.04805786609716365,-0.02800120145123847,-0.02469691204173231,0.040811728997346086,-0.2566908621735614,-0.012016044151951734,0.025572910241802155,-0.08972491408512483,0.06211658642484041,-0.0411584872631705,-0.012515834474036393,0.052282223506868716,0.13725620637726277,0.04951633761512051,0.02951596470411986,0.009071029622563169,0.030451394494734302,0.08615663572301009,-0.055593034514565286
SD,0.07501438374510194,-0.04911346334626993,0.7810690792110683,0.25089883981760347,0.16808044672358585,-0.09379322562711008,-0.3281899106547689,0.01802364747884049,-0.22105913567710728,0.02917625734814585,0.002182597565824004,0.03639095498214768,-0.28358610093148323,0.03235308044701759,-0.06972202258239245,0.06944331145380692,0.1576895571309442,-0.02294115338990258,-0.19605654904033823,-0.014714681317039324,0.02778062187333276
