,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
AK,-0.06511935340874433,0.005803317715485002,0.11493152907780513,0.06194897382041061,-0.19064885549003585,-0.9502879589983084,-0.13560394096948347,0.1266706792098978,-0.023879656166424616,-0.03912480433323466,-0.15677744612609257,0.0500588847971521,-0.01279126047670228,0.005713217815270458,0.04414582186806771,0.00321476543913968,0.013218272112548057,0.0033599134189051705,-0.07389851837009388,-0.0032684648070234077,0.0019269516193967456,-0.002754489972699429
AL,0.9264233155753371,0.029181051577820482,-0.04083335225251752,-0.0771873686161314,0.04544465072856662,0.04380688851226921,-0.2224772841027307,-0.005542329485544524,-0.08596832100462865,0.007912962826210816,0.0525204956722567,-0.002099588620945832,-0.052755259965598086,-0.035319154555325194,-0.20853479080097992,-0.01888537597355348,-0.14285571192662702,0.07641133981879616,-0.17051147024242025,-0.010700864082199014,-0.025929198253487436,-0.028483555656169616
AR,0.8608608417899349,-0.0042993641406252545,0.1322769142841629,-0.07082286568917535,0.20025645036847364,0.021051313197905454,-0.37163223687441066,-0.0378266786121593,-0.134903113926833,-0.009813406044029712,-0.15900785125161318,-0.06475116983715919,0.014484407835316609,-0.008287730099416486,-0.1001640021319665,-0.08159539153681782,-0.10098246150267907,-0.03993050690890625,-0.09311626729394547,-0.0585864273548515,-0.057201337721882316,0.029380957444532473
AZ,0.9411259315255261,0.013476922310993122,0.04446207312234206,0.0891802058279856,0.02759970597040521,0.0008970805387824736,0.1646878027014175,-0.04762273575524465,-0.0074336790986992375,0.12562725816456596,0.1120586641897684,-0.09587566703856604,0.11033146395727139,-0.022666124910646922,0.1878659701796242,-0.017399522296078385,0.0035643568715251032,-0.017709967726706768,-0.027892041521030364,-0.0908726522372245,-0.0132752369329621,-0.11192517542022408
CA,-0.4034672139859077,-0.009659123751094581,-0.06360781344548894,-0.009966999709826223,-0.1340118232751911,0.10593339670521369,0.8881303618324373,0.002743027290815572,0.08184022430875627,0.05834913412850437,0.11306863454445075,-0.0732373604085973,-0.03272282039927983,0.06781425197857038,0.008890525776512568,0.012488035891074924,0.10524304899218499,-0.06265483819086373,-0.0056413601189908005,-0.011336132588530118,0.038981627386901106,0.00902937370465987
CO,0.013460217500109653,0.11382339942791393,-0.08367443184391024,0.8018604796418564,-0.17862354634017422,-0.07331117114476604,0.40158132037062866,0.13333103361640591,0.242803100571072,0.06632767426388103,0.11717828446541574,0.13286055192585294,0.0776057878937773,0.053390722789513186,0.20976308916797234,0.03020776732306013,-0.01512471829813932,-0.055713348759025956,-0.041547791958472,0.04041502384237925,-0.030425613366482675,-0.014986509247156145
CT,-0.7228075284250786,0.06138521788421668,-0.24212635298428387,-0.11217042684922815,-0.07902835366778105,0.017902324122541637,0.22265374419073272,-0.013385809449666181,0.173153885209039,-0.031839871310497335,0.05970152515123178,-0.006011725505221198,0.2140912140944835,0.0372180682971673,0.5022130420324009,0.09145463857373136,-0.03603810789698875,0.14638469253855152,0.11194333862664026,-0.04053389900164948,0.0051492158254468155,0.026906445184988872
DC,0.06801033024320716,0.01793919503535689,-0.07152594150198142,-0.019238522373607125,-0.2780924393944688,0.2527508496625812,0.37441506505423944,-0.0007720586978363236,-0.12763174159277804,0.13670289520738946,0.8322878832448963,-0.06351231823325174,-3.4936886192564854e-06,-0.009405915219764763,-0.033093198023689596,-0.00203648753822584,0.04893891864387695,-0.002124839132688932,0.09383935778030009,-8.382551091792504e-05,-0.0022369457931281345,-0.000767690390558028
DE,-0.4445058232047269,0.1265672788750199,-0.6991472230398397,-0.031435331899364836,-0.06115105238388424,0.26634398465276937,0.10260449664278848,0.09564791546517953,0.05879042983460609,0.16401968308337095,0.10373899391163223,0.14154439597090718,-0.14038537741296503,-0.0024522350774217327,0.23815202895994603,0.05700081729775542,0.2179229516344591,0.0011599898145908689,0.1179281065562881,0.10712546546204545,0.14704392582268178,-0.026635949396345924
FL,0.960445382492873,-0.021972935470227627,-0.1388058533675931,0.09927359999577157,0.05689726769813925,0.09197589965671248,-0.07262475013700721,-0.09778629518584081,0.0470672131866448,0.07614718542305647,-0.037328355863116745,0.09488684882126847,-0.057193903450277986,0.007055435327231939,0.12760413425551143,-0.006737430720961398,-0.025458589062157914,0.07053761474145907,0.10328488364740929,0.01741427904955675,0.03386267342891205,-0.03242812024744708
GA,0.9443471428121514,0.08769334423699343,-0.11167184298629236,0.006300340809176305,-0.052307794287539476,0.05592118022157232,-0.23174329714850533,0.03848267587217396,-0.0452204714352543,-0.03046028585410852,-0.02564992316654528,-0.0749709250364061,-0.04738208743358566,0.03915435463087981,-0.16322088864905557,-0.010571552243946175,-0.09325109065833785,-0.026405135772815058,-0.05505936033354358,0.06182379424775501,0.06269299117105688,0.03973232320292394
HI,-0.08448379287653654,0.05265926567396653,-0.1346283009552341,0.03004704279212583,-0.15853385275192433,0.03672528035948957,0.22744725500643145,0.028057014533266412,0.9351839175833875,0.07829965226676297,-0.09429139437956019,-0.009916497891433838,0.004015076191378489,0.004680760684531591,0.17710888077197853,0.002682153939995269,0.021490316943281844,0.0060800547530465675,0.07293441086539065,-0.00030131948703476205,0.003934819956818294,0.0017738406676900767
IA,-0.5905061829270339,-0.19037098084786114,0.5714222011438181,0.08509205939069699,0.23864511867264157,0.2018305037483065,-0.04986000997572782,-0.08803279716696197,0.022675335810689853,0.15320692370500938,0.12856343755068236,0.058769545403810616,-0.061915357209350486,-0.20884193195412015,-0.14811578823369967,-0.1751388476497828,0.21712616999727868,0.050067624407637366,-0.03523830682648878,0.035663266235400844,0.01105473360314822,0.08682955973331227
ID,0.8347623775107844,-0.044123409094224096,0.2766072216861357,0.11052356734881011,0.09588852784349276,-0.30585716005131935,-0.10980293426735353,0.03637018118961807,-0.08654233295672219,0.0367363158746994,-0.06221262301445499,0.0382517809795873,0.0498945843431172,0.05196085373332801,-0.07276862171245864,-0.014310632571503676,-0.06667052139390196,0.014494393620875939,-0.2942138649087437,0.0947559047157921,0.04129140292171025,0.04698905544305003
IL,-0.7633809208732404,0.02915111070289574,-0.02233605513395432,-0.1252937794361556,0.021337301657554163,0.2775345510191071,0.4173333043577432,0.025447316353842005,0.10265037698825498,0.09918347529491879,0.26715371569916313,-0.21227282472682352,0.06550889260472029,-0.005242639315033188,0.11056120808135488,0.08458997344716489,0.01526657074046977,-0.04420850127847784,0.1129473281597363,-0.016553191685828934,0.03675998293419272,0.021563443845131283
IN,0.5653802631569639,-0.008061793946725354,0.05262237189657808,0.11528247019853491,0.058996200086174386,-0.008471006895316758,-0.7313389129609367,0.13316917063588127,0.08798952484991275,0.168451165560145,0.13613388899926168,0.20785409301365837,-0.10190018414979087,0.1306709801444406,0.022980249873179447,0.050512245828748296,0.057946298374700285,-0.0505626805274949,-0.003074956263977922,-0.012606204335312303,0.03618571482532397,-0.016579171564803954
KS,0.2282753805400872,-0.1322865793865231,0.19839807624972702,0.8509922121758415,-0.06671716494442925,-0.031803649784435166,-0.19195413545134465,0.12660919285511119,-0.174525413596586,0.059677503528089426,-0.1263613675967122,0.1805922077582076,-0.07911758772764994,-0.043764677626345304,-0.1668661612798794,-0.038614504442504714,0.09283248320270607,0.04446960942801748,0.09151664215510216,-0.03618518389767024,0.012915464841780244,0.03063696262868904
KY,0.54680832942083,-0.07414412469966551,-0.02101322005264937,0.015777365297284733,0.1871284943849316,-0.13750341167493904,-0.7144411787634856,0.0017929287975587212,-0.1251574676343868,0.035310267989758365,-0.16898060935389278,0.16884490280372697,-0.02291273880303307,-0.13232966537636895,-0.176842935493615,-0.10172072684293032,0.037584595804538524,-0.05973567054481824,-0.15499658303137367,-0.054085449957202235,0.033119511889522016,0.01738735902015264
LA,0.9334877287125395,-0.045957493548057296,0.12673727074054925,-0.03110604934674967,0.09153483071787293,-0.018268360813850058,-0.23614719484984364,-0.030343427187033287,-0.0752421245537058,-0.1380515048030577,0.05491945094231368,-0.07696111219305932,0.06454993742383384,0.021841575338952028,0.08994978559424366,0.07398834397630552,-0.11611339094113493,0.095967846365115,0.051629016796271715,-0.02573117394623514,-0.0011999899232428498,0.02816837737661604
MA,-0.9189702243796788,0.02246042673655545,0.005237853791480604,-0.08743680197394148,-0.11078024713932244,-0.08544935027769848,0.1375468333094051,-0.04391202511574948,-0.086059433942942,-0.08537199934697248,-0.0058178992805905565,-0.047388504544240526,0.002705422605019391,-0.06262499532386286,0.3050179632927149,0.020926896681775897,-0.09312546649976769,0.07061461336993938,0.018261901818085534,-0.022920615969959476,-0.08001119445040888,-0.07017304706354495
MD,-0.25305337107369863,0.060618915108176644,-0.31482143751124736,0.16100399840196378,-0.26002939681900356,0.17576327056104907,0.24212807600667904,0.07354636114307465,0.1682115985399888,0.18147755614656663,0.15278462942148696,-0.13138701878572345,0.030709237018888946,0.01199509986302162,0.2719574540616404,-0.0021231710739236407,0.1270927902185629,0.0029052950963679076,0.6948019581824237,0.01025145363469118,0.008467297744583553,0.0037359228104794193
ME-01,0.004735528778070187,0.5692921848854993,-0.35376601760291276,-0.042597378759939145,-0.12278355154238238,-0.019271470016548654,0.41453375015505034,0.13112778306613262,0.42963934336762005,0.04253224062029523,0.08904385770362597,-0.17291336296419277,0.012802267094792767,0.06354562512543406,0.3523984270228245,-0.011891911219283539,-0.05277644462496475,-0.02526925147294632,0.14669803097073675,-0.011399334662312618,-0.014467604057817206,-0.021423334578486084
