,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
AK,-0.0649336040303031,0.005132678214781061,0.11582734969879321,0.06070812621143627,-0.19042580017642433,-0.9512351526778234,-0.13462629475385343,0.12815685820723,-0.02427993467490277,-0.03811927598476268,-0.15639857578617258,0.051840607777197775,-0.011132585799248423,0.005700958057138936,0.04444673561295588,0.0013461186154969597,0.012580696450550592,0.0030918200210603305,-0.07396444212533243,-0.0003372684479281825,0.003205577725564105,0.0016850647186530965,-0.004594280259625222
AL,0.9260371030748379,0.029347440950463193,-0.04079777266081529,-0.07606143940801086,0.0454100722457422,0.044149707364014794,-0.2233852921322649,-0.0062404819917400356,-0.08576510124430163,0.00768344274997175,0.05253321433021626,-0.00359878646238716,-0.052751656618315185,-0.028293469121803663,-0.20890286448734574,-0.02627371154973398,-0.14224633552465665,0.08100980510478968,-0.17027655301665512,-0.03254895970097462,0.0014925927620294305,-0.02308666621696178,-0.004731916895975836
AR,0.860507846541529,-0.004822710322478621,0.13276439362594156,-0.07044802374418516,0.20006052695723114,0.021165201972638343,-0.3719580080528703,-0.03817569956876069,-0.1349985345828409,-0.009536282986539623,-0.15906740300904276,-0.06474930654366129,0.01587969920392729,-0.007903293701326902,-0.10016409707616357,-0.08633427079593953,-0.10237471234100722,-0.03459661284225232,-0.09231782993476802,0.004447985641438389,-0.07270125041608501,-0.03843852262193075,-0.022898344802449743
AZ,0.9412249622204137,0.012510093457441666,0.044841170096063754,0.08942352668481279,0.028175677741035902,0.0008128749644182924,0.16427245818262956,-0.04761057736022488,-0.0069781376183463955,0.1235432856704697,0.11255658751480643,-0.09649246321952604,0.11785974277777389,-0.017935798172569378,0.1876299339960648,-0.06614083000953776,0.005092268679073683,-0.01644482049675204,-0.02839254877277285,-0.10821717092214454,0.034967150589802966,-0.00900368303686139,-0.05126161575757711
CA,-0.40352203780372514,-0.0099804478790004,-0.0647426746489888,-0.008376418916767582,-0.13280091157492802,0.1065744019843294,0.8863727143996173,0.0020677846987552677,0.08294501818589252,0.057017086779667304,0.113847960414809,-0.07614081619320164,-0.03337149485545514,0.0722828202987548,0.007204253431625434,0.010246983584952315,0.11298264627241834,-0.062248634728305705,-0.00784131094954442,-0.00991331875647436,-0.009853254291892799,0.04251924287447983,-0.005546941876332596
CO,0.013722042409959261,0.11367513196083402,-0.08268620788828329,0.8006229197402255,-0.17856443836433855,-0.07354942005084604,0.4019741188874316,0.13405262373347412,0.24384868478937835,0.06668018751169291,0.11759893896357665,0.13483219190618564,0.07448946982594379,0.05198843737029835,0.21001267497567336,0.02385189305127854,-0.014997436465363237,-0.06061389870141728,-0.04149668252912216,0.002370900596065402,0.02734000268514253,-0.037916235303412565,0.03712198095492944
CT,-0.7224465730096,0.0615962484531857,-0.24269409156002858,-0.11225890507178837,-0.07888077310310924,0.017943313399192813,0.2243880793238412,-0.013689420206378547,0.17306017952164224,-0.03266054621364275,0.05892157351105123,-0.006688221454739499,0.22269687217390857,0.03697850504498311,0.5011475367537406,0.09408496391047705,-0.03673147499768874,0.13661631700162677,0.11194562199218012,-0.021755837253304565,-0.026695516844629452,0.00909087637686003,-0.016571453535986328
DC,0.06847158595271143,0.017325383928848942,-0.07213068171983966,-0.019460136403504493,-0.277417968511006,0.2522412169986716,0.3744736956639977,1.2749414642573355e-05,-0.12744420216672916,0.1349559502331049,0.8329262038751689,-0.06400675228818747,0.00040053038061849475,-0.010683062212000204,-0.03292685537322153,-0.0011189308221350037,0.051256888110539835,-0.002621454778503152,0.09318452670443306,0.0007951444611037903,0.0010419415905279414,-0.0028186261821685084,-0.001199303394077505
DE,-0.4438582123377665,0.12741682635237764,-0.6990218763561631,-0.03180475076604555,-0.06154970735065632,0.2664803289288319,0.101990909314448,0.09581620853677578,0.058838572174835346,0.16189651690126658,0.10408552661636407,0.14178804526115163,-0.14781869019196917,-0.003032945656661577,0.24071306394593367,0.07658449879125773,0.21858573278389948,-0.0017287717888212466,0.1157534136677,0.033917651461477995,0.11177897292317805,0.11774274933033553,0.03945731953885372
FL,0.9606361547260237,-0.021919736782507148,-0.13780039066046104,0.09896598257030227,0.05676992471252723,0.09183636202599355,-0.07254377654884302,-0.09738070637715379,0.04700668982091168,0.07530927842604301,-0.03696840867871746,0.09547508540122146,-0.05760005178778095,0.011202043835213647,0.12824553919666867,-0.0063324679779022345,-0.02406565881827463,0.07277476042418013,0.10248226844229619,-0.007294528780034943,0.03907866669886349,0.027429635480482172,0.0026333293527747883
GA,0.9450076454343599,0.08667992429428717,-0.10968974454818857,0.0035822661818497564,-0.052652731195875734,0.053908963605764026,-0.22920645718283095,0.041235193682309754,-0.04657252427165501,-0.025761828631625072,-0.025901504414944987,-0.06901916915736069,-0.05050467446984949,0.02802147853804822,-0.16184239838423398,0.013333458331073593,-0.10057062406712551,-0.0310474675717292,-0.054230405125666084,0.09112750000375343,0.029808719044204,0.050660039925581705,0.018987454850334637
HI,-0.08435033151638657,0.051689305947543146,-0.13465984062691558,0.02939216796076477,-0.15851875322370906,0.03703143013224221,0.2270620092072691,0.027835659629738857,0.935479109316839,0.07712716101766656,-0.09424622695329275,-0.010699290102726008,0.0036005701483983587,0.005676902899903337,0.17743460128319488,0.0034464168935184236,0.02274758361812972,0.006090919030417324,0.07264085747906053,0.0004897713326966537,0.00014381167425754008,0.003675658953990625,-0.0015493988725256008
