,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
AK,-0.06423397365028365,0.004953642258989137,0.11609195584910836,0.061056606530215794,-0.18996336463333202,-0.9525779080589863,-0.13391944097669756,0.12785966608681315,-0.023906623558665904,-0.03817149939604658,-0.15639436815744498,0.0524825968351532,-0.011133852724719895,0.006019955658619845,0.04524884679088247,0.0010708268432311281,0.011649402626186281,0.002631017937837511,-0.07462398312589377,-0.0024045206716801263,0.004035663679269309,0.0005583960384218963,-0.0050896427069479005,-0.0017245911813140932
AL,0.9265692412692502,0.023843961801183672,-0.04070769540778326,-0.07578868524447935,0.04590690667454508,0.043388929663188414,-0.22211368274063675,-0.006225561148477824,-0.08500575271590223,0.00803150388750208,0.05286089358858688,-0.00266514538932451,-0.054804736649200825,-0.02728979565685841,-0.20718361931912085,-0.017367536145387132,-0.14455685185998113,0.08165384376655388,-0.16993489839794282,-0.03794250217804127,0.0024165683862073712,-0.021997299844654917,-0.011768758624258056,0.017265946861590234
AR,0.8610661666217451,-0.007853976544766458,0.13278492354825058,-0.07015733906894377,0.2003453518692432,0.020771856167273988,-0.3704793341897784,-0.038179935665258374,-0.13456964589990247,-0.008581167603058028,-0.1593669154261915,-0.06423120582415646,0.008765056097429759,-0.009599097030824217,-0.0990333650802886,-0.0778901661166694,-0.10463806791145441,-0.03640948379290956,-0.09222478423200421,-0.01265317532360219,-0.07869933184860141,-0.02367599313256715,-0.03266987265570725,0.028862418484287118
AZ,0.9410341110110845,0.01854071908613789,0.0448110036250308,0.08972342366630004,0.02786528529152388,0.0016380289508814993,0.16434800514420045,-0.04765195117985757,-0.007412540432661753,0.12368819473024983,0.11241005834442672,-0.09660752083943978,0.11915322852195279,-0.019658050182698988,0.18784827585906858,0.00039119152849481284,0.006717360136128723,-0.005512335826104836,-0.028919996675966893,-0.05951918476462903,0.007676744568281033,0.015371558962196387,-0.05352492602146591,0.11477114440755053
CA,-0.40392777469792773,-0.007025975929573162,-0.06450199100667195,-0.0082019478251442,-0.13356555862321404,0.10641604976172961,0.8858477802849918,0.002263825889346306,0.08322211329346765,0.05667906382951223,0.11503500696514074,-0.0759936865899008,-0.03438005427821171,0.07345176718655735,0.007991191785961797,0.015529432700988612,0.11354684477072167,-0.0621324786284349,-0.007269602479256909,-0.007416695797098192,-0.00311864584415225,0.04211634080436407,-0.0026044537781095465,-0.0032737864606828546
CO,0.013264692026492868,0.11977923841415633,-0.08221546111093764,0.8008409816549337,-0.17887567563676687,-0.07355817155884523,0.40107480018750075,0.13391965532429664,0.24297076242236182,0.06653945436738827,0.11761424530460475,0.1354432889239223,0.0753036030827815,0.05116760764729166,0.20998282330606674,0.0195344421495265,-0.013920106283329573,-0.06044049851894462,-0.04147498954216749,0.004410890434632027,0.02116124003862149,-0.04125020061151094,0.038741745035034435,0.006215518108371819
CT,-0.7232669486844684,0.06564736947293578,-0.24212975536479026,-0.1123564126196459,-0.07896538921045027,0.017735844491448705,0.22324624363694143,-0.013611128530435659,0.17242608602923723,-0.03372595699103331,0.05938541941936743,-0.006693811368839137,0.22504772909873366,0.03922175904161989,0.5002986690828067,0.07048706350941389,-0.036280241759423536,0.13033555051886475,0.11210416179608225,-0.03170306071091812,-0.02537063451149849,-0.002565802520805253,-0.00838748109039592,-0.06481329112288213
DC,0.06808728617188878,0.01986509759385156,-0.07177457875957555,-0.01926466939389886,-0.27785878222430765,0.25222207721695167,0.37314523244321773,-2.8922647972975486e-05,-0.12744127610587183,0.13435319659606396,0.8334658266155397,-0.06378784367296647,0.000298789287196369,-0.010752263561851662,-0.03269897402702959,-0.00187953660516218,0.05193605141216993,-0.002580665463062692,0.09322868491289041,0.0003789420073227897,0.001014646475133616,-0.002755282092197042,-0.0013246555751920408,0.0018199277473251697
DE,-0.4442419855594192,0.11980759081703746,-0.6981458796744132,-0.032021843672912505,-0.060943602576019634,0.26486101441177506,0.10138883586284501,0.09587984390716715,0.059380849375953455,0.1599413556920941,0.10557560641149874,0.14273241339970416,-0.14593331518891567,0.0008153231789935832,0.24275836890095187,0.03566376528711598,0.2158165478704697,-0.00849786826185214,0.11640780661788531,-0.006625613978484031,0.1547895967556387,0.07685908682444084,0.03542492738939874,-0.08439385508867843
FL,0.960283875060588,-0.01747752057778196,-0.13826102258851564,0.09886087692064727,0.05642895026918502,0.09355334430212724,-0.07280061908034857,-0.09741640237313551,0.04641888572019726,0.07533863165350906,-0.037454460018731324,0.09425407167662744,-0.0512266306989492,0.010338047107872164,0.1279893175215847,0.012113864465016071,-0.02125587703345833,0.07911073044621349,0.1025389576773944,0.025523833038674976,0.03373344486323339,0.03230748954296422,0.006779860967504622,0.02021231512244517
