,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
AK,-0.06390988820412528,0.004488202859993925,0.11692386943852925,0.06163668948186983,-0.18926504378024198,-0.9531654887367107,-0.13354235016575486,0.12785805125138056,-0.023457103027657553,-0.03941758663372121,-0.1556600321443401,0.05198895158960164,-0.009513605077667886,0.006026122973298694,0.04524278908830798,-5.625991535538867e-06,0.011360180122986988,0.0025089417713062695,-0.07397145032164136,-0.002346554320338216,0.001524756061645833,0.0005085962281983637,-0.005486083860202124,-0.0005301565819748231,0.0017820579751288636
AL,0.9270597338387604,0.02205891861648295,-0.04047541870258547,-0.07393236187148972,0.0468312523437901,0.04233923206456965,-0.22226078562051305,-0.006470218477249258,-0.08409055207096602,0.00493442774671371,0.054060141799188166,-0.004080827594644684,-0.049310826594288995,-0.0245102491752271,-0.2073594158842387,-0.01681890743474146,-0.14326236923316527,0.08289770957511691,-0.1702116053622496,-0.005137513276522516,0.014913848137108603,-0.03509747032563374,-0.021089929705745216,-0.02215409115822887,0.035042793055237186
AR,0.8609472661279645,-0.00744413600320462,0.13345962818017063,-0.06977330044557062,0.20018405474541862,0.021515816632861142,-0.37071335621267787,-0.03822898978261317,-0.1345786999975013,-0.009122846464466655,-0.15920581151693428,-0.06401680293972392,-0.00871157856038078,-0.00853135790363337,-0.0985240287639459,-0.06733900497804589,-0.10296807769321754,-0.03098784175311117,-0.09132360937977858,0.05418554306769538,-0.08019402216857915,-0.027405274540553144,-0.02752821163645367,-0.01087715797410689,0.018957419972745974
AZ,0.94115695384139,0.016586949657392498,0.04437862043777825,0.09023238170943065,0.02873703899107665,0.0009011713253721424,0.1648178288215271,-0.04776354759707167,-0.006315976338080578,0.12288349569962893,0.11345112116549555,-0.09774694837036445,0.11534941089391307,-0.020173194774787268,0.18779563157122983,-0.011529089661132764,0.0067487585824109134,-0.001744560820509879,-0.028495607013000822,-0.05923971350186476,-0.07229520916292723,-0.07990472435177114,-0.042433647875556965,0.035939754996454666,0.05502890790643767
CA,-0.4037198873985564,-0.009147494022812199,-0.06607088783921082,-0.00770420688474714,-0.132117369688885,0.10485092655773597,0.8859992783329002,0.002058371847283483,0.084201830222914,0.054010425720469275,0.1160674687944062,-0.0775162204279807,-0.019898140222530867,0.07602972686193368,0.007023110065534945,0.020230563609805362,0.11348500411033069,-0.05636157961338309,-0.00843310318947432,0.022798540403929785,0.030373658747912258,-0.01266814129997567,-0.012048552118155061,0.042929048739049555,0.012541198160452202
CO,0.013143364282154039,0.12166930675984372,-0.08139796314318741,0.7985959878012905,-0.1793769552816967,-0.07312685397259129,0.4021464872073182,0.13423235107086612,0.2430664543231655,0.06999177645503797,0.11712677241933622,0.13655686484456206,0.06874436800184776,0.04821314345787255,0.2114092344660374,0.015112381340895356,-0.016122812548624736,-0.06530167685072008,-0.04164820241772273,-0.025753018494604242,-0.021440119305415055,0.00548405060461623,0.04965882106671323,-0.04042924490863858,-0.008573578907347302
CT,-0.7225778532132032,0.06328171241125745,-0.2451576125156677,-0.11082489927914575,-0.07724671034149566,0.015081734653343209,0.22351407163981124,-0.01389976138000371,0.1745752890193358,-0.038163146972429014,0.0616088817384993,-0.009253666721061633,0.21749190665600204,0.038894587972127685,0.4987314315666265,0.0678823209686081,-0.036906386493719974,0.1456459627929921,0.11212125611983263,0.02409191024582877,-0.03906806659923421,0.06597136858199165,0.010236911141474672,-0.005091588858618678,0.04684207796321335
DC,0.06796091617763349,0.019160857145824852,-0.07304712509218658,-0.01977927674901729,-0.2773796272681798,0.251927151046857,0.3734275159801481,0.00011481278292492236,-0.12751767685111157,0.13622567949989384,0.8332463702011121,-0.06418766776963275,0.001402501718066589,-0.010536882974371484,-0.0335092057057278,-0.0012399313738864577,0.05156429260786258,-0.002581853866809325,0.09246703235464626,0.00013518113222137562,0.0026256135371151798,-0.0016884371579318068,-0.0017005025240985603,-0.0023567478049533954,-0.0002862410033406134
DE,-0.44310258040970624,0.11417600586750563,-0.6991517499291497,-0.02853143780617019,-0.05870968454261482,0.2603784653966876,0.10133702857077838,0.09511561464808876,0.0614306182807585,0.15457972115078825,0.10789159020983388,0.1391948098406288,-0.0759482412635132,0.00608048515980013,0.24128801695112748,0.03280399160405681,0.21498086875209588,-0.005774266558986557,0.11229035048887494,-0.014195609341856999,0.24932306245097513,0.00611479064961254,0.00022429573835180185,0.04861946842535791,0.0015239075320928202
FL,0.9601492802836193,-0.016559385428129406,-0.1364309141047683,0.09833347003328509,0.055613079027716596,0.09434969244931973,-0.07277091985502306,-0.0973921986128283,0.04581832434376028,0.0778938673053226,-0.038252220315189704,0.09491667114624963,-0.05028862494989865,0.010013912657941212,0.12869440745280614,0.004760289391090597,-0.021588126323183226,0.07212444264454877,0.10250022411956886,-0.044425332496626994,0.029788091561392976,-0.0050636948365972425,0.0025071211670595708,0.0286035199667581,-0.033301049719764525
GA,0.945485709889365,0.08197274925393562,-0.1071195382294326,0.003733674508312054,-0.052740816603503875,0.05348355555588447,-0.2283947920035746,0.04122002272295039,-0.04672588662493766,-0.02467098145399199,-0.026182099002275264,-0.06758225265688372,-0.03632977730559167,0.027365195444789703,-0.1593843143807973,-0.033393226911279585,-0.10457186795269503,-0.04650886323369721,-0.05354089568293915,0.014177470953209332,0.08662390236584736,0.056053096036143855,0.00753239928971184,0.006722394715540794,-0.04242048812312998
HI,-0.08460822899251211,0.0590304379784398,-0.13466529040239303,0.02873098951995589,-0.15839027943040523,0.035684881156591755,0.22690620931569355,0.028019308991938108,0.9355960322858312,0.0776113748736636,-0.09361770013513993,-0.010809166898617979,0.003201248372709041,0.006591412499026868,0.1780944947456257,0.0024100969714154438,0.022086797333243192,0.005665273773924715,0.07238509885087632,2.752492923727063e-05,0.003989412320015545,0.0034361513072686447,-0.0019254855461461923,0.001355049059550813,0.0011087890665611665
IA,-0.5895559391124306,-0.19742200609973487,0.5703892303689027,0.08333707080057788,0.23971399545331554,0.19781180844327304,-0.04713349411383761,-0.08433677389939016,0.024280149421545903,0.15240207473713824,0.1316883259654099,0.06295969439724905,-0.05935495782812463,-0.22386133684022616,-0.14776052492675076,-0.1392615118966462,0.21307551349202408,0.06246617112879543,-0.03465471920879841,0.11881514232338014,0.03355459820844692,-0.01935644996271119,0.0005319110901080417,0.01773394311343516,-0.07646284234497071
ID,0.8340330183629573,-0.03456871176237472,0.2765212379285186,0.11137544037971281,0.0957955336990448,-0.30117590933622673,-0.11129106953099711,0.035010709569237235,-0.08710375131795643,0.03520075608871542,-0.06369796325819022,0.03313221347360375,0.034956913477182584,0.0495597400477907,-0.07714104547045995,0.012285554773059981,-0.05980414307780069,0.024746042329032856,-0.2922166879552931,0.03389493686103267,0.0042259690947633885,0.013102014891008812,0.12865904831825897,0.04397999980314105,-0.06483484566006767
IL,-0.7647050437487979,0.0282228815700291,-0.024585174684035673,-0.12483805416116156,0.020944877829289936,0.27825073288106844,0.4151000542636283,0.02321217877766668,0.10351677449383062,0.09820382305771029,0.2665787457637147,-0.21456874080348978,0.046117260655044366,0.0023712924845379216,0.11109439493325686,0.05385248338407286,0.015883044631891656,-0.05711863432656773,0.11318703719134235,-0.014991766329199711,-0.005437951859013732,0.0700592688495381,0.019277415696890354,0.013686650412788031,0.0815587944389561
