,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
AK,-0.06391785623115573,0.00448910784221975,0.11682053906076202,0.0618385299024408,-0.18925791567324113,-0.9530671549676171,-0.13359390197490606,0.1278723536704808,-0.023550332448088362,-0.039801222364192444,-0.15571264545828478,0.05184163593806386,-0.011219718855996229,0.0060816892469067385,0.04563581660216392,-0.07470844750628723,0.011731635730898088,0.003557824620108344,0.005575196122210074,-0.0024501896268871053,0.0017762017062302698,1.0189699820971158e-06,0.00011275427412792015,0.001565006421381271,0.0020493772996822077,-0.0015814765716531101
AL,0.9270994608251242,0.022484140399060014,-0.0407171733244749,-0.07394581597796435,0.04664221838757371,0.042334886948386635,-0.22156792336744222,-0.006305047461712914,-0.08388242540513924,0.005942897635764156,0.05375937275829402,-0.003808993500376944,-0.05026329213664104,-0.026053649135800317,-0.2075972868387694,-0.1694460340371073,-0.14523576834936877,0.08499275399032175,0.011420659526688684,0.005444487544592001,0.00880902975365054,-0.025439870089372877,0.021188067361147398,0.013673372498024973,0.04000613234531736,0.01230336874978319
AR,0.8609620286313762,-0.0077904737028331675,0.1338739312474319,-0.0703382162751852,0.19996182825035683,0.021460346322497333,-0.36997610049681384,-0.03802757949093867,-0.13422225896477877,-0.00720602052925276,-0.16018899108099977,-0.06321585750349444,0.00019811417300687623,-0.010080006566409679,-0.09934148392930718,-0.08978383759501622,-0.10631740737611842,-0.03200686132487262,0.024894005298609644,0.056494666786429684,-0.07972384922783907,-0.014360817659290199,0.07000561949691478,0.01883498906360993,0.01820513102527748,-0.004663759517863636
AZ,0.9407746115770409,0.016365861489425034,0.045314104913674914,0.08848825694777279,0.0282485877749372,0.0007564675454631489,0.16562025991531829,-0.04737303650237697,-0.005599662068358982,0.12735749941924598,0.1112763754594563,-0.09588400574138463,0.0643800544923195,-0.01945127024366273,0.18550119587096178,-0.021748302016565933,0.0008714794765699036,-0.013404897238792077,0.01796382417445673,-0.006649209471591083,-0.07674912876105315,0.016347336125670547,0.012817662630154398,-0.007894120911142001,0.05137330342731952,0.15559722967504583
CA,-0.40383380094391813,-0.009164723031271723,-0.06628477688106955,-0.007934933574302505,-0.13209533558995085,0.10481296789774742,0.8859870345822851,0.0021498296713294324,0.08446839476746693,0.054603255997276,0.11585113640596649,-0.0772606086016682,-0.03319787927845463,0.0742279853218935,0.006425859877233507,-0.006130330292588916,0.11347852971939969,-0.05676410696917637,0.0038929068885306915,0.02906894348731545,0.02505875128417808,0.04105200930511325,-0.01680594084349132,0.008080330627813945,0.012776282579892047,0.004367500354707493
CO,0.013067431023984031,0.12105399930589733,-0.08088675552862373,0.7987002160392106,-0.17931192838438093,-0.07334526753674875,0.4019549174913229,0.13428591191066971,0.24295817611864814,0.07141671770914766,0.1170873563759098,0.13674463530480682,0.06313170887114818,0.04993986947188595,0.2114857437347061,-0.039034310903947954,-0.015489616299784665,-0.07080890703150437,-0.04615930602390171,-0.025232411531767033,-0.014738841985593502,-0.04094937067486869,-0.017060365101956822,-0.006917387225004065,-0.012768307431540159,0.021712475160745075
CT,-0.7230180754315682,0.06303333438515059,-0.24392224848855673,-0.11142856833329069,-0.0776128543566407,0.01510475132202727,0.2233997918194645,-0.013874314691417434,0.17444698718463933,-0.03574607749770476,0.06112776557674619,-0.008651625557762218,0.17172911235291174,0.04328215062948074,0.49856998965928634,0.11383974498101788,-0.03769227606076982,0.11238317271018582,-0.016441735732147317,0.022550438576740866,-0.03695195868683241,-0.01647715551187331,-0.06767847803494247,-0.16723927281705306,0.03233198954263725,0.058244159557586994
DC,0.06798928161584425,0.019132996123740677,-0.07306080096445762,-0.019630225937009287,-0.2771154058988316,0.251575611609971,0.37304257081015335,3.130472070663248e-05,-0.12775361181292577,0.13587877252789027,0.8336142466341179,-0.0642931287343046,3.44400218078201e-06,-0.010493134600196331,-0.03345125527233899,0.09311295398200851,0.05297131012717383,-0.003083744576479924,0.0012908989256697292,0.00073264706951077,0.0020094648695913363,-0.0027084031719097922,0.0014835213363069534,8.489671096690944e-05,-0.00026049782408504835,0.0020525638912362535
DE,-0.44288700303435063,0.11496966776698676,-0.7004059488015686,-0.0290622080867704,-0.058670587621512865,0.26033341757721695,0.1013060010653574,0.09501666563888023,0.06152757868542543,0.15384919991474225,0.10753254102254016,0.13918926867281048,-0.10050369447924473,0.003055317585299297,0.24038232230540665,0.11609844424468796,0.21335523178439483,-0.0019347717319895582,-0.012896592727344561,-0.006102028652807171,0.23803452210852355,0.05165360028564392,-0.029525022622777154,0.0001555357061417591,0.004673059751093458,-0.0007783199445480946
FL,0.9602840258368283,-0.01612966613561055,-0.1367895028970725,0.09921299396251769,0.05589930865951038,0.09440199413510537,-0.07313174104542759,-0.09773313282371414,0.045344885655755805,0.07476256799448236,-0.03686185157072662,0.09371228325519147,-0.03151744568002991,0.011181758151843146,0.13002699971209183,0.09895341714746325,-0.01713505802456041,0.0860289176528822,0.006351738078591425,-0.043560988705805964,0.029137045895414795,0.0333852526694451,-0.010536817930911073,0.032056823516207235,-0.025834880567092267,-0.01110645096949388
