,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
AK,-0.06393800001398547,0.0045816662823368855,0.11691752910945744,0.061805133985478114,-0.1895164867907378,-0.952944531753377,-0.13354382154321162,0.1277908999906026,-0.023635929988539875,-0.03974944785919843,-0.15617733093018346,0.05189801660003722,-0.011206599375048521,0.006021849595176638,0.04564272443308729,-0.07471130157664402,0.011740438383410623,0.003456385492456387,0.005383255624235443,-0.00255009681878261,0.0018354702532801456,-0.0015193485022128143,0.0001996780444238746,0.00033945760693057203,0.0018580395056192506,-0.0015070769946805296,-0.002645664319823961
AL,0.927107675474834,0.022762603823338286,-0.04053659893787587,-0.07398295431189947,0.04639431217142701,0.04241355446755474,-0.22148517899949713,-0.00647705005895872,-0.08442334961433912,0.0064438186038413454,0.05295962614528614,-0.0038027234551744854,-0.05023341552820952,-0.02693371534176321,-0.20740327089027324,-0.1692661895761578,-0.14552019698286303,0.0835283149642498,0.009309126246577157,0.004765694226405193,0.008867278855774421,-0.009974640144895342,0.022165872789066916,-0.022008074179641415,0.03777215600221665,0.01342413047146736,-0.0299561961712625
AR,0.8609561143575971,-0.008028927531749608,0.1338473199302958,-0.07019742583569594,0.20012318636500254,0.0214004090745819,-0.3698767926476148,-0.03784524360158257,-0.1340139095187024,-0.007406273235186951,-0.1599112205780255,-0.06322669307775626,0.0002462871175405642,-0.009537477303148736,-0.09962173998237613,-0.08989359360924278,-0.10619713117389855,-0.030778143920357277,0.02636363419553034,0.056880426481227896,-0.07960317373688552,-0.019808538874853236,0.06937484862689641,-0.016435199832340913,0.0195189235730074,-0.005462789936749268,0.00879839497312518
AZ,0.9407940095402407,0.016641265940440454,0.04553941909551897,0.08834777138615293,0.027918693451526314,0.0008255942746871713,0.16562042849789857,-0.04755398953537764,-0.006159446237944489,0.12781119258490245,0.11058745187368839,-0.09591121802529741,0.06358543317758562,-0.020259607606347204,0.18581167322757186,-0.021624133081284674,0.0006113276482676895,-0.015386357835189159,0.017004970032955424,-0.0070719568219809945,-0.07724477644028142,0.012750712746710937,0.013723392317187463,0.017239493341484745,0.05079314979996314,0.15559318418664494,-0.00928730564447386
CA,-0.4038499524423433,-0.00901633554771271,-0.06625322346338627,-0.00809441675122761,-0.1322729157975318,0.10485990436782396,0.8859099899229427,0.002062764306666399,0.08435421164538721,0.054724468195153864,0.11598669150673774,-0.07726240999596842,-0.03323014632568324,0.07395397062548974,0.00664945372237339,-0.0060098393413201175,0.11342269817341867,-0.05730254676568737,0.0033743743962576307,0.028945679819204855,0.02463476626845183,-0.00816473859967306,-0.01690682927688489,0.04174062203611168,0.012499051785730658,0.004379296234275167,-0.0035089663244113377
CO,0.01308543542368219,0.12180987455304562,-0.08060023333101493,0.7983655983963511,-0.1799910183712054,-0.0731123866072155,0.40201060467459887,0.13389934722015853,0.24209391742308034,0.07221801996428316,0.11585647761399569,0.1367953892497022,0.06283192067662728,0.048390825852922516,0.21218217296755235,-0.03882800226145528,-0.015936856404442656,-0.07348991956834747,-0.04894562795195107,-0.026324983799192864,-0.01442322353305109,0.009192550624795365,-0.015289171262985983,-0.03753332060269326,-0.015550210732539833,0.022843112853729357,-0.025283957532303575
CT,-0.7229662418676007,0.06324479647914062,-0.24376000559311906,-0.11166462088218371,-0.07781481580187681,0.015184462501489592,0.22328662084777764,-0.014097988859300315,0.17400840539897966,-0.03536808654027138,0.06049467180168477,-0.008680334872626495,0.1701655188397654,0.042564578459207476,0.49888799719804455,0.11403256522683612,-0.03797467222173783,0.10735907275398654,-0.017567445852755808,0.01909784131293148,-0.03618982118986591,0.17503800458460447,-0.06455519397571272,-0.014600014597799535,0.03039987705117562,0.05623230267346108,-0.01208288563098527
DC,0.06794034745198682,0.019111374013206398,-0.07322049939640013,-0.01964184085628059,-0.2766348784294461,0.25117889624783435,0.37273736655431056,0.000126196852925189,-0.12711368048306346,0.1354296252056808,0.8345218407981915,-0.06420928707431223,-1.608475040080633e-05,-0.010443892026791614,-0.033592873657351675,0.09291241130600728,0.0530033887835168,-0.0031347814451417144,0.0012494509304672538,0.0007172439298899403,0.001986776844685822,0.00010162886693299158,0.0015031442187116875,-0.0026857348613493165,-0.00025918387538327516,0.002068682483791954,-0.0002941037834371118
DE,-0.4428306721227245,0.11479713943056356,-0.7005283267178114,-0.029095149441295418,-0.05852611619875706,0.2602429552962314,0.10119858320252842,0.09501012210536769,0.0616946479419687,0.15359077433255452,0.10788646037730869,0.13914650652043653,-0.10041973287709469,0.0033652481796081347,0.2404803355372486,0.11600016190770371,0.21347878383779184,-0.001108757035314328,-0.01302842023134561,-0.0056030773985417375,0.23739555621881578,-0.002939800052190778,-0.03038374918170903,0.05265423885357433,0.005771472980429514,-0.0007944780066819711,0.01015412349518632
FL,0.9602987337665405,-0.01634126104043663,-0.1368060455057926,0.09928446309630817,0.05606103099214523,0.09432007653812166,-0.07312597975492242,-0.09763771627001888,0.04554740563432488,0.07452014367161633,-0.03648693772782913,0.09365876059040293,-0.030831851610241778,0.011775654287854652,0.12992237342537716,0.09879732581813745,-0.016994450704025083,0.0873524612321997,0.0067961876632645826,-0.042230642293945166,0.028708717941107045,-0.03289360265898336,-0.011677022087351115,0.032846708532692365,-0.025304592917928706,-0.010126698426366612,0.005396548267885623
